report,report_prefix,story,story_title,requirement_id,kind,requirement_text,status,covering_cases,covering_c_ids,retired_only_anchor,text_candidates,verdict,judgement
Sales By Customer,SBC,1,Report access and navigation placement,S1-R1,requirement,"S1-R1:** ""Sales By Customer"" appears in the Reports left-side navigation.",COVERED-DIRECT,SBC-NAV-01,C30096,,,,
Sales By Customer,SBC,1,Report access and navigation placement,S1-R2,requirement,"S1-R2:** The report is gated by a dedicated Sales By Customer report View permission — it is not tied to a generic ""all reports"" permission.",COVERED-DIRECT,SBC-PERM-01,C30098,,,,
Sales By Customer,SBC,1,Report access and navigation placement,S1-R3,requirement,"S1-R3:** The page title reads ""Sales By Customer.""",COVERED-DIRECT,SBC-NAV-01,C30096,,,,
Sales By Customer,SBC,1,Report access and navigation placement,S1-R4,requirement,"S1-R4:** The browser tab title reads ""Sales By Customer - Report | ShopView"" — the report name inside the application-standard tab-title template. **Negative cases:**",COVERED-DIRECT,SBC-NAV-01,C30096,,,,
Sales By Customer,SBC,1,Report access and navigation placement,S1-N1,negative,S1-N1:** A user without the Sales By Customer report View permission does not see the report in navigation and cannot open it by direct link.,COVERED-DIRECT,SBC-PERM-02,C30099,,,,
Sales By Customer,SBC,2,Filter by date range,S2-R1,requirement,S2-R1:** A date range picker is visible in the report toolbar.,COVERED-DIRECT,SBC-DATE-01,C30102,,,,
Sales By Customer,SBC,2,Filter by date range,S2-R2,requirement,"S2-R2:** The picker offers eleven options, in this order: Today, Yesterday, This Week, Last Week, This Month, Last Month, This Year, Last Year, This Quarter, Last Quarter, Custom.",COVERED-DIRECT,SBC-DATE-01,C30102,,,,
Sales By Customer,SBC,2,Filter by date range,S2-R3,requirement,S2-R3:** The Custom range is capped at a maximum span of 366 days from start date to end date — the same length as the largest preset (This Year / Last Year).,COVERED-DIRECT,SBC-DATE-03,C30104,,,,
Sales By Customer,SBC,2,Filter by date range,S2-R4,requirement,"S2-R4:** When the user picks ""Custom,"" the report opens a date-picker dialog for a start and end date.",COVERED-DIRECT,SBC-DATE-03,C30104,,,,
Sales By Customer,SBC,2,Filter by date range,S2-R5,requirement,"S2-R5:** The picker defaults to ""This Month"" when the report is opened with no saved date range and no date range in the page link.",COVERED-DIRECT,SBC-PERS-05,C30178,,,,
Sales By Customer,SBC,2,Filter by date range,S2-R6,requirement,"S2-R6:** When the user changes the date range, the chosen value is written to the page link so the report can be shared or bookmarked at that range.",COVERED-DIRECT,SBC-DATE-04,C30105,,,,
Sales By Customer,SBC,2,Filter by date range,S2-R7,requirement,S2-R7:** The chosen date range is reflected in the CSV and PDF exports.,COVERED-DIRECT,SBC-EXP-05,C30163,,,,
