Case ID,Area (TestRail section),Title,Original tracker status,Verdict,Action,Ticket / Spec ref,TestRail edited?,Notes
28450,Work Order / Parts — Part-line Fee/Discount,Part-line fee/discount stays attached when part changes requested → received,BLOCKED — VIU PENDING (QA),PASS — no change,Flip to READY,spec S5-R13,N/A,Was blocked on environment/data only (couldn't move part requested→received). Now tested; fee/discount stays attached per S5-R13. Never a deviation.
28456,Work Order — Inline display (Lines tab),Line/part with 2+ fees/discounts shows first + 'Show N more' toggle,BLOCKED — DEVIATION,PASS — no change,Flip to READY,spec S3-R15/R16,N/A,"App matches all 4 expected results (default 1 row, 'Show 2 more', expand shows 2, toggle→'Show less'). Tracker note (dev must build collapse) was stale."
28460,Work Order — Statistics tab,Each Stats fee/discount row names its target,BLOCKED — DEVIATION,UPDATE test case,Edit expected result,spec S4 / S9,YES — edited,Observable Stats behavior passes. Dropped zero-value precondition + expected line (untestable: $0 now blocked everywhere). Updated in TestRail.
28462,Work Order — Statistics tab,"Stats fees/discounts listed oldest-first (A, B, C)",BLOCKED — DEVIATION,PASS — no change,Flip to READY,spec S5-R9,N/A,"App shows A→B→C top-to-bottom, matching expected result. Was blocked as dependency on 28460 per-row layout; layout now exists & works."
30618,Work Order — Labor-line Fee/Discount,Labor fee/discount entry point — three-dot menu placement + 'Add Labor Fee / Discount',BLOCKED — DEVIATION,UPDATE test case,Edit steps + expected result + References,Jira SV-8479 (Done),YES — edited,App shows ⋮ menu RIGHT of 'Unassigned'. PO (Chris Ward) accepted right-side placement in SV-8479; ticket Done 22 Jul. Rewrite placement LEFT→RIGHT. Menu label + dialog title QA-verified in ticket.
28489,Customer Fees & Discounts tab,Customer picker lists only not-yet-added templates; Processing Fee shows as 'Fee',BLOCKED — DEVIATION,UPDATE test case,Edit expected result #1,spec S9-R20/R21; SV-8280,YES — edited,App shows multi-select picker. Spec S9-R20 confirms multi-select intended → single-select in case was a defect. #2-#4 spec-confirmed correct. Edited in TestRail.
28490,Customer Fees & Discounts tab,Picker message when no templates left to add,BLOCKED — DEVIATION,PASS — no change,Flip to READY,spec S9-R22,N/A,App shows 'No results'; test case already expects 'No results'. Note: diverges from spec S9-R22 ('No templates available to add') but team accepted build as-is. Tracker 'update wording' note stale.
28511,Template admin — scoping,"Template scoping — labour-method templates only in labour pickers, parts-method only in parts pickers",BLOCKED — DEVIATION,PASS — no change,Flip to READY,spec S2-R14/R15/R16,N/A,All 3 expected results verified (labor=Flat+%Labor; part=Flat+%Parts; no Processing Fee). Original blocker (line-level 'Apply From Template' picker missing) now cleared. SV-8479 labels don't affect this case.
28526,Processing Fee — WO behavior,Processing Fee on WO can be removed but not edited,BLOCKED — DEVIATION,UPDATE test case,Edit expected result #1,spec S8-R17/S8-N5,YES — edited,App now shows Remove-only (spec-correct). Dev removed the old dead 'Edit' control (Processing Fee only; regular fee/discount keeps Edit per S3-R9). Case still describes old Edit+Remove menu → rewrite to Remove-only. Confirm dialog + removal verified.
28527,Processing Fee — calculation,% of Grand Total Processing Fee works out last on tax-included grand total,BLOCKED — DEVIATION (FDBUG-2),PASS — no change,Flip to READY; SV-8421 Done,"Jira SV-8421 (Done, PR #2220)",N/A,Fix CONFIRMED with live data (5% tax): base 530.23+26.51=556.74; 3%=$16.70 = app. Base correctly excludes $121 flat Processing Fee. SV-8421 resolved $37.12-vs-$37.17-vs-$38.27 ambiguity via §5-R4 note; QA-passed 22 Jul.
28580,Calculation contract,Processing Fee works out last on tax-included grand total (calc-contract twin),BLOCKED — DEVIATION (FDBUG-2),PASS — no change,Flip to READY,Jira SV-8421 (Done),N/A,Same SV-8421 fix as 28527. Canonical example verified: $300+$24=$324 base; 3%=+$9.72; matches spec §5-R5 worked example. Caveat: on-app execution against exact $300/$24 figures is the click-through tick.
