case_id,link,section_id,area,title,bucket,viu_status,evidence
26307,https://shopview.testrail.io/index.php?/cases/view/26307,3528,Roles List Page,The Roles & Permissions list page loads with its columns and a create button,VIU-Verified,VIU-Verified,"UI: /administration/roles-permissions loads. Heading ""Roles & Permissions""; columns Role Name | Description | Template | Role Type | Users | Action; ""Create Custom Role"" button; ""Search Role"" box. screenshot roles-list-admin/list."
26308,https://shopview.testrail.io/index.php?/cases/view/26308,3528,Roles List Page,All 11 system roles appear in the list with a system badge,VIU-Verified,VIU-Verified,"UI: list shows all 11 system roles (Admin, Parts Manager, Service Manager, Office User, Senior Service Advisor, Foreman, Service Advisor, Technician, Parts Technician, Time Clock User, Sales Representative) each with Role Type = System."
26309,https://shopview.testrail.io/index.php?/cases/view/26309,3528,Roles List Page,Creating a custom role opens the template picker,VIU-Verified,VIU-Verified,"UI: clicking ""Create Custom Role"" opens the template picker ""Choose a template — Start from a template to pre-fill settings, or skip to start from scratch."" screenshot template-picker."
26310,https://shopview.testrail.io/index.php?/cases/view/26310,3528,Roles List Page,A custom role row has a pencil (edit) icon and a three-dot menu; View Permissions is in the menu,VIU-Verified,VIU-Verified,UI: custom role rows (Parth Cust1/Bilal - Cus) show pencil (edit) + more_vert (3-dot); the 3-dot menu contains View Permissions.
26311,https://shopview.testrail.io/index.php?/cases/view/26311,3528,Roles List Page,The eye (View Permissions) icon shows in the Actions column only for Office User and Time Clock User,VIU-Verified,VIU-Verified,UI: only Office User and Time Clock User rows show the visibility (eye) icon in the Action column; all other rows show edit + more_vert.
26313,https://shopview.testrail.io/index.php?/cases/view/26313,3528,Roles List Page,"The Office User system role is non-editable (lock icon, eye only)",VIU-Verified,VIU-Verified,UI: Office User row shows lock icon and only the visibility (eye) icon (no edit/3-dot) — non-editable.
26314,https://shopview.testrail.io/index.php?/cases/view/26314,3528,Roles List Page,"The Time Clock User system role is non-editable (lock icon, eye only)",VIU-Verified,VIU-Verified,UI: Time Clock User row shows lock icon and only the visibility (eye) icon — non-editable.
26315,https://shopview.testrail.io/index.php?/cases/view/26315,3528,Roles List Page,The Users column shows a clickable count that links to the filtered Staff page,VIU-Verified,VIU-Verified,UI: clicking the Users count on the Foreman row navigates to /administration/staff?roleName=Foreman (filtered Staff page).
26316,https://shopview.testrail.io/index.php?/cases/view/26316,3528,Roles List Page,The search field filters the roles list as you type,VIU-Verified,VIU-Verified,"UI: typing ""Parts"" in Search Role filters the table to Parts Manager + Parts Technician only."
26317,https://shopview.testrail.io/index.php?/cases/view/26317,3528,Roles List Page,Roles & Permissions is hidden for users without the App Settings sub-toggle,Blocked-UI,Blocked-UI (needs seeded role); App Settings gates Roles & Permissions (build-verified),settingsApp gates the Roles & Permissions page (build route metadata).
26318,https://shopview.testrail.io/index.php?/cases/view/26318,3528,Roles List Page,Locations appears under the Settings area,VIU-Verified,VIU-Verified,UI: Locations appears under the SETTINGS area in the sidebar (SETTINGS > Settings/Staff/Roles & Permissions/Locations/Departments/Taxes).
26319,https://shopview.testrail.io/index.php?/cases/view/26319,3528,Roles List Page,The roles list has a Template column,VIU-Verified,VIU-Verified,UI: the roles list has a Template column (header between Description and Role Type).
26320,https://shopview.testrail.io/index.php?/cases/view/26320,3528,Roles List Page,Each of the 11 system roles shows its description,VIU-Verified,VIU-Verified,"UI: all 11 system roles display a description in the Description column (e.g. Admin ""Full system access"", Foreman ""Oversees technicians and work orders"")."
26321,https://shopview.testrail.io/index.php?/cases/view/26321,3528,Roles List Page,A custom role with no description shows a dash,VIU-Verified,VIU-Verified,UI: custom role Bilal - Cus (no description) shows a dash (-) in the Description column.
26322,https://shopview.testrail.io/index.php?/cases/view/26322,3528,Roles List Page,An editable system role's three-dot menu shows View Permissions and no Delete,VIU-Verified,VIU-Verified,"UI: 3-dot menu on Admin (editable system role) shows only ""View Permissions"" (no Delete)."
26323,https://shopview.testrail.io/index.php?/cases/view/26323,3528,Roles List Page,"The three-dot menu is hidden on the non-editable system roles (Office User, Time Clock User)",VIU-Verified,VIU-Verified,UI: Office User and Time Clock User rows have no 3-dot menu (only the eye icon).
26324,https://shopview.testrail.io/index.php?/cases/view/26324,3528,Roles List Page,A custom role's three-dot menu shows View Permissions and Delete,VIU-Verified,VIU-Verified,"UI: 3-dot menu on Bilal - Cus (0-user custom role) shows ""View Permissions"" and ""Delete""."
26325,https://shopview.testrail.io/index.php?/cases/view/26325,3528,Roles List Page,Deletion and duplication behavior on the roles list,VIU-Verified,VIU-Verified,"UI: list supports deletion (Delete in custom-role 3-dot -> Confirmation dialog) and duplication (roles-permissions/:id/duplicate route reachable, opens Create Role prefilled)."
