"Locations: Staging Heavy Duty - 9919"
"WO #",Status,Customer,Unit,VIN,Branch,Advisor,"Days Open","Last Activity","Labor Earned","Labor Remaining","Parts Earned","Parts Remaining",Earned,Remaining,Total
S2-15868,Approved,"Joshore Farms",70,1XKDD40X8CJ955352,"Staging Heavy Duty - 9919","Kimberly Barnes","52 days","51d ago",$154.45,$610.29,$326.37,$195.15,$480.82,$805.44,"$1,286.26"
S2-15859,Approved,"Cohaven Mechanical",,3ALPG3FM2SDWA4388,"Staging Heavy Duty - 9919","Kimberly Barnes","52 days","52d ago",$0.00,$749.74,$343.09,$185.06,$343.09,$934.80,"$1,277.89"
S2-15857,Approved,"Vuchester Retail",10154522,1T0324GMLPJ445971,"Staging Heavy Duty - 9919","Kimberly Barnes","52 days","51d ago",$619.90,$0.00,$2.76,$821.40,$622.66,$821.40,"$1,444.06"
S2-15847,Approved,"Fuline Enterprises",LT-03,1GCGG25V571185113,"Staging Heavy Duty - 9919","Kimberly Barnes","52 days","52d ago",$0.00,$224.92,$92.36,$0.00,$92.36,$224.92,$317.28
S2-15835,Approved,"Liisland Partners",,1HTWGADR34J094639,"Staging Heavy Duty - 9919","Kimberly Barnes","53 days","51d ago",$458.56,$366.19,$0.00,$0.00,$458.56,$366.19,$824.75
S2-15824,Approved,"Uemill Excavating",,0300106435,"Staging Heavy Duty - 9919","Kimberly Barnes","54 days","53d ago",$0.00,$299.90,$550.00,$0.00,$550.00,$299.90,$849.90
S2-15823,Approved,"Quebridge Forestry",,NEEDVINGAS,"Staging Heavy Duty - 9919","Kimberly Barnes","54 days","52d ago",$352.99,$0.00,$0.97,$0.00,$353.96,$0.00,$353.96
S2-15818,Approved,"Xuside Supply",929,1HTMMAAP0DH195762,"Staging Heavy Duty - 9919","Kimberly Barnes","54 days","51d ago",$328.25,$249.07,$290.94,$186.24,$619.19,$435.31,"$1,054.50"
S2-15815,Approved,"Uospring Construction",,1XKAD49X7EJ965766,"Staging Heavy Duty - 9919","Kimberly Barnes","54 days","51d ago",$885.78,$684.55,$889.60,$0.00,"$1,775.38",$684.55,"$2,459.93"
S2-15811,Approved,"Brabay Maintenance",,1NPAXBEX56D885856,"Staging Heavy Duty - 9919","Kimberly Barnes","54 days","51d ago","$1,168.70",$580.00,$37.99,$0.00,"$1,206.69",$580.00,"$1,786.69"
S2-15807,Approved,"Euwood Distributors",Chevy,1GC1YNE79NF180261,"Staging Heavy Duty - 9919","Kimberly Barnes","54 days","52d ago",$0.00,$224.92,$149.19,$0.00,$149.19,$224.92,$374.11
S2-15787,Approved,"Ceview Builders",4,1NKDX4TX0CR955991,"Staging Heavy Duty - 9919","Bonnie Jones","55 days","51d ago",$727.26,$97.47,$374.72,$241.40,"$1,101.98",$338.87,"$1,440.85"
S2-15777,Approved,"Iuborough Retail",,XUGB055UCPKA01650,"Staging Heavy Duty - 9919","Lauren Knight","55 days","51d ago","$1,124.92",$300.00,$205.62,$0.00,"$1,330.54",$300.00,"$1,630.54"
S2-15775,Approved,"Iuborough Retail",,XUGB055UEPKA01646,"Staging Heavy Duty - 9919","Lauren Knight","55 days","52d ago",$600.00,"$1,800.00",$23.00,$9.60,$623.00,"$1,809.60","$2,432.60"
S2-15767,Approved,"Oeport Landscaping","UNIT 1",1FVACYDT1GHGW9072,"Staging Heavy Duty - 9919","Kimberly Barnes","55 days","51d ago",$392.86,$71.98,$459.48,$0.00,$852.34,$71.98,$924.32
S2-15765,Approved,"Vishore Excavating",,1T0310SKADE247413,"Staging Heavy Duty - 9919","Lauren Knight","55 days","53d ago",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
S2-15762,Review,"Qodale Consulting",180,2M5121281R1226832,"Staging Heavy Duty - 9919","Bonnie Jones","55 days","51d ago",$499.88,$0.00,$0.00,$0.00,$499.88,$0.00,$499.88
S2-15761,Approved,"Qodale Consulting",605,5KJJALD11KPKU6221,"Staging Heavy Duty - 9919","Bonnie Jones","55 days","51d ago",$868.87,"$3,356.40","$2,062.30",$0.00,"$2,931.17","$3,356.40","$6,287.57"
S2-15748,Approved,"Vuchester Retail",,79789048,"Staging Heavy Duty - 9919","Kimberly Barnes","56 days","53d ago",$0.00,$974.68,"$2,100.74",$0.00,"$2,100.74",$974.68,"$3,075.42"
S2-15743,Approved,"Euwood Paving",854,5SHFE4730MB001604,"Staging Heavy Duty - 9919","Bonnie Jones","56 days","51d ago",$164.95,"$1,402.08",$297.48,$91.92,$462.43,"$1,494.00","$1,956.43"
S2-15742,Approved,"Euwood Paving",854,1HTKTSWK4RH442544,"Staging Heavy Duty - 9919","Bonnie Jones","56 days","51d ago","$1,172.79",$287.01,"$1,579.16",$0.00,"$2,751.95",$287.01,"$3,038.96"
S2-15727,Approved,"Vuchester Retail",,80632,"Staging Heavy Duty - 9919",,"58 days","58d ago",$0.00,$978.75,$903.92,$0.00,$903.92,$978.75,"$1,882.67"
S2-15716,Approved,"Ceview Builders",8,1FVPG3DV6HHHM1551,"Staging Heavy Duty - 9919","Bonnie Jones","59 days","51d ago","$1,328.27","$1,175.91",$549.40,$888.21,"$1,877.67","$2,064.12","$3,941.79"
S2-15699,Approved,"Vuchester Retail",,JCB5CH7GEM2994450,"Staging Heavy Duty - 9919","Kimberly Barnes","59 days","54d ago",$787.35,$82.65,$857.25,"$1,551.21","$1,644.60","$1,633.86","$3,278.46"
S2-15683,Approved,"Vuchester Retail",,1A9CT7438FA427014,"Staging Heavy Duty - 9919","Kimberly Barnes","59 days","53d ago",$0.00,"$2,652.50",$97.23,$0.00,$97.23,"$2,652.50","$2,749.73"
S2-15681,Approved,"Vuchester Retail",,1A9BR5018FC427006,"Staging Heavy Duty - 9919","Kimberly Barnes","59 days","51d ago","$5,299.30","$9,579.60","$3,420.88",$80.32,"$8,720.18","$9,659.92","$18,380.10"
S2-15678,Approved,"Vuchester Retail",,1A9BC5813FC427002,"Staging Heavy Duty - 9919","Kimberly Barnes","59 days","51d ago",$437.55,"$4,824.95",$0.00,$0.00,$437.55,"$4,824.95","$5,262.50"
S2-15676,Approved,"Depark Paving",708,1NPTX4TX3GD295115,"Staging Heavy Duty - 9919","Bonnie Jones","59 days","51d ago","$2,934.45","$1,916.65","$3,382.02",$261.08,"$6,316.47","$2,177.73","$8,494.20"
S2-15673,Approved,"Cogate Electrical",,SHOP,"Staging Heavy Duty - 9919","Frank Pierce","59 days","51d ago",$0.00,$0.00,$118.08,$633.54,$118.08,$633.54,$751.62
S2-15658,Approved,"Vuchester Retail",10159470,1T0324GMCSJ474438,"Staging Heavy Duty - 9919","Bonnie Jones","60 days","60d ago",$0.00,$290.00,$192.69,$0.00,$192.69,$290.00,$482.69
S2-15625,Approved,"Guland Excavating",,VF0001121,"Staging Heavy Duty - 9919","Kimberly Barnes","61 days","51d ago",$0.00,"$1,631.51",$884.06,"$1,292.80",$884.06,"$2,924.31","$3,808.37"
S2-15621,Approved,"Wovale Systems",A5103R,1FVPG3DV2FHGC4381,"Staging Heavy Duty - 9919","Bonnie Jones","61 days","51d ago","$4,368.03","$3,594.30","$6,704.23","$6,272.31","$11,072.26","$9,866.61","$20,938.87"
S2-15603,Approved,"Uemill Excavating",,0300106435,"Staging Heavy Duty - 9919","Bonnie Jones","61 days","53d ago",$0.00,$0.00,$530.46,$0.00,$530.46,$0.00,$530.46
S2-15599,Approved,"Wovale Systems",20,1FVPGNDVXBDBB4602,"Staging Heavy Duty - 9919",,"61 days","61d ago",$209.93,$14.99,$0.00,$81.86,$209.93,$96.85,$306.78
S2-15593,Approved,"Xamont Holdings",,"WINCH ASSEMBLY ","Staging Heavy Duty - 9919","Bonnie Jones","62 days","52d ago",$599.80,$299.90,$0.00,$0.00,$599.80,$299.90,$899.70
S2-15586,Approved,"Buspring Holdings",78,1GDL7F1356F426157,"Staging Heavy Duty - 9919","Bonnie Jones","62 days","51d ago","$1,601.46","$3,871.72","$9,095.08","$9,028.36","$10,696.54","$12,900.08","$23,596.62"
S2-15574,Approved,"Fuline Enterprises","ST-24 TERRY",1FD0X5HT2PEE00545,"Staging Heavy Duty - 9919","Kimberly Barnes","62 days","53d ago",$344.88,$0.00,$20.37,$137.10,$365.25,$137.10,$502.35
S2-15544,Approved,"Auline Consulting",1,54DC4W1B9ES801599,"Staging Heavy Duty - 9919","Lauren Knight","63 days","52d ago",$0.00,$0.00,$333.91,$0.00,$333.91,$0.00,$333.91
S2-15526,Approved,"Zehampton Distributors",,2AUYT82J1N3000050,"Staging Heavy Duty - 9919","Lauren Knight","63 days","63d ago",$0.00,$0.00,$115.39,$0.00,$115.39,$0.00,$115.39
S2-15520,Approved,"Quahaven Mining",,DAMAGED,"Staging Heavy Duty - 9919",,"64 days","51d ago",$0.00,$0.00,"$1,382.00",$0.00,"$1,382.00",$0.00,"$1,382.00"
S2-15519,Approved,"Fuline Enterprises",ST-25,1FD0X5HT5PEE01396,"Staging Heavy Duty - 9919",,"64 days","64d ago",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
S2-15496,Approved,"Vuchester Retail",10151626,3GTNUAEK7NG672103,"Staging Heavy Duty - 9919","Bonnie Jones","66 days","55d ago",$0.00,$0.00,$0.00,$62.28,$0.00,$62.28,$62.28
S2-15493,Approved,"Vuchester Retail",10145309,3GTN9AEH9KG209011,"Staging Heavy Duty - 9919","Bonnie Jones","66 days","52d ago",$0.00,"$1,232.50","$1,398.65",$0.00,"$1,398.65","$1,232.50","$2,631.15"
S2-15412,Approved,"Wamarket Plumbing",,1XPXD49X5RD669444,"Staging Heavy Duty - 9919","Kimberly Barnes","68 days","65d ago",$0.00,$224.92,$198.00,$0.00,$198.00,$224.92,$422.92
S2-15400,Approved,"Vuchester Retail",10151175,1T0324GKVMJ411763,"Staging Heavy Duty - 9919","Bonnie Jones","68 days","51d ago","$5,433.15","$4,601.55","$5,215.47",$260.45,"$10,648.62","$4,862.00","$15,510.62"
S2-15382,Approved,"Kubridge Design",,1HA3GSCG8HN008497,"Staging Heavy Duty - 9919","Bonnie Jones","69 days","55d ago","$3,897.20",$20.99,"$3,046.05",$0.00,"$6,943.25",$20.99,"$6,964.24"
S2-15342,Approved,"Wuwick Apparel",,2NKMHZ8X57M931136,"Staging Heavy Duty - 9919","Kimberly Barnes","72 days","59d ago",$244.13,"$1,075.47","$1,720.44",$0.00,"$1,964.57","$1,075.47","$3,040.04"
