c_id,testrail_link,created_by,rule_ref,disposition,note
C45168,https://shopview.testrail.io/index.php?/cases/view/45168,6 (Mudassir Qamar),S2-R3,re-stamp,Matches v45 S2-R3 (Credit To full width); provenance v45/31-Aug + block reformat
C45169,https://shopview.testrail.io/index.php?/cases/view/45169,6 (Mudassir Qamar),S3-R8,updated,Added v45 void/reversal re-enable clause (lock conditional not permanent)
C45170,https://shopview.testrail.io/index.php?/cases/view/45170,6 (Mudassir Qamar),S3-R5,re-stamp,API rejects non-Approves-Work / cross-tenant; S3-R5 unchanged in v45
C45171,https://shopview.testrail.io/index.php?/cases/view/45171,6 (Mudassir Qamar),S4-N3,re-stamp,Asset section hidden when no asset; unchanged
C45172,https://shopview.testrail.io/index.php?/cases/view/45172,6 (Mudassir Qamar),S5-R7,re-stamp,Summarize toggles + no-divider; v45 nine-settings change does not affect scope
C45173,https://shopview.testrail.io/index.php?/cases/view/45173,6 (Mudassir Qamar),S5-R2,re-stamp,Three-digit line numbers from 100; unchanged
C45174,https://shopview.testrail.io/index.php?/cases/view/45174,6 (Mudassir Qamar),S8-R2,re-stamp,Fully-reversed payment absent; matches v45 S8-R2 fully-reversed clause
C45175,https://shopview.testrail.io/index.php?/cases/view/45175,6 (Mudassir Qamar),S8-R8,re-stamp,Pill/title strings verified verbatim in v45 (PAID IN FULL / PARTIALLY PAID / Batch)
C45176,https://shopview.testrail.io/index.php?/cases/view/45176,6 (Mudassir Qamar),S10-R4,re-stamp,Paid date = most recent applied row; may precede invoice date; matches v45
C45177,https://shopview.testrail.io/index.php?/cases/view/45177,6 (Mudassir Qamar),S10-R4,re-stamp,Reversal returns Due date; render-time state; matches v45
C45178,https://shopview.testrail.io/index.php?/cases/view/45178,6 (Mudassir Qamar),S10-R4,re-stamp,Zero-total nothing applied not fully paid; matches v45 Section 6 / S10-R4
C45179,https://shopview.testrail.io/index.php?/cases/view/45179,6 (Mudassir Qamar),S11-R6a,updated,Removed stale Terminology note + v36 pin (v45 Terminology now agrees, change-log 2026-08-27)
C45180,https://shopview.testrail.io/index.php?/cases/view/45180,6 (Mudassir Qamar),S11-R6a,re-stamp,Partially applied open balance $120; matches v45 status table
C45181,https://shopview.testrail.io/index.php?/cases/view/45181,6 (Mudassir Qamar),S11-R6a,re-stamp,Applied + voided both $0.00; matches v45
C45182,https://shopview.testrail.io/index.php?/cases/view/45182,6 (Mudassir Qamar),S11-R6a,re-stamp,Refund rows + open balance until consumed (SV-7754); matches v45
C45183,https://shopview.testrail.io/index.php?/cases/view/45183,6 (Mudassir Qamar),S11-R6a,re-stamp,Partially refunded AND applied = $70; matches v45 open-balance formula
C45184,https://shopview.testrail.io/index.php?/cases/view/45184,6 (Mudassir Qamar),G-R1,re-stamp,Fixed Jan 5 2026 date format US+CA; matches v45 G-R1
C45185,https://shopview.testrail.io/index.php?/cases/view/45185,6 (Mudassir Qamar),Plan D5,re-stamp,Pre-redesign snapshot renders / no 500; plan-sourced; v45 currency recorded
C45186,https://shopview.testrail.io/index.php?/cases/view/45186,6 (Mudassir Qamar),Plan Phase 2,re-stamp,Post-redesign snapshot carries new fields; plan-sourced
C45187,https://shopview.testrail.io/index.php?/cases/view/45187,6 (Mudassir Qamar),Plan Section 2,re-stamp,Emailed PDF = shop-app PDF (single render path); plan-sourced
C45188,https://shopview.testrail.io/index.php?/cases/view/45188,6 (Mudassir Qamar),Plan Phase 4,re-stamp,Preview matches PDF / DOMPurify not stripping; plan-sourced
C45189,https://shopview.testrail.io/index.php?/cases/view/45189,6 (Mudassir Qamar),PRD shipped-behaviour,re-stamp,Locale currency/percentage conventions preserved; shipped-behaviour note
C45190,https://shopview.testrail.io/index.php?/cases/view/45190,6 (Mudassir Qamar),S3-R5,re-stamp,Customer cards work; Authorizer row on WO+parts sale not imported WO; unchanged
C45191,https://shopview.testrail.io/index.php?/cases/view/45191,6 (Mudassir Qamar),S3-R5,re-stamp,No-edit-perm user sees Authorizer read-only; unchanged
C45192,https://shopview.testrail.io/index.php?/cases/view/45192,6 (Mudassir Qamar),S12-R11 / SV-9441,updated,Added v45 S12-R11 scroll-in-own-container clause; refs +S12-R11
C45193,https://shopview.testrail.io/index.php?/cases/view/45193,6 (Mudassir Qamar),S5-R9,re-stamp,4+ digit amounts no $NaN; S5-R9 unchanged
C45194,https://shopview.testrail.io/index.php?/cases/view/45194,6 (Mudassir Qamar),S1-R1,re-stamp,Special chars render (no escape artifacts/mojibake); S1-R1 unchanged
C45195,https://shopview.testrail.io/index.php?/cases/view/45195,6 (Mudassir Qamar),S12-R1 / S12-R10,updated,Added v45 S12-R10 page-break rules; refs +S12-R10
C45196,https://shopview.testrail.io/index.php?/cases/view/45196,6 (Mudassir Qamar),S10-R4,re-stamp,Mixed cash+credit shows Paid date; matches v45
C45197,https://shopview.testrail.io/index.php?/cases/view/45197,6 (Mudassir Qamar),S11-R3,re-stamp,Credit Invoice renders on reversed origin; S11-R3 unchanged
