"Locations: All locations"
"WO #",Status,Customer,Unit,VIN,Branch,Advisor,"Days Open","Last Activity","Labor Earned","Labor Remaining","Parts Earned","Parts Remaining",Earned,Remaining,Total
S3-15871,Approved,"Vuhaven Solutions",,1GCHG356291136599,"Staging Lethbridge - 4310","Taylor Kelley","52 days","52d ago",$159.95,$0.00,$0.00,$0.00,$159.95,$0.00,$159.95
S2-15868,Approved,"Joshore Farms",70,1XKDD40X8CJ955352,"Staging Heavy Duty - 9919","Kimberly Barnes","52 days","51d ago",$154.45,$610.29,$326.37,$195.15,$480.82,$805.44,"$1,286.26"
S2-15859,Approved,"Cohaven Mechanical",,3ALPG3FM2SDWA4388,"Staging Heavy Duty - 9919","Kimberly Barnes","52 days","52d ago",$0.00,$749.74,$343.09,$185.06,$343.09,$934.80,"$1,277.89"
S2-15857,Approved,"Vuchester Retail",10154522,1T0324GMLPJ445971,"Staging Heavy Duty - 9919","Kimberly Barnes","52 days","51d ago",$619.90,$0.00,$2.76,$821.40,$622.66,$821.40,"$1,444.06"
S3-15849,Approved,"Roriver Hauling","L18 / 460378",1FTBR3U84RKA69212,"Staging Lethbridge - 4310","Jennifer Johnston","52 days","51d ago",$36.00,$164.00,$122.61,$0.00,$158.61,$164.00,$322.61
S2-15847,Approved,"Fuline Enterprises",LT-03,1GCGG25V571185113,"Staging Heavy Duty - 9919","Kimberly Barnes","52 days","52d ago",$0.00,$224.92,$92.36,$0.00,$92.36,$224.92,$317.28
S3-15843,Review,"Roriver Hauling","L15 / 460339",1FTBR3U89RKA69173,"Staging Lethbridge - 4310","Jennifer Johnston","53 days","51d ago",$121.80,$18.20,$13.65,$0.00,$135.45,$18.20,$153.65
S2-15835,Approved,"Liisland Partners",,1HTWGADR34J094639,"Staging Heavy Duty - 9919","Kimberly Barnes","53 days","51d ago",$458.56,$366.19,$0.00,$0.00,$458.56,$366.19,$824.75
S3-15832,Review,"Roriver Hauling","L37 /460805",1FTBR3U87RKA69477,"Staging Lethbridge - 4310","Jennifer Johnston","53 days","51d ago",$19.20,$10.80,$0.00,$0.00,$19.20,$10.80,$30.00
S3-15831,Approved,"Roriver Hauling","A65 / 461446",1FTBR3U88RKB68521,"Staging Lethbridge - 4310","Jennifer Johnston","53 days","51d ago",$208.75,$1.20,$0.00,$0.00,$208.75,$1.20,$209.95
