Title,Section,Type,Priority,Preconditions,Steps,Expected Result,References,,
"Note-required option on checkbox and per-axle fields, on by default",Capturing Findings,Functional,High,"1. You are signed in with Settings — Service.
2. You are editing a template with a checkbox field and a per-axle field.","1. Add a new checkbox field and open its authoring options.
2. Add a per-axle field and open its options.","1. A checkbox field offers an authoring option ""Note required if Monitor / Not OK"".
2. The option is on by default for newly added checkbox fields.
3. The same option applies to per-axle measurement fields.

---
This is the expected behaviour as per epic SV-8181 and story SV-9099 (S1, Require a note on flagged responses) and the Digital Inspections V2 specification version 18, sections S1-R1, S1-R2, S1-R6, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9099 (S1-R1; S1-R2; S1-R6),,
A required note is enforced on submit and listed in outstanding items,Capturing Findings,Functional,High,"1. A template has a checkbox field with 'Note required if Monitor / Not OK' on.
2. You are filling an inspection (Work Order Lines — Create & Edit.)","1. Mark the field Monitor or Not OK and leave the note empty.
2. Try to submit.
3. Check the outstanding-items list before submit.","1. When the option is on and the response is Monitor or Not OK, a note is required before the inspection can be submitted.
2. The requirement is enforced on submit, not only while filling.
3. Before submit, the field appears in the outstanding-items list so the technician is not rejected by an avoidable error.
4. On a per-axle field the requirement triggers when any axle is marked Monitor or Not OK.

---
This is the expected behaviour as per epic SV-8181 and story SV-9099 (S1, Require a note on flagged responses) and the Digital Inspections V2 specification version 18, sections S1-R3, S1-R4, S1-R5, S1-E5, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9099 (S1-R3; S1-R4; S1-R5; S1-E5),,
"Note rule negatives and edge cases (off, OK/NA, spaces, changed response)",Capturing Findings,Negative,Medium,"1. Templates with the note option on and off exist.
2. You are filling inspections against them.","1. With the option off, mark Monitor/Not OK with no note and submit.
2. Mark OK or N/A and submit.
3. Enter a note of only spaces on a flagged field.
4. Write a note then change the response to OK.","1. Option off: a Monitor or Not OK response with no note submits successfully.
2. OK or N/A: no note is required.
3. A note containing only spaces counts as empty.
4. If the technician writes a note then changes the response to OK, the note is kept.
5. Templates created before this release are unaffected until an author opens one and turns the option on; turning it on mid-inspection keeps the rule that inspection started with.

---
This is the expected behaviour as per epic SV-8181 and story SV-9099 (S1, Require a note on flagged responses) and the Digital Inspections V2 specification version 18, sections S1-N1, S1-N2, S1-E1, S1-E2, S1-E3, S1-E4, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9099 (S1-N1; S1-N2; S1-E1..E4),,
"'Photo required if Not OK' on checkbox fields, on by default, enforced on submit",Capturing Findings,Functional,High,"1. You are signed in with Settings — Service; photo upload is available to the technician.
2. A template has a checkbox field.","1. Add a checkbox field and open its options.
2. As technician, mark it Not OK with no photo and try to submit.
3. Check the outstanding-items list.","1. A checkbox field offers ""Photo required if Not OK"", on by default for newly added checkbox fields.
2. When on and the response is Not OK, at least one photo is required before submit; enforced on submit, not only while filling.
3. The field appears in the outstanding-items list before submit.
4. The option applies to checkbox fields only (a per-axle field records a verdict per position, with no single position a field photo would belong to).

---
This is the expected behaviour as per epic SV-8181 and story SV-9440 (S17, Require a photo on a Not OK response) and the Digital Inspections V2 specification version 18, sections S17-R1..R6, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9440 (S17-R1; S17-R2; S17-R3; S17-R4; S17-R5; S17-R6),,
Photo-required: interaction with unconditional rule; negatives and edges,Capturing Findings,Negative,Medium,"1. Templates exist with 'Photo required if Not OK' on, both alone and together with the unconditional 'Photo required'.
2. Photo upload can be made unavailable.","1. Mark OK/Monitor/N/A and submit.
2. With both photo rules on, read the builder summary sentence.
3. Attach a photo, satisfy the rule, then remove it and try to submit.
4. Attach a photo then change the response to OK.
5. Make photo upload unavailable and observe.","1. Option off: a Not OK response with no photo submits successfully. OK, Monitor and N/A never require a photo (Monitor requires a note, not a photograph).
2. When both 'Photo required' and 'Photo required if Not OK' are on, the unconditional rule is the one enforced and the builder summary sentence says so.
3. If the technician satisfies the rule then removes the photo, the field blocks submit again.
4. A photo attached then response changed to OK is kept.
5. If photo upload is unavailable, the technician is told why rather than being blocked by a requirement with no visible cause.
6. Templates created before this release are unaffected until an author turns the option on.

---
This is the expected behaviour as per epic SV-8181 and story SV-9440 (S17, Require a photo on a Not OK response) and the Digital Inspections V2 specification version 18, sections S17-R7, S17-N1, S17-N2, S17-N3, S17-E1..E4, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9440 (S17-R7; S17-N1..N3; S17-E1..E4),,
"Per axle is its own field type, prefilled with four measurement rows",Capturing Findings,Functional,High,"1. You are signed in with Settings — Service.
2. You are editing a template.","1. Open the field-type list.
2. Add a Per axle field and read its default name, rows, units and tire/brake scope.
3. Check the Measurement field's options.","1. Per axle is its own field type offered alongside Checkbox, Text, Measurement, Photo and Instructions; the Measurement field no longer carries an axle option.
2. A new per-axle field is named ""New axle set"" and prefilled with four rows: tire pressure, tread depth, brake lining, push-rod travel.
3. Each row carries an author-set default unit (PSI for tire pressure; inches for tread depth, brake lining, push-rod travel) — a default the technician starts from, not a fixed value.
4. Each row states whether it is measured on the tire or on the brake: tire pressure and tread depth default to per tire, brake lining and push-rod travel to per brake.
5. A per-tire row follows the axle's Single/Dual setting at fill time; a per-brake row is always one value per side. The author does not choose how many values a side needs.
6. The template does not hold a number of axles — the technician adds them while filling.

---
This is the expected behaviour as per epic SV-8181 and story SV-9106 (S8, Record measurements per axle) and the Digital Inspections V2 specification version 18, sections S8-R1..R5, S8-R9, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9106 (S8-R1..R5; S8-R9),,
"Per-axle rows: rename in place, add/remove, last row protected, reference file",Capturing Findings,Functional,Medium,"1. You are signed in with Settings — Service.
2. A template has a per-axle field.","1. Rename a row in place (confirm with the check, dismiss with the X).
2. Add a row and remove a row.
3. Try to remove the last row.
4. Attach a reference file to the per-axle field.","1. Rows are renamed in place, confirmed with a check and dismissed with an X, without a dialog.
2. Rows can be added and removed; the last row cannot be removed.
3. A per-axle field carries a reference file like any other field (per S11).

---
This is the expected behaviour as per epic SV-8181 and story SV-9106 (S8, Record measurements per axle) and the Digital Inspections V2 specification version 18, sections S8-R6, S8-R7, S8-R8, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9106 (S8-R6; S8-R7; S8-R8),,
"Filling an axle: Single/Dual, Drum/Disc, per-position values and verdicts",Capturing Findings,Functional,High,"1. You are filling an inspection with a per-axle field (Work Order Lines — Create & Edit.).
2. An axle is present.","1. Set the axle to Single or Dual, and to Drum or Disc (or leave Drum/Disc blank).
2. Enter values on a per-tire row on a Dual axle, then a Single axle, and on a per-brake row.
3. Set a verdict on each value from the field menu.","1. Each axle is set to Single or Dual and to Drum or Disc; Drum or Disc may be left blank when the axle has no brakes.
2. A per-tire row on a Dual axle records four values (left outer, left inner, right inner, right outer); on a Single axle it records two; a per-brake row always records two.
3. Every value carries its own verdict — OK, Monitor, Not OK or N/A — chosen from a menu on the field.
4. The value input is tinted by its verdict and stays neutral while nothing is entered.
5. Values accept numbers and characters, including the text N/A; nothing is required and an empty value stays empty (never converted to N/A).

---
This is the expected behaviour as per epic SV-8181 and story SV-9106 (S8, Record measurements per axle) and the Digital Inspections V2 specification version 18, sections S8-R10..R13, S8-R15, S8-R16, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9106 (S8-R10..R13; S8-R15; S8-R16),,
Derived verdicts worst-first; fill-time unit change; Single/Dual preserves,Capturing Findings,Functional,High,"1. You are filling an inspection with a per-axle field.
2. An axle has several rows with mixed verdicts.","1. Set positions to a mix of OK/Monitor/Not OK and read the row and axle verdicts.
2. Change a row's unit while filling and check which positions it affects and whether readings convert.
3. Switch an axle Dual->Single->Dual and check preserved values.","1. A row's verdict is derived from its positions and an axle's from all its positions; worst wins (Not OK over Monitor over OK); neither is chosen directly.
2. Changing a row's unit while filling applies to that row across the whole axle (every position read in one unit) and does not touch other rows or axles.
3. Changing a row's unit does NOT convert readings already entered.
4. Switching an axle between Single and Dual preserves what was entered with no warning: Single keeps the outer readings as left/right, switching back restores the inner readings; preserved values live for the session only.

---
This is the expected behaviour as per epic SV-8181 and story SV-9106 (S8, Record measurements per axle) and the Digital Inspections V2 specification version 18, sections S8-R14, S8-R27, S8-R17, S8-E7, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9106 (S8-R14; S8-R17; S8-R27; S8-E7),,
"Axle diagram, add/clear/delete axles, expand behaviour",Capturing Findings,Functional,Medium,1. You are filling an inspection with a per-axle field on a multi-axle truck.,"1. Look at the truck diagram and how tires are tinted.
2. Select a tire in the diagram.
3. Use the first axle's clear action; delete a later axle; check renumbering.
4. Expand axles one at a time and all at once.","1. A diagram of the truck shows every axle and tints each tire by the worst verdict of the rows measuring it; a tire stays grey until one of its rows has a verdict.
2. Selecting a tire in the diagram moves to that axle, row and tire.
3. The first axle can never be deleted; it carries a clear action that empties its readings and verdicts and leaves the axle in place.
4. Any axle after the first can be deleted; axles below it move up and the numbering follows.
5. Axles can be expanded one at a time or all at once; opening one does not collapse another.

---
This is the expected behaviour as per epic SV-8181 and story SV-9106 (S8, Record measurements per axle) and the Digital Inspections V2 specification version 18, sections S8-R18..R22, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9106 (S8-R18; S8-R19; S8-R20; S8-R21; S8-R22),,
