category,case_id,link,title,section,reason,how
Staff editor / staff record (needs a real browser or a 2nd real user account),26356,https://shopview.testrail.io/index.php?/cases/view/26356,You can view a role's Permission Summary from Edit Staff Member using the eye icon next to the Role dropdown,Permission Summary (3532),"needs the Edit Staff Member modal Role selector + its eye (View Permissions) icon; the staff row action reached opens Manage-staff-enrollments (departments/workplaces), not the role editor. Follow-up: open Edit Staff Member via the correct control.","Open the Staff page, click a real staff member to open the Edit Staff Member window, click the eye icon next to the Role dropdown, and confirm a read-only Permission Summary opens."
Staff editor / staff record (needs a real browser or a 2nd real user account),26450,https://shopview.testrail.io/index.php?/cases/view/26450,View/Manage Wages ON lets the user manage wages,Settings Access (3542),"wage rate fields live on the Edit Staff Member profile, which is not reachable in this harness (the staff row action opens Manage-staff-enrollments, not the profile/wage editor — same limitation as C26356/C26490/C26491). Role has settingsWages; needs the staff profile editor opened (real browser) to confirm wage fields shown/editable.","Give a test user a role with View/Manage Wages turned ON, open that user's Edit Staff Member profile, and confirm the wage/pay fields are shown and editable. Repeat with the toggle OFF and confirm they are hidden."
Staff editor / staff record (needs a real browser or a 2nd real user account),26490,https://shopview.testrail.io/index.php?/cases/view/26490,The Staff role dropdown groups roles into System Roles and Custom Roles,Staff Page Role Assignment (3547),"the Edit Staff Member Role dropdown (System/Custom grouping) was not reached — the staff row click opened Manage-staff-enrollments. Follow-up: locate the Edit Staff Member action, open the Role selector.","Open Edit Staff Member for any staff member, open the Role dropdown, and confirm the roles are grouped under two headings: 'System Roles' and 'Custom Roles'."
Staff editor / staff record (needs a real browser or a 2nd real user account),26491,https://shopview.testrail.io/index.php?/cases/view/26491,The View Permissions button next to the role selector opens the Permission Summary,Staff Page Role Assignment (3547),View Permissions eye next to the staff Role selector not reached (same Edit-Staff-Member surface as C26490).,"On the Edit Staff Member window, click the 'View Permissions' (eye) button next to the role selector and confirm the Permission Summary window opens."
Staff editor / staff record (needs a real browser or a 2nd real user account),26493,https://shopview.testrail.io/index.php?/cases/view/26493,"If a role change fails, the user keeps their previous role",Staff Page Role Assignment (3547),forcing a failed role change (to confirm the user keeps the prior role) requires inducing a server error on /change; not reproducible on demand this pass.,"Needs a real browser plus a way to make the save fail (for example, disconnect the network mid-save). Change a staff member's role, force the save to fail, and confirm the user still shows their previous role."
Staff editor / staff record (needs a real browser or a 2nd real user account),26526,https://shopview.testrail.io/index.php?/cases/view/26526,"Whether a technician can be scheduled depends on their department, not their role",Staff Record Settings (3550),(needs two seeded users + departments),"Needs two test technicians set to different departments. Confirm whether each one can be scheduled based on their department setting, not their role."
Staff editor / staff record (needs a real browser or a 2nd real user account),26527,https://shopview.testrail.io/index.php?/cases/view/26527,Clocking in on a work order line depends on the per-staff Time Clock setting,Staff Record Settings (3550),(needs two seeded users),"Needs two test users with different per-staff Time Clock settings. On a work order line, confirm the clock-in option follows the Time Clock setting, not the role."
Staff editor / staff record (needs a real browser or a 2nd real user account),26539,https://shopview.testrail.io/index.php?/cases/view/26539,Reassigning a staff member's role updates the row with no success message (billing note in the window),User Feedback Strings (3552),(needs live Staff page); billing note not re-captured this pass,"On the Staff page, reassign a staff member's role and confirm the row updates immediately with NO success-message popup."
Staff editor / staff record (needs a real browser or a 2nd real user account),27873,https://shopview.testrail.io/index.php?/cases/view/27873,Edit/delete options on another user's customer note are hidden without the right permission,Work Orders Permissions (3534),"needs a customer note authored by a DIFFERENT user, then observe edit/delete affordance hidden for a role lacking the note permission — requires seeding a note as user A and viewing as user B; not reachable with single Tech identity this pass.","Needs two real user accounts. As user A, add a note to a customer. Log in as user B (a role that lacks the note permission) and confirm the edit/delete options on user A's note are hidden."
Calendar drag / slot interaction (needs a real browser),26395,https://shopview.testrail.io/index.php?/cases/view/26395,"Schedule Create & Edit allows creating, changing and dragging appointments",Schedule Permissions (3536),"the Schedule calendar renders for a scheduleCreateAndEdit role, but creating/dragging/editing an appointment requires real calendar drag/slot mouse interaction that does not trigger headless (Schedule button + calendar-cell clicks opened no create dialog); appointment CRUD API endpoint not exposed at standard paths. Needs a real browser.","Needs a real browser. Give a test user Schedule Create & Edit, open the Schedule calendar, create a new appointment, drag it to a different slot, and edit it — confirm all three work."
Calendar drag / slot interaction (needs a real browser),26396,https://shopview.testrail.io/index.php?/cases/view/26396,Schedule Delete allows removing appointments,Schedule Permissions (3536),appointment delete requires selecting an existing appointment on the calendar (drag/slot interaction) which is not triggerable headless; same calendar-automation limitation as C26395.,"Needs a real browser. With Schedule Delete, select an existing appointment on the calendar and delete it — confirm it is removed."
Calendar drag / slot interaction (needs a real browser),27867,https://shopview.testrail.io/index.php?/cases/view/27867,A Schedule Create & Edit only role can open 'Assign existing work order' and the unscheduled work order list loads,Schedule Permissions (3536),the Assign existing work order dialog / unscheduled WO list could not be opened headless (Schedule button + calendar clicks opened no dialog); needs the calendar create-entry interaction in a real browser.,"Needs a real browser. With a Schedule Create & Edit only role, open 'Assign existing work order' on the calendar and confirm the unscheduled work order list loads."
In-page payment / terminal / return / financial / timesheet-entry editors (needs a real browser),26401,https://shopview.testrail.io/index.php?/cases/view/26401,Customers Delete does NOT let the user delete customer payments (that needs Invoicing & payments Delete),Customer Management Permissions (3537),"verifying that Customers Delete does NOT delete payments needs a role with customersDelete + AP/AR (to see the customer Payments tab) but WITHOUT invoicingPaymentsDelete, on a customer with payments, to observe no payment-delete option. The payment-delete UI affordance was not reachable in the harness (same limitation as C26422/C26423). Customer-delete itself is verified (C26400); payment delete is gated by invoicingPaymentsDelete per the perm model.","Needs a customer with a payment on file. Give a test user Customers Delete but NOT Invoicing & payments Delete, and confirm they cannot delete the customer's payment."
In-page payment / terminal / return / financial / timesheet-entry editors (needs a real browser),26422,https://shopview.testrail.io/index.php?/cases/view/26422,Invoicing & payments Delete lets the user delete payments and void transactions (but not reverse invoices),Invoicing and Payments Permissions (3539),per-payment delete/void affordance not located on the WO Finance tab in the harness (payment rows/menus did not expose a delete/void control); needs the invoice->payment detail view with a with/without invoicingPaymentsDelete contrast.,"Give a test user Invoicing & payments Delete. On a work order with a payment, confirm they can delete the payment and void the transaction (but cannot reverse the invoice)."
In-page payment / terminal / return / financial / timesheet-entry editors (needs a real browser),26423,https://shopview.testrail.io/index.php?/cases/view/26423,"Deleting a customer payment needs Invoicing & payments Delete, not Customers Delete",Invoicing and Payments Permissions (3539),deleting a customer payment (gated by Invoicing Delete not Customers Delete) needs the payment delete control located; the Finance-tab payment row menu was not reachable this pass.,Confirm that deleting a customer payment works only with Invoicing & payments Delete and NOT with Customers Delete (compare a role that has one against a role that has the other).
In-page payment / terminal / return / financial / timesheet-entry editors (needs a real browser),26427,https://shopview.testrail.io/index.php?/cases/view/26427,The Send to Terminal action needs Invoicing & payments Create & Edit,Invoicing and Payments Permissions (3539),Send to Terminal was not shown at the WO Finance-tab level even for a role with Invoicing C&E + Customer Portal (Service Advisor); it appears within the take-payment flow on an open invoice — needs seeding an open invoice + entering the payment dialog.,Give a test user Invoicing & payments Create & Edit. Open an invoice's take-payment flow and confirm the 'Send to Terminal' action is available.
In-page payment / terminal / return / financial / timesheet-entry editors (needs a real browser),27871,https://shopview.testrail.io/index.php?/cases/view/27871,Deleting or cancelling a return is controlled by Invoicing & payments Delete,Invoicing and Payments Permissions (3539),deleting/cancelling a return (gated by Invoicing Delete) needs a part return seeded first (create return via admin) then observe the delete/cancel gate; return flow not seeded this pass.,First create a part return. Then confirm that deleting or cancelling the return is only allowed with Invoicing & payments Delete.
In-page payment / terminal / return / financial / timesheet-entry editors (needs a real browser),29434,https://shopview.testrail.io/index.php?/cases/view/29434,Send to Terminal needs Invoicing & payments Create & Edit AND Customer portal ON,Invoicing and Payments Permissions (3539),"same as C26427 — Send to Terminal (needs Invoicing C&E AND Customer Portal) is in the payment dialog, not reached; needs an open invoice + payment flow to observe both-gates.",Confirm 'Send to Terminal' appears only when the user has BOTH Invoicing & payments Create & Edit AND Customer portal turned ON (test with each one missing).
In-page payment / terminal / return / financial / timesheet-entry editors (needs a real browser),29438,https://shopview.testrail.io/index.php?/cases/view/29438,Invoicing & payments Create & Edit gives the edit control on the work order Financial Info card,Invoicing and Payments Permissions (3539),"on an open WO the Financial Info card shows an edit affordance, but the same generic WO-header edit affordance appears for BOTH an invoicing-C&E role and a WO-C&E-only (no invoicing) role — the invoicing-specific Financial Info edit control could not be isolated from general WO-edit affordances in the harness. Needs a real browser to confirm the invoicing-gated edit control specifically.","On an open work order, confirm the edit control on the Financial Info card appears only for a user with Invoicing & payments Create & Edit, and not for a work-order-edit-only role."
In-page payment / terminal / return / financial / timesheet-entry editors (needs a real browser),26479,https://shopview.testrail.io/index.php?/cases/view/26479,View and Manage AP/AR Data ON allows paying several invoices at once from the Unpaid Invoices tab,View and Manage AP/AR Data (3545),(needs seeded role + live payment),"Give a test user View and Manage AP/AR Data ON. On the Unpaid Invoices tab, confirm they can pay several invoices at once."
In-page payment / terminal / return / financial / timesheet-entry editors (needs a real browser),26431,https://shopview.testrail.io/index.php?/cases/view/26431,Timesheets Create & Edit lets the user edit entries,Timesheets Permissions (3540),the timesheet entry EDIT affordance was not reachable in the harness for a timesheetsCreateAndEdit role — the WO Timesheets tab is a summary (no edit for view or C&E) and the /timesheets page exposed no per-row edit control/dialog/menu on click. Needs the timesheet entry editor (real browser) to confirm edit works; view-only read-only is confirmed (C26430).,Give a test user Timesheets Create & Edit. Open a timesheet entry and confirm they can edit it. Compare with a view-only role that cannot edit.
Portal / Send-to-Portal surfaces (not exposed in this test environment),26437,https://shopview.testrail.io/index.php?/cases/view/26437,Customer portal ON lets the user manage the customer portal,Page Access Toggles (3541),the Customer Portal management surface is not exposed in the app nav/sidebar/customer-detail even for Admin (who has customerPortalPageAccess). The portal page-access toggle exists in the role editor but no managed Customer Portal page is reachable in this environment — cannot verify manage/edit. Needs the portal feature surfaced (real browser / env with portal enabled).,"Needs an environment with the Customer Portal feature enabled. With Customer portal ON, confirm the user can manage the customer portal."
Portal / Send-to-Portal surfaces (not exposed in this test environment),26438,https://shopview.testrail.io/index.php?/cases/view/26438,Customer portal OFF hides the customer portal from navigation,Page Access Toggles (3541),"cannot confirm gating — no Customer Portal nav entry is shown for ANY role including Admin (surface not exposed in this env), so on/off cannot be compared.","Needs the Customer Portal surface enabled. With Customer portal OFF, confirm the customer portal item is hidden from navigation."
Portal / Send-to-Portal surfaces (not exposed in this test environment),26439,https://shopview.testrail.io/index.php?/cases/view/26439,Billing Portal ON lets the user manage the billing portal,Page Access Toggles (3541),the Billing Portal management surface is not present in the Settings area even for Admin (who has billingPortalPageAccess) — no Billing Portal page reachable in this env; cannot verify manage/edit.,"Needs the Billing Portal feature enabled. With Billing Portal ON, confirm the user can manage the billing portal."
Portal / Send-to-Portal surfaces (not exposed in this test environment),26440,https://shopview.testrail.io/index.php?/cases/view/26440,Billing Portal OFF hides the Billing Portal item in the Settings area,Page Access Toggles (3541),"cannot confirm gating — Billing Portal is not shown in the Settings area for any role including Admin (surface not exposed in this env), so on/off cannot be compared.","Needs the Billing Portal surface enabled. With Billing Portal OFF, confirm the Billing Portal item is hidden in the Settings area."
Portal / Send-to-Portal surfaces (not exposed in this test environment),26466,https://shopview.testrail.io/index.php?/cases/view/26466,Full View: a user who can approve lines sees the 'Send to Portal' button,View Mode (3543),Send to Portal was NOT found on the full-view (admin) lines page body; it is likely in the WO header more_vert menu or gated by WO state — needs the header action menu expanded to confirm.,"In Full View, with a user who can approve lines, confirm the 'Send to Portal' button is shown (check the work order header action menu if it is not on the page body)."
Parts delete / restock detail-page affordance (not reachable in the harness),26412,https://shopview.testrail.io/index.php?/cases/view/26412,Part sales Delete lets the user delete part sales and reverse part sales invoices,Parts Department Permissions (3538),Part sales Delete affordance (delete/reverse a part sale) not located in this pass — the part-sale row menu did not open in the harness; needs the part-sale detail-page delete control with a with/without partSalesDelete contrast.,"Give a test user Part sales Delete. On a part sale, confirm they can delete it and reverse the part-sales invoice. Compare with a role that lacks the permission."
Parts delete / restock detail-page affordance (not reachable in the harness),26415,https://shopview.testrail.io/index.php?/cases/view/26415,Catalog and Inventory Delete removes catalog parts,Parts Department Permissions (3538),Catalog Delete affordance not located — the catalogue row more_vert menu did not open in the harness; needs the catalog-part detail delete control (Parts Manager has catalogInventoryDelete) vs a no-delete role.,Give a test user Catalog and Inventory Delete. Open a catalog part detail and confirm they can delete it. Compare with a role that lacks the permission.
Parts delete / restock detail-page affordance (not reachable in the harness),26418,https://shopview.testrail.io/index.php?/cases/view/26418,Vendor and order management Delete lets the user delete vendors and purchase orders and reverse vendor transactions,Parts Department Permissions (3538),"Vendor/PO Delete affordance (delete vendor/PO, reverse vendor txn) not located this pass; needs the vendor/PO detail delete control with/without vendorOrderManagementDelete.",Give a test user Vendor and order management Delete. Confirm they can delete a vendor and a purchase order and reverse a vendor transaction.
