Title,Section,Type,Priority,Preconditions,Steps,Expected Result,References,,
Print Work Order appears in the More menu,Printer Friendly Work Orders - Print Option in More Menu,Functional,Medium,You are on the work order detail view and can view the work order.,Open the More (overflow/actions) menu on the work order toolbar.,"1. A “Print Work Order” option appears in the More menu.

---
This is the expected behaviour as per epic SV-9383 and story SV-9384 (Story 1, Print Option in More Menu) and the Printer Friendly Work Orders specification version 8, section S1-R1, read on 25 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/25/2026",SV-9384 (S1-R1),,
Print menu item is labelled Print Work Order with no icon,Printer Friendly Work Orders - Print Option in More Menu,Functional,Medium,You are on the work order detail view and can view the work order.,Open the More menu and inspect the Print item.,"1. The menu item displays the label “Print Work Order”.
2. It is text only, with no icon, consistent with the other More menu items.

---
This is the expected behaviour as per epic SV-9383 and story SV-9384 (Story 1, Print Option in More Menu) and the Printer Friendly Work Orders specification version 8, section S1-R2, read on 25 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/25/2026",SV-9384 (S1-R2),,
Print item sits below Timesheets and above Delete Work Order,Printer Friendly Work Orders - Print Option in More Menu,Functional,Medium,You are on the work order detail view and can view the work order.,Open the More menu and note the order of items.,"1. The Print Work Order item is positioned below the Timesheets option and above the Delete Work Order option.

---
This is the expected behaviour as per epic SV-9383 and story SV-9384 (Story 1, Print Option in More Menu) and the Printer Friendly Work Orders specification version 8, section S1-R3, read on 25 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/25/2026",SV-9384 (S1-R3),,
Selecting Print Work Order opens the browser print dialog,Printer Friendly Work Orders - Print Option in More Menu,Functional,Medium,"You are on the work order detail view and can view the work order.
The work order has at least one line item.",Select “Print Work Order” from the More menu.,"1. The browser's native print dialog opens.

---
This is the expected behaviour as per epic SV-9383 and story SV-9384 (Story 1, Print Option in More Menu) and the Printer Friendly Work Orders specification version 8, section S1-R4, read on 25 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/25/2026",SV-9384 (S1-R4),,
Print option is available on every work order status,Printer Friendly Work Orders - Print Option in More Menu,Functional,Medium,You are on the work order detail view and can view the work order.,"Open work orders with each status: Estimate, Approved, In Progress, Review, Complete, Invoiced, Paid, Hold, Declined, Imported.
Open the More menu on each.","1. The Print option is available on all of those statuses.

---
This is the expected behaviour as per epic SV-9383 and story SV-9384 (Story 1, Print Option in More Menu) and the Printer Friendly Work Orders specification version 8, section S1-R5, read on 25 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/25/2026",SV-9384 (S1-R5),,
Print option is available on desktop and mobile,Printer Friendly Work Orders - Print Option in More Menu,Functional,Medium,You are on the work order detail view and can view the work order.,"Open the More menu on a desktop view.
Open the More menu on a mobile view.","1. The Print option is available on both desktop and mobile views.

---
This is the expected behaviour as per epic SV-9383 and story SV-9384 (Story 1, Print Option in More Menu) and the Printer Friendly Work Orders specification version 8, section S1-R6, read on 25 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/25/2026",SV-9384 (S1-R6),,
Users without view permission cannot reach the print option,Printer Friendly Work Orders - Print Option in More Menu,Functional,Medium,You do NOT have permission to view the target work order.,Attempt to open the work order detail page.,"1. You cannot access the work order detail page and therefore cannot reach the print option (enforced by existing access control).

---
This is the expected behaviour as per epic SV-9383 and story SV-9384 (Story 1, Print Option in More Menu) and the Printer Friendly Work Orders specification version 8, section S1-N1, read on 25 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/25/2026",SV-9384 (S1-N1),,
Print is disabled until line item data has loaded,Printer Friendly Work Orders - Print Option in More Menu,Functional,Medium,You are on the work order detail view and can view the work order.,"Open the work order and open the More menu while line item data is still loading (or when no line items exist).
Observe the Print item as the UI skeleton appears and then as the real data arrives.","1. The Print option is disabled (grayed out and non-clickable) until line item data has finished loading, and while no line items exist.
2. It does not enable when only the UI skeleton appears — it waits for the actual data to arrive.

---
This is the expected behaviour as per epic SV-9383 and story SV-9384 (Story 1, Print Option in More Menu) and the Printer Friendly Work Orders specification version 8, section S1-E1, read on 25 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/25/2026",SV-9384 (S1-E1),,
Work order number is shown prominently at the top,Printer Friendly Work Orders - Print Layout Header,Functional,Medium,You have triggered Print Work Order from the work order detail view (print view rendered).,Look at the top of the printed page.,"1. The printed page displays the work order number prominently at the top.

---
This is the expected behaviour as per epic SV-9383 and story SV-9385 (Story 2, Print Layout - Work Order Header) and the Printer Friendly Work Orders specification version 8, section S2-R1, read on 25 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/25/2026",SV-9385 (S2-R1),,
Work order status is shown next to the work order number,Printer Friendly Work Orders - Print Layout Header,Functional,Medium,You have triggered Print Work Order from the work order detail view (print view rendered).,Look at the top of the printed page next to the work order number.,"1. The work order status is displayed next to the work order number.

---
This is the expected behaviour as per epic SV-9383 and story SV-9385 (Story 2, Print Layout - Work Order Header) and the Printer Friendly Work Orders specification version 8, section S2-R2, read on 25 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/25/2026",SV-9385 (S2-R2),,
