role,workOrders,workOrderLines,schedule,customers,partSales,catalogInventory,vendorOrderManagement,invoicingPayments,timesheets,Reports,CustPortal,BillPortal,viewMode,SFD,APAR,HistLogs,pickParts,orderParts,review,editable
Admin,VED,VED,VED,VED,VED,VED,VED,VED,VE,ON,ON,ON,full,ON,ON,ON,ON,ON,ON,True
Service Manager,VED,VED,VED,VED,VED,VED,VED,VE,VE,ON,ON,ON,full,ON,ON,ON,ON,ON,ON,True
Senior Service Advisor,VED,VED,VED,VE,VED,VE,VED,VED,VE,—,ON,—,full,ON,ON,ON,ON,ON,ON,True
Service Advisor,VE,VED,VED,VE,VE,VE,VE,VE,V,—,ON,—,full,ON,—,ON,ON,ON,ON,True
Foreman,VE,VED,VED,VE,V,VE,VE,VE,V,—,—,—,full,ON,—,ON,ON,ON,ON,True
Technician,VE,VE,V,VE,—,—,—,—,—,—,—,—,tech,ON,—,—,ON,—,—,True
Parts Manager,VE,VE,V,VED,VED,VED,VED,VED,—,ON,ON,—,full,ON,ON,ON,ON,ON,ON,True
Parts Technician,V,V,V,VE,VE,VE,VED,VE,V,—,—,—,full,ON,—,ON,ON,ON,—,True
Office User,V,V,V,VED,V,V,V,VED,VE,ON,—,ON,full,ON,ON,ON,—,—,—,False
Sales Representative,V,V,—,VE,V,—,—,—,—,ON,—,—,full,ON,ON,—,—,—,—,True
Time Clock User,V,V,V,—,—,—,—,—,V,—,—,—,none,—,—,—,—,—,—,False
