id,cid,testrail_link,rep,area,title,verdict,field,detail,field_title,field_title_vs_expected,field_references,field_section,field_notes,curated
IV-NAV-01,C30534,https://shopview.testrail.io/index.php?/cases/view/30534,IV,NAV,Inventory Value appears in the reports navigation under the Parts group,CORRECT AS IS,-,Route and navigation placement observed live; see the nav map. Any group-name claim is corrected in the label diff.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-NAV-02,C30535,https://shopview.testrail.io/index.php?/cases/view/30535,IV,NAV,One row per in-stock part at the selected locations valued at the resolved date,CORRECT AS IS,-,Route and navigation placement observed live; see the nav map. Any group-name claim is corrected in the label diff.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-NAV-03,C30536,https://shopview.testrail.io/index.php?/cases/view/30536,IV,NAV,First visit defaults to the current calendar month and the active location,CORRECT AS IS,-,Route and navigation placement observed live; see the nav map. Any group-name claim is corrected in the label diff.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-NAV-05,C30538,https://shopview.testrail.io/index.php?/cases/view/30538,IV,NAV,The report is server-paginated: one page of rows at a time,CORRECT AS IS,-,Route and navigation placement observed live; see the nav map. Any group-name claim is corrected in the label diff.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-NAV-06,C30539,https://shopview.testrail.io/index.php?/cases/view/30539,IV,NAV,"No qualifying parts, day or location: the no-data message shows and no totals",CORRECT AS IS,-,Route and navigation placement observed live; see the nav map. Any group-name claim is corrected in the label diff.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-SCOPE-01,C30540,https://shopview.testrail.io/index.php?/cases/view/30540,IV,SCOPE,A part appears only if not a core charge and on-hand quantity is above zero,PARTLY OBSERVED,-,Row membership and one-tab-only were verified over all 178 live rows.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-SCOPE-02,C30541,https://shopview.testrail.io/index.php?/cases/view/30541,IV,SCOPE,A part stocked at two selected locations shows as two rows; never merged,PARTLY OBSERVED,-,Row membership and one-tab-only were verified over all 178 live rows.,OK,REVIEW (title words not reflected in the expected result),OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-SCOPE-05,C30544,https://shopview.testrail.io/index.php?/cases/view/30544,IV,SCOPE,There is no dead-stock exclusion - a slow-moving part still appears,PARTLY OBSERVED,-,Row membership and one-tab-only were verified over all 178 live rows.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-COL-01,C30551,https://shopview.testrail.io/index.php?/cases/view/30551,IV,COL,With every column on they appear in the fixed order with the set alignment,EDIT NEEDED,Expected,"CURRENT: item 1: ""...Part #, Description, Category, Vendor, Qty on Hand, Unit Cost...""  ||  PROPOSED: The build's header is ""Qty"", not ""Qty on Hand"". Everything else matches, including Location sitting between Vendor and Qty when more than one location is in scope, and Total Cost last on screen.",OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",yes
IV-COL-02,C30552,https://shopview.testrail.io/index.php?/cases/view/30552,IV,COL,Value formats: Qty on Hand to two decimals; money as US-dollar currency,CORRECT AS IS,-,"Column headers, order and the Column Selection contents were captured verbatim from the build.",OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-CALC-01,C30545,https://shopview.testrail.io/index.php?/cases/view/30545,IV,CALC,Unit Sell uses the part's fixed sell price when one is set,PARTLY OBSERVED,-,Money and hours invariants were recomputed against the live payload where the report exposes them.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-CALC-02,C30546,https://shopview.testrail.io/index.php?/cases/view/30546,IV,CALC,With no fixed sell price Unit Sell is the category's pricing-matrix markup,PARTLY OBSERVED,-,Money and hours invariants were recomputed against the live payload where the report exposes them.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-CALC-03,C30547,https://shopview.testrail.io/index.php?/cases/view/30547,IV,CALC,"With no fixed sell price and no category, Unit Sell equals Unit Cost",PARTLY OBSERVED,-,Money and hours invariants were recomputed against the live payload where the report exposes them.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-CALC-04,C30548,https://shopview.testrail.io/index.php?/cases/view/30548,IV,CALC,Total Sell is quantity × Unit Sell and Total Cost is quantity × Unit Cost,PARTLY OBSERVED,-,Money and hours invariants were recomputed against the live payload where the report exposes them.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
