Title,Section,Type,Priority,Preconditions,Steps,Expected Result,References,,
Open the global search palette with the keyboard shortcut (K / Cmd+K),"Palette Open, Close and Keyboard",Functional,Critical,"1. You are signed in to the ShopView App.
2. You are on any page (for example the Work Orders list).
3. The persistent search field is visible in the app header and shows the shortcut hint 'Search Cmd+K'.","1. Without clicking anything, press K together with the Command key (Ctrl+K on Windows), as shown in the header search field.
2. Watch the screen.","1. A centered search box (a modal overlay) opens on top of the page.
2. The page behind the box is dimmed.
3. The search input is focused so you can type right away.
4. The placeholder reads a plain search placeholder (no 'ask a question' / AI wording in v1 - exact copy per the v2 design).
5. The footer keyboard legend is visible: 'Navigate' with up/down arrows, 'Select' with the enter symbol, and 'Close esc'.

---
This is the expected behaviour as per the Global Search PRD (Confluence page 576978945), section 5.1 Trigger and Surface; 8 Functional Requirements, read on 16 July 2026, and epic SV-9160, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",requirements.md 5.1 Trigger and Surface; 8 Functional Requirements,,
Open the global search palette by clicking the header search field,"Palette Open, Close and Keyboard",Functional,Critical,"1. You are signed in to the ShopView App.
2. The persistent search field is visible in the app header, showing 'Search Cmd+K'.","1. Click the search field in the app header.
2. Watch the screen.","1. The centered search box (modal overlay) opens, anchored to the header search field.
2. The page behind is dimmed.
3. The input is focused and shows the placeholder a plain search placeholder (no 'ask a question' / AI wording in v1 - exact copy per the v2 design).
4. The footer keyboard legend is visible.

---
This is the expected behaviour as per the Global Search PRD (Confluence page 576978945), section 5.1 Trigger and Surface, read on 16 July 2026, and epic SV-9160, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",requirements.md 5.1 Trigger and Surface,,
Close the palette with the Esc key,"Palette Open, Close and Keyboard",Functional,Critical,1. The global search palette is open.,"1. Press the Esc key.
2. Watch the screen.","1. The search box closes.
2. The dimming is removed and you are back on the page you were on.
3. Keyboard focus returns to the page (or the header search field).

---
This is the expected behaviour as per the Global Search PRD (Confluence page 576978945), section 5.1; 5.5 Keyboard Navigation, read on 16 July 2026, and epic SV-9160, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",requirements.md 5.1; 5.5 Keyboard Navigation,,
Toggle the palette closed by pressing the shortcut again (Cmd+K),"Palette Open, Close and Keyboard",Functional,High,1. The global search palette is open (you opened it with Cmd+K or by clicking the header field).,"1. Press K together with the Command key (Ctrl+K on Windows) again.
2. Watch the screen.","1. The search box closes.
2. The dimming is removed and you are back on the page.

---
This is the expected behaviour as per the Global Search PRD (Confluence page 576978945), section 5.1 (Esc, clicking underlay, or Cmd+K again closes it), read on 16 July 2026, and epic SV-9160, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
","requirements.md 5.1 (Esc, clicking underlay, or Cmd+K again closes it)",,
Close the palette by clicking the dimmed page behind it,"Palette Open, Close and Keyboard",Functional,High,"1. The global search palette is open.
2. The page behind the box is dimmed.","1. Click anywhere on the dimmed area of the page (outside the search box).
2. Watch the screen.","1. The search box closes.
2. The dimming is removed and you are back on the page.

---
This is the expected behaviour as per the Global Search PRD (Confluence page 576978945), section 5.1 (clicking the page underlay closes it), read on 16 July 2026, and epic SV-9160, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",requirements.md 5.1 (clicking the page underlay closes it),,
"Move through result rows with the Up and Down arrow keys, skipping group headers","Palette Open, Close and Keyboard",Functional,Critical,"1. The palette is open and you have typed a query that returns results in more than one group (for example 'Fib' returning Work orders and Customers).
2. Results are grouped under headings such as 'Work orders (12)' and 'Customers (2)'.","1. Press the Down arrow key several times.
2. Then press the Up arrow key several times.
3. Watch which item is highlighted after each press.","1. Each Down press moves the highlight to the next result row.
2. Each Up press moves the highlight to the previous result row.
3. The highlight moves only across result rows - the group heading lines (for example 'Work orders (12)') are skipped and never get the highlight.
4. When moving down past the last row of one group, the highlight continues into the first row of the next group.

---
This is the expected behaviour as per the Global Search PRD (Confluence page 576978945), section 5.5 (Up/Down moves focus through visible rows, skipping group headers), read on 16 July 2026, and epic SV-9160, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
","requirements.md 5.5 (Up/Down moves focus through visible rows, skipping group headers)",,
Open the highlighted result in the same tab by pressing Enter,"Palette Open, Close and Keyboard",Functional,Critical,"1. The palette is open with results showing.
2. You have highlighted a result row using the arrow keys.","1. Press the Enter key.
2. Watch the screen.","1. The palette closes and the highlighted record opens in the same browser tab.
2. You land on that record's page (for example the Work Order detail page).

---
This is the expected behaviour as per the Global Search PRD (Confluence page 576978945), section 5.5 (Enter opens the focused row in the same tab), read on 16 July 2026, and epic SV-9160, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",requirements.md 5.5 (Enter opens the focused row in the same tab),,
Open the highlighted result in a new browser tab with Cmd+Enter (Ctrl+Enter),"Palette Open, Close and Keyboard",Functional,High,"1. The palette is open with results showing.
2. You have highlighted a result row using the arrow keys.","1. Press Enter together with the Command key (Ctrl+Enter on Windows).
2. Watch the screen and the browser tabs.","1. The highlighted record opens in a NEW browser tab.
2. The page you were on (and, per build behavior, the palette) remains in the original tab.

---
This is the expected behaviour as per the Global Search PRD (Confluence page 576978945), section 5.5 (Cmd+Enter or Ctrl+Enter opens in a new browser tab), read on 16 July 2026, and epic SV-9160, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",requirements.md 5.5 (Cmd+Enter or Ctrl+Enter opens in a new browser tab),,
"Move focus to the scope tab strip with Tab, then cycle tabs with Left and Right arrows","Palette Open, Close and Keyboard",Functional,High,"1. The palette is open with a query typed in.
2. The scope tab strip is visible under the input: All, Work Orders, Customers, Assets, Parts, Vendors, Part Sales.","1. Press the Tab key.
2. Press the Right arrow key a few times.
3. Press the Left arrow key a few times.
4. Watch which tab is focused/active.","1. Pressing Tab moves keyboard focus onto the scope tab strip.
2. Each Right arrow press moves to the next tab to the right; each Left arrow press moves to the previous tab.
3. Selecting a tab scopes the results to that entity type.
4. Focus does not leave the palette (focus stays trapped inside the modal).

---
This is the expected behaviour as per the Global Search PRD (Confluence page 576978945), section 5.5 (Tab moves focus to the scope tab strip; Left/Right cycles tabs when focus is on the tab strip), read on 16 July 2026, and epic SV-9160, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",requirements.md 5.5 (Tab moves focus to the scope tab strip; Left/Right cycles tabs when focus is on the tab strip),,
The keyboard shortcut legend stays visible in the footer at all times,"Palette Open, Close and Keyboard",Functional,Medium,1. The palette is open.,"1. Look at the bottom of the search box in the empty state.
2. Type a query so results appear, then look at the bottom again.
3. Clear the query and look again.","1. The footer keyboard legend is visible in every state: 'Navigate' with up/down arrows, 'Select' with the enter symbol, and 'Close esc'.
2. The legend does not disappear when results are showing or when the input is empty.

---
This is the expected behaviour as per the Global Search PRD (Confluence page 576978945), section 5.1 (footer always shows the keyboard legend), read on 16 July 2026, and epic SV-9160, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",requirements.md 5.1 (footer always shows the keyboard legend),,
