"Date Range: Jul 1, 2026 - Aug 10, 2026"
"Locations: 3rd Loc, 4th Loc, QB Location, Staging Heavy Duty - 9919, Staging Lethbridge - 4310"
Customer,Location,"Inv. Hrs","Labor Invoiced","Labor Margin","Parts Invoiced","Parts Margin","Shop Supplies",Margin,"Margin %",Subtotal
"Aaborough Works",Multiple,+1.0,$200.00,$200.00,$650.00,$344.80,$0.00,$544.80,64.1%,$850.00
"Aacastle Services","Staging Lethbridge - 4310",0.0,$0.00,$0.00,$100.00,$47.30,$0.00,$47.30,47.3%,$100.00
"Aacrest Works",Multiple,+3.2,$323.00,$323.00,"$1,270.00",$844.40,$33.92,"$1,167.40",73.3%,"$1,626.92"
"Aadale Motors","3rd Loc",-0.1,$20.00,$20.00,$0.00,$0.00,$0.00,$20.00,100.0%,$20.00
"Aaford Plumbing","3rd Loc",+2.0,$500.00,$500.00,"$4,600.00","$2,350.00",$0.00,"$2,630.00",53.9%,"$4,880.00"
"Aagrove Equipment","Staging Heavy Duty - 9919",0.0,$0.00,$0.00,"$12,361.00","$6,111.00",$0.00,"$6,111.00",49.4%,"$12,361.00"
"Aborough Media","Staging Heavy Duty - 9919",0.0,$0.00,$0.00,$10.00,$6.50,$0.00,$6.50,65.0%,$10.00
"E2E COD Customer",Multiple,0.0,$0.00,$0.00,"$1,170.00",$390.00,$0.00,$390.00,33.3%,"$1,170.00"
"E2E Credits Customer",Multiple,+12.0,"$2,290.00","$2,290.00","$2,040.00",$780.00,$30.46,"$3,070.00",70.9%,"$4,360.46"
"E2E Term Customer",Multiple,+18.0,"$3,435.00","$3,435.00",$0.00,$0.00,$45.68,"$3,435.00",100.0%,"$3,480.68"
"SBC E2E CO-MSN1S647TMZ","3rd Loc",+2.0,$400.00,$400.00,$220.00,$135.00,$0.00,$535.00,86.3%,$620.00
"SBC E2E CO-MSN1T50MG1U","3rd Loc",+2.0,$400.00,$400.00,$220.00,$135.00,$0.00,$535.00,86.3%,$620.00
"SBC E2E CO-MSN1UBW86SX","3rd Loc",+2.0,$400.00,$400.00,$220.00,$135.00,$0.00,$535.00,86.3%,$620.00
"SBC E2E CO-MSN1VCUWNIL","3rd Loc",+2.0,$400.00,$400.00,$220.00,$135.00,$0.00,$535.00,86.3%,$620.00
"SBC E2E CO-MSN1WD2HGSW","3rd Loc",+2.0,$400.00,$400.00,$220.00,$135.00,$0.00,$535.00,86.3%,$620.00
"SBC E2E CO-MSN5G1KFQNT","3rd Loc",+2.0,$400.00,$400.00,$220.00,$135.00,$0.00,$535.00,86.3%,$620.00
"SBC E2E CO-MSN5GPNXYV8","3rd Loc",+2.0,$400.00,$400.00,$220.00,$135.00,$0.00,$535.00,86.3%,$620.00
"SBR E2E CO-MSN1OP9UCOV","3rd Loc",+1.0,$200.00,$200.00,$100.00,$60.00,$0.00,$260.00,86.7%,$300.00
"SBR E2E CO-MSN1OYGA7JM","3rd Loc",+1.0,$200.00,$200.00,$40.00,$25.00,$0.00,$225.00,93.8%,$240.00
"SBR E2E CO-MSN1XJ7QR12","3rd Loc",+1.0,$200.00,$200.00,$100.00,$60.00,$0.00,$260.00,86.7%,$300.00
"SBR E2E CO-MSN1XR1EKWO","3rd Loc",+1.0,$200.00,$200.00,$40.00,$25.00,$0.00,$225.00,93.8%,$240.00
"SBR E2E CO-MSN1Y9SML3V","3rd Loc",+1.0,$200.00,$200.00,$100.00,$60.00,$0.00,$260.00,86.7%,$300.00
"SBR E2E CO-MSN1YHK6MOQ","3rd Loc",+1.0,$200.00,$200.00,$40.00,$25.00,$0.00,$225.00,93.8%,$240.00
"SBR E2E CO-MSN1ZFUEC18","3rd Loc",+1.0,$200.00,$200.00,$100.00,$60.00,$0.00,$260.00,86.7%,$300.00
"SBR E2E CO-MSN1ZO9FYAD","3rd Loc",+1.0,$200.00,$200.00,$40.00,$25.00,$0.00,$225.00,93.8%,$240.00
"SBR E2E CO-MSN20M2PZVZ","3rd Loc",+1.0,$200.00,$200.00,$100.00,$60.00,$0.00,$260.00,86.7%,$300.00
"SBR E2E CO-MSN20TL1LVS","3rd Loc",+1.0,$200.00,$200.00,$40.00,$25.00,$0.00,$225.00,93.8%,$240.00
"SBR E2E CO-MSN5D7G58RS","3rd Loc",+1.0,$200.00,$200.00,$100.00,$60.00,$0.00,$260.00,86.7%,$300.00
"SBR E2E CO-MSN5DD669YX","3rd Loc",+1.0,$200.00,$200.00,$40.00,$25.00,$0.00,$225.00,93.8%,$240.00
"SBR E2E CO-MSN5IG3MTCW","3rd Loc",+1.0,$200.00,$200.00,$100.00,$60.00,$0.00,$260.00,86.7%,$300.00
"SBR E2E CO-MSN5IMR4PTO","3rd Loc",+1.0,$200.00,$200.00,$40.00,$25.00,$0.00,$225.00,93.8%,$240.00
"SBR E2E CO-MSN5J41MGNW","3rd Loc",+1.0,$200.00,$200.00,$100.00,$60.00,$0.00,$260.00,86.7%,$300.00
"SBR E2E CO-MSN5JA9UWV9","3rd Loc",+1.0,$200.00,$200.00,$40.00,$25.00,$0.00,$225.00,93.8%,$240.00
TestVT1,Multiple,+82.0,"$15,610.00","$15,610.00","$1,920.00","$1,140.00",$182.72,"$16,750.00",95.6%,"$17,712.72"
Totals,,+148.1,"$28,378.00","$28,378.00","$26,781.00","$13,639.00",$292.78,"$41,797.00",76.1%,"$55,231.78"
