group,foreign_case,author,section,case_verdict,unit_where,unit_verdict,strength,signature,missing_token,our_cases,why,assertion
37,C27260,Vladimir Tomovic,Test Cases > Reports,CANDIDATE GAP,custom_preconds,CANDIDATE GAP,STRONG,reporting logged,logged,,no case of ours contains 'logged' together with ['reporting'],Owner/admin logged in (reporting project storage state)
37,C27260,Vladimir Tomovic,Test Cases > Reports,CANDIDATE GAP,custom_preconds,CANDIDATE GAP,PHRASING,invoiced unpaid workplace,invoiced,,"no case of ours contains 'invoiced' together with ['unpaid', 'workplace']",One unpaid invoiced WO exists in the active workplace (seeded via API)
37,C27260,Vladimir Tomovic,Test Cases > Reports,CANDIDATE GAP,step2.content,CANDIDATE GAP,STRONG,customer render row,render,,"no case of ours contains 'render' together with ['customer', 'row']",Wait for the seeded customer row to render
37,C27260,Vladimir Tomovic,Test Cases > Reports,CANDIDATE GAP,step3.content,CANDIDATE GAP,STRONG,cell customer name,name,,"no case of ours contains 'name' together with ['cell', 'customer']",Click the customer-name cell
37,C27261,Vladimir Tomovic,Test Cases > Reports,CANDIDATE GAP,custom_preconds,CANDIDATE GAP,STRONG,reporting logged,logged,,no case of ours contains 'logged' together with ['reporting'],Owner/admin logged in (reporting project storage state)
37,C27261,Vladimir Tomovic,Test Cases > Reports,CANDIDATE GAP,custom_preconds,CANDIDATE GAP,PHRASING,invoiced unpaid workplace,invoiced,,"no case of ours contains 'invoiced' together with ['unpaid', 'workplace']",One unpaid invoiced WO exists in the active workplace (seeded via API)
37,C27261,Vladimir Tomovic,Test Cases > Reports,CANDIDATE GAP,step2.content,CANDIDATE GAP,PHRASING,aging bucket expand,aging,,"no case of ours contains 'aging' together with ['bucket', 'expand']",Expand the aging bucket holding the seeded invoice
37,C27262,Vladimir Tomovic,Test Cases > Reports,CANDIDATE GAP,custom_preconds,CANDIDATE GAP,STRONG,reporting logged,logged,,no case of ours contains 'logged' together with ['reporting'],Owner/admin logged in (reporting project storage state)
37,C27262,Vladimir Tomovic,Test Cases > Reports,CANDIDATE GAP,custom_preconds,CANDIDATE GAP,PHRASING,invoiced unpaid workplace,invoiced,,"no case of ours contains 'invoiced' together with ['unpaid', 'workplace']",One unpaid invoiced WO exists in the active workplace (seeded via API)
37,C27262,Vladimir Tomovic,Test Cases > Reports,CANDIDATE GAP,step1.content,CANDIDATE GAP,PHRASING,aging collection directly,aging,,"no case of ours contains 'aging' together with ['collection', 'directly']",Open the AR Aging Collection report directly
