arm,canned_line_name,canned_line_id,pricing_shape,catalogue_parts,work_order_id,line_to_complete_http,wo_to_complete_http,invoices_create_http,x_request_id,response_body
no contact,HD CVIP air brake trailer single/tandem,ce1f2549-24a9-485c-a849-267f8918d66e,FIXED LABOUR (fixed_price set),0,d26abf28-0b78-4da4-a7d8-3bdc8995bffc,200,201,500,7e737b53-7d9c-4810-8089-f27180a5c2ac,"{""errors"":[{""error"":""An error occurred. We're sorry for this inconvenience, please try again a bit later later.""},{""requestId"":""7e737b53-7d9c-4810-8089-f27180a5"
no contact,HD Wheels off air brake trailer tri-axle,3a212080-8c00-4981-a46d-de91db43f3e7,FIXED LABOUR (fixed_price set),0,753598f7-1f2a-472d-a3bd-c64ae3c4fd4c,200,201,500,15d42e63-560e-4ed2-a384-68c54cc60a0b,"{""errors"":[{""error"":""An error occurred. We're sorry for this inconvenience, please try again a bit later later.""},{""requestId"":""15d42e63-560e-4ed2-a384-68c54cc6"
no contact,Service - Perform Annual Inspection,c08b8759-97dc-40c5-9cab-fef38fe117a1,FIXED LABOUR (fixed_price set),0,5a8e279d-1380-4a0a-9d70-caaaafebac49,200,201,500,0a0ecaa2-9779-4d9a-8b46-a766117c63de,"{""errors"":[{""error"":""An error occurred. We're sorry for this inconvenience, please try again a bit later later.""},{""requestId"":""0a0ecaa2-9779-4d9a-8b46-a766117c"
no contact,CVIP Driving Force,e55c893f-8253-4aa9-8901-7282c804d056,FIXED LINE TOTAL (fixed_line_total set),0,5ed4b9ac-b4d1-4674-b810-4a7e20bd6ec8,200,201,500,81e6e3c1-c6ec-4a8f-9163-b6c8e91149dc,"{""errors"":[{""error"":""An error occurred. We're sorry for this inconvenience, please try again a bit later later.""},{""requestId"":""81e6e3c1-c6ec-4a8f-9163-b6c8e911"
no contact,Wheels off Driving Force,5fd21946-4da4-43b6-9331-cf7df66c3032,FIXED LINE TOTAL (fixed_line_total set),0,c4068d95-a8a9-4d64-bafe-2eb0d66dfa6c,200,201,500,56d79aa5-de16-4fb1-8bcd-ad2ce4ca43be,"{""errors"":[{""error"":""An error occurred. We're sorry for this inconvenience, please try again a bit later later.""},{""requestId"":""56d79aa5-de16-4fb1-8bcd-ad2ce4ca"
no contact,HD - Quality Control Check Over,ee1d7466-8798-40ec-b785-3c5c7f33159e,FIXED LINE TOTAL (fixed_line_total set),0,ab0a821b-a1fa-4277-bcff-4951a5110fbb,200,201,500,11da8552-f4c7-4b2a-9a0e-4d7201a407e7,"{""errors"":[{""error"":""An error occurred. We're sorry for this inconvenience, please try again a bit later later.""},{""requestId"":""11da8552-f4c7-4b2a-9a0e-4d7201a4"
no contact,Champ X Service air filter,53b26ca7-92ca-4def-bfd0-7f5649a775ca,HOURLY LABOUR RATE (labour_rate set),0,c46b62f1-7354-4023-a8a6-3d4bdf909e05,200,201,500,b4d610ac-d83c-46b1-a1f8-feeb443f8867,"{""errors"":[{""error"":""An error occurred. We're sorry for this inconvenience, please try again a bit later later.""},{""requestId"":""b4d610ac-d83c-46b1-a1f8-feeb443f"
no contact,Service - Transmission service (Automatic),0f9a7759-1982-4855-96d5-4a4cf1773a23,HOURLY LABOUR RATE (labour_rate set),2,cfb25e63-6225-496a-ade9-854e25ff8cac,400,400,400,1b7e1eb0-dc42-4701-b987-138938104279,"{""errors"":[{""error"":""Work order is not complete.""}]}"
no contact,Champ X Service oil and fuel,2623d064-20b9-460c-9c59-ec00552e30ce,HOURLY LABOUR RATE (labour_rate set),5,71e8747c-5d88-49d6-b2d8-a73998a0d448,400,400,400,88b79d6a-81ce-4b40-999e-996eb3c5bf86,"{""errors"":[{""error"":""Work order is not complete.""}]}"
no contact,Service - Perform LOF and inspection,5506a77e-31e7-48b6-9171-dc904919f028,HOURLY LABOUR RATE (labour_rate set),5,9f61b973-3a36-4310-af85-8b3ab5e6383b,400,400,400,663c84e6-d42f-4350-b576-a9fba4c04db8,"{""errors"":[{""error"":""Work order is not complete.""}]}"
