"Date Range: Aug 1, 2026 - Aug 31, 2026"
"As of: 2026-08-06"
"Locations: Staging Heavy Duty - 9919"
"Part #",Description,Category,Vendor,Qty,"Unit Cost","Unit Sell","Total Cost","Total Sell",Margin,"Margin %"
R134A,Refrigerant,HD-Fluids,—,786.55,$14.21,$21.86,"$11,176.88","$17,193.98","$6,017.10",35.0%
W4707QP,"Brake Shoe Kit w/ Hardware, 16.5x7, Coreless","HD-Heavy Duty Shoes","Qucastle Excavating",245.00,$41.46,$94.33,"$10,157.70","$23,110.85","$12,953.15",56.1%
W3600AX,"Brake Drum, 16.5x7","HD-Heavy Duty Drums","Qucastle Excavating",122.00,$63.48,$140.89,"$7,744.56","$17,188.58","$9,444.02",54.9%
KL-HD2590,"0W40 SYNTHETIC",HD-Fluids,—,624.00,$9.77,$16.02,"$6,096.48","$9,996.48","$3,900.00",39.0%
14-145,"LEAF SPRING, BLUEBIRD- REAR W/ STRADDLE MOUNT BUSHING","HD-Steering & Suspension","Wuboro Farms",10.00,$564.48,$818.10,"$5,644.80","$8,181.00","$2,536.20",31.0%
R134A-CORE,"R134A Bottle Core","HD-CORE / FEE",—,24.00,$213.33,$387.88,"$5,119.92","$9,309.12","$4,189.20",45.0%
SH550045136,"10W30 SHELL ROTELLA T4, 18.9L [PAIL]",HD-Fluids,"Xistone Consulting",48.70,$84.67,$120.96,"$4,123.43","$5,890.75","$1,767.32",30.0%
W4515Q,"Brake Shoe Kit w/ Hardware, 16.5x7, Coreless","HD-Heavy Duty Shoes","Qucastle Excavating",100.00,$39.85,$92.58,"$3,985.00","$9,258.00","$5,273.00",57.0%
RLHD2436FOOTHILLS,"MUD FLAP, FOOTHILLS GROUP LOGO","HD-Truck Accessories",—,180.00,$22.00,$40.00,"$3,960.00","$7,200.00","$3,240.00",45.0%
HDEO14,"15W40 Bulk- Mobil 1 Delvac HDEO",HD-Fluids,"Hibridge Supply","1,027.00",$3.84,$6.98,"$3,943.68","$7,168.46","$3,224.78",45.0%
600-421-03CP,"KIT, HI BOOM","HD-Equipment & Hydraulics","Iuboro Transport",2.00,"$1,862.67","$2,419.05","$3,725.34","$4,838.10","$1,112.76",23.0%
MD668D,"ATF Bulk- Mobil Delvac 1 ATF 668 ",HD-Fluids,"Hibridge Supply",311.00,$11.10,$17.08,"$3,452.10","$5,311.88","$1,859.78",35.0%
ARW-3922308,"LOAD HOLD VALVE 144 1ST BOOM","HD-Equipment & Hydraulics","Iuboro Transport",1.00,"$3,419.40","$4,274.25","$3,419.40","$4,274.25",$854.85,20.0%
