internal_id,proposed_testrail_case_id,title
DINV-CAP-01,44506,"Note-required option on checkbox and per-axle fields, on by default"
DINV-CAP-02,44507,A required note is enforced on submit and listed in outstanding items
DINV-CAP-03,44508,"Note rule negatives and edge cases (off, OK/NA, spaces, changed response)"
DINV-CAP-04,44509,"'Photo required if Not OK' on checkbox fields, on by default, enforced on submit"
DINV-CAP-05,44510,Photo-required: interaction with unconditional rule; negatives and edges
DINV-CAP-06,44511,"Per axle is its own field type, prefilled with four measurement rows"
DINV-CAP-07,44512,"Per-axle rows: rename in place, add/remove, last row protected, reference file"
DINV-CAP-08,44513,"Filling an axle: Single/Dual, Drum/Disc, per-position values and verdicts"
DINV-CAP-09,44514,Derived verdicts worst-first; fill-time unit change; Single/Dual preserves
DINV-CAP-10,44515,"Axle diagram, add/clear/delete axles, expand behaviour"
DINV-CAP-11,44516,"Per-axle output, per-position counting, and one finding per flagged row"
DINV-CAP-12,44517,"Per-axle negatives and edges: unanswered, N/A vs value, free text, road train"
DINV-CAP-13,44518,Any field holds one 'Attach File' reference; types stated up front
DINV-CAP-14,44519,Technician opens the reference file full-page; survives republish; negatives
DINV-BLD-01,44520,Build turns every Monitor and Not OK finding into a work order line
DINV-BLD-02,44521,Target work order chosen up front; closed WO forces a new one
DINV-BLD-03,44522,Navigation precedes drafting; state changes only on Add Lines
DINV-BLD-04,44523,"Build negatives: no ShopCoach, not completed, no findings, permission gates"
DINV-BLD-05,44524,"Build edge cases: closed-by-another, deleted WO, concurrent, no labour types"
DINV-BLD-06,44525,"Build Work Order action on the completed inspection, phone-capable"
DINV-BLD-07,44526,S3 negatives/edges: absent (not disabled) when no findings/rights/ShopCoach
DINV-BLD-08,44527,Build action on the work order's inspection report note
DINV-BLD-09,44528,"S4 negatives: passes-only, deleted inspection, history view, no ShopCoach"
DINV-BLD-10,44529,Build from an asset Inspections-tab row via an up-front target menu
DINV-BLD-11,44530,"S6 negatives: closed/deleted WO, no create rights, no ShopCoach, no bulk"
DINV-BLD-12,44531,Build records a note and an Audit Log entry naming the source inspection
DINV-BLD-13,44532,ShopCoach brief is composed from the inspection; user never types a prompt
DINV-BLD-14,44533,ShopCoach action reads as AI; named once; drafting concurrent with navigation
DINV-BLD-15,44534,"Proposed lines are selected, editable in place, added only on Add Lines"
DINV-BLD-16,44535,ShopCoach failure and empty-result are stated plainly; nothing added
DINV-HIST-01,44536,"Asset record gains an Inspections tab listing every inspection, newest first"
DINV-HIST-02,44537,"Findings column, action states, filter row and 'N of M need a work order'"
DINV-HIST-03,44538,Counts read the same for everyone; counting definition; phone layout
DINV-HIST-04,44539,"S5 negatives and edges: tab gating, empty/edge rows, deleted WO, cutoff"
DINV-AUTH-01,44540,New template shows only the starting-point choice until one is picked
DINV-AUTH-02,44541,"Starting points Brake and Axle, PM Service; later sections = field types"
DINV-AUTH-03,44542,"Field properties panel: per-axle row cards, response options, validation errors"
DINV-AUTH-04,44543,"Canvas rows, empty-section restraint, and one merged Text field"
DINV-AUTH-05,44544,"S12 negatives and edges: starting-point limits, empty-label block, deletions"
DINV-RPT-01,44545,"Report content: title, removed elements, work order number and dates"
DINV-RPT-02,44546,"Report addressing, versioning, and negatives/edges"
DINV-PHONE-01,44547,Per-axle and reference-file rendering on a phone; no sideways scroll
DINV-PHONE-02,44548,Outstanding work surfaced on the section action; negatives
