internal_id,testrail_case_id,title,section,refs
FLT-ASSIGN-01,C43841,Assigned to me is a toggle chip with no arrow that turns on and off,Filter Bar Layout and Visibility,SV-9271 (S6a-R1; S6a-R2; S1-R6) [spec v21 2026-08-14]
FLT-ASSIGN-02,C43842,Turning Assigned to me on highlights the chip with no value and no clear X,Filter Bar Layout and Visibility,SV-9271 (S6a-R3; S6a-R4; S7-R5; S7-R6) [spec v21 2026-08-14]
FLT-ASSIGN-03,C43843,Assigned to me narrows to my work orders on top of the tab and filters,Filter Bar Layout and Visibility,SV-9271 (S6a-R5; S6a-R6; S11-R1; S10-R1) [spec v21 2026-08-14]
FLT-BAR-01,C29557,"Filter chips sit in the Work Orders toolbar row, not a separate filter bar",Filter Bar Layout and Visibility,SV-9268 (S1-R1; S1-R4) [spec v21 2026-08-14]
FLT-BAR-02,C29558,"Work Orders shows three filter chips: Status, Assigned to me, Asset on Site",Filter Bar Layout and Visibility,SV-9268 (S1-R5; S1-R6) [spec v21 2026-08-14]
FLT-BAR-03,C29559,On the Estimates tab the Assigned to me and Asset on Site chips still show,Filter Bar Layout and Visibility,SV-8794 (S1-N1; S9-R5) [spec v21 2026-08-14]
FLT-LAYOUT-01,C43846,"Filter chips sit in the toolbar row; on pages with no tabs, the title row",Filter Bar Layout and Visibility,SV-9268 (S1-R1; S1-R4; S1-R7; S1-R8) [spec v21 2026-08-14]
FLT-LAYOUT-02,C43847,"Toolbar order is search, filter chips, icon actions, then the main button",Filter Bar Layout and Visibility,SV-9268 (S1-R2; S1-R3) [spec v21 2026-08-14]
FLT-PANEL-01,C43849,A filter panel opens under its chip and stays applied when you click away,Filter Bar Layout and Visibility,SV-9276 (S16-R6; S16-R7; S16-N1) [spec v21 2026-08-14]
FLT-STAT-01,C29560,Status chip opens a checkbox list of all nine statuses plus Clear selection,Status Filter,SV-8787 (S2-R1; S16-R1; S16-R6) [spec v21 2026-08-14]
FLT-STAT-02,C29561,"Ticking one status filters the table immediately, with no apply button",Status Filter,SV-8787 (S2-R2; S2-R3; S2-R6) [spec v21 2026-08-14]
FLT-STAT-03,C29562,Ticking several statuses shows work orders matching any of them,Status Filter,SV-8787 (S2-R2; §4 Key Decisions (no selection limit)) [spec v21 2026-08-14]
FLT-STAT-04,C29563,Clear Selection in the Status dropdown unticks every status,Status Filter,SV-8785 [epic] (S2-R4; S8-R2) [spec v21 2026-08-14]
FLT-STAT-05,C29564,Clicking outside the Status dropdown closes it and keeps the selections applied,Status Filter,SV-8787 (S2-R5) [spec v21 2026-08-14]
FLT-STAT-06,C29565,Selecting statuses that no work order has shows the empty state,Status Filter,SV-8785 [epic] (S2-N3; S8-R3) [spec v21 2026-08-14]
FLT-STAT-07,C38877,Imported works alone: picking it greys out the other filters,Status Filter,SV-8787 (S2-R7 (Imported cannot be combined with anything else; other filter chips disabled while it is active); S2-N4 (the combination is prevented rather than returning an empty result)) [spec v21 2026-08-14]
FLT-CUST-01,C29566,An entity filter opens a searchable panel with a list and Clear selection,Customer Filter,SV-9276 (S16-R2; S16-R6) [spec v21 2026-08-14]
FLT-CUST-02,C29567,Typing in an entity filter search narrows the list to matching values,Customer Filter,SV-9276 (S16-R2) [spec v21 2026-08-14]
FLT-CUST-03,C29568,Selected entity values show as removable pills and as ticks in the list,Customer Filter,SV-9276 (S16-R3) [spec v21 2026-08-14]
FLT-CUST-04,C29569,Clicking the X on an entity value pill removes just that one value,Customer Filter,SV-9276 (S16-R3) [spec v21 2026-08-14]
FLT-CUST-05,C29570,An entity filter narrows the table to records matching any selected value,Customer Filter,SV-9276 (S16-R2; S2-R6) [spec v21 2026-08-14]
FLT-CUST-06,C29571,Clear selection in an entity filter panel removes all its selected values,Customer Filter,SV-9276 (S16-R6) [spec v21 2026-08-14]
FLT-CUST-07,C29572,Clicking outside an entity filter panel closes it and keeps the selection,Customer Filter,SV-9276 (S16-R7) [spec v21 2026-08-14]
FLT-CUST-08,C29573,An entity filter search that matches nothing shows No matches,Customer Filter,SV-9276 (S16-N1) [spec v21 2026-08-14]
FLT-CUST-09,C29574,Selecting an entity value that has no records shows the empty state,Customer Filter,SV-9276 (S16-R2; S8-R3) [spec v21 2026-08-14]
FLT-TECH-01,C29575,Lead Technician is removed from Work Orders; its panel survives elsewhere,Lead Technician Filter,SV-9276 (S16-R2) [spec v21 2026-08-14]
FLT-TECH-02,C29576,Typing in a technician filter search narrows the list to matching names,Lead Technician Filter,SV-9276 (S16-R2) [spec v21 2026-08-14]
FLT-TECH-03,C29577,A technician filter shows only records where they are the lead technician,Lead Technician Filter,SV-9276 (S16-R2; S16-R3) [spec v21 2026-08-14]
FLT-TECH-04,C29578,Clear selection in the technician filter panel removes all technicians,Lead Technician Filter,SV-9276 (S16-R6) [spec v21 2026-08-14]
FLT-TECH-05,C29579,Clicking outside the technician filter panel closes it and keeps the selection,Lead Technician Filter,SV-9276 (S16-R7) [spec v21 2026-08-14]
FLT-TECH-06,C29580,Selecting a technician who leads no records shows the empty state,Lead Technician Filter,SV-9276 (S16-R2; S8-R3) [spec v21 2026-08-14]
FLT-TECH-07,C29581,A deactivated technician does not appear in the technician filter list,Lead Technician Filter,SV-9276 (S16-R2) [spec v21 2026-08-14]
FLT-ADV-01,C29582,Service Advisor is removed from Work Orders; its panel survives elsewhere,Service Advisor Filter,SV-9276 (S16-R2) [spec v21 2026-08-14]
FLT-ADV-02,C29583,Typing in an advisor filter search narrows the list to matching names,Service Advisor Filter,SV-9276 (S16-R2) [spec v21 2026-08-14]
FLT-ADV-03,C29584,An advisor filter shows only records assigned to the selected advisors,Service Advisor Filter,SV-9276 (S16-R2; S16-R3) [spec v21 2026-08-14]
FLT-ADV-04,C29585,Clear selection in the advisor filter panel removes all advisors,Service Advisor Filter,SV-9276 (S16-R6) [spec v21 2026-08-14]
FLT-ADV-05,C29586,Clicking outside the advisor filter panel closes it and keeps the selection,Service Advisor Filter,SV-9276 (S16-R7) [spec v21 2026-08-14]
FLT-ADV-06,C29587,Selecting an advisor with no assigned records shows the empty state,Service Advisor Filter,SV-9276 (S16-R2; S8-R3) [spec v21 2026-08-14]
FLT-ADV-07,C29588,A deactivated advisor does not appear in the advisor filter list,Service Advisor Filter,SV-9276 (S16-R2) [spec v21 2026-08-14]
FLT-ASSET-01,C29589,Asset on Site opens a single-select list with a checkmark on the chosen row,Asset on Site Filter,SV-9275 (S6-R1; S16-R4; S16-R6) [spec v21 2026-08-14]
FLT-ASSET-02,C29590,Choosing Yes shows only work orders whose asset is on site,Asset on Site Filter,SV-8791 (S6-R2) [spec v21 2026-08-14]
FLT-ASSET-03,C29591,Asset on Site is single-select: choosing the other option replaces the first,Asset on Site Filter,SV-9275 (S6-R2; S6-R3) [spec v21 2026-08-14]
FLT-ASSET-04,C29592,Clear Selection in the Asset on Site dropdown removes the filter,Asset on Site Filter,SV-8785 [epic] (S6-R4; S8-R2) [spec v21 2026-08-14]
FLT-ASSET-05,C29593,Clicking outside the Asset on Site dropdown closes it,Asset on Site Filter,SV-8791 (S6-R5) [spec v21 2026-08-14]
FLT-ASSET-06,C29594,An Asset on Site choice that matches no work orders shows the empty state,Asset on Site Filter,SV-8785 [epic] (S6-N1; S8-R3) [spec v21 2026-08-14]
FLT-ASSET-07,C38878,Choosing No shows only work orders whose asset is not on site,Asset on Site Filter,SV-8791 (S6-R2; tech plan 2026-07-29 G4 (filtering No is new capability)) [spec v21 2026-08-14]
FLT-CHIP-01,C29595,A chip with a selected value turns blue and shows the value,Active Filter Chips and Clear Filters,SV-8792 (S7-R1) [spec v21 2026-08-14]
FLT-CHIP-02,C29596,A chip with several values shows the first ones and shortens the rest,Active Filter Chips and Clear Filters,SV-8792 (S7-R2) [spec v21 2026-08-14]
FLT-CHIP-03,C29597,There is no global Clear filters button; each filter is cleared on its own,Active Filter Chips and Clear Filters,SV-9274 (S8-R1; S7-R6) [spec v21 2026-08-14]
