"Date Range: Jul 1, 2026 - Aug 10, 2026"
"Locations: 3rd Loc"
Customer,"Inv. Hrs","Labor Invoiced","Labor Margin","Parts Invoiced","Parts Margin","Shop Supplies",Margin,"Margin %",Subtotal
"Aaborough Works",+1.0,$200.00,$200.00,$600.00,$300.00,$0.00,$500.00,62.5%,$800.00
"Aadale Motors",-0.1,$20.00,$20.00,$0.00,$0.00,$0.00,$20.00,100.0%,$20.00
"Aaford Plumbing",+2.0,$500.00,$500.00,"$4,600.00","$2,350.00",$0.00,"$2,630.00",53.9%,"$4,880.00"
"E2E COD Customer",0.0,$0.00,$0.00,$975.00,$325.00,$0.00,$325.00,33.3%,$975.00
"E2E Credits Customer",+10.0,"$2,000.00","$2,000.00","$1,700.00",$650.00,$0.00,"$2,650.00",71.6%,"$3,700.00"
"E2E Term Customer",+15.0,"$3,000.00","$3,000.00",$0.00,$0.00,$0.00,"$3,000.00",100.0%,"$3,000.00"
"SBC E2E CO-MSN1S647TMZ",+2.0,$400.00,$400.00,$220.00,$135.00,$0.00,$535.00,86.3%,$620.00
"SBC E2E CO-MSN1T50MG1U",+2.0,$400.00,$400.00,$220.00,$135.00,$0.00,$535.00,86.3%,$620.00
"SBC E2E CO-MSN1UBW86SX",+2.0,$400.00,$400.00,$220.00,$135.00,$0.00,$535.00,86.3%,$620.00
"SBC E2E CO-MSN1VCUWNIL",+2.0,$400.00,$400.00,$220.00,$135.00,$0.00,$535.00,86.3%,$620.00
"SBC E2E CO-MSN1WD2HGSW",+2.0,$400.00,$400.00,$220.00,$135.00,$0.00,$535.00,86.3%,$620.00
"SBC E2E CO-MSN5G1KFQNT",+2.0,$400.00,$400.00,$220.00,$135.00,$0.00,$535.00,86.3%,$620.00
"SBC E2E CO-MSN5GPNXYV8",+2.0,$400.00,$400.00,$220.00,$135.00,$0.00,$535.00,86.3%,$620.00
"SBR E2E CO-MSN1OP9UCOV",+1.0,$200.00,$200.00,$100.00,$60.00,$0.00,$260.00,86.7%,$300.00
"SBR E2E CO-MSN1OYGA7JM",+1.0,$200.00,$200.00,$40.00,$25.00,$0.00,$225.00,93.8%,$240.00
"SBR E2E CO-MSN1XJ7QR12",+1.0,$200.00,$200.00,$100.00,$60.00,$0.00,$260.00,86.7%,$300.00
"SBR E2E CO-MSN1XR1EKWO",+1.0,$200.00,$200.00,$40.00,$25.00,$0.00,$225.00,93.8%,$240.00
"SBR E2E CO-MSN1Y9SML3V",+1.0,$200.00,$200.00,$100.00,$60.00,$0.00,$260.00,86.7%,$300.00
"SBR E2E CO-MSN1YHK6MOQ",+1.0,$200.00,$200.00,$40.00,$25.00,$0.00,$225.00,93.8%,$240.00
"SBR E2E CO-MSN1ZFUEC18",+1.0,$200.00,$200.00,$100.00,$60.00,$0.00,$260.00,86.7%,$300.00
"SBR E2E CO-MSN1ZO9FYAD",+1.0,$200.00,$200.00,$40.00,$25.00,$0.00,$225.00,93.8%,$240.00
"SBR E2E CO-MSN20M2PZVZ",+1.0,$200.00,$200.00,$100.00,$60.00,$0.00,$260.00,86.7%,$300.00
"SBR E2E CO-MSN20TL1LVS",+1.0,$200.00,$200.00,$40.00,$25.00,$0.00,$225.00,93.8%,$240.00
"SBR E2E CO-MSN5D7G58RS",+1.0,$200.00,$200.00,$100.00,$60.00,$0.00,$260.00,86.7%,$300.00
"SBR E2E CO-MSN5DD669YX",+1.0,$200.00,$200.00,$40.00,$25.00,$0.00,$225.00,93.8%,$240.00
"SBR E2E CO-MSN5IG3MTCW",+1.0,$200.00,$200.00,$100.00,$60.00,$0.00,$260.00,86.7%,$300.00
"SBR E2E CO-MSN5IMR4PTO",+1.0,$200.00,$200.00,$40.00,$25.00,$0.00,$225.00,93.8%,$240.00
"SBR E2E CO-MSN5J41MGNW",+1.0,$200.00,$200.00,$100.00,$60.00,$0.00,$260.00,86.7%,$300.00
"SBR E2E CO-MSN5JA9UWV9",+1.0,$200.00,$200.00,$40.00,$25.00,$0.00,$225.00,93.8%,$240.00
TestVT1,+68.0,"$13,600.00","$13,600.00","$1,680.00","$1,000.00",$0.00,"$14,600.00",95.5%,"$15,280.00"
Totals,+125.9,"$25,320.00","$25,320.00","$12,215.00","$6,250.00",$0.00,"$31,350.00",84.0%,"$37,315.00"
