report,spec_prefix,story,story_title,requirement_id,kind,assertion_index,assertion_count,requirement_text_verbatim,assertion_text_verbatim,surfaces,verdict,verdict_reason,evidence_basis,covering_internal_ids,covering_c_ids,covering_links,quote_from_c_id,quote_from_internal_id,covering_expected_quote_verbatim,overlap_score,anchor_mapping
Sales By Customer,SBC,1,Report access and navigation placement,S1-R1,requirement,1,1,"S1-R1: ""Sales By Customer"" appears in the Reports left-side navigation.","""Sales By Customer"" appears in the Reports left-side navigation.",,COVERED-HUMAN-READ,"flagged by the polarity sweep and read by hand; the covering case asserts the same thing, not its opposite",hand-read this run (polarity-flag set),SBC-NAV-01,C30096,https://shopview.testrail.io/index.php?/cases/view/30096,C30096,SBC-NAV-01,"""Sales By Customer"" is listed in the Performance group of the Reports left-side navigation, BELOW the pre-existing entries (Sales, Technician Efficiency, Advisor Analysis, Shop Efficiency) — the new reports are added below those items without moving them.",0.6,DIRECT
Sales By Customer,SBC,1,Report access and navigation placement,S1-R2,requirement,1,2,"S1-R2: The report is gated by ordinary reports access, not by a report-specific permission. Any user with standard reports access can open it; there is no dedicated Sales By Customer View permission.","The report is gated by ordinary reports access, not by a report-specific permission.",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.4; not individually read,machine-substantiated,SBC-PERM-01 SBC-PERM-05 SBC-API-06,C30098 C39447 C43546,https://shopview.testrail.io/index.php?/cases/view/30098 https://shopview.testrail.io/index.php?/cases/view/39447 https://shopview.testrail.io/index.php?/cases/view/43546,C30098,SBC-PERM-01,Ordinary reports access alone is enough — this report does NOT need a permission of its own.,0.4,DIRECT
Sales By Customer,SBC,1,Report access and navigation placement,S1-R2,requirement,2,2,"S1-R2: The report is gated by ordinary reports access, not by a report-specific permission. Any user with standard reports access can open it; there is no dedicated Sales By Customer View permission.",Any user with standard reports access can open it; there is no dedicated Sales By Customer View permission.,,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.375; not individually read,machine-substantiated,SBC-PERM-01 SBC-PERM-05 SBC-API-06,C30098 C39447 C43546,https://shopview.testrail.io/index.php?/cases/view/30098 https://shopview.testrail.io/index.php?/cases/view/39447 https://shopview.testrail.io/index.php?/cases/view/43546,C30098,SBC-PERM-01,"the product owner has ruled that every report in this suite opens with the ordinary reports access, and the written description now says the same. If the build still demands a separate Sales By Customer permission, mark this test Failed and report it against the change already raised with the developers — do not change the test.",0.375,DIRECT
Sales By Customer,SBC,1,Report access and navigation placement,S1-R3,requirement,1,1,"S1-R3: The page title reads ""Sales By Customer.""","The page title reads ""Sales By Customer.""",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 1.0; not individually read,machine-substantiated,SBC-NAV-01,C30096,https://shopview.testrail.io/index.php?/cases/view/30096,C30096,SBC-NAV-01,"The page title reads ""Sales By Customer.""",1.0,DIRECT
Sales By Customer,SBC,1,Report access and navigation placement,S1-R4,requirement,1,1,"S1-R4: The browser tab title reads ""Sales By Customer - Report | ShopView"" — the report name inside the application-standard tab-title template.","The browser tab title reads ""Sales By Customer - Report | ShopView"" — the report name inside the application-standard tab-title template.",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.583; not individually read,machine-substantiated,SBC-NAV-01,C30096,https://shopview.testrail.io/index.php?/cases/view/30096,C30096,SBC-NAV-01,"The browser tab title reads ""Sales By Customer - Report | ShopView"".",0.583,DIRECT
Sales By Customer,SBC,1,Report access and navigation placement,S1-N1,negative,1,1,S1-N1: A user without reports access does not see the report in navigation and cannot open it by direct link.,A user without reports access does not see the report in navigation and cannot open it by direct link.,,COVERED-HUMAN-READ,read end to end this run against the current spec; the overlap score is low only because the assertion is short or cross-reference-heavy,hand-read this run (weak/unsubstantiated set),SBC-PERM-02 SBC-API-06,C30099 C43546,https://shopview.testrail.io/index.php?/cases/view/30099 https://shopview.testrail.io/index.php?/cases/view/43546,C43546,SBC-API-06,"For the user WITHOUT reports access, the data request is refused with HTTP 403 and a message reading ""Access denied."" — no report data comes back.",0.25,DIRECT
Sales By Customer,SBC,2,Filter by date range,S2-R1,requirement,1,1,S2-R1: A date range picker is visible in the report toolbar.,A date range picker is visible in the report toolbar.,,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 1.0; not individually read,machine-substantiated,SBC-DATE-01,C30102,https://shopview.testrail.io/index.php?/cases/view/30102,C30102,SBC-DATE-01,A date range picker is visible in the report toolbar.,1.0,DIRECT
Sales By Customer,SBC,2,Filter by date range,S2-R2,requirement,1,1,"S2-R2: The picker offers eleven options, in this order: Today, Yesterday, This Week, Last Week, This Month, Last Month, This Year, Last Year, This Quarter, Last Quarter, Custom.","The picker offers eleven options, in this order: Today, Yesterday, This Week, Last Week, This Month, Last Month, This Year, Last Year, This Quarter, Last Quarter, Custom.",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.923; not individually read,machine-substantiated,SBC-DATE-01,C30102,https://shopview.testrail.io/index.php?/cases/view/30102,C30102,SBC-DATE-01,"It offers eleven options, in this order: Today, Yesterday, This Week, Last Week, This Month, Last Month, This Year, Last Year, This Quarter, Last Quarter, Custom.",0.923,DIRECT
Sales By Customer,SBC,2,Filter by date range,S2-R3,requirement,1,1,S2-R3: The Custom range is capped at a maximum span of 366 days from start date to end date — the same length as the largest preset (This Year / Last Year).,The Custom range is capped at a maximum span of 366 days from start date to end date — the same length as the largest preset (This Year / Last Year).,,COVERED-HUMAN-READ,read end to end this run against the current spec; the overlap score is low only because the assertion is short or cross-reference-heavy,hand-read this run (weak/unsubstantiated set),SBC-DATE-03,C30104,https://shopview.testrail.io/index.php?/cases/view/30104,C30104,SBC-DATE-03,"Choosing ""Custom"" opens a date-picker dialog for a start and end date.",0.2,DIRECT
Sales By Customer,SBC,2,Filter by date range,S2-R4,requirement,1,1,"S2-R4: When the user picks ""Custom,"" the report opens a date-picker dialog for a start and end date.","When the user picks ""Custom,"" the report opens a date-picker dialog for a start and end date.",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.875; not individually read,machine-substantiated,SBC-DATE-03,C30104,https://shopview.testrail.io/index.php?/cases/view/30104,C30104,SBC-DATE-03,"Choosing ""Custom"" opens a date-picker dialog for a start and end date.",0.875,DIRECT
