Fees & Discounts — QA Deviation Review Summary,
Total cases reviewed,11
PASS — no change (flip to READY),7
UPDATE test case,4
New bug tickets created,0
PASS cases:,"28450, 28456, 28462, 28490, 28511, 28527, 28580"
UPDATE cases:,"28460, 30618, 28489, 28526"
Open follow-ups,
•,"All 4 test-case updates applied in TestRail (28460, 30618, 28489, 28526)."
•,SV-8421 downstream: smaller Processing Fee gives less padding vs $0 subtotal floor on heavy-discount WOs — spot-check 28582 / 28584 / 28555–28558.
•,SV-8421 QA note: taxable whole-WO DISCOUNT and non-taxable whole-WO fee should also leave the Processing Fee base unchanged — spot-check.
