internal_id,case_id,link,surface,recheck_outcome,note,evidence,build,date,provenance_restamped
SBC-NAV-01,C30096,https://shopview.testrail.io/index.php?/cases/view/30096,API,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/env-validation-calc-recheck.json (validation + payload shape re-probed),v3.4.1-3d03023,2026-08-04,yes
SBC-PERM-01,C30098,https://shopview.testrail.io/index.php?/cases/view/30098,NAV/PERMISSION,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json (nav headings) + env-validation-calc-recheck.json,v3.4.1-3d03023,2026-08-04,yes
SBC-PERM-02,C30099,https://shopview.testrail.io/index.php?/cases/view/30099,NAV/PERMISSION,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json (nav headings) + env-validation-calc-recheck.json,v3.4.1-3d03023,2026-08-04,yes
SBC-PERM-03,C30100,https://shopview.testrail.io/index.php?/cases/view/30100,NAV/PERMISSION,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json (nav headings) + env-validation-calc-recheck.json,v3.4.1-3d03023,2026-08-04,yes
SBC-PERM-04,C30101,https://shopview.testrail.io/index.php?/cases/view/30101,NAV/PERMISSION,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json (nav headings) + env-validation-calc-recheck.json,v3.4.1-3d03023,2026-08-04,yes
SBC-DATE-01,C30102,https://shopview.testrail.io/index.php?/cases/view/30102,API,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/env-validation-calc-recheck.json (validation + payload shape re-probed),v3.4.1-3d03023,2026-08-04,yes
SBC-DATE-03,C30104,https://shopview.testrail.io/index.php?/cases/view/30104,API,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/env-validation-calc-recheck.json (validation + payload shape re-probed),v3.4.1-3d03023,2026-08-04,yes
SBC-DATE-04,C30105,https://shopview.testrail.io/index.php?/cases/view/30105,FILTERS/DATES,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + env-validation-calc-recheck.json,v3.4.1-3d03023,2026-08-04,yes
SBC-TYPE-02,C30107,https://shopview.testrail.io/index.php?/cases/view/30107,FILTERS/DATES,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + env-validation-calc-recheck.json,v3.4.1-3d03023,2026-08-04,yes
SBC-LOC-01,C30109,https://shopview.testrail.io/index.php?/cases/view/30109,API,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/env-validation-calc-recheck.json (validation + payload shape re-probed),v3.4.1-3d03023,2026-08-04,yes
SBC-LOC-03,C30111,https://shopview.testrail.io/index.php?/cases/view/30111,LOCATION,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/location-and-metadata-matrix.json + screen/singleloc-*.png,v3.4.1-3d03023,2026-08-04,yes
SBC-CUST-01,C30112,https://shopview.testrail.io/index.php?/cases/view/30112,LOCATION,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/location-and-metadata-matrix.json + screen/singleloc-*.png,v3.4.1-3d03023,2026-08-04,yes
SBC-CUST-02,C30113,https://shopview.testrail.io/index.php?/cases/view/30113,LOCATION,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/location-and-metadata-matrix.json + screen/singleloc-*.png,v3.4.1-3d03023,2026-08-04,yes
SBC-CUST-03,C30114,https://shopview.testrail.io/index.php?/cases/view/30114,FILTERS/DATES,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + env-validation-calc-recheck.json,v3.4.1-3d03023,2026-08-04,yes
