Report,Case ID,TestRail Link,Title,Source cited BEFORE,Source cited NOW,refs version BEFORE,refs version NOW,Requirements cited now,Anchor quote-verified against the LIVE spec body,Changed this pass,Could not be sourced / note
SBC,C30096,https://shopview.testrail.io/index.php?/cases/view/30096,"Sales By Customer listed under Performance, below existing links; titles correct",SBC spec v15,SBC spec v16,(none named),(none named),S1-R1; S1-R3; S1-R4,YES - all exist in live v16,yes,
SBC,C30098,https://shopview.testrail.io/index.php?/cases/view/30098,Ordinary reports access opens Sales By Customer — no separate permission,SBC spec v15,SBC spec v16,(none named),(none named),S1-R2,YES - all exist in live v16,yes,
SBC,C30099,https://shopview.testrail.io/index.php?/cases/view/30099,"Without reports access, Sales By Customer is not listed and cannot open",SBC spec v15,SBC spec v16,(none named),(none named),S1-N1,YES - all exist in live v16,yes,
SBC,C30100,https://shopview.testrail.io/index.php?/cases/view/30100,Opening an invoice you lack permission for shows access-denied; back works,SBC spec v15,SBC spec v16,v13,v16,S9-N2; S9-R1a,YES - all exist in live v16,yes,
SBC,C30101,https://shopview.testrail.io/index.php?/cases/view/30101,Location access enforced: no data from a location the user cannot access,SBC spec v15,SBC spec v16,v13,v16,S4-N1; S4-R7; S4-R8; S4-R9,YES - all exist in live v16,yes,
SBC,C30102,https://shopview.testrail.io/index.php?/cases/view/30102,"Date range picker offers nine periods in the specified order, no All Time",SBC spec v15,SBC spec v16,v13,v16,S2-R1; S2-R2,YES - all exist in live v16,yes,
SBC,C30104,https://shopview.testrail.io/index.php?/cases/view/30104,Building a custom range on the calendar cannot exceed a 366-day span,SBC spec v15,SBC spec v16,v13,v16,S2-N2; S2-R3; S2-R4,YES - all exist in live v16,yes,
SBC,C30105,https://shopview.testrail.io/index.php?/cases/view/30105,Changing the date range writes it into the page link for sharing,SBC spec v15,SBC spec v16,v13,v16,S2-R6; S2-R9,YES - all exist in live v16,yes,
SBC,C30107,https://shopview.testrail.io/index.php?/cases/view/30107,Product Type: three options with Parts & Service default; S/P prefix filtering,SBC spec v15,SBC spec v16,v13,v16,S3-R1; S3-R2; S3-R3; S3-R4; S3-R5; S3-R6,YES - all exist in live v16,yes,
SBC,C30109,https://shopview.testrail.io/index.php?/cases/view/30109,"Location filter: rightmost, lists accessible locations, All locations on top",SBC spec v15,SBC spec v16,(none named),(none named),S4-R1; S4-R2; S4-R3,YES - all exist in live v16,yes,
SBC,C30111,https://shopview.testrail.io/index.php?/cases/view/30111,Selecting locations scopes the data; All locations covers every accessible one,SBC spec v15,SBC spec v16,(none named),(none named),S4-R5; S4-R6,YES - all exist in live v16,yes,unwarranted divergence hedge removed - S4-R5/S4-R6 agree outright
SBC,C30112,https://shopview.testrail.io/index.php?/cases/view/30112,"Customer filter sits between Product Type and Location, carries a search icon",SBC spec v15,SBC spec v16,v13,v16,S18-R1; S18-R2,YES - all exist in live v16,yes,
SBC,C30113,https://shopview.testrail.io/index.php?/cases/view/30113,Typing in the Customer filter lists matching customers by contains match,SBC spec v15,SBC spec v16,v13,v16,S18-R2,YES - all exist in live v16,yes,
SBC,C30114,https://shopview.testrail.io/index.php?/cases/view/30114,Pinned control toggles All customers and Clear all; clearing shows empty state,SBC spec v15,SBC spec v16,v15,v16,S17-E1; S18-N1; S18-R3,YES - all exist in live v16,yes,
SBC,C30115,https://shopview.testrail.io/index.php?/cases/view/30115,First load starts in the all-customers state and the report shows every customer,SBC spec v15,SBC spec v16,v13,v16,S18-E1; S18-R4; S18-R5; S18-R9,YES - all exist in live v16,yes,
SBC,C30116,https://shopview.testrail.io/index.php?/cases/view/30116,"Collapsed label reads None, the customer's name, or N selected",SBC spec v15,SBC spec v16,v13,v16,S18-R5,YES - all exist in live v16,yes,
SBC,C30117,https://shopview.testrail.io/index.php?/cases/view/30117,Changing the customer selection narrows the table and refreshes the totals,SBC spec v15,SBC spec v16,v13,v16,S18-R11; S18-R5,YES - all exist in live v16,yes,
SBC,C30120,https://shopview.testrail.io/index.php?/cases/view/30120,A subset customer selection reconciles on a filter change; kept if present,SBC spec v15,SBC spec v16,v13,v16,S18-E1; S18-R9,YES - all exist in live v16,yes,
SBC,C30121,https://shopview.testrail.io/index.php?/cases/view/30121,Each customer gets one summary row with its invoice count in parentheses,SBC spec v15,SBC spec v16,v13,v16,S7-R1; S7-R2; S7-R3; S7-R4; S7-R5,YES - all exist in live v16,yes,
SBC,C30122,https://shopview.testrail.io/index.php?/cases/view/30122,A customer with no matching invoices in the current view is not shown,SBC spec v15,SBC spec v16,v13,v16,S7-N1,YES - all exist in live v16,yes,
SBC,C30123,https://shopview.testrail.io/index.php?/cases/view/30123,Expanding a customer reveals asset rows; chevrons toggle and are independent,SBC spec v15,SBC spec v16,v13,v16,S8-R1; S8-R15; S8-R2; S8-R5; S8-R5a; S8-R5b; S8-R5c,YES - all exist in live v16,yes,
SBC,C30124,https://shopview.testrail.io/index.php?/cases/view/30124,Expanding an asset reveals its invoice rows with number link and date,SBC spec v15,SBC spec v16,v13,v16,S20-R14; S8-R12; S8-R12a; S8-R4,YES - all exist in live v16,yes,
SBC,C30125,https://shopview.testrail.io/index.php?/cases/view/30125,Invoices group into one asset row per vehicle record,SBC spec v15,SBC spec v16,v13,v16,S8-R3,YES - all exist in live v16,yes,
SBC,C30126,https://shopview.testrail.io/index.php?/cases/view/30126,Asset rows order A to Z with the Parts Sales bucket always last,SBC spec v15,SBC spec v16,v13,v16,S10-R6; S8-R6; S8-R6a,YES - all exist in live v16,yes,
SBC,C30128,https://shopview.testrail.io/index.php?/cases/view/30128,Header-row chevron expands or collapses every customer on the current page,SBC spec v15,SBC spec v16,v13,v16,S8-R16; S8-R17; S8-R18; S8-R19,YES - all exist in live v16,yes,
SBC,C30129,https://shopview.testrail.io/index.php?/cases/view/30129,Reload-causing changes collapse expansion; Customer filter typing does not,SBC spec v15,SBC spec v16,v13,v16,S10-R8a; S10-R8b; S10-R8c; S8-R20; S8-R21,YES - all exist in live v16,yes,
SBC,C30130,https://shopview.testrail.io/index.php?/cases/view/30130,Edge: a single-invoice asset can still be expanded,SBC spec v15,SBC spec v16,v13,v16,S8-E1; S8-E2,YES - all exist in live v16,yes,
SBC,C30131,https://shopview.testrail.io/index.php?/cases/view/30131,A service (S) invoice with no vehicle also lands in the Parts Sales bucket,SBC spec v15,SBC spec v16,v13,v16,S8-E3,YES - all exist in live v16,yes,
SBC,C30132,https://shopview.testrail.io/index.php?/cases/view/30132,Reversed and voided invoices are excluded from every row; count and total,SBC spec v15,SBC spec v16,v13,v16,S7-N2; S7-R7,YES - all exist in live v16,yes,
SBC,C30133,https://shopview.testrail.io/index.php?/cases/view/30133,Every row type renders the same columns in the same order,SBC spec v15,SBC spec v16,v13,v16,S7-R10; S7-R15; S7-R16; S7-R8; S7-R9,YES - all exist in live v16,yes,
SBC,C30134,https://shopview.testrail.io/index.php?/cases/view/30134,"Asset identified by VIN, falling back to Unit #, then plate",SBC spec v15,SBC spec v16,(none named),(none named),S8-R10; S8-R7; S8-R8; S8-R9,YES - all exist in live v16,yes,
SBC,C30137,https://shopview.testrail.io/index.php?/cases/view/30137,Duplicate asset labels get stable (#1)/(#2) suffixes that survive reloads,SBC spec v15,SBC spec v16,v13,v16,S8-R11,YES - all exist in live v16,yes,
SBC,C30138,https://shopview.testrail.io/index.php?/cases/view/30138,The invoice number opens the invoice in the same browser tab,SBC spec v15,SBC spec v16,v13,v16,S9-R1; S9-R2; S9-R2a; S9-R2b,YES - all exist in live v16,yes,
SBC,C30139,https://shopview.testrail.io/index.php?/cases/view/30139,Browser back from an invoice restores filters; sort and columns; rows shut,SBC spec v15,SBC spec v16,v13,v16,S9-R3; S9-R4,YES - all exist in live v16,yes,
SBC,C30140,https://shopview.testrail.io/index.php?/cases/view/30140,Customer name is plain text; the invoice link never turns visited-purple,SBC spec v15,SBC spec v16,v13,v16,S9-R5; S9-R6; S9-R7; S9-R8,YES - all exist in live v16,yes,
SBC,C30141,https://shopview.testrail.io/index.php?/cases/view/30141,An invoice deleted after load shows the not-found state and back returns,SBC spec v15,SBC spec v16,v13,v16,S9-N1,YES - all exist in live v16,yes,
SBC,C30142,https://shopview.testrail.io/index.php?/cases/view/30142,"All columns sortable except chevron; text alphabetical, numbers by value",SBC spec v15,SBC spec v16,v13,v16,S10-R1; S10-R2; S10-R6,YES - all exist in live v16,yes,
SBC,C30143,https://shopview.testrail.io/index.php?/cases/view/30143,Default sort is Customer name ascending case-insensitive,SBC spec v15,SBC spec v16,v13,v16,S10-R4; S10-R7,YES - all exist in live v16,yes,
SBC,C30144,https://shopview.testrail.io/index.php?/cases/view/30144,Missing values sort to the bottom ascending and to the top descending,SBC spec v15,SBC spec v16,v13,v16,S10-R3,YES - all exist in live v16,yes,
SBC,C30145,https://shopview.testrail.io/index.php?/cases/view/30145,Sorting by Date orders customers by their most recent invoice date,SBC spec v15,SBC spec v16,v13,v16,S10-R5,YES - all exist in live v16,yes,
SBC,C30149,https://shopview.testrail.io/index.php?/cases/view/30149,Financial columns run in the specified order with Subtotal and Margin rules,SBC spec v15,SBC spec v16,v13,v16,S11-R1; S20-R19; S4-R12; S7-R6,YES - all exist in live v16,yes,
SBC,C30150,https://shopview.testrail.io/index.php?/cases/view/30150,Margin % is Margin over Subtotal to one decimal; em dash when Subtotal <= 0,SBC spec v15,SBC spec v16,v13,v16,S7-R11; S7-R12; S7-R13; S7-R14,YES - all exist in live v16,yes,
SBC,C30151,https://shopview.testrail.io/index.php?/cases/view/30151,Inv. Hrs heading is verbatim; value shows +green / -red / 0.0 on every row,SBC spec v15,SBC spec v16,v13,v16,S12-R1; S12-R2; S12-R3; S12-R4; S12-R5; S12-R6,YES - all exist in live v16,yes,
SBC,C30152,https://shopview.testrail.io/index.php?/cases/view/30152,Inv. Hrs is never blank: no-labor rows and near-zero values both show 0.0,SBC spec v15,SBC spec v16,v13,v16,S12-E1; S12-E2; S12-N1,YES - all exist in live v16,yes,
SBC,C30153,https://shopview.testrail.io/index.php?/cases/view/30153,Invoice subtotals sum to their asset row and asset subtotals to the customer,SBC spec v15,SBC spec v16,v13,v16,S8-R13,YES - all exist in live v16,yes,
SBC,C30154,https://shopview.testrail.io/index.php?/cases/view/30154,Subtotal is the rightmost column; pinned on scroll and bold everywhere,SBC spec v15,SBC spec v16,v13,v16,S11-N1; S11-R1; S11-R2; S11-R3,YES - all exist in live v16,yes,
SBC,C30155,https://shopview.testrail.io/index.php?/cases/view/30155,The totals row covers the whole filtered set; not just the current page,SBC spec v15,SBC spec v16,v13,v16,S18-R6,YES - all exist in live v16,yes,
SBC,C30156,https://shopview.testrail.io/index.php?/cases/view/30156,Column selector is its own toolbar button with nine toggles all on,SBC spec v15,SBC spec v16,v13,v16,S13-R1; S13-R2; S13-R3; S13-R4; S13-R7; S4-R12; S4-R13,YES - all exist in live v16,yes,
SBC,C30157,https://shopview.testrail.io/index.php?/cases/view/30157,"Column toggles hide header+cells; Customer, Subtotal and chevron never in list",SBC spec v15,SBC spec v16,v13,v16,S13-N1; S13-R5; S13-R6,YES - all exist in live v16,yes,
SBC,C30159,https://shopview.testrail.io/index.php?/cases/view/30159,The overflow menu holds exactly the four download items - no Print,SBC spec v15,SBC spec v16,v13,v16,S14-R1; S14-R2; S15-R1; S15-R2; S20-R16,YES - all exist in live v16,yes,
SBC,C30160,https://shopview.testrail.io/index.php?/cases/view/30160,Download file names carry the version and the active date range,SBC spec v15,SBC spec v16,v13,v16,S14-R14; S14-R15; S15-R6,YES - all exist in live v16,yes,
SBC,C30161,https://shopview.testrail.io/index.php?/cases/view/30161,"Expanded View CSV: column order, blank-cell rules, and the Locations line",SBC spec v15,SBC spec v16,v13,v16,S14-R13; S14-R5; S14-R6; S14-R7; S14-R8; S4-R13,YES - all exist in live v16,yes,
