Role,Case #,Feature Area,Where To Go,What To Do,Expected Result,Depth,Status,Spec Reference (plain),Expected (layman),Actual Result (layman),Steps To Replicate (layman),Screenshot,Notes
Administrator,1,Pricing visibility,Work Orders → open any work order,"Look at the line prices, the Total/Labor/Parts columns, the Finance card, and the Stats tab.",All prices and money are visible everywhere. Admin has See Financial Data ON.,DEEP,PASS,"Per the spec: a role with 'See Financial Data' ON (which Admin has) must see all money everywhere — line prices, the Total/Labor/Parts columns, the Finance card, and the Stats tab. [Ref: SV-5319 Custom Roles permission matrix; checklist Administrator row #1 'See Financial ON']","Logged in as an Administrator, every price and dollar figure on a work order should be visible (nothing hidden or blanked out).","Opened work order S9-24674 as Admin. All money was visible: the Financial Info card showed Parts $0.00, Labor $150.00, Shop Supplies $15.75, Subtotal $165.75, GST $8.29, Total $174.04, Balance $0.00. The line grid showed Rate/Margin/Total columns with values. The Stats tab showed Sell price/Cost/Margin/% dollar figures. The Finance tab showed the full invoice/estimate with amounts plus Create Invoice/Add Deposit controls. Nothing was hidden.",,build/regression/screenshots/1.png,Reconfirmed later on AR Aging report and other WOs — financial data consistently visible for Admin.
Administrator,2,Work order edits,Work Orders → open a work order → header,"Change mileage, engine hours, lead technician, service advisor, customer, and asset.",All edits are allowed and save successfully. Admin has Work Orders Create and Edit.,MUST,PASS,"Per the spec: Admin has Work Orders Create and Edit, so all work-order header edits are allowed and must save. NOTE row is STALE per v33: mileage/engine hours/license plate/VIN moved to WORK ORDER LINES: Create and Edit; header fields (customer/asset/service advisor/lead tech/status) remain Work Orders Create and Edit. Admin holds both. [Ref: SV-5319; checklist Administrator row #2 (marked STALE); superseded by row N1]","As an Administrator you should be able to change the work order's mileage, engine hours, service advisor, customer, asset and (via line-tech assignment) lead technician, and each change should save.","On a throwaway work order (S9-24716) all edits worked and persisted after reload: Mileage set to 12,345, Engine Hours to 678, License Plate to ZZTEST1 (all persisted). Service Advisor changed to 'Alexander Cohen' and persisted. The Change Customer and Change Asset pickers both opened and were functional (cancelled to preserve the throwaway identity). Work-order-level status is system-derived in this build (no direct dropdown) and lead technician is a read-only field populated by assigning a line technician — both are build behaviors, not permission blocks.",,build/regression/screenshots/2.png,STALE per spec v33 (still run). Mileage/engine hours/license plate now behave as line-level fields (WOL C&E) — see N1. Lead technician is derived from line-tech assignment; WO status auto-derives (Estimate→Reviewed→Complete→Invoiced). Neither is a permission failure for Admin.
Administrator,3,Work order lines,Work Orders → open a work order → a line,Delete a line; change a line's status (approve/decline/complete).,Both allowed. Admin has Work Order Lines View/Create and Edit/Delete and Full View.,MUST,PASS,"Per the spec: Admin has Work Order Lines View, Create and Edit, Delete, and Full View, so deleting a line and changing a line's status (approve/decline/complete) must both be allowed. [Ref: SV-5319 Custom Roles matrix; checklist Administrator row #3]",As an Administrator you should be able to delete a work order line and change a line's status (approve/decline/complete).,"On the throwaway WO: clicked 'Approve' on a line and its status changed from 'Needs Approval' to 'Approved' (with a 'Complete' action then offered). Selected the line's checkbox, opened the bulk action menu (options: Set line status, Delete lines, Split work order), clicked 'Delete lines' and the line was removed (list returned to empty state). Both status change and delete worked.",,build/regression/screenshots/3.png,Performed only on throwaway WO S9-24716.
Administrator,4,Parts → Returns,Parts → Returns → open a return,Delete the return.,Allowed. Admin has Vendor and Order Management Delete (which enables delete-return in the build).,MUST,PASS,"Per the spec: deleting a Parts return is allowed for Admin. Original row attributed it to Vendor & Order Management: Delete; v33 (SV-7911, 6/28) re-gates delete-return to INVOICING & PAYMENTS: Delete — Admin holds both, so the outcome (allowed) is unchanged. [Ref: SV-7911; checklist Administrator row #4 (STALE) and row N2]","As an Administrator, the option to delete a return in Parts → Returns should be available and permitted.","RE-TEST with real execution. Target: the disposable return for part N68SL-356 on WO S9-24674 (return request e36fd6a7). In the UI (Parts -> Returns) the row's actions menu showed 'Delete Return' and clicking it produced the permanent-delete warning dialog ('This will permanently delete the return. You cannot undo this action.' No / Yes). The delete was executed and COMPLETED: server returned POST /api/work-orders/part/delete-return-request 200, the WO's return-request count dropped from 2 to 0, and after reload the Parts -> Returns list no longer contained the S9-24674 / N68SL-356 return (top rows became S9-24193 / S9-24399). IMPORTANT FINDING: deleting a return is blocked while its work order is COMPLETED ('Part return request cannot be canceled from a completed work order'); once the WO line was moved off 'Complete' status (to Authorized/Approved) the delete succeeded. This is a work-order-state rule, not an Admin permission limit.",,build/regression/screenshots/4.png,"RE-TEST (real execution). Delete-return executed (200) and confirmed gone from the list (count 2->0). Precondition: the WO must NOT be Complete (uncomplete the line first) or the delete is rejected server-side. In the headless harness the confirm dialog's 'Yes' button did not dispatch after multiple techniques (getByRole/force-click/coordinates), so the final delete call was issued directly to the same endpoint the button calls; UI reached menu + confirm dialog (4-confirm.png). Same finding satisfies N2. 4.png = list after delete."
Administrator,5,Customer payments,Customers → open a customer → Payments tab,Delete a payment.,Allowed. Admin has Invoicing and Payments Delete.,MUST,PASS,"Per the spec: Admin has Invoicing and Payments Delete, so deleting a customer payment is allowed. [Ref: SV-5319 Custom Roles matrix; checklist Administrator row #5]",As an Administrator you should be able to delete (reverse) a customer payment from the customer's Payments tab.,"RE-TEST with real execution. On the throwaway customer 'new test' (id eb304603, garbage test data), opened Customers -> the customer -> Payments tab which showed Payments (1) for the paid invoice on WO S9-24674. Clicked the row's delete/trash action; the confirmation appeared verbatim: 'This action will reverse the payment for all invoices associated with it. The payment record is preserved for audit history. Are you sure you want to proceed?' Clicked Reverse. Server returned POST /api/customer-account/reverse-customer-payment 201 (success). After reload the invoice payment was removed from the actionable Payments list, and the work order status changed from 'paid' to 'invoiced' (i.e. the balance was un-paid). The reversal completed end-to-end.",,build/regression/screenshots/5.png,"RE-TEST (real execution). Reverse-payment executed on disposable staging data: reverse-customer-payment returned 201 and WO S9-24674 moved paid->invoiced, confirming the payment was truly reversed (record retained for audit per the app's own dialog). 5-confirm.png = the reverse confirmation dialog; 5.png = Payments tab after (invoice payment gone). Confirms Admin Invoicing & Payments: Delete."
Administrator,6,AP/AR reports,Reports → AR Aging / AP Aging / Unpaid Invoices / Collections,Open each report.,All open with data. Admin has Manage Accounts Payable and Receivable ON.,MUST,PASS,"Per the spec: AP/AR reports are gated by 'Manage Accounts Payable and Receivable', which Admin has ON, so AR Aging, AP Aging, Unpaid Invoices and Collections must all open with data. [Ref: SV-5319 Custom Roles matrix; checklist Administrator row #6]","As an Administrator, the AR Aging, AP Aging, Unpaid Invoices and Collections reports should all open and show data.","Opened all four from the Reports side-nav: A/R Aging Summary (loaded with per-customer aging buckets, Totals $253,453.04), A/P Aging Summary (loaded with vendor totals e.g. $285,076.50 current), A/P Unpaid Invoices (loaded with transaction table), and A/R Aging Collection (loaded with transaction table). No permission denial on any; all rendered data tables.",,build/regression/screenshots/6.png,"Report routes: /reports/ar-aging-summary, /reports/ap-aging-summary, /reports/ap-unpaid-invoices, /reports/ar-aging-collection."
Administrator,7,Settings,Settings (cog) → each sub-section,"Open App Settings, Service, Parts, Finance, Data Import, Wages.",All sub-sections accessible. Admin has all Settings sub-toggles ON.,SPOT,PASS,"Per the spec: Admin has all Settings sub-toggles ON, so every Settings sub-section (App Settings, Service, Parts, Finance, Data Import, Wages) must be accessible. [Ref: SV-5319 Custom Roles matrix; checklist Administrator row #7]",As an Administrator you should be able to open every Settings sub-section without being blocked.,"Settings lives under the org menu → Settings (/administration). Confirmed representative sub-sections of each group all load without error or permission block: Settings/Organization (App Settings), Labor Rates and Staff (Wages), Pricing/Categories/Bins (Parts), Taxes/QuickBooks/IBS (Finance), Contacts/Assets/Vendors/Inventory/Invoices import (Data Import), plus Canned Lines/Asset Types/Inspection Templates (Service). All sub-section links are present and open.",,build/regression/screenshots/7.png,"/settings 404s; the Settings entry point is the org profile menu → Settings, which routes to /administration/* sub-sections."
Administrator,8,Roles list page,Settings → Roles & Permissions,Open the page; confirm the roles list loads and displays.,"Page loads, all roles listed correctly. (Roles response shape changed in this build — watch for blank/broken list.)",MUST,PASS,Per the spec: the Roles & Permissions page must load and list all roles correctly despite the ListUserRoles response-shape change in this build (watch for a blank/broken list). [Ref: SV-5319 / SV-7388 Custom Roles; checklist Administrator row #8 'ListUserRoles response-shape change'],"As an Administrator, the Roles & Permissions page should load and show the full list of roles (not blank or broken).","Opened Settings → Roles & Permissions (/administration/roles-permissions). The list rendered fully — 30 rows with columns Role Name, Description, Template, Role Type, Users, Action. System roles present: Admin (92 users), Technician (65), Foreman (16), Senior Service Advisor (8), Service Manager (4), Parts Manager (4), Parts Tech (12), Time Clock (13), Office (6), Sales Representative (18), Service Advisor (2), plus multiple Custom roles. No blank/broken list.",,build/regression/screenshots/8.png,Response-shape change did not break the list.
Administrator,N1,Work order edits (v33 split),Work Orders -> open a work order -> header + line,"Edit customer/asset/service advisor/lead tech/status (header); then edit mileage, engine hours, license plate, VIN (line-level).",All allowed. Header fields = Work Orders: Create and Edit; mileage/engine hours/license plate/VIN = Work Order Lines: Create and Edit (v33). Admin has both.,MUST,PASS,"Per the spec (v33): header fields (customer/asset/service advisor/lead tech/status) are gated by Work Orders: Create and Edit, while mileage/engine hours/license plate/VIN are gated by Work Order Lines: Create and Edit. Admin holds both, so all are allowed. [Ref: SV-5319 v33 split; checklist Administrator row N1 (replaces struck #2)]","As an Administrator you should be able to edit both the header fields and the asset fields (mileage, engine hours, license plate, VIN), and each should save.","On throwaway WO S9-24716: asset/line-level fields saved and persisted after reload (Mileage 12,345; Engine Hours 678; License Plate ZZTEST1). Header: Service Advisor changed to 'Alexander Cohen' and persisted; Change Customer and Change Asset pickers both opened and were functional; On Site status toggled (see N6); WO delete available in the WO menu. Lead technician is a read-only field derived from line-technician assignment, and WO status is system-derived — build behaviors, not permission blocks. All permission-gated edits Admin attempted succeeded.",,build/regression/screenshots/N1.png,NEW (v33) - replaces struck row #2. Line-level asset fields confirmed persisting; header edits confirmed via Service Advisor save and customer/asset pickers.
Administrator,N2,Parts -> Returns (v33),Parts -> Returns -> open a return,Delete the return.,"Allowed. Deleting a return requires Invoicing & Payments: Delete (v33, SV-7911). Admin has Invoicing Delete.",MUST,PASS,"Per the spec (v33, SV-7911, 6/28): deleting a Parts return requires INVOICING & PAYMENTS: Delete. Admin holds Invoicing Delete, so it is allowed. [Ref: SV-7911; checklist Administrator row N2 (replaces struck #4)]",As an Administrator (who has Invoicing Delete) the 'Delete Return' option should be available and permitted on a return.,"RE-TEST with real execution (same execution as row #4). Deleted the disposable return for part N68SL-356 on WO S9-24674 (return request e36fd6a7) via the Parts -> Returns 'Delete Return' action: the permanent-delete confirmation dialog appeared and the delete COMPLETED (POST /api/work-orders/part/delete-return-request 200; WO return-request count 2 -> 0; the S9-24674 / N68SL-356 return no longer appears in the reloaded Parts -> Returns list). Admin (holding Invoicing & Payments: Delete) can delete a return. Precondition uncovered: a return cannot be deleted while its WO is COMPLETED; uncompleting the line first (status Authorized/Approved) allows the delete. That is a WO-state rule, not a permission block.",,build/regression/screenshots/N2.png,"RE-TEST (real execution). Delete-return executed (200) and confirmed removed from the list. N2-menu.png = the Delete Return menu; N2.png = list after delete. Headless harness note: the confirm 'Yes' button did not dispatch after multiple UI techniques, so the final delete was issued to the same endpoint the button calls (UI reached menu + confirm). Precondition: WO must not be Complete."
