case_id,class_full,severity,project,section,field,history_evidence,damaged_by,damaged_on,field_format,title,url
C22319,LEGACY-TERSE (not damage),,Other / unlisted,A. Prerequisites & Foundational Changes,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Feature flag disabled - deposits UI is not visible,https://shopview.testrail.io/index.php?/cases/view/22319
C22320,LEGACY-TERSE (not damage),,Other / unlisted,A. Prerequisites & Foundational Changes,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Feature flag enabled - deposits UI becomes available,https://shopview.testrail.io/index.php?/cases/view/22320
C22321,LEGACY-TERSE (not damage),,Other / unlisted,A. Prerequisites & Foundational Changes,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,New Payment button visible on Invoiced WO with balance and permission,https://shopview.testrail.io/index.php?/cases/view/22321
C22322,LEGACY-TERSE (not damage),,Other / unlisted,A. Prerequisites & Foundational Changes,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,New Payment modal excludes Charge Account,https://shopview.testrail.io/index.php?/cases/view/22322
C22323,LEGACY-TERSE (not damage),,Other / unlisted,A. Prerequisites & Foundational Changes,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,New Payment modal preselects current invoice and leaves method empty,https://shopview.testrail.io/index.php?/cases/view/22323
C22324,LEGACY-TERSE (not damage),,Other / unlisted,A. Prerequisites & Foundational Changes,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Submit partial payment on Invoiced WO,https://shopview.testrail.io/index.php?/cases/view/22324
C22325,LEGACY-TERSE (not damage),,Other / unlisted,A. Prerequisites & Foundational Changes,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,New Payment button hidden when WO is not Invoiced,https://shopview.testrail.io/index.php?/cases/view/22325
C22326,LEGACY-TERSE (not damage),,Other / unlisted,A. Prerequisites & Foundational Changes,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,New Payment button hidden when invoice is fully paid,https://shopview.testrail.io/index.php?/cases/view/22326
C22327,LEGACY-TERSE (not damage),,Other / unlisted,A. Prerequisites & Foundational Changes,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Part Sale New Payment option appears in more menu for allowed role,https://shopview.testrail.io/index.php?/cases/view/22327
C22328,LEGACY-TERSE (not damage),,Other / unlisted,A. Prerequisites & Foundational Changes,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Part Sale New Payment allowed when Invoiced PS balance is $0 but not Paid,https://shopview.testrail.io/index.php?/cases/view/22328
C22329,SUSPECT-LOW,LOW,Other / unlisted,A. Prerequisites & Foundational Changes,Preconditions,SEPARATORS-LOST,Bilal Muzamil (US),2026-05-03,markdown,Part Sale New Payment hidden when PS is Paid,https://shopview.testrail.io/index.php?/cases/view/22329
C22329,SUSPECT-LOW,LOW,Other / unlisted,A. Prerequisites & Foundational Changes,Expected,SEPARATORS-LOST,Bilal Muzamil (US),2026-05-03,markdown,Part Sale New Payment hidden when PS is Paid,https://shopview.testrail.io/index.php?/cases/view/22329
C22332,LEGACY-TERSE (not damage),,Other / unlisted,A. Prerequisites & Foundational Changes,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Delete Payment dialog UI is updated,https://shopview.testrail.io/index.php?/cases/view/22332
C22333,LEGACY-TERSE (not damage),,Other / unlisted,A. Prerequisites & Foundational Changes,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Delete Credit dialog UI is updated,https://shopview.testrail.io/index.php?/cases/view/22333
C22335,LEGACY-TERSE (not damage),,Other / unlisted,A. Prerequisites & Foundational Changes,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,QBO Deposit Sync section visible when prerequisites met,https://shopview.testrail.io/index.php?/cases/view/22335
C22336,LEGACY-TERSE (not damage),,Other / unlisted,A. Prerequisites & Foundational Changes,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,QBO Deposit Sync checkbox enables button,https://shopview.testrail.io/index.php?/cases/view/22336
C22339,LEGACY-TERSE (not damage),,Other / unlisted,B. Create Deposits in ShopView,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Add Deposit button visible on allowed WO statuses,https://shopview.testrail.io/index.php?/cases/view/22339
C22340,LEGACY-TERSE (not damage),,Other / unlisted,B. Create Deposits in ShopView,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Add Deposit button hidden on disallowed WO statuses,https://shopview.testrail.io/index.php?/cases/view/22340
C22345,LEGACY-TERSE (not damage),,Other / unlisted,B. Create Deposits in ShopView,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Deposit Date is editable and allows past dates,https://shopview.testrail.io/index.php?/cases/view/22345
C22346,LEGACY-TERSE (not damage),,Other / unlisted,B. Create Deposits in ShopView,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Payment Method excludes Charge Account,https://shopview.testrail.io/index.php?/cases/view/22346
C22347,LEGACY-TERSE (not damage),,Other / unlisted,B. Create Deposits in ShopView,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Memo pre-populated with Work Order number,https://shopview.testrail.io/index.php?/cases/view/22347
C22350,LEGACY-TERSE (not damage),,Other / unlisted,B. Create Deposits in ShopView,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Deposit Amount accepts valid currency and max amount,https://shopview.testrail.io/index.php?/cases/view/22350
C22351,LEGACY-TERSE (not damage),,Other / unlisted,B. Create Deposits in ShopView,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Deposit Amount strips invalid characters,https://shopview.testrail.io/index.php?/cases/view/22351
C22353,LEGACY-TERSE (not damage),,Other / unlisted,B. Create Deposits in ShopView,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Deposit Amount minimum 0.01 is accepted,https://shopview.testrail.io/index.php?/cases/view/22353
C22355,LEGACY-TERSE (not damage),,Other / unlisted,B. Create Deposits in ShopView,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Deposit amount may exceed WO/Estimate balance,https://shopview.testrail.io/index.php?/cases/view/22355
C22356,LEGACY-TERSE (not damage),,Other / unlisted,B. Create Deposits in ShopView,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Submit deposit creates CP number and persists on WO,https://shopview.testrail.io/index.php?/cases/view/22356
C22357,LEGACY-TERSE (not damage),,Other / unlisted,B. Create Deposits in ShopView,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Multiple deposits can be created on one WO,https://shopview.testrail.io/index.php?/cases/view/22357
C22358,LEGACY-TERSE (not damage),,Other / unlisted,B. Create Deposits in ShopView,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Deposit submit failure shows error toast,https://shopview.testrail.io/index.php?/cases/view/22358
C22360,LEGACY-TERSE (not damage),,Other / unlisted,"C. Apply, Invoice, Display Deposits",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,WO Invoice lists multiple deposits/payments in received order,https://shopview.testrail.io/index.php?/cases/view/22360
C22361,LEGACY-TERSE (not damage),,Other / unlisted,"C. Apply, Invoice, Display Deposits",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,WO Estimate shows deposits in Payments section,https://shopview.testrail.io/index.php?/cases/view/22361
C22362,LEGACY-TERSE (not damage),,Other / unlisted,"C. Apply, Invoice, Display Deposits",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Financial Info Payments total includes deposits,https://shopview.testrail.io/index.php?/cases/view/22362
C22363,LEGACY-TERSE (not damage),,Other / unlisted,"C. Apply, Invoice, Display Deposits",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Customer Payments displays deposit row correctly,https://shopview.testrail.io/index.php?/cases/view/22363
C22364,LEGACY-TERSE (not damage),,Other / unlisted,"C. Apply, Invoice, Display Deposits",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Blank reference and memo render blank,https://shopview.testrail.io/index.php?/cases/view/22364
C22365,LEGACY-TERSE (not damage),,Other / unlisted,"C. Apply, Invoice, Display Deposits",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Customer Payments delete button hidden without permission,https://shopview.testrail.io/index.php?/cases/view/22365
C22366,LEGACY-TERSE (not damage),,Other / unlisted,"C. Apply, Invoice, Display Deposits",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Create Invoice with one deposit auto-applies and reduces balance,https://shopview.testrail.io/index.php?/cases/view/22366
C22367,LEGACY-TERSE (not damage),,Other / unlisted,"C. Apply, Invoice, Display Deposits",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Create Invoice with multiple deposits auto-applies all,https://shopview.testrail.io/index.php?/cases/view/22367
C22368,LEGACY-TERSE (not damage),,Other / unlisted,"C. Apply, Invoice, Display Deposits",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Charged-to-account invoice with deposit is Partially Paid,https://shopview.testrail.io/index.php?/cases/view/22368
C22369,LEGACY-TERSE (not damage),,Other / unlisted,"C. Apply, Invoice, Display Deposits",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Deposits only appear for their own WO,https://shopview.testrail.io/index.php?/cases/view/22369
C22370,LEGACY-TERSE (not damage),,Other / unlisted,"C. Apply, Invoice, Display Deposits",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Customer Unpaid Invoices New Payment includes deposit in balance but not line items,https://shopview.testrail.io/index.php?/cases/view/22370
C22371,LEGACY-TERSE (not damage),,Other / unlisted,"C. Apply, Invoice, Display Deposits",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Deposit exceeds invoice total creates paid invoice and credit,https://shopview.testrail.io/index.php?/cases/view/22371
C22372,LEGACY-TERSE (not damage),,Other / unlisted,"C. Apply, Invoice, Display Deposits",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Overpayment alert persists until manually closed,https://shopview.testrail.io/index.php?/cases/view/22372
C22373,LEGACY-TERSE (not damage),,Other / unlisted,"D. Delete, Reverse, Split Deposits",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Delete deposit confirmation copy and buttons,https://shopview.testrail.io/index.php?/cases/view/22373
C22374,LEGACY-TERSE (not damage),,Other / unlisted,"D. Delete, Reverse, Split Deposits",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Cancel or X delete deposit leaves deposit intact,https://shopview.testrail.io/index.php?/cases/view/22374
C22375,LEGACY-TERSE (not damage),,Other / unlisted,"D. Delete, Reverse, Split Deposits",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Delete deposit removes deposit and recalculates invoice balance,https://shopview.testrail.io/index.php?/cases/view/22375
C22376,LEGACY-TERSE (not damage),,Other / unlisted,"D. Delete, Reverse, Split Deposits",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Delete deposit with actual payment sets Partially Paid,https://shopview.testrail.io/index.php?/cases/view/22376
C22378,LEGACY-TERSE (not damage),,Other / unlisted,"D. Delete, Reverse, Split Deposits",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Delete deposit hidden without permission,https://shopview.testrail.io/index.php?/cases/view/22378
C22379,LEGACY-TERSE (not damage),,Other / unlisted,"D. Delete, Reverse, Split Deposits",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Reverse invoice with deposit keeps deposit on WO and reapplies on reinvoice,https://shopview.testrail.io/index.php?/cases/view/22379
