internal_id,testrail_case_id,testrail_link,section,title,verdict,reason,merge_group,merge_survivor,tier,sense_verdict,sense_reason,refs_ok,title_over_80
SCH-NAV-01,C29925,https://shopview.testrail.io/index.php?/cases/view/29925,Navigation and Layout,Schedule appears as a top-level navigation item,KEEP,Navigation/entry contract — Schedule as a top-level nav item; survivor of G-NAV-LANDING (gains the two-region layout lines).,G-NAV-LANDING,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,
SCH-NAV-02,C29926,https://shopview.testrail.io/index.php?/cases/view/29926,Navigation and Layout,The Schedule screen is split into a left work order sidebar and a main schedule grid,MERGE,Absorbed into SCH-NAV-01 (C29925) — the two-region layout (sidebar with mini calendar + WO list / grid with toolbar) becomes 2 expected lines of the nav/open case,G-NAV-LANDING,SCH-NAV-01,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-NAV-03,C29927,https://shopview.testrail.io/index.php?/cases/view/29927,Navigation and Layout,Day / Week / Month segmented control switches the grid between the three views,KEEP,Core view-switch contract: Day/Week/Month each render a genuinely different grid; the same shifts must survive all three.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,
SCH-NAV-04,C29928,https://shopview.testrail.io/index.php?/cases/view/29928,Navigation and Layout,"Grid rows are grouped by department under group headers, with the department's technicians listed beneath",KEEP,"Department-grouped rows with all staff of visible departments — the structural row model (§14.4), a wrong-grouping bug is real.",,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-NAV-05,C29929,https://shopview.testrail.io/index.php?/cases/view/29929,Navigation and Layout,Collapsing a department group header hides its technician rows; expanding restores them,KEEP,Collapse/expand of a department group — distinct interaction with a concrete restore assertion.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-NAV-06,C29930,https://shopview.testrail.io/index.php?/cases/view/29930,Navigation and Layout,There is no separate technician-only view or Tech/Dept toggle - department grouping is the only grid grouping,WEAK-KEEP,Absence-only assertion (no Tech/Dept toggle exists anywhere) — legitimate spec line but a tester can only prove a negative by exhausting the toolbar; low bug-catching value.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-NAV-07,C29931,https://shopview.testrail.io/index.php?/cases/view/29931,Navigation and Layout,An Unassigned row sits within the grid (not a separate tray) and holds shifts not yet tied to a technician,KEEP,Unassigned lane inside the grid holding technician-less shifts — a distinct structural element with block-anatomy assertions.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-MCAL-01,C29932,https://shopview.testrail.io/index.php?/cases/view/29932,Sidebar - Mini Calendar,Clicking a date in the mini calendar navigates the main grid to that date,KEEP,Navigation contract: mini-calendar click drives the main grid to that date — wrong-target bugs are real and common.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,
SCH-MCAL-02,C29933,https://shopview.testrail.io/index.php?/cases/view/29933,Sidebar - Mini Calendar,Mini calendar month/year picker offers a grid of month buttons and year navigation arrows,KEEP,Month/year picker interaction — distinct control with a concrete outcome (navigate to another month/year).,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-MCAL-03,C29934,https://shopview.testrail.io/index.php?/cases/view/29934,Sidebar - Mini Calendar,A chevron toggle collapses and expands the mini calendar grid,KEEP,Chevron collapse/expand of the mini calendar — distinct interactive behaviour freeing sidebar space.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,
SCH-MCAL-04,C29935,https://shopview.testrail.io/index.php?/cases/view/29935,Sidebar - Mini Calendar,"Mini calendar highlights the selected date, indicates today, and highlights the week row on hover",WEAK-KEEP,Styling detail (selected/today/week-hover highlights) — failure is cosmetic; kept because the cues are design-pinned.,,,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-WOL-01,C29936,https://shopview.testrail.io/index.php?/cases/view/29936,Sidebar - Work Order List and Search,"The sidebar shows a flat, scrollable list of work order cards with no Assigned/Unassigned tabs",KEEP,"Structural contract: flat card list, NO Assigned/Unassigned tabs (a deliberate product reversal Branko confirmed) — a tabs regression would be real.",,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-WOL-02,C29937,https://shopview.testrail.io/index.php?/cases/view/29937,Sidebar - Work Order List and Search,"Work order card shows WO number, line count plus hours, customer, unit, lead technician, and a status-colored left border",KEEP,Card anatomy as ONE case covering every field + the status left-border — good packaging (the anti-slop pattern done right).,,,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-WOL-03,C29938,https://shopview.testrail.io/index.php?/cases/view/29938,Sidebar - Work Order List and Search,'Search work orders' matches the work order number,MERGE,"Absorbed into SCH-WOL-04 (C29939) — the work-order-number search becomes a fourth search step, so one case proves all four searchable card fields",G-SIDEBAR-SEARCH,SCH-WOL-04,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,
SCH-WOL-04,C29939,https://shopview.testrail.io/index.php?/cases/view/29939,Sidebar - Work Order List and Search,"'Search work orders' matches customer name, unit number, and technician name",KEEP,Sidebar search contract across all four card fields; survivor of G-SIDEBAR-SEARCH (gains the WO-number step).,G-SIDEBAR-SEARCH,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,
SCH-WOL-05,C29940,https://shopview.testrail.io/index.php?/cases/view/29940,Sidebar - Work Order List and Search,Sidebar search filters the card list in real time as you type,WEAK-KEEP,Live-as-you-type narrowing — the search contract itself lives in the search cases; this adds only the no-Enter-needed nuance (+ the honest server-paging note).,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,
SCH-WOL-06,C29941,https://shopview.testrail.io/index.php?/cases/view/29941,Sidebar - Work Order List and Search,Sidebar search with no matching work orders shows an empty list,WEAK-KEEP,"Empty-state case (one per surface is the allowed pattern) — no message text is pinned, so the only hard assertions are no-error + restore-on-clear.",,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,
SCH-FILT-01,C29942,https://shopview.testrail.io/index.php?/cases/view/29942,Sidebar - Work Order Filters,The 'Filters' button opens Assignment / Status / Priority filter groups,KEEP,Filter surface contract: the three groups (Assignment/Status/Priority) + the active-count badge on 'Filters'.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,
