Case ID,Section,Title,Status,Type,Expected,Actual,Reason,Logged_to_TestRail
26307,Roles List Page,Roles & Permissions list page loads with the correct columns and Create button,Passed,,"Heading 'Roles & Permissions' with NO subtitle; 6 labeled columns Role Name, Description, Template, Role Type, Users, Action + leading icon column; blue Create button","Page heading reads 'Roles & Permissions' with no subtitle beneath. Table shows a leading unlabeled icon column (holds lock for system roles) then 6 labeled columns in order: Role Name (sortable), Description, Template, Role Type (sortable), Users (sortable), Action. A 'Create custom role' button is present with white text on blue (rgb(56,116,255)).","Matches expected: heading, no subtitle, column set/order, and blue Create button all present.",Yes
26308,Roles List Page,All 11 system roles appear in the list with System badge,Passed,,11 system roles present; every system row shows a System badge; every custom row shows a Custom badge,"All 11 system roles present: Technician, Senior Service Advisor, Parts Manager, Time Clock, Foreman, Parts Tech, Service Manager, Admin, Office, Sales Representative, Service Advisor. Every system row's Role Type shows a 'system' badge (text-transform: capitalize -> displays 'System', light blue rounded). Custom rows show 'custom' -> 'Custom' badge. Note: the list uses short labels (Admin/Parts Tech/Time Clock) rather than the long names in the case text, but all 11 system roles are present with correct badges.",Matches expected: 11 system roles with System badges and custom roles with Custom badges. Short vs long label form is covered separately by 26340.,Yes
26309,Roles List Page,Create Custom Role opens the 'Choose a template' modal,Passed,,"Modal 'Choose a template' with subtitle, template cards, Skip + Apply + close(x)","Clicking 'Create custom role' opens a modal titled 'Choose a template' with subtitle 'Start from a template to pre-fill settings, or skip to start from scratch.' It lists the system-role template cards and has 'Skip' and 'Apply' buttons plus a close (x).",Matches expected exactly.,Yes
26310,Roles List Page,Custom role row exposes pencil (edit) and three-dot menu; View Permissions is inside the menu,Passed,,Custom row shows pencil + three-dot; no standalone eye; View Permissions inside the menu,"Custom role rows expose a pencil (edit) icon and a three-dot (more_vert) menu, with NO standalone eye/visibility icon. Opening the three-dot menu on a custom row shows 'View Permissions' (and 'Delete'). Standalone eye icon appears only on locked system rows (Office, Time Clock).",Matches expected.,Yes
26311,Roles List Page,"Editable system role row shows pencil (edit), three-dot menu, and eye icons — no lock",Failed,stale,"Actions column shows pencil (edit), eye (view), AND three-dot menu icons on editable system rows; no lock","Editable system rows (Technician, Service Manager, Foreman, etc.) show a pencil (edit) icon and a three-dot (more_vert) menu, and NO lock icon - but there is NO standalone eye/view icon. 'View Permissions' is inside the three-dot menu (consistent with case 26310). A standalone eye icon appears only on locked rows (Office, Time Clock).","stale case - UI evolved: editable system rows do not show a standalone eye icon; View Permissions lives inside the three-dot menu (matches 26310). No-lock part is correct, but the standalone-eye expectation is contradicted. Underlying behavior is correct/consistent.",No
26312,Roles List Page,Administrator system role row shows a lock icon and only the eye icon in Actions,Passed,,Step 3: The Settings/App Settings/Service/Parts/Finance/Data Import/View Manage Wages permissions can NOT be toggled off,Opened the Admin role in the editor (pencil). Scrolled to the Settings toggles. The Settings-area toggles (e.g. App Settings) are ON and disabled (aria-disabled=true); clicking App Settings did NOT turn it off - it remained checked. 7 toggles disabled and a 'Full administrative access' banner is shown. Permissions cannot be toggled off.,EXP met: Admin's core Settings permissions cannot be toggled off. (Case title mentions lock/eye-only which is stale - Admin is editable via pencil - but the graded Expected about non-toggleable permissions passes.),Yes
26313,Roles List Page,"Office system role is non-editable (lock icon, eye-only actions)",Passed,,Lock icon left of 'Office'; Actions shows only the eye icon; clicking eye opens read-only Permission Summary,"Office row shows a lock icon in the leading icon column and the Actions column shows only the eye (visibility) icon - no pencil, no three-dot. Clicking the eye navigates to /administration/roles-permissions/{id}/summary and opens a 'View Permissions' panel (class permission-summary) showing Office's name, description and grouped permissions with NO save/update controls (read-only).",Matches expected: lock + eye-only + read-only Permission Summary.,Yes
26314,Roles List Page,"Time Clock User system role is non-editable (lock icon, eye-only actions)",Passed,,Lock icon left of 'Time Clock User'; Actions shows only the eye icon; clicking eye opens read-only Permission Summary,"Time Clock row (UI displays 'Time Clock') shows a lock icon and only the eye (visibility) icon in Actions. Clicking the eye opens the read-only 'View Permissions' summary (/{id}/summary) for Time Clock with no save controls. Note: UI label is 'Time Clock', not 'Time Clock User'.",Matches expected: lock + eye-only + read-only summary. Only difference is the display label form.,Yes
26315,Roles List Page,Users column shows a clickable count linking to the filtered Staff page,Passed,,Nonzero count = blue clickable number linking to /administration/staff?roleName=; zero = non-clickable red 0,"Nonzero user counts render as blue clickable numbers wrapped in <a href='/administration/staff?roleName=<RoleName>'> (e.g. Technician=65, Admin=93 link to the filtered Staff page). Zero-user roles show a red '0' with no link (not clickable), e.g. custom roles with 0 users.",Matches expected.,Yes
26316,Roles List Page,Search field filters the Roles list live,Passed,,Search field with floating label 'Search Role'; list filters live as you type,The search field is a floating-label 'Search Role' input with a magnifier icon (no HTML placeholder). Typing 'Technician' filtered the list live from 32 rows down to 1 row ('Technician').,Matches expected: live filtering with floating label.,Yes
26317,Roles List Page,Administration / sidebar Roles & Permissions item hidden for users without Settings: App Settings,Passed,,"SETTINGS group does not appear, or 'Roles & Permissions' item is not present under it","Logged in as the Tech user (effective fe_permissions = scheduleView, timesheetsView, workOrdersView; no App Settings). The left sidebar shows NO SETTINGS group at all and NO 'Roles & Permissions' item anywhere (DOM scan found neither).",Matches expected: without Settings:App Settings the SETTINGS group and Roles & Permissions item are hidden.,Yes
26318,Roles List Page,'Locations' appears under the SETTINGS sidebar group (build-observed; not in this spec),Passed,,"SETTINGS group shows Settings, Staff, Roles & Permissions, Locations, Departments, Taxes; Locations between Roles & Permissions and Departments","The left sidebar SETTINGS group shows, in order: Settings, Staff, Roles & Permissions, Locations, Departments, Taxes. 'Locations' (location_on icon) is present between 'Roles & Permissions' and 'Departments'.",Matches expected (build-observed nav).,Yes
