Test ID,Title,Section/Area,Priority,Status,Step #,Step (Action Followed),Expected Behavior (this step),Actual / Current Behavior,Failing Point / Block Reason,References
SP-CUST-005,Customer Delete grants delete of customer records only (not payments),Customer Management → Delete (customers),Medium,BLOCKED,1,"As admin, follow the admin flow to create the custom role. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)",Create Custom Role dialog opens from a blank/no-access template with all permissions OFF.,Performed as expected.,,SV-7388
SP-CUST-005,Customer Delete grants delete of customer records only (not payments),Customer Management → Delete (customers),Medium,BLOCKED,2,Enable Customer Management Delete.,Delete auto-enables Edit and View.,Performed as expected.,,SV-7388
SP-CUST-005,Customer Delete grants delete of customer records only (not payments),Customer Management → Delete (customers),Medium,BLOCKED,3,"Set the toggles exactly as specified in role_setup, then Create.",Role saves successfully with only the intended toggles: Customer Management Delete ON (Edit+View auto); all else OFF.,Performed as expected.,,SV-7388
SP-CUST-005,Customer Delete grants delete of customer records only (not payments),Customer Management → Delete (customers),Medium,BLOCKED,4,Administration > Staff: assign the new role to the test user and confirm the forced-logout notice.,Role is assigned; test user is logged out and must re-authenticate.,Performed as expected.,,SV-7388
SP-CUST-005,Customer Delete grants delete of customer records only (not payments),Customer Management → Delete (customers),Medium,BLOCKED,5,Log in as the test user in a separate browser/incognito window.,Test user session starts with the custom role applied.,Performed as expected.,,SV-7388
SP-CUST-005,Customer Delete grants delete of customer records only (not payments),Customer Management → Delete (customers),Medium,BLOCKED,6,Delete customer record 'Temp Corp'.,Customer record is deleted.,"Tech role [customersView,customersCreateAndEdit,customersDelete]: create affordance present ('New customer'); customer-delete control was not surfaced on the customers list or the opened customer detail sub-tab via automated scan. Customer Delete permission + cascade confirmed in the role editor.",Delete affordance not located via automated scan (list/detail); permission exists and cascades in editor. Delete not executed per safety.,SV-7388
SP-CUST-005,Customer Delete grants delete of customer records only (not payments),Customer Management → Delete (customers),Medium,BLOCKED,7,Attempt to delete a customer payment.,Deleting a customer payment is not available (that requires Invoicing Delete).,Not reached.,,SV-7388
SP-CUST-006,"Sensitive customer fields gated by Manage AP/AR, not Customer permission",Customer Management → View (customers) vs View and Manage AP/AR Data,Medium,BLOCKED,1,"As admin, follow the admin flow to create the custom role. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)",Create Custom Role dialog opens from a blank/no-access template with all permissions OFF.,Performed as expected.,,SV-7388
SP-CUST-006,"Sensitive customer fields gated by Manage AP/AR, not Customer permission",Customer Management → View (customers) vs View and Manage AP/AR Data,Medium,BLOCKED,2,"Set the toggles exactly as specified in role_setup, then Create.",Role saves successfully with only the intended toggles: Customer Management View ON; View and Manage AP/AR Data OFF; all else OFF.,Performed as expected.,,SV-7388
SP-CUST-006,"Sensitive customer fields gated by Manage AP/AR, not Customer permission",Customer Management → View (customers) vs View and Manage AP/AR Data,Medium,BLOCKED,3,Administration > Staff: assign the new role to the test user and confirm the forced-logout notice.,Role is assigned; test user is logged out and must re-authenticate.,Performed as expected.,,SV-7388
SP-CUST-006,"Sensitive customer fields gated by Manage AP/AR, not Customer permission",Customer Management → View (customers) vs View and Manage AP/AR Data,Medium,BLOCKED,4,Log in as the test user in a separate browser/incognito window.,Test user session starts with the custom role applied.,Performed as expected.,,SV-7388
SP-CUST-006,"Sensitive customer fields gated by Manage AP/AR, not Customer permission",Customer Management → View (customers) vs View and Manage AP/AR Data,Medium,BLOCKED,5,Open 'Acme Fleet' and inspect sensitive customer fields.,"Sensitive customer fields are hidden/gated because View and Manage AP/AR Data is OFF, even though Customer View is ON.",Verifying that sensitive customer fields are gated specifically by View+Manage AP/AR Data (independent of Customer View) requires identifying the exact AP/AR-gated fields in the customer detail and comparing renders with/without seeApArData; not reliably determinable via automated scanning in this session.,AP/AR field-gating not reliably verifiable via automated UI scan; needs targeted field-level manual check.,SV-7388
SP-PS-005,Part Sales Delete grants delete sales and reverse part-sale invoices,Part Sales → Delete (partSales),Medium,BLOCKED,1,"As admin, follow the admin flow to create the custom role. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)",Create Custom Role dialog opens from a blank/no-access template with all permissions OFF.,Performed as expected.,,SV-7388
SP-PS-005,Part Sales Delete grants delete sales and reverse part-sale invoices,Part Sales → Delete (partSales),Medium,BLOCKED,2,"Enable Parts Department, See Financial Data, then Part Sales Delete.",Part Sales Delete auto-enables Edit and View.,Performed as expected.,,SV-7388
SP-PS-005,Part Sales Delete grants delete sales and reverse part-sale invoices,Part Sales → Delete (partSales),Medium,BLOCKED,3,"Set the toggles exactly as specified in role_setup, then Create.",Role saves successfully with only the intended toggles: Parts Department ON; See Financial Data ON; Part Sales Delete ON (Edit+View auto); all else OFF.,Performed as expected.,,SV-7388
SP-PS-005,Part Sales Delete grants delete sales and reverse part-sale invoices,Part Sales → Delete (partSales),Medium,BLOCKED,4,Administration > Staff: assign the new role to the test user and confirm the forced-logout notice.,Role is assigned; test user is logged out and must re-authenticate.,Performed as expected.,,SV-7388
SP-PS-005,Part Sales Delete grants delete sales and reverse part-sale invoices,Part Sales → Delete (partSales),Medium,BLOCKED,5,Log in as the test user in a separate browser/incognito window.,Test user session starts with the custom role applied.,Performed as expected.,,SV-7388
