"Date Range: Aug 1, 2026 - Aug 10, 2026"
"Locations: Staging Heavy Duty - 9919"
Customer,Asset,"Invoice #",Date,"Inv. Hrs","Labor Invoiced","Labor Margin","Parts Invoiced","Parts Margin","Shop Supplies",Margin,"Margin %",Subtotal
"Aacrest Works",,,,+2.0,$200.00,$200.00,"$1,210.00",$800.00,$21.00,"$1,000.00",70.9%,"$1,431.00"
,31UPV8H0JC1XBGM40,,,+2.0,$200.00,$200.00,"$1,000.00",$700.00,$21.00,$900.00,75.0%,"$1,221.00"
,,S-16272,"Aug 10 2026",+2.0,$200.00,$200.00,"$1,000.00",$700.00,$21.00,$900.00,75.0%,"$1,221.00"
,"Parts Sales",,,0.0,$0.00,$0.00,$210.00,$100.00,$0.00,$100.00,47.6%,$210.00
,,P-138,"Aug 10 2026",0.0,$0.00,$0.00,$210.00,$100.00,$0.00,$100.00,47.6%,$210.00
"Aagrove Equipment",,,,0.0,$0.00,$0.00,"$12,361.00","$6,111.00",$0.00,"$6,111.00",49.4%,"$12,361.00"
,"Parts Sales",,,0.0,$0.00,$0.00,"$12,361.00","$6,111.00",$0.00,"$6,111.00",49.4%,"$12,361.00"
,,P-168,"Aug 10 2026",0.0,$0.00,$0.00,"$12,361.00","$6,111.00",$0.00,"$6,111.00",49.4%,"$12,361.00"
"Aborough Media",,,,0.0,$0.00,$0.00,$10.00,$6.50,$0.00,$6.50,65.0%,$10.00
,"Parts Sales",,,0.0,$0.00,$0.00,$10.00,$6.50,$0.00,$6.50,65.0%,$10.00
,,P-167,"Aug 10 2026",0.0,$0.00,$0.00,$10.00,$6.50,$0.00,$6.50,65.0%,$10.00
"E2E COD Customer",,,,0.0,$0.00,$0.00,$195.00,$65.00,$0.00,$65.00,33.3%,$195.00
,"Parts Sales",,,0.0,$0.00,$0.00,$195.00,$65.00,$0.00,$65.00,33.3%,$195.00
,,P-141,"Aug 10 2026",0.0,$0.00,$0.00,$195.00,$65.00,$0.00,$65.00,33.3%,$195.00
"E2E Credits Customer",,,,+2.0,$290.00,$290.00,$340.00,$130.00,$30.46,$420.00,66.7%,$660.46
,86J8FAC1VALJ43SJY,,,+2.0,$290.00,$290.00,$0.00,$0.00,$30.46,$290.00,100.0%,$320.46
,,S-16296,"Aug 10 2026",+1.0,$145.00,$145.00,$0.00,$0.00,$15.23,$145.00,100.0%,$160.23
,,S-16295,"Aug 10 2026",+1.0,$145.00,$145.00,$0.00,$0.00,$15.23,$145.00,100.0%,$160.23
,"Parts Sales",,,0.0,$0.00,$0.00,$340.00,$130.00,$0.00,$130.00,38.2%,$340.00
,,P-140,"Aug 10 2026",0.0,$0.00,$0.00,$195.00,$65.00,$0.00,$65.00,33.3%,$195.00
,,P-139,"Aug 10 2026",0.0,$0.00,$0.00,$145.00,$65.00,$0.00,$65.00,44.8%,$145.00
"E2E Term Customer",,,,+3.0,$435.00,$435.00,$0.00,$0.00,$45.68,$435.00,100.0%,$480.68
,86J8FAC1VALJ43SJY,,,+3.0,$435.00,$435.00,$0.00,$0.00,$45.68,$435.00,100.0%,$480.68
,,S-16292,"Aug 10 2026",+1.0,$145.00,$145.00,$0.00,$0.00,$15.23,$145.00,100.0%,$160.23
,,S-16285,"Aug 10 2026",+2.0,$290.00,$290.00,$0.00,$0.00,$30.45,$290.00,100.0%,$320.45
TestVT1,,,,+12.0,"$1,740.00","$1,740.00",$100.00,$60.00,$182.72,"$1,800.00",97.8%,"$2,022.72"
,86J8FAC1VALJ43SJY,,,+12.0,"$1,740.00","$1,740.00",$100.00,$60.00,$182.72,"$1,800.00",97.8%,"$2,022.72"
,,S-16350,"Aug 10 2026",+1.0,$145.00,$145.00,$50.00,$30.00,$15.23,$175.00,89.7%,$210.23
,,S-16349,"Aug 10 2026",+1.0,$145.00,$145.00,$50.00,$30.00,$15.23,$175.00,89.7%,$210.23
,,S-16301,"Aug 10 2026",+2.5,$362.50,$362.50,$0.00,$0.00,$38.06,$362.50,100.0%,$400.56
,,S-16300,"Aug 10 2026",+1.5,$217.50,$217.50,$0.00,$0.00,$22.84,$217.50,100.0%,$240.34
,,S-16299,"Aug 10 2026",+3.0,$435.00,$435.00,$0.00,$0.00,$45.68,$435.00,100.0%,$480.68
,,S-16298,"Aug 10 2026",+1.0,$145.00,$145.00,$0.00,$0.00,$15.23,$145.00,100.0%,$160.23
,,S-16297,"Aug 10 2026",+2.0,$290.00,$290.00,$0.00,$0.00,$30.45,$290.00,100.0%,$320.45
Totals,,,,+19.0,"$2,665.00","$2,665.00","$14,216.00","$7,172.50",$279.86,"$9,837.50",58.3%,"$17,160.86"
