"Date Range: Jul 1, 2026 - Aug 4, 2026"
"Locations: Staging Heavy Duty - 9919"
Customer,Asset,"Invoice #",Date,"Inv. Hrs","Labor Invoiced","Labor Margin","Parts Invoiced","Parts Margin","Shop Supplies",Margin,"Margin %",Subtotal
"Aaborough Works",,,,0.0,$224.92,$224.92,$0.00,$0.00,$23.62,$224.92,90.5%,$248.54
,86J8FAC1VALJ43SJY,,,0.0,$224.92,$224.92,$0.00,$0.00,$23.62,$224.92,90.5%,$248.54
,,S-16244,"Aug 04 2026",0.0,$224.92,$224.92,$0.00,$0.00,$23.62,$224.92,90.5%,$248.54
"Aacastle Services",,,,0.0,$449.84,$449.84,$0.00,$0.00,$47.24,$449.84,90.5%,$497.08
,86J8FAC1VALJ43SJY,,,0.0,$449.84,$449.84,$0.00,$0.00,$47.24,$449.84,90.5%,$497.08
,,S-16245,"Aug 04 2026",0.0,$224.92,$224.92,$0.00,$0.00,$23.62,$224.92,90.5%,$248.54
,,S-16243,"Aug 04 2026",0.0,$224.92,$224.92,$0.00,$0.00,$23.62,$224.92,90.5%,$248.54
"Aachester Partners",,,,0.0,$224.92,$224.92,$0.00,$0.00,$23.62,$224.92,90.5%,$248.54
,86J8FAC1VALJ43SJY,,,0.0,$224.92,$224.92,$0.00,$0.00,$23.62,$224.92,90.5%,$248.54
,,S-16242,"Aug 04 2026",0.0,$224.92,$224.92,$0.00,$0.00,$23.62,$224.92,90.5%,$248.54
"Aacrest Works",,,,0.0,$574.92,$574.92,$0.00,$0.00,$60.37,$574.92,90.5%,$635.29
,86J8FAC1VALJ43SJY,,,0.0,$574.92,$574.92,$0.00,$0.00,$60.37,$574.92,90.5%,$635.29
,,S-16246,"Aug 04 2026",0.0,$224.92,$224.92,$0.00,$0.00,$23.62,$224.92,90.5%,$248.54
,,S-16241,"Aug 04 2026",0.0,$350.00,$350.00,$0.00,$0.00,$36.75,$350.00,90.5%,$386.75
"Aadale Motors",,,,0.0,$224.92,$224.92,$0.00,$0.00,$23.62,$224.92,90.5%,$248.54
,86J8FAC1VALJ43SJY,,,0.0,$224.92,$224.92,$0.00,$0.00,$23.62,$224.92,90.5%,$248.54
,,S-16247,"Aug 04 2026",0.0,$224.92,$224.92,$0.00,$0.00,$23.62,$224.92,90.5%,$248.54
"Amont Services",,,,0.0,$0.00,$0.00,$16.26,$16.26,$0.00,$16.26,100.0%,$16.26
,"Parts Sales",,,0.0,$0.00,$0.00,$16.26,$16.26,$0.00,$16.26,100.0%,$16.26
,,P-126,"Jul 31 2026",0.0,$0.00,$0.00,$16.26,$16.26,$0.00,$16.26,100.0%,$16.26
"Beman Systems",,,,0.0,"$1,979.40","$1,979.40","$2,459.48","$2,459.48",$207.84,"$4,438.88",95.5%,"$4,646.72"
,2FZHAZCV17AY89906,,,0.0,"$1,979.40","$1,979.40","$2,459.48","$2,459.48",$207.84,"$4,438.88",95.5%,"$4,646.72"
,,S-15826,"Jul 31 2026",0.0,"$1,979.40","$1,979.40","$2,459.48","$2,459.48",$207.84,"$4,438.88",95.5%,"$4,646.72"
Totals,,,,0.0,"$3,678.92","$3,678.92","$2,475.74","$2,475.74",$386.31,"$6,154.66",94.1%,"$6,540.97"
