internal_id,cid,link,report,area,section,title,verdict,findings,note,evidence,f_title,f_title_vs_expected,f_preconditions,f_steps,f_expected,f_references,f_section,f_notes,recheck
SBC-API-01,C30190,https://shopview.testrail.io/index.php?/cases/view/30190,SBC,SBC — API,SBC — API,Asset and invoice rows are fetched on first expand; one call per customer,VIU-Observed-PASS,F18,Summary rows arrive without detail; the first expand fires the per-customer /assets call; nothing is preloaded.,evidence/sales-by-customer/level3-sort.json#levels,OK,OK,OK,OK,OK,"OK — SV-8606 + S8-R14,S8-R16","OK — genuine API/behaviour case in an API-titled section, worded plainly per Rules 7/9","EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-API-02,C30191,https://shopview.testrail.io/index.php?/cases/view/30191,SBC,SBC — API,SBC — API,Sorting is applied on the server and re-fetches the first page,VIU-Observed-PASS,F22,Sorting issues a server request carrying pagination[sortBy] and returns page 1.,evidence/sales-by-customer/level3-sort.json#sortRecheck + tree-sort.json#sortMatrix,OK,OK,OK,OK,OK,"OK — SV-8608 + S10-R8,S10-R8b","OK — genuine API/behaviour case in an API-titled section, worded plainly per Rules 7/9","EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-API-03,C30192,https://shopview.testrail.io/index.php?/cases/view/30192,SBC,SBC — API,SBC — API,The Customer type-ahead queries the server instead of loading every name,VIU-Observed-PASS,F27,The type-ahead queries the server as you type rather than downloading every name.,evidence/sales-by-customer/remaining.json#customerFilter + colsel-search-verify.json#search,OK,OK,OK,OK,OK,"OK — SV-8616 + S18-R2,S18-R4","OK — genuine API/behaviour case in an API-titled section, worded plainly per Rules 7/9","EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-API-04,C30193,https://shopview.testrail.io/index.php?/cases/view/30193,SBC,SBC — API,SBC — API,Customer rows are server-paginated; the totals row is server-computed,VIU-Observed-PASS,"F5,F14","Rows are server-paginated (rowsPerPage/rowsNumber) and totals arrive with the payload, computed over the full set.",evidence/api/sales-by-customer-12mo.json ; evidence/sales-by-customer/tree-sort.json + evidence/sales-by-customer/exports/exports.json,OK,OK,OK,OK,OK,"OK — SV-8616 + S18-R6,S18-R11","OK — genuine API/behaviour case in an API-titled section, worded plainly per Rules 7/9","EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-API-05,C30194,https://shopview.testrail.io/index.php?/cases/view/30194,SBC,SBC — API,SBC — API,"Exports are server-generated and the 10,000-row cap is counted first",VIU-Observed-PASS,F9,Exports are server-generated and the over-size refusal happens before any file is produced (400 with the specific message).,evidence/sales-by-customer/exports/exports.json,OK,OK,OK,OK,OK,"OK — SV-8612 + S14-R3,S14-R14,S15-R3,S15-R22","OK — genuine API/behaviour case in an API-titled section, worded plainly per Rules 7/9","EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-CALC-01,C30149,https://shopview.testrail.io/index.php?/cases/view/30149,SBC,SBC — Totals & Calculations,SBC — Totals & Calculations,Financial columns run in the specified order with Subtotal and Margin rules,VIU-Observed-PASS,"F17,F14","Column order matches the case exactly, and Margin/Subtotal follow the payload's own margin and subtotal fields.",evidence/api/sales-by-customer-12mo.json ; evidence/sales-by-customer/observe-full.json#grid.headRows,OK,OK,OK,OK,OK,"OK — SV-8605 + S7-R6,S11-R1,S7-R6,S4-R12,S20-R19",OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-CALC-02,C30150,https://shopview.testrail.io/index.php?/cases/view/30150,SBC,SBC — Totals & Calculations,SBC — Totals & Calculations,Margin % is Margin over Subtotal to one decimal; em dash when Subtotal <= 0,VIU-Observed-PASS,"F23,F17",Margin % renders to one decimal and shows '—' where Subtotal is $0.00.,evidence/sales-by-customer/observe-full.json#grid.bodyRows[2] ; evidence/sales-by-customer/observe-full.json#grid.headRows,OK,OK,OK,OK,OK,"OK — SV-8605 + S7-R11,S7-R12,S7-R13,S7-R14",OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-CALC-03,C30151,https://shopview.testrail.io/index.php?/cases/view/30151,SBC,SBC — Totals & Calculations,SBC — Totals & Calculations,Inv. Hrs heading is verbatim; value shows +green / -red / 0.0 on every row,DEVIATION,F15,"The heading 'Inv. Hrs' is verbatim correct, but every row shows 0.0, so the +green/-red colouring cannot be observed. Inv. Hrs / Hrs Worked / Hrs Invoiced are 0.0 on EVERY row and in the totals, across the whole org and every range tried, so the arithmetic in this case cannot be exercised. The column itself is built and renders 0.0 correctly. I could not seed non-zero hours because invoice creation is broken on this branch (POST /api/invoices/create and the UI's POST /api/work-orders/invoices/estimate both return HTTP 500; requestIds in ENV-DEFECTS.md). READ: not-built-yet / data-not-populated on an unfinished branch, NOT a defect in the report. MUST be re-run once the branch can create an invoice.",evidence/api/*-12mo.json + evidence/ENV-DEFECTS.md,OK,OK,OK,OK,OK,"OK — SV-8610 + S12-R1,S12-R2,S12-R3,S12-R4,S12-R5,S12-R6",OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-CALC-04,C30152,https://shopview.testrail.io/index.php?/cases/view/30152,SBC,SBC — Totals & Calculations,SBC — Totals & Calculations,Inv. Hrs is never blank: no-labor rows and near-zero values both show 0.0,VIU-Observed-PASS,"F15,F17","Inv. Hrs is never blank — every row, including no-labor rows, renders '0.0'.",evidence/api/*-12mo.json + evidence/ENV-DEFECTS.md ; evidence/sales-by-customer/observe-full.json#grid.headRows,OK,OK,OK,OK,OK,"OK — SV-8610 + S12-N1,S12-E1,S12-E2",OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-CALC-05,C30153,https://shopview.testrail.io/index.php?/cases/view/30153,SBC,SBC — Totals & Calculations,SBC — Totals & Calculations,Invoice subtotals sum to their asset row and asset subtotals to the customer,VIU-Observed-PASS,F18,Checked arithmetically: 'Aacrest Works' $441.86 = its one asset $441.86 = its two invoices $176.74 + $265.12.,evidence/sales-by-customer/level3-sort.json#levels,OK,OK,OK,OK,REVIEW — closed enumeration (2): needs a version-pinned anchor or scope-conditional wording (Rule 42),OK — SV-8606 + S8-R13,OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
