"Date Range: Aug 8, 2026 - Aug 12, 2026"
"Locations: Staging Heavy Duty - 9919"
"WO #",Status,Customer,Unit,Advisor,"Days Open",Earned,Remaining,Total
S8582-16651,Estimate,"Aaborough Works",,"Admin ShopView","0 days",$0.00,$0.00,$0.00
S8582-16626,Estimate,"E2E PO Required Customer",,"Admin ShopView","0 days",$0.00,$220.00,$220.00
S8582-16625,Estimate,TestVT1,,"Admin ShopView","0 days",$0.00,$270.00,$270.00
S8582-16623,Estimate,TestVT1,,"Admin ShopView","0 days",$0.00,$160.00,$160.00
S8582-16622,Estimate,TestVT1,,"Admin ShopView","0 days",$0.00,$586.78,$586.78
S8582-16619,Estimate,TestVT1,,"Admin ShopView","0 days",$0.00,$145.00,$145.00
S8582-16618,Estimate,TestVT1,,"Admin ShopView","0 days",$0.00,$220.00,$220.00
S8582-16616,Estimate,TestVT1,,"Admin ShopView","0 days",$0.00,$295.00,$295.00
S8582-16614,Estimate,TestVT1,,"Admin ShopView","0 days",$0.00,$145.00,$145.00
S8582-16613,Estimate,TestVT1,,"Admin ShopView","0 days",$0.00,$590.00,$590.00
S8582-16612,Estimate,TestVT1,,"Admin ShopView","0 days",$0.00,$545.00,$545.00
S8582-16611,Estimate,TestVT1,,"Admin ShopView","0 days",$0.00,$435.00,$435.00
S8582-16610,Estimate,TestVT1,,"Admin ShopView","0 days",$0.00,"$1,145.00","$1,145.00"
S8582-16609,Estimate,TestVT1,,"Admin ShopView","0 days",$0.00,$645.00,$645.00
S8582-16608,Estimate,TestVT1,,"Admin ShopView","0 days",$0.00,$440.00,$440.00
Totals,,,,,,$0.00,"$5,841.78","$5,841.78"
