spec,line_no,class,section,story,requirement_id,raw_line
SBC,1,CAPTURE-HDR,,,,# SBC (Sales By Customer) Report
SBC,3,CAPTURE-HDR,,,,> **VERBATIM LIVE CAPTURE — current Confluence spec**
SBC,4,CAPTURE-HDR,,,,> - pageId: 577634305
SBC,5,CAPTURE-HDR,,,,> - Page title: SBC (Sales By Customer) Report
SBC,6,CAPTURE-HDR,,,,"> - Confluence `lastModified` (live, read this run): **Jul 31, 2026**"
SBC,7,CAPTURE-HDR,,,,"> - **TRUE Confluence version (metadata.version via `fetch` ARI, read 2026-08-03): v13**"
SBC,8,CAPTURE-HDR,,,,> - Confluence space: ~712020aa00b8d6a71f4259891982a304227c20 (Chris Ward)
SBC,9,CAPTURE-HDR,,,,> - Captured: 2026-08-03 via the Atlassian MCP `getConfluencePage` (contentFormat=markdown)
SBC,10,CAPTURE-HDR,,,,> - ⚠️ This capture pipeline (MCP markdown) is NOT byte-comparable with the 2026-07-31 captures
SBC,11,CAPTURE-HDR,,,,">   (REST storage-format -> html2text). Compare by requirement text, not by byte diff."
SBC,12,CAPTURE-HDR,,,,> - The 2026-07-31 captures are RETAINED unchanged in `../../spec-current-2026-07-31/`.
SBC,14,RULE,,,,---
SBC,16,TABLE-ROW,(front matter),,,|  |  |
SBC,17,TABLE-HDR,(front matter),,,| --- | --- |
SBC,18,META-TABLE,(front matter),,,| **Epic** | TBD |
SBC,19,META-TABLE,(front matter),,,| **Owner** | TBD |
SBC,20,META-TABLE,(front matter),,,| **Status** | In review — 2026-07-16 |
SBC,21,META-TABLE,(front matter),,,| **Branch** | TBD |
SBC,23,HEADING,Sales By Customer Report,,,# Sales By Customer Report
SBC,25,HEADING,Business Case,,,## 1. Business Case
SBC,27,NARRATIVE,Business Case,,,"Shop owners and managers need to see quickly how much revenue each customer drove over a chosen time window, and what that revenue is made of — labor, parts, shop supplies, and profit. Today that question means exporting raw invoice data and building a spreadsheet summary by hand: slow, error-prone, and too hard for non-technical users. The Sales By Customer report makes that a single click, and adds a drill-down so a manager can open the individual invoices behind each customer's total, and the individual vehicles those invoices were done on, without leaving the report."
SBC,29,NARRATIVE,Business Case,,,"A second goal is consistency. The report looks and behaves like the rest of the reporting suite, so a user never has to re-learn the layout when moving between reports."
SBC,31,HEADING,Feature Overview,,,## 2. Feature Overview
SBC,33,HEADING,Feature Overview,,,### Core ShopView
SBC,35,NARRATIVE,Feature Overview,,,- A report named Sales By Customer is available in the Reports navigation.
SBC,36,NARRATIVE,Feature Overview,,,- The report groups revenue by customer over a chosen date range.
SBC,37,NARRATIVE,Feature Overview,,,"- The report is a three-level tree: Customer → Asset → Invoice. A customer row expands to that customer's assets (the vehicles the work was done on); an asset row expands to the individual invoices for that vehicle. Work with no vehicle (counter / parts sales) collects under a per-customer ""Parts Sales"" bucket. Each asset row is labeled by the vehicle's VIN, falling back to Unit number, then plate."
SBC,38,NARRATIVE,Feature Overview,,,"- Invoice numbers in the expanded view are clickable and open the underlying invoice in the same browser tab. Pressing the browser back button returns to the report with its filters, sort, and columns restored."
SBC,39,NARRATIVE,Feature Overview,,,"- The user can filter by date range, by product type (Parts & Service / Parts only / Service only), by customer (a multi-select filter with search-as-you-type, all customers selected by default), and by location (one, several, or all of the locations the user has access to). The Customer filter is how the user narrows the table to a specific customer."
SBC,40,NARRATIVE,Feature Overview,,,"- When more than one location is in scope, each row shows a Location column — the row's location, or ""Multiple"" for a customer or asset row that spans more than one location; the column is hidden when only one location is in scope. Every export names the location or locations in scope on a ""Locations:"" line."
SBC,41,NARRATIVE,Feature Overview,,,"- The report remembers the user's filters, sort, and visible columns between visits, so returning to the report restores the same view."
SBC,42,NARRATIVE,Feature Overview,,,"- The report shows these financial columns, in this order: Inv. Hrs, Labor Invoiced, Labor Margin, Parts Invoiced, Parts Margin, Shop Supplies, Margin, and Margin %."
SBC,43,NARRATIVE,Feature Overview,,,"- The user can download the report from a single overflow menu in the toolbar — a Summary version (customer totals only) or an Expanded version (the full Customer → Asset → Invoice tree), each as a PDF or a CSV — and can show or hide individual columns from a column selector."
SBC,44,NARRATIVE,Feature Overview,,,- The report matches the visual theme of the rest of the reporting suite.
SBC,46,HEADING,Feature Overview,,,### Out of Scope
SBC,48,NARRATIVE,Feature Overview,,,- QuickBooks sync of any data shown in this report.
SBC,49,NARRATIVE,Feature Overview,,,- Per-line-item classification within a single invoice. The report classifies a whole invoice as Service or Parts by its invoice-number prefix.
SBC,50,NARRATIVE,Feature Overview,,,"- A separate parts-only report. A distinct ""Parts Sales"" report exists elsewhere in the suite; it is not this report and is not covered here."
SBC,51,NARRATIVE,Feature Overview,,,"- A mobile-optimized layout. The report works on phones, but the dense table is not redesigned for small screens."
SBC,52,NARRATIVE,Feature Overview,,,- Aging or days-since logic. Dates are shown as plain calendar dates.
SBC,53,NARRATIVE,Feature Overview,,,- Editing invoices from this report.
SBC,54,NARRATIVE,Feature Overview,,,- Bulk actions against multiple customers or invoices.
SBC,55,NARRATIVE,Feature Overview,,,- Side-by-side asset (vehicle) comparison. Comparing individual vehicles against each other is a distinct analysis deferred to a future dedicated report (see the Key Decision below).
SBC,57,HEADING,Key Decisions,,,## 3. Key Decisions
SBC,59,NARRATIVE,Key Decisions,,,- **Subtotal is the headline column.** It carries the strongest visual weight (bold and pinned) because it is the number users scan for first.
SBC,60,NARRATIVE,Key Decisions,,,- **The report is a three-level tree (Customer → Asset → Invoice).** Grouping invoices by the vehicle they were done on lets a manager see per-vehicle revenue without a separate report.
SBC,61,NARRATIVE,Key Decisions,,,"- **Work with no vehicle groups under a ""Parts Sales"" bucket.** A work order with a vehicle is service work; a work order with no vehicle is a counter / parts sale, so no-vehicle work is collected on its own."
SBC,62,NARRATIVE,Key Decisions,,,"- **The Date cell is blank on customer and asset rows.** A rolled-up date on a summary row was misleading, so dates are shown only on invoice rows."
SBC,63,NARRATIVE,Key Decisions,,,"- **The invoice count is shown after the customer name, not as its own column.** It saves a column while still telling the user how many invoices are behind the total."
SBC,64,NARRATIVE,Key Decisions,,,"- **Reversed and voided invoices are excluded.** They do not represent real sales, so they are never counted."
SBC,65,NARRATIVE,Key Decisions,,,"- **Service vs. Parts is decided by the invoice-number prefix.** Per-line classification was out of scope, so the whole invoice is classified by its number."
SBC,66,NARRATIVE,Key Decisions,,,- **Margin % is monochrome; Inv. Hrs is color-coded.** Inv. Hrs (the Labor Delta) carries a green/red signal because direction matters at a glance; Margin % does not.
SBC,67,NARRATIVE,Key Decisions,,,"- **Color extends to the PDF, not the CSV.** The PDF is the presentation copy; CSV users re-style and re-pivot, so baked-in color has no value there."
SBC,68,NARRATIVE,Key Decisions,,,- **Exports live behind one overflow menu.** This matches the suite standard and keeps the toolbar clean.
SBC,69,NARRATIVE,Key Decisions,,,"- **Exports come in Summary and Expanded versions.** Summary is one row per customer; Expanded includes the full Customer → Asset → Invoice tree. Both are offered as CSV and PDF, matching Sales By Rep."
SBC,70,NARRATIVE,Key Decisions,,,"- **Assets are identified by VIN.** The asset label is the vehicle's VIN, falling back to Unit number, then plate — the identifier a shop uses to track a vehicle across its fleet — rather than a year/make/model description."
SBC,71,NARRATIVE,Key Decisions,,,"- **Location is a per-row column, shown only when more than one location is in scope.** A single-location view has no need for it, so the column appears only when the scope spans more than one location. Because a customer or asset row can aggregate invoices from more than one location, such rows read ""Multiple""; invoice rows always show their exact location. Every export names the scope on a ""Locations:"" line so a saved or printed copy is unambiguous."
SBC,72,NARRATIVE,Key Decisions,,,- **The report remembers the user's view between visits.** Returning to a report a user uses daily should not reset their filters.
SBC,73,NARRATIVE,Key Decisions,,,"- **Narrowing to specific customers is a filter, not a ""compare.""** Choosing which customers to show is done with a standard multi-select Customer filter (search, all selected by default) — the same filter pattern used elsewhere in the suite — rather than a bespoke compare/pin control."
SBC,74,NARRATIVE,Key Decisions,,,"- **Side-by-side asset comparison is deferred to its own report.** Comparing individual vehicles against each other is a distinct analysis (closer in shape to Parts Velocity) that also depends on standardizing asset naming; it belongs in a dedicated report rather than nested inside this one, so it is out of scope here."
SBC,76,HEADING,Terminology,,,## 4. Terminology
SBC,78,NARRATIVE,Terminology,,,"- **Subtotal** — A row's total of Labor Invoiced plus Parts Invoiced plus Shop Supplies, before tax. It is the report's headline number and the denominator of Margin %."
SBC,79,NARRATIVE,Terminology,,,"- **Shop Supplies** — The total of shop-supply charges (miscellaneous shop materials and consumables fees) billed across the row's invoices. No separate cost is tracked for shop supplies, so they add no profit to Margin."
SBC,80,NARRATIVE,Terminology,,,- **Labor Invoiced** — The labor dollars billed across the row's invoices.
SBC,81,NARRATIVE,Terminology,,,"- **Labor Margin** — Labor Invoiced minus the cost of that labor, in dollars."
SBC,82,NARRATIVE,Terminology,,,- **Parts Invoiced** — The parts dollars billed across the row's invoices.
SBC,83,NARRATIVE,Terminology,,,"- **Parts Margin** — Parts Invoiced minus the cost of those parts, in dollars."
SBC,84,NARRATIVE,Terminology,,,- **Margin** — The row's total profit in dollars. It is Labor Margin plus Parts Margin. It does not include any Shop Supplies amount. It is the numerator of Margin %.
SBC,85,NARRATIVE,Terminology,,,"- **Margin %** — Margin divided by the row's Subtotal, times 100. Because Subtotal includes Shop Supplies but Margin does not, Margin % is profit measured against total sales."
SBC,86,NARRATIVE,Terminology,,,"- **Labor Delta** — Hours invoiced minus hours worked for a row. A positive value means the shop billed more time than it spent; a negative value means it spent more than it billed. It is shown under the heading ""Inv. Hrs."""
SBC,87,NARRATIVE,Terminology,,,- **Asset** — A vehicle the customer's work was done on. Invoices are grouped by asset between the customer and invoice levels.
SBC,88,NARRATIVE,Terminology,,,"- **Parts Sales (bucket)** — The single per-customer asset row that collects that customer's work with no vehicle. It is labeled ""Parts Sales."""
SBC,89,NARRATIVE,Terminology,,,- **Service invoice** — An invoice whose number starts with S.
SBC,90,NARRATIVE,Terminology,,,- **Parts invoice** — An invoice whose number starts with P.
SBC,91,NARRATIVE,Terminology,,,- **Customer filter** — A multi-select toolbar filter that narrows the report to a chosen set of customers. It offers search-as-you-type over the customer names and defaults to all customers selected.
SBC,92,NARRATIVE,Terminology,,,"- **Summary export** — A CSV or PDF containing one row per customer (customer totals only), with no asset or invoice rows."
SBC,93,NARRATIVE,Terminology,,,- **Expanded export** — A CSV or PDF containing the full Customer → Asset → Invoice tree.
SBC,94,NARRATIVE,Terminology,,,"- **Location (column)** — A per-row column naming the location a row's data belongs to. It is shown only when more than one location is in scope and hidden when a single location is in scope. A customer or asset row that aggregates invoices from more than one location shows ""Multiple""; an invoice row shows its exact location."
SBC,96,HEADING,Assumptions,,,## 5. Assumptions
SBC,98,NARRATIVE,Assumptions,,,"- Invoice numbers follow the ShopView numbering rules: a number starting with S is a service invoice, a number starting with P is a parts invoice. These are the only two prefixes in use."
SBC,99,NARRATIVE,Assumptions,,,- Every invoice has one customer and one location. An invoice missing either cannot be grouped.
SBC,101,HEADING,Requirements,,,## 6. Requirements
SBC,103,HEADING,Requirements,1,,### Story 1: Report access and navigation placement
SBC,105,STORY-INTRO,Requirements,1,,"Where the report lives in the Reports navigation, and who can open it."
SBC,107,LABEL,Requirements,1,,**Design:** See Story 20 **Jira:** TBD
SBC,109,LABEL,Requirements,1,,**Prerequisites:**
SBC,111,PREREQ,Requirements,1,,- User is signed in to ShopView.
SBC,112,PREREQ,Requirements,1,,- User has ordinary reports access.
SBC,114,LABEL,Requirements,1,,**Requirements:**
SBC,116,REQ-DEF,Requirements,1,S1-R1,"- **S1-R1:** ""Sales By Customer"" appears in the Reports left-side navigation."
SBC,117,REQ-DEF,Requirements,1,S1-R2,"- **S1-R2:** The report is gated by ordinary reports access, not by a report-specific permission. Any user with standard reports access can open it; there is no dedicated Sales By Customer View permission."
SBC,118,REQ-DEF,Requirements,1,S1-R3,"- **S1-R3:** The page title reads ""Sales By Customer."""
SBC,119,REQ-DEF,Requirements,1,S1-R4,"- **S1-R4:** The browser tab title reads ""Sales By Customer - Report | ShopView"" — the report name inside the application-standard tab-title template."
SBC,121,LABEL,Requirements,1,,**Negative cases:**
SBC,123,REQ-DEF,Requirements,1,S1-N1,- **S1-N1:** A user without reports access does not see the report in navigation and cannot open it by direct link.
SBC,125,HEADING,Requirements,2,,### Story 2: Filter by date range
SBC,127,STORY-INTRO,Requirements,2,,Set the time window the report covers.
SBC,129,LABEL,Requirements,2,,**Design:** See Story 20 **Jira:** TBD
SBC,131,LABEL,Requirements,2,,**Prerequisites:**
SBC,133,PREREQ,Requirements,2,,- User is on the Sales By Customer report.
SBC,135,LABEL,Requirements,2,,**Requirements:**
SBC,137,REQ-DEF,Requirements,2,S2-R1,- **S2-R1:** A date range picker is visible in the report toolbar.
SBC,138,REQ-DEF,Requirements,2,S2-R2,"- **S2-R2:** The picker offers eleven options, in this order: Today, Yesterday, This Week, Last Week, This Month, Last Month, This Year, Last Year, This Quarter, Last Quarter, Custom."
SBC,139,REQ-DEF,Requirements,2,S2-R3,- **S2-R3:** The Custom range is capped at a maximum span of 366 days from start date to end date — the same length as the largest preset (This Year / Last Year).
SBC,140,REQ-DEF,Requirements,2,S2-R4,"- **S2-R4:** When the user picks ""Custom,"" the report opens a date-picker dialog for a start and end date."
SBC,141,REQ-DEF,Requirements,2,S2-R5,"- **S2-R5:** The picker defaults to ""This Month"" when the report is opened with no saved date range and no date range in the page link."
SBC,142,REQ-DEF,Requirements,2,S2-R6,"- **S2-R6:** When the user changes the date range, the chosen value is written to the page link so the report can be shared or bookmarked at that range."
SBC,143,REQ-DEF,Requirements,2,S2-R7,- **S2-R7:** The chosen date range is reflected in the CSV and PDF exports.
SBC,144,REQ-DEF,Requirements,2,S2-R8,- **S2-R8:** Changing the date range is remembered between visits — see Story 6.
SBC,145,REQ-DEF,Requirements,2,S2-R9,"- **S2-R9:** When the report is opened with both a saved view and a date range in the page link, the saved view is applied and the link value is ignored."
SBC,147,CONTEXT-NOTE,Requirements,2,S2-R9,> *\* Context note: the remembered view (Story 6) was given priority over the link so a returning user always lands on their own last view. A shared link therefore restores the sender's range only for a recipient who has no saved range of their own for this report.*
SBC,149,LABEL,Requirements,2,,**Negative cases:**
