internal_id,testrail_case_id,testrail_link,report,section,title,verdict,reason,merge_group,merge_survivor,tier
IV-NAV-01,C30534,https://shopview.testrail.io/index.php?/cases/view/30534,IV,IV — Access & Display,Inventory Value appears in the reports navigation under the Parts group,KEEP,Navigation/entry contract — additive placement was an explicit PO instruction on the video.,,,T2
IV-NAV-02,C30535,https://shopview.testrail.io/index.php?/cases/view/30535,IV,IV — Access & Display,"Opening the report shows one row per in-stock part at the selected location(s), valued as of the resolved date",KEEP,"Report opening scope: one row per in-stock part, valued as of the resolved date.",,,T1
IV-NAV-03,C30536,https://shopview.testrail.io/index.php?/cases/view/30536,IV,IV — Access & Display,On a first visit the report defaults to the current calendar month and the user's currently active location,KEEP,"First-visit defaults (current month, active location).",,,T1
IV-NAV-04,C30537,https://shopview.testrail.io/index.php?/cases/view/30537,IV,IV — Access & Display,"Changing the date, location, Category, Vendor, part search, or sort reloads the rows from the server with the standard loading indicator",MERGE,Reload-trigger list + loading indicator; the server-side re-query case covers it.,G-IV-RELOAD,IV-FLT-02,T2
IV-NAV-05,C30538,https://shopview.testrail.io/index.php?/cases/view/30538,IV,IV — Access & Display,"The report is server-paginated: one page of rows at a time, and any filter/search/sort change returns to the first page",KEEP,Server pagination + return-to-first-page contract.,,,T1
IV-NAV-06,C30539,https://shopview.testrail.io/index.php?/cases/view/30539,IV,IV — Access & Display,"When no in-stock part exists for the selected location(s) on the resolved date, the no-data message shows instead of rows",KEEP,Navigation/entry contract — additive placement was an explicit PO instruction on the video.,,,T2
IV-SCOPE-01,C30540,https://shopview.testrail.io/index.php?/cases/view/30540,IV,IV — Row Scope,A part appears only when it is not a core charge AND its on-hand quantity is greater than zero,KEEP,"Row-model/scope contract (who appears, where, exactly once) — data-correctness core.",,,T1
IV-SCOPE-02,C30541,https://shopview.testrail.io/index.php?/cases/view/30541,IV,IV — Row Scope,"A part stocked at two selected locations appears as two rows (one per location), not merged — expected, do not file",KEEP,"Row-model/scope contract (who appears, where, exactly once) — data-correctness core.",,,T1
IV-SCOPE-03,C30542,https://shopview.testrail.io/index.php?/cases/view/30542,IV,IV — Row Scope,"A core-charge part is never shown, regardless of its quantity",MERGE,Negative half (core excluded) of the two-condition rule SCOPE-01 already asserts.,G-IV-SCOPE,IV-SCOPE-01,T2
IV-SCOPE-04,C30543,https://shopview.testrail.io/index.php?/cases/view/30543,IV,IV — Row Scope,A part with zero or negative on-hand quantity is never shown,MERGE,Negative half (qty<=0 excluded) of the same two-condition rule.,G-IV-SCOPE,IV-SCOPE-01,T2
IV-SCOPE-05,C30544,https://shopview.testrail.io/index.php?/cases/view/30544,IV,IV — Row Scope,There is no dead-stock exclusion — long-sitting stock still contributes to the on-hand value,KEEP,"Row-model/scope contract (who appears, where, exactly once) — data-correctness core.",,,T1
IV-COL-01,C30551,https://shopview.testrail.io/index.php?/cases/view/30551,IV,IV — Valuation & Columns,"With every column turned on, the columns appear in the fixed left-to-right order with the specified alignment",KEEP,Column selector behavior contract (contents/effect/exports interaction).,,,T2
IV-COL-02,C30552,https://shopview.testrail.io/index.php?/cases/view/30552,IV,IV — Valuation & Columns,"Value formats: Qty on Hand to two decimals with no currency symbol (fractional supported), money values as US-dollar currency",KEEP,Column selector behavior contract (contents/effect/exports interaction).,,,T2
IV-CALC-01,C30545,https://shopview.testrail.io/index.php?/cases/view/30545,IV,IV — Valuation & Columns,Unit Sell uses the part's fixed sell price when one is set,KEEP,"Calculation contract with a worked example; a failure is a real, reportable money/hours bug.",,,T1
IV-CALC-02,C30546,https://shopview.testrail.io/index.php?/cases/view/30546,IV,IV — Valuation & Columns,"With no fixed sell price, Unit Sell is the shop's pricing-matrix markup on cost for the part's category",KEEP,"Calculation contract with a worked example; a failure is a real, reportable money/hours bug.",,,T1
IV-CALC-03,C30547,https://shopview.testrail.io/index.php?/cases/view/30547,IV,IV — Valuation & Columns,"With no fixed sell price and no category, Unit Sell equals Unit Cost — the stock is valued at cost with a $0.00 / 0.0% margin",KEEP,"Sell-price fallback chain end (no price, no category -> valued at cost) — valuation contract.",,,T1
IV-CALC-04,C30548,https://shopview.testrail.io/index.php?/cases/view/30548,IV,IV — Valuation & Columns,Total Sell is quantity × Unit Sell and Total Cost is quantity × Unit Cost,KEEP,"Calculation contract with a worked example; a failure is a real, reportable money/hours bug.",,,T1
IV-CALC-05,C30549,https://shopview.testrail.io/index.php?/cases/view/30549,IV,IV — Valuation & Columns,"Margin is the extended figure — Total Sell minus Total Cost for the whole on-hand quantity, not a per-unit number",KEEP,"Calculation contract with a worked example; a failure is a real, reportable money/hours bug.",,,T1
IV-CALC-06,C30550,https://shopview.testrail.io/index.php?/cases/view/30550,IV,IV — Valuation & Columns,"Margin % is Margin as a share of Total Sell to one decimal with a percent sign, showing ""—"" when Total Sell is zero or negative",KEEP,"Calculation contract with a worked example; a failure is a real, reportable money/hours bug.",,,T1
IV-COL-03,C30553,https://shopview.testrail.io/index.php?/cases/view/30553,IV,IV — Valuation & Columns,"The Total Cost column (header and cells) is bold and pinned to the far right, staying fixed while scrolling sideways",KEEP,Column selector behavior contract (contents/effect/exports interaction).,,,T2
IV-COL-04,C30554,https://shopview.testrail.io/index.php?/cases/view/30554,IV,IV — Valuation & Columns,"On first visit the default columns show, with Margin and Total Sell hidden by default but available to turn on",KEEP,Column selector behavior contract (contents/effect/exports interaction).,,,T1
IV-COL-05,C30555,https://shopview.testrail.io/index.php?/cases/view/30555,IV,IV — Valuation & Columns,"Category and Vendor show their names, and an em dash (""—"") when the part has none",WEAK-KEEP,"Em-dash for missing category/vendor; a rendering default, low value.",,,T2
IV-TOT-01,C30556,https://shopview.testrail.io/index.php?/cases/view/30556,IV,IV — Totals Row,"The totals row is labeled ""Total"" in the Part # cell, leaves the per-unit and identity cells blank, and pins its bold Total Cost far right",KEEP,Totals/summary aggregation contract over the full filtered set — catches real aggregation bugs.,,,T1
IV-TOT-02,C30557,https://shopview.testrail.io/index.php?/cases/view/30557,IV,IV — Totals Row,"The totals row sums Qty on Hand, Margin, Total Sell, and Total Cost over the FULL filtered set on the server, not just the visible page",KEEP,Totals/summary aggregation contract over the full filtered set — catches real aggregation bugs.,,,T1
