"Date Range: Aug 8, 2026 - Aug 10, 2026"
"Locations: Staging Heavy Duty - 9919"
"WO #",Status,Customer,Unit,Advisor,"Days Open",Earned,Remaining,Total
S8582-16269,Approved,"Aacrest Works",,"Admin ShopView","1 days",$200.00,$290.00,$490.00
S8582-16400,Approved,TestVT1,,"Admin ShopView","0 days",$435.00,$0.00,$435.00
S8582-16399,Approved,TestVT1,,"Admin ShopView","0 days",$435.00,$0.00,$435.00
S8582-16398,Approved,TestVT1,,"Admin ShopView","0 days",$435.00,$0.00,$435.00
S8582-16396,Approved,TestVT1,,"Admin ShopView","0 days",$435.00,$0.00,$435.00
S8582-16393,Approved,TestVT1,,"Admin ShopView","0 days",$145.00,$0.00,$145.00
S8582-16390,Approved,TestVT1,,"Admin ShopView","0 days",$145.00,$0.00,$145.00
S8582-16389,Approved,TestVT1,,"Admin ShopView","0 days",$435.00,$0.00,$435.00
S8582-16388,Approved,TestVT1,,"Admin ShopView","0 days",$435.00,$0.00,$435.00
S8582-16387,Approved,TestVT1,,"Admin ShopView","0 days",$435.00,$0.00,$435.00
S8582-16386,Approved,TestVT1,,"Admin ShopView","0 days",$435.00,$0.00,$435.00
S8582-16385,Approved,TestVT1,,"Admin ShopView","0 days",$435.00,$0.00,$435.00
S8582-16384,Approved,TestVT1,,"Admin ShopView","0 days",$435.00,$0.00,$435.00
S8582-16383,Approved,TestVT1,,"Admin ShopView","0 days",$435.00,$0.00,$435.00
S8582-16382,Approved,TestVT1,,"Admin ShopView","0 days",$435.00,$0.00,$435.00
S8582-16343,Approved,TestVT1,,"Admin ShopView","0 days",$145.00,$0.00,$145.00
S8582-16341,Approved,TestVT1,,"Admin ShopView","0 days",$145.00,$0.00,$145.00
S8582-16333,Approved,TestVT1,,"Admin ShopView","0 days",$145.00,$0.00,$145.00
S8582-16329,Approved,TestVT1,,"Admin ShopView","0 days",$435.00,$0.00,$435.00
S8582-16325,Approved,TestVT1,,"Admin ShopView","0 days",$145.00,$0.00,$145.00
S8582-16324,Approved,TestVT1,,"Admin ShopView","0 days",$145.00,$0.00,$145.00
S8582-16322,Approved,TestVT1,,"Admin ShopView","0 days",$145.00,$0.00,$145.00
S8582-16320,Approved,TestVT1,,"Admin ShopView","0 days",$145.00,$0.00,$145.00
S8582-16314,Approved,TestVT1,,"Admin ShopView","0 days",$145.00,$0.00,$145.00
S8582-16311,Approved,TestVT1,,"Admin ShopView","0 days",$145.00,$0.00,$145.00
S8582-16310,Approved,TestVT1,,"Admin ShopView","0 days",$435.00,$0.00,$435.00
S8582-16309,Approved,TestVT1,,"Admin ShopView","0 days",$435.00,$0.00,$435.00
S8582-16308,Approved,TestVT1,,"Admin ShopView","0 days",$435.00,$0.00,$435.00
S8582-16307,Approved,TestVT1,,"Admin ShopView","0 days",$435.00,$0.00,$435.00
S8582-16306,Approved,TestVT1,,"Admin ShopView","0 days",$435.00,$0.00,$435.00
S8582-16305,Approved,TestVT1,,"Admin ShopView","0 days",$435.00,$0.00,$435.00
S8582-16304,Approved,TestVT1,,"Admin ShopView","0 days",$435.00,$0.00,$435.00
S8582-16303,Approved,TestVT1,,"Admin ShopView","0 days",$435.00,$0.00,$435.00
S8582-16302,Approved,TestVT1,,"Admin ShopView","0 days",$435.00,$0.00,$435.00
Totals,,,,,,"$11,365.00",$290.00,"$11,655.00"
