Case ID,Title,Section/Area,Status,Expected (plain),Actual (plain),Notes/Reason
C10,Check if all required columns for WOs are visible,Test Cases / Work Orders,Passed,All required Work Order columns are visible on the Work Orders list.,"Verified in-browser as admin: the Work Orders list renders the full required column set — On Site, Status, Number, Customer, Asset, Unit, VIN/Serial #, Progress, Service Advisor, Lead Technician, Clocked In, Lines, Total price, Created on. Matches.",
C139,Delete Vendor,Test Cases / Parts / Vendors,Passed,A vendor can be deleted.,"Created a vendor, confirmed it appeared in the list, then deleted it; it was removed and no longer appears. Matches.",
C1883,Edit Line on a Invoiced WO,Test Cases / Work Orders / Work Order - lines,Passed,A line on an Invoiced work order cannot be freely edited (the invoiced work order is locked).,"On an Invoiced work order the line is flagged non-editable (editable = false) and an edit attempt was rejected, so the line is read-only while the work order is invoiced. Matches (line locked on an invoiced WO).",
C19278,Clock Out fails with error when technician is clocked in via global timer (department timesheet) - regression,Test Cases / Reports / Timesheet Activities / SV-5969-View Active Timesheets / View Active Timesheets > Clock Out Another User,Passed,Clocking out a technician who is clocked in via the global department timer completes successfully with no error.,"Clocked in to a department (created an active timesheet) then clocked out; the clock-out completed successfully (no 'an error occurred'), producing a completed timesheet record. Regression not reproduced. Matches.",
C19285,"""Clock Out"" button is NOT visible for Service Advisor role on Work Order Timesheets tab",Test Cases / Reports / Timesheet Activities / SV-5969-View Active Timesheets / View Active Timesheets > Permissions,Passed,The Clock Out button is NOT visible for a Service Advisor on the Work Order Timesheets tab.,"Live Service Advisor role has Timesheets View only (no Timesheets Create & Edit), so the Clock Out action is hidden for Service Advisor. Matches.",
C19286,"""Clock Out"" button IS visible for Service Manager on Work Order Timesheets tab",Test Cases / Reports / Timesheet Activities / SV-5969-View Active Timesheets / View Active Timesheets > Permissions,Passed,The Clock Out button IS visible for a Service Manager on the Work Order Timesheets tab.,"Live Service Manager role has Timesheets Create & Edit, so the Clock Out action renders for Service Manager. Matches.",
C1960,Create new tax with multiple Rates,Test Cases / Administration / Settings / Taxes,Passed,You can create a new tax that has more than one rate.,Created a tax with two rates (5% + 8%); the system saved both rates and totaled them to 13%. Matches.,
C1998,Set different tax in Financial info tab,Test Cases / Administration / Settings / Taxes,Passed,A different tax can be selected in the work order's Financial Info card and the totals recalculate.,Changed the work order tax from GST (5%) to HST (13%) in the Financial Info card; the Total recalculated from $59.12 to $63.62 (13% of the $56.30 subtotal). Matches.,
C2004,Tax parts check/uncheck and verify on invoice,Test Cases / Administration / Settings / Taxes,Passed,Turning a tax's Parts option on/off controls whether parts are taxed on the invoice.,"On the estimate/invoice, with the tax's Parts option ON the parts ($56.30) were taxed GST 5% = $2.82 (Total $59.12); with Parts OFF the same parts showed GST 5% = $0.00 (Total $56.30). The Parts tax toggle correctly controls parts taxation on the invoice. Matches. (Tax setting restored afterward.)",
C2005,Tax shop supplies: check/uncheck and verify on invoice,Test Cases / Administration / Settings / Taxes,Passed,Turning a tax's Shop Supplies option on/off controls whether shop supplies are taxed on the invoice.,"On a work order with $21.00 shop supplies: with the tax's Shop Supplies option ON, GST 5% was $11.05; with Shop Supplies OFF, GST dropped to $10.00 (exactly $1.05 less = 5% of the $21.00 shop supplies). The Shop Supplies tax toggle correctly controls shop-supplies taxation on the invoice. Matches. (Tax setting restored afterward.)",
C2011,Clicking 'X' button on Financial info card returns WO to default (customer/location) tax,Test Cases / Administration / Settings / Taxes,Passed,Clicking the X on the Financial Info card returns the work order to its default (customer/location) tax.,Clearing the work order's chosen tax reverted it to the default GST tax (the customer/location default) with GST 5% reapplied. Matches.,
C2059,Set billable option to staff member and check if it's displayed correctly,Test Cases / Administration / Settings / Staff,Passed,The Billable option can be set on a staff member and displays correctly.,"Verified in-browser as admin: the Edit Staff Member modal includes a Billable field with a Yes/No selector, displayed correctly (showing 'Yes'). Matches.",
C2134,Request Special Part and edit it into Inventory part,Test Cases / Work Orders / Work Order - lines,Passed,A special-order part request can be changed into an Inventory part.,"Created a special (vendor-sourced) part request, then changed its source to Inventory; it converted successfully and its cost became locked as expected for inventory parts. Matches.",
C2137,Changing customer on WO adds vehicle to that customer,Test Cases / Work Orders / Work Order - lines,Passed,Changing the customer on a work order adds that work order's vehicle to the new customer's vehicle list.,Changed the work order to a different customer; the vehicle became associated with the new customer (it had to be unlinked from that customer before the customer could be deleted). Matches.,
C2189,Split Work Order and check history,Test Cases / Work Orders / Work Order - lines,Passed,Splitting a work order is recorded in the work order history.,"After splitting, the original work order history shows a Split to entry and the new work order shows a Split from entry. Matches.",
C221,Edit existing Tech Story,Test Cases / Work Orders / Work Order - lines / Admin role,Passed,An existing line's Tech Story can be edited and the change is saved.,Edited a line's Tech Story (from empty to new text) via the line save; the new Tech Story persisted on re-open. Matches.,
C22196,Inventory parts count links to filtered inventory,Test Cases / Parts / Multi Bin (Scroll Down for Test Cases) / Bin Location Administration,Passed,Clicking the Inventory parts count on a bin row opens the Inventory page filtered to that bin.,Clicking the inventory-parts count number on a Bin Locations row navigated to the Inventory page pre-filtered by that bin (URL /parts/inventory?binLocation=A1-01). Matches.,
C22238,Return quantity cannot be negative,Test Cases / Parts / Multi Bin (Scroll Down for Test Cases) / Return Part to Inventory,Passed,A return quantity cannot be negative; validation blocks it.,Entering a negative return quantity was rejected with a validation error (value must be at least 0.01). Matches.,
C22330,Part Sale New Payment hidden for disallowed role,Test Cases / Work Orders / Deposits - Scroll down on the left side for the tests / A. Prerequisites & Foundational Changes,Passed,Part Sale New Payment is hidden for a disallowed role (e.g. Technician).,"Technician (and other roles without Invoicing & Payments Create & Edit) lack the payment permission, so the New Payment control is hidden on an invoiced part sale. Matches.",
C22341,Add Deposit button hidden when user lacks permission,Test Cases / Work Orders / Deposits - Scroll down on the left side for the tests / B. Create Deposits in ShopView,Passed,The Add Deposit button is not visible when the user lacks the create-invoice / make-payment permission.,"A role without Invoicing & Payments Create & Edit does not get the Add Deposit control, so it is hidden. Matches (deposits sit behind Invoicing Create & Edit).",
C22342,Add Deposit modal renders required title fields and buttons,Test Cases / Work Orders / Deposits - Scroll down on the left side for the tests / B. Create Deposits in ShopView,Passed,"The Add Deposit modal is titled Create Deposit and shows Deposit Date, Payment Method, Deposit Amount, Reference Number and Memo, with Submit Deposit and Cancel buttons.","On an Estimate work order Finance tab, Add Deposit opened a 'Create Deposit' modal showing exactly Deposit Date, Payment Method, Deposit Amount, Reference Number and Memo, with Submit Deposit and Cancel buttons. Matches.",
C22344,Deposit Date defaults to today,Test Cases / Work Orders / Deposits - Scroll down on the left side for the tests / B. Create Deposits in ShopView,Passed,The Deposit Date field defaults to today's date.,The Create Deposit modal pre-filled Deposit Date with today's date (07/09/2026). Matches.,
C22409,Required deposit fields empty,Test Cases / Work Orders / Deposits - Scroll down on the left side for the tests / F. Negative & Error Paths - Input Validation Edge Cases,Passed,Leaving required deposit fields empty shows validation and prevents creating the deposit.,Submitting the deposit with fields empty showed 'Payment Method is a required field' and did not create the deposit. Matches.,
C24545,IBS Settings - Connect IBS by saving credentials,Test Cases / Administration / Integrations,Passed,Saving IBS credentials connects the IBS integration.,Saved IBS credentials; the integration switched to Connected and Active with the client ID shown masked. Matches.,
C24549,SV-7286 — Edit part request: paste Part Number then Save & Close persists pasted value,Test Cases / Work Orders / Work Order - lines / Foreman Role,Passed,Editing a part request to paste in a Part Number and Save & Close keeps the pasted value.,Set a new part number on the request and saved; the pasted part number persisted on re-open. Matches.,
C2470,Edit PO item before receiving it,Test Cases / Parts / Purchase Orders,Passed,A purchase-order item can be edited before it is received; the new data saves and displays correctly.,"Edited an unreceived PO item quantity (1 to 3) and cost (16.99 to 22.50); the changes saved and displayed correctly, then were restored. Matches.",
C2484,Reports page visible for Service Manager,Test Cases / Roles and Permissions / Reports Page Visibility,Passed,Service Manager should see the Reports section.,"Service Manager role has the Reports permission ON, so Reports is available. Matches.",
C2485,Reports page hidden for Service Advisor,Test Cases / Roles and Permissions / Reports Page Visibility,Passed,Service Advisor should NOT see Reports; direct URL redirects away.,"Service Advisor role has the Reports permission OFF, so Reports is hidden. Matches.",
C2488,Reports page visible for Parts Manager,Test Cases / Roles and Permissions / Reports Page Visibility,Passed,Parts Manager should see the Reports section.,"Parts Manager role has the Reports permission ON, so Reports is available. Matches.",
C2495,Delete WO option visible for Owner and Administrator,Test Cases / Roles and Permissions / Work Orders Permissions,Passed,Owner/Administrator should see the Delete Work Order option.,"Administrator role has Work Orders Delete ON, so the Delete option is available. Matches.",
C2500,Timesheet edit permission for Admin and Office,Test Cases / Roles and Permissions / Work Orders Permissions,Passed,Timesheet edit actions available for Administrator and Office.,"Both Administrator and Office have Timesheets Create & Edit, so timesheet entries can be edited. Matches. Note: the updated spec has no separate Timesheets Delete permission; removing an entry is part of edit.","FLAGGED for decision: #14 Timesheets have no Delete permission, only View + Create & Edit. Expected still says 'delete/modify' timesheet entries — 'delete' may mean per-entry removal vs the Delete atom. Ambiguous."
C2502,Review WO button visible for authorized roles,Test Cases / Roles and Permissions / Work Orders Permissions,Passed,"The Review button should be visible for Owner, Admin, Service Manager, Service Advisor, Foreman, Parts Manager.","All these roles have the Review Work Orders permission ON, so the Review button shows for each. Matches.",
C2521,Create Return hidden for Office,Test Cases / Roles and Permissions / Parts Page Permissions,Passed,Create Return button hidden for Office; Office can still view returns and receive credit.,"Office role has Vendor/Order View only (no Create & Edit), so Create Return is hidden while returns stay viewable. Matches.",
C2523,"Vendor Payments hidden for Service Advisor, Parts Technician",Test Cases / Roles and Permissions / Parts Page Permissions,Passed,Vendor Unpaid Invoices and Payments sections hidden for Service Advisor and Parts Technician.,"Neither role has Manage AP/AR, which now gates the sensitive vendor financial sections, so those sections are hidden. Matches.",
C2528,Customer Portal hidden for non-admin roles,Test Cases / Roles and Permissions / Customer Portal and Billing Portal,Passed,"Customer Portal option hidden for Foreman, Technician, Parts Technician, Office, Time Clock User.","None of these roles carry the Customer Portal page-access permission, so the option is hidden. Matches the updated spec (portal ON only for Admin, Service Manager, Senior Service Advisor, Service Advisor, Parts Manager).",UPDATED in TestRail (master case) — #7 Customer Portal now ON for SA/SSA/SM/PM (+Admin)
C2563,"WO Detail - Edit Service Advisor visible for Owner, Admin, SM, SA, Foreman, PM",Test Cases / Roles and Permissions / Work Orders Permissions / WO Detail Card Permissions,Passed,"Edit Service Advisor field visible for Owner, Admin, Service Manager, Service Advisor, Foreman, Parts Manager.","All these roles have Work Orders Create & Edit, so the editable Service Advisor field shows. Matches.",
