C-ID,Link,Project,How it entered scope,Title,D1 USEFUL,D2 MAKES SENSE,D3 GENUINE+LAYMAN,Automation marker,Reason (blank = no exception found)
C29557,https://shopview.testrail.io/index.php?/cases/view/29557,Filters,CHANGED today,Filter bar is shown below the tab row on the Work Orders page,KEEP,SENSIBLE,PASS,READY,
C29558,https://shopview.testrail.io/index.php?/cases/view/29558,Filters,CHANGED today,"Five filter chips appear in a fixed order with an icon, name and arrow",KEEP,SENSIBLE,PASS,READY,
C29561,https://shopview.testrail.io/index.php?/cases/view/29561,Filters,CHANGED today,"Ticking one status filters the table immediately, with no apply button",KEEP,SENSIBLE,PASS,READY,
C29562,https://shopview.testrail.io/index.php?/cases/view/29562,Filters,CHANGED today,Ticking several statuses shows work orders matching any of them,KEEP,SENSIBLE,PASS,READY,
C29563,https://shopview.testrail.io/index.php?/cases/view/29563,Filters,CHANGED today,Clear Selection in the Status dropdown unticks every status,KEEP,SENSIBLE,PASS,READY,
C29564,https://shopview.testrail.io/index.php?/cases/view/29564,Filters,CHANGED today,Clicking outside the Status dropdown closes it and keeps the selections applied,KEEP,SENSIBLE,PASS,READY,
C29565,https://shopview.testrail.io/index.php?/cases/view/29565,Filters,CHANGED today,Selecting statuses that no work order has shows the empty state,KEEP,SENSIBLE,PASS,READY,
C29583,https://shopview.testrail.io/index.php?/cases/view/29583,Filters,CHANGED today,Typing in the advisor search narrows the list to matching names,KEEP,SENSIBLE,PASS,READY,
C29584,https://shopview.testrail.io/index.php?/cases/view/29584,Filters,CHANGED today,Selecting advisors shows only work orders assigned to those advisors,KEEP,FIX-WORDING,PASS,READY,"Garbled clause: ""as a small removable tag above the list in the list""."
C29585,https://shopview.testrail.io/index.php?/cases/view/29585,Filters,CHANGED today,Clear Selection in the Service Advisor dropdown removes all selected advisors,KEEP,SENSIBLE,PASS,READY,
C29586,https://shopview.testrail.io/index.php?/cases/view/29586,Filters,CHANGED today,Clicking outside the Service Advisor dropdown closes it,KEEP,SENSIBLE,PASS,READY,
C29587,https://shopview.testrail.io/index.php?/cases/view/29587,Filters,CHANGED today,Selecting an advisor with no assigned work orders shows the empty state,KEEP,SENSIBLE,PASS,READY,
C29588,https://shopview.testrail.io/index.php?/cases/view/29588,Filters,CHANGED today,A deactivated advisor does not appear in the Service Advisor filter list,KEEP,SENSIBLE,PASS,READY,
C29595,https://shopview.testrail.io/index.php?/cases/view/29595,Filters,CHANGED today,A chip with a selected value turns blue and shows the value,KEEP,SENSIBLE,PASS,READY,
C29596,https://shopview.testrail.io/index.php?/cases/view/29596,Filters,CHANGED today,A chip with several values shows the first ones and shortens the rest,KEEP,SENSIBLE,PASS,READY,
C29600,https://shopview.testrail.io/index.php?/cases/view/29600,Filters,CHANGED today,Status and Customer filters together show only work orders matching both,KEEP,FIX-WORDING,FIX-WORDING,READY,"The only case in all 771 whose preconditions and expected result are unnumbered run-on lines; ""(all API-seeded)"" is mild jargon. One of Vlad's Automated cases."
C29601,https://shopview.testrail.io/index.php?/cases/view/29601,Filters,CHANGED today,The toolbar filter button collapses the bar and the table takes the space,KEEP,SENSIBLE,PASS,READY,
C29606,https://shopview.testrail.io/index.php?/cases/view/29606,Filters,CHANGED today,A filter combination with no matches shows a no-results empty state,KEEP,SENSIBLE,PASS,READY,
C29607,https://shopview.testrail.io/index.php?/cases/view/29607,Filters,CHANGED today,The filtered empty state offers a way to clear the filters,KEEP,SENSIBLE,PASS,READY,
C29613,https://shopview.testrail.io/index.php?/cases/view/29613,Filters,CHANGED today,Leaving the page and coming back restores the filters and the bar state,KEEP,SENSIBLE,PASS,READY,
C29616,https://shopview.testrail.io/index.php?/cases/view/29616,Filters,CHANGED today,A remembered filter value that was deleted is silently ignored,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8832),
C29618,https://shopview.testrail.io/index.php?/cases/view/29618,Filters,CHANGED today,Opening a shared URL or bookmark loads the page with those filters on,KEEP,SENSIBLE,PASS,READY,
