"Locations: Staging Heavy Duty - 9919"
Type,"Part #",Description,Category,Vendor,"Units Sold","Units Returned","Sold (WO)","Sold (Parts Sale)","Unit Cost","Sell Price",Revenue,Margin,"Margin %",Demand,"Last Sale","On Hand",Turns/Yr,Min,Max
Inventory,"#3 Expanded Steel","#3 Expanded Steel Sheet","HD-Fabrication & Building",—,0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,0002-060004,"MUD FLAP SPRING SUPPORT","HD-Truck Accessories",—,0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,2.00,0.00,0,0
Inventory,002-011000,"TRUCK BOX TARP CRANK","HD-Truck Accessories",—,0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,004188,"Door Hinge Strap","HD-Body Exterior","Hocrest Supply",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,00492600,"MOUNT BRACKET",HD-Filters,—,0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,006-190-00,"SPINDLE NUT RETAINER","HD-Trailer Comp","Wuboro Farms",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,5.00,0.00,0,0
Inventory,01-32732-147,"8 RIB SERP BEL, 2147MM","HD-Belts, Pulleys & Tensioners",—,0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,01-497,"JAM NUT, AIRBAG NUT",HD-Fasteners,"Wuboro Farms",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,7.00,0.00,0,0
Inventory,010-050-00,"O-RING, HUB CAP","HD-Trailer Brake Comp",—,0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"396 days",6.00,0.00,2,8
Inventory,010108,"EXHAUST WRAP",HD-Exhaust,—,0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,50.00,0.00,0,1
Inventory,01072317A,"2""x4"" SPRUCE, DRY","HD-Body Exterior","Jehaven Fabrication",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,96.00,0.00,0,0
Inventory,01072914a,"spruce 2 x 10 x 14","HD-Fabrication & Building","Jehaven Fabrication",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.50,0.00,0,0
Inventory,01111150,"Bowden main brush lift cable",Uncategorized,—,0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,02-02737,"Shock Absorber, Front, Paccar","HD-Steering & Suspension",—,0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,2.00,0.00,0,1
