internal_id,testrail_case_id,testrail_link,file,section,title,verdict,reason,merge_group,merge_survivor,tier,sense_verdict,sense_reason,refs_ok,title_len
FLT-BAR-01,C29557,https://shopview.testrail.io/index.php?/cases/view/29557,cases-A-bar-status-collapse.json,Filter Bar Layout and Visibility,Filter bar is shown below the tab row on the Work Orders page,KEEP,"Entry contract — the filter bar renders below the tabs, expanded by default; failure = the feature is invisible to every user.",,,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,61
FLT-BAR-02,C29558,https://shopview.testrail.io/index.php?/cases/view/29558,cases-A-bar-status-collapse.json,Filter Bar Layout and Visibility,"Five filter chips appear in a fixed order, each with an icon, its name and a down arrow",KEEP,"Chip composition contract (five chips, fixed order, icons, chevrons) + design-typo watch; survivor of MG10 (gains the All-tab usability check).",MG10-ALLTAB-COMPOSITION,FLT-BAR-02,T2,FIX-WORDING,"State the tab in the preconditions: the default landing tab is Estimates (per FLT-TAB-06) where the Status chip renders greyed/pre-filled, so 'five chips each with icon, name and arrow' only reads cleanly on the All tab — add 'You are on the All tab'.",yes,87
FLT-BAR-03,C29559,https://shopview.testrail.io/index.php?/cases/view/29559,cases-A-bar-status-collapse.json,Filter Bar Layout and Visibility,The filter bar still shows the remaining chips on a tab where the Status filter is hidden,CUT,Duplicate of FLT-TAB-02 (C29609): 'the remaining four chips stay visible/usable on Estimates' is already expected lines 1-2 there.,,,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,89
FLT-STAT-01,C29560,https://shopview.testrail.io/index.php?/cases/view/29560,cases-A-bar-status-collapse.json,Status Filter,Status chip opens a checkbox list of all nine work order statuses with a Clear selection action,KEEP,Option-list contract — all nine statuses in the stated order with 'Clear selection'; a missing/misordered status is a real reportable bug.,,,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,95
FLT-STAT-02,C29561,https://shopview.testrail.io/index.php?/cases/view/29561,cases-A-bar-status-collapse.json,Status Filter,"Ticking one status filters the table immediately, with no apply button",KEEP,"The headline real-time filtering contract (tick = table updates immediately, no apply button on desktop).",,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,70
FLT-STAT-03,C29562,https://shopview.testrail.io/index.php?/cases/view/29562,cases-A-bar-status-collapse.json,Status Filter,Ticking several statuses shows work orders matching any of them,KEEP,"OR-within-a-filter semantics + the no-selection-limit product decision; broken = wrong results, a customer-facing data bug.",,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,63
FLT-STAT-04,C29563,https://shopview.testrail.io/index.php?/cases/view/29563,cases-A-bar-status-collapse.json,Status Filter,Clear selection in the Status dropdown unticks every status and removes the filter,MERGE,Absorbed into FLT-CHIP-05 (C29599): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,MG1-CLEAR-SELECTION,FLT-CHIP-05,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,82
FLT-STAT-05,C29564,https://shopview.testrail.io/index.php?/cases/view/29564,cases-A-bar-status-collapse.json,Status Filter,Clicking outside the Status dropdown closes it and keeps the selections applied,KEEP,Click-outside closes the dropdown and keeps the selection applied — the shared popover dismiss contract; survivor of MG2 (gains the other four dropdowns as repeat checks).,MG2-CLICK-OUTSIDE,FLT-STAT-05,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,79
FLT-STAT-06,C29565,https://shopview.testrail.io/index.php?/cases/view/29565,cases-A-bar-status-collapse.json,Status Filter,Selecting statuses that no work order has shows the empty state,MERGE,Absorbed into FLT-EMPTY-01 (C29606): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,MG3-EMPTY-STATE,FLT-EMPTY-01,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,63
FLT-COLL-01,C29601,https://shopview.testrail.io/index.php?/cases/view/29601,cases-A-bar-status-collapse.json,Collapse and Expand,The toolbar funnel button collapses the filter bar and the table reclaims the space,KEEP,The collapse/expand funnel toggle round trip incl. table reclaiming space; survivor of MG4 (gains the expand-restores-filters half).,MG4-COLLAPSE-EXPAND,FLT-COLL-01,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,83
FLT-COLL-02,C29602,https://shopview.testrail.io/index.php?/cases/view/29602,cases-A-bar-status-collapse.json,Collapse and Expand,"Expanding the filter bar brings it back exactly as it was, with active filters still shown",MERGE,Absorbed into FLT-COLL-01 (C29601): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,MG4-COLLAPSE-EXPAND,FLT-COLL-01,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,90
FLT-COLL-03,C29603,https://shopview.testrail.io/index.php?/cases/view/29603,cases-A-bar-status-collapse.json,Collapse and Expand,The collapsed or expanded state of the filter bar is remembered after leaving and returning,CUT,Duplicate of FLT-PERS-01 (C29613): bar collapsed/expanded state restored after leaving and returning is already expected lines 2-3 there.,,,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,91
FLT-COLL-04,C29604,https://shopview.testrail.io/index.php?/cases/view/29604,cases-A-bar-status-collapse.json,Collapse and Expand,"The funnel button shows a blue indicator when filters are active while the bar is collapsed, and none when no filters are active",KEEP,Collapsed-with-active-filters indicator — prevents the 'invisible filtering' trap where a user cannot see why the list is short.,,,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,128
