ID,fd_id,title,section,refs,trace_note
28568,FD-CALC-001,Verify a percentage fee/discount works out as base x percent (10% fee on $150.00 → +$15.00),Calculation contract,SV-7865 (§5-R3),
28569,FD-CALC-002,Verify percentage rounding — half a cent or more rounds up (5% discount on $33.33 → −$1.67),Calculation contract,SV-7865 (§5-R3),
28570,FD-CALC-003,Verify a flat amount on a whole work order or a labor line is the exact amount (no quantity multiplier),Calculation contract,SV-7865 (§5-R14),
28571,FD-CALC-004,Verify a flat amount on a part line is charged per item (amount x quantity: $5.00 x 3 → −$15.00; x1 → −$5.00),Calculation contract,SV-7865 (§5-R14),
28572,FD-CALC-005,Verify a percentage discount cannot go over 100% (percentage fees have no upper limit),Calculation contract,SV-7865 (§5-R2),
28573,FD-CALC-006,"Verify the smallest allowed values — flat amount $0.01, percentage 0.01%",Calculation contract,SV-7865 (§5-R1),
28574,FD-CALC-007,Verify Max Amount caps a percentage result (20% fee on $100 → $20 → Max Amount $15 → +$15.00),Calculation contract,SV-7865 (§5-R6),
28575,FD-CALC-008,Verify how Max Amount behaves at 0 vs empty (empty means no cap),Calculation contract,SV-7865 (§5-R6),
28576,FD-CALC-009,"Verify a $0.00 base works out to $0.00 (shown on screen, skipped in QuickBooks)",Calculation contract,SV-7865 (§5-R8),
28577,FD-CALC-010,Verify a negative base is treated as $0 (the result is $0.00; the base never goes below zero),Calculation contract,"SV-7865 (§5-R3, §5-R4)",
28578,FD-CALC-011,"Verify a taxable fee raises the taxable amount, a taxable discount lowers it, and a non-taxable one does not change tax",Calculation contract,SV-7865 (§5-R11),
28579,FD-CALC-012,"Verify the order fees/discounts are worked out — line-level first (on the line total), then whole-work-order (on the new totals), with no stacking within a step",Calculation contract,SV-7865 (§5-R5),
28580,FD-CALC-013,Verify a Processing Fee works out last on the tax-included grand total (3% of $324 → +$9.72),Calculation contract,"SV-7865 (§5-R4, §5-R5)",
28581,FD-CALC-014,Verify the Processing Fee base includes tax on purpose and never uses a Max Amount,Calculation contract,"SV-8284 (§5-R4, S8-R10)",
28582,FD-CALC-015,"Verify the subtotal floors at $0.00 — a non-taxable $150 discount on $100 parts + $10 tax: customer pays $10, the $50 excess becomes a customer credit",Calculation contract,"SV-8282 (S6-R10, S6-R11, S6-R12, S6-R13)",
28583,FD-CALC-016,"Verify a taxable $150 discount on $100 parts drives the taxable amount to $0 → tax $0.00, customer pays $0.00",Calculation contract,SV-8282 (S6-R10c),
28584,FD-CALC-017,"Verify multiple discount lines are penny-capped so the capped discounts add up exactly to the floored net subtotal (whole cents, never negative)",Calculation contract,SV-8282 (S6-R10d),
28485,FD-CUST-001,Verify the customer 'Fees & Discounts (N)' tab shows the correct default count,Customer Fees & Discounts tab,SV-8285 (S9-R11),
28486,FD-CUST-002,"Verify the 'Default Fees & Discounts' card header, caption and table columns",Customer Fees & Discounts tab,"SV-8285,SV-8288 (S9-R12, S9-R13, S9-R14, S9-R15, S12-R8)",
28487,FD-CUST-003,Verify adding a single template as a customer default via the picker,Customer Fees & Discounts tab,"SV-8285 (S9-R18, S9-R19, S9-R20, S9-R21, S9-R23a)",
28488,FD-CUST-004,Verify several templates are added as customer defaults one at a time (no multi-select),Customer Fees & Discounts tab,"SV-8285 (S9-R20, S9-R21, S9-R23a)",
28489,FD-CUST-005,Verify the picker lists only not-yet-added templates and shows a Processing Fee template as type 'Fee',Customer Fees & Discounts tab,"SV-8284,SV-8285 (S9-R19, S8-R15, S9-R... (Processing Fee shows as ""Fee""))",
28490,FD-CUST-006,Verify the picker message when there are no templates left to add,Customer Fees & Discounts tab,SV-8285 (S9-R22),
28491,FD-CUST-007,Verify removing a customer default from the row needs no confirmation,Customer Fees & Discounts tab,"SV-8285 (S9-R16, S9-R24)",
28492,FD-CUST-008,Verify the empty-state text on the Default Fees & Discounts card,Customer Fees & Discounts tab,SV-8285 (S9-R17),
28493,FD-CUST-009,Verify a customer default is added as its own fee/discount on every new work order,Customer defaults → new work order,"SV-8285 (S9-R2, S9-R3, S9-R4)",
28494,FD-CUST-010,"Verify a percentage customer default re-works per work order (keeps the percent, not a fixed dollar)",Customer defaults → new work order,"SV-8285 (S9-R6, S9-R7)",
28495,FD-CUST-011,Verify removing a customer default does not change fees/discounts already on existing work orders,Customer defaults lifecycle,SV-8285 (S9-R8),
28496,FD-CUST-012,Verify deleting a template that is a customer default drops the default link but keeps existing work-order fees/discounts,Customer defaults lifecycle,"SV-8283,SV-8285 (S9-R9, S7-R4, S7-N1)",
28497,FD-CUST-013,Verify deleting a customer removes that customer's default links,Customer defaults lifecycle,SV-8285 (S9-R10),
28498,FD-CUST-014,Verify a brand-new customer inherits every auto-apply location template as a default,Customer defaults seeding,SV-8285 (S9-R1),
28499,FD-CUST-015,Verify the customer Fees & Discounts tab and its controls are hidden without the required permissions,Customer Fees & Discounts tab — permissions,"SV-8289 (S13-R9, S13-N3)",
28501,FD-CUST-017,Verify an add/remove/load failure on customer defaults shows the standard error notification,API — Customer Fees & Discounts tab — negative,SV-8285 (S9-N1),
28533,FD-DOC-001,Verify one layout renders adjustments on both the estimate and the invoice,Customer document (estimate/invoice),SV-8281 (S5-R1),
28534,FD-DOC-002,"Verify a labor-line percentage adjustment renders indented with ↳, the ""(% of labor)"" phrase, and correct amount sign",Customer document — per-line adjustments,"SV-8281,SV-8288 (S5-R2, S5-R3, S5-R4, S12-R3)",
28535,FD-DOC-003,"Verify a part-line adjustment renders with ""(% of parts)"" (percentage) and no phrase for Flat Amount",Customer document — per-line adjustments,"SV-8281 (S5-R2, S5-R3)",
28536,FD-DOC-004,"Verify fee vs discount amount formatting (fee ""$X.XX"", discount ""($X.XX)"")",Customer document — amount format,"SV-8281,SV-8288 (S5-R4, S5-R9, S12-R7)",
28537,FD-DOC-005,"Verify the bottom ""Adjustments"" block lists whole-WO adjustments one by one in creation order",Customer document — Adjustments block,"SV-8281 (S5-R5, S5-R6)",
28538,FD-DOC-006,"Verify line-level adjustments are grouped by name+type in the bottom block with a ""(×N)"" count",Customer document — Adjustments block,"SV-8281 (S5-R7, S5-R8)",
28539,FD-DOC-007,"Verify a % of Grand Total Processing Fee shows the ""% of grand total"" phrase on the document",Customer document — Processing Fee phrase,"SV-8281,SV-8284 (S5-R6, S8-R22)",
28540,FD-DOC-008,Verify Shop Supplies is hidden on the estimate/invoice/financial tab when the total is $0.00,Customer document — Shop Supplies (S14),SV-8290 (S14-R1),
28541,FD-DOC-009,Verify Shop Supplies reappears on the customer views when its total becomes greater than $0.00,Customer document — Shop Supplies (S14),SV-8290 (S14-R2),
28542,FD-DOC-010,Verify a line-level adjustment on a not-billable (declined) line resolves to $0.00 but still shows,Customer document — line-level $0 target,SV-8281 (§5-R12),
28543,FD-DOC-011,Verify the Adjustments block sits after Labor/Parts/Shop Supplies and before Subtotal → Tax → Total,Customer document — layout,SV-8281 (S5-R5),
28476,FD-EDIT-001,"Verify editing a fee/discount allows Name, amount, Max Amount and Taxable but locks Type, Calculation Type and Scope",Work Order — Edit an adjustment,SV-8278 (S2-R4 / S2-R5 / S2-R8),
