internal_id,testrail_case_id,testrail_link,report,section,title,verdict,field_title,field_preconditions,field_steps,field_expected,field_references,field_section,field_notes,observed,evidence,recheck_obligation,build_marker,notes_addition
PV-NAV-01,C30322,https://shopview.testrail.io/index.php?/cases/view/30322,Parts Velocity,PV — Access & Defaults,Parts Velocity appears under a new Parts section in the Reports navigation,VIU-Observed-PASS,"OK — accurate, 74 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,OK,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,"Reports side-nav shows a PARTS group heading containing ""Parts Velocity"" and ""Inventory Value""; route /reports/parts-velocity opens with page title ""Parts Velocity"" and tab title ""Parts Velocity - Report | ShopView"".",evidence/pv/ui/pv-ui-1.json; ../evidence/nav-map.json,Re-run this observation when the branch is declared final or the app-version marker changes.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
PV-NAV-02,C30323,https://shopview.testrail.io/index.php?/cases/view/30323,Parts Velocity,PV — Access & Defaults,First visit: date range defaults to This Year and data is fetched automatically,VIU-Observed-PASS,"OK — accurate, 79 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,OK,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,"With the saved view cleared the report opens on This Year, Type Both, the 14 default columns, Demand descending, and fetches data automatically (two GETs: one before and one after the saved location set is restored).",evidence/final/final-ui.json,Re-run this observation when the branch is declared final or the app-version marker changes.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
PV-NAV-03,C30324,https://shopview.testrail.io/index.php?/cases/view/30324,Parts Velocity,PV — Access & Defaults,A loading indicator shows and old rows are replaced only when data returns,VIU-Observed-PASS,"OK — accurate, 74 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,OK,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,One spinner element is present in the report area during the initial load and the previous rows are still in the DOM until the new data returns.,evidence/final/final-ui.json,Re-run this observation when the branch is declared final or the app-version marker changes.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
PV-PERM-01,C30325,https://shopview.testrail.io/index.php?/cases/view/30325,Parts Velocity,PV — Permissions,A user with ordinary reports access can load the report and export it,VIU-Observed-PASS,"OK — accurate, 69 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,OK,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,"Admin (holds reportsPageAccess) gets HTTP 200 on both the data endpoint and the CSV export. reportsPageAccess is the ONLY report atom in the whole FE-permission catalogue, so there is no second permission to hold.","evidence/perms/permission-matrix.json, singleloc-and-noreports.json, singleloc-pv-tu.json",Re-run this observation when the branch is declared final or the app-version marker changes.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
PV-PERM-02,C30326,https://shopview.testrail.io/index.php?/cases/view/30326,Parts Velocity,PV — Permissions,Without the Manager or Office User role the report entry is not shown,VIU-Observed-PASS,"OK — accurate, 69 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,OK,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,"A Foreman (no reportsPageAccess) sees no Reports entry at all and both /reports/parts-velocity and /reports/technician-utilization bounce to /workorders; the API returns 403 ""Access denied."".","evidence/perms/permission-matrix.json, singleloc-and-noreports.json, singleloc-pv-tu.json",Re-run this observation when the branch is declared final or the app-version marker changes.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
PV-PERM-03,C30327,https://shopview.testrail.io/index.php?/cases/view/30327,Parts Velocity,PV — Permissions,Ordinary reports access alone opens Parts Velocity and its export,VIU-Observed-PASS,"OK — accurate, 65 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,OK,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,"Ordinary reports access alone opens the report and its export; no per-report atom exists anywhere in the catalogue, so the ""reports access without Inventory Reports View"" state cannot be constructed on this build.","evidence/perms/permission-matrix.json, singleloc-and-noreports.json, singleloc-pv-tu.json",Re-run this observation when the branch is declared final or the app-version marker changes.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
PV-FILT-01,C30328,https://shopview.testrail.io/index.php?/cases/view/30328,Parts Velocity,PV — Filters,"Type filter: single-select, first in row, three options, default Both; reloads",VIU-Observed-PASS,"OK — accurate, 78 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,OK,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,"Type is a single-select (role=option with aria-selected, exactly one true) offering Both / Inventory / Special Order, defaulting to Both, and each selection re-queries the server (type=special_order).","evidence/pv/ui/pv-ui-1.json, pv-ui-2.json, pv-ui-3.json, pv-ui-4.json",Re-run this observation when the branch is declared final or the app-version marker changes.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
PV-FILT-03,C30330,https://shopview.testrail.io/index.php?/cases/view/30330,Parts Velocity,PV — Filters,Date range selector offers exactly the eleven bounded options and no All Time,DEVIATION,"OK — accurate, 77 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,OK,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,"The picker offers NINE presets - Last 12 Months, This Year, Last Year, This Quarter, Last Quarter, This Month, Last Month, This Week, Last Week - plus an inline calendar, a ""Range: N days"" readout, a Today button and Apply. There is NO ""Yesterday"" and NO ""Custom"" item, and ""Last 12 Months"" is not in the spec list. SPEC S2-R2 (verbatim): ""The toolbar provides a date range selector offering exactly these options: Today, Yesterday, This Week, Last Week, This Month, Last Month, This Year, Last Year, This Quarter, Last Quarter, Custom."" Read as NOT-BUILT-AS-SPECIFIED in a SHARED date-range component (the same control serves every report), i.e. a product decision, not a Parts-Velocity defect. The ""no All Time"" half of the case PASSES.","evidence/pv/ui/pv-ui-1.json, pv-ui-2.json, pv-ui-3.json, pv-ui-4.json",Re-run this observation when the branch is declared final or the app-version marker changes.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
PV-FILT-04,C30331,https://shopview.testrail.io/index.php?/cases/view/30331,Parts Velocity,PV — Filters,A Custom date range needs valid dates and rejects a span over 366 days,VIU-Observed-PASS,"OK — accurate, 70 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,OK,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,"The 366-day cap is enforced: a 366-day difference returns 200, 367 returns 400 ""Date range cannot exceed 366 days.""; a reversed range returns 400 ""Invalid start date provided. Must be less than end date.""; the calendar supplies the custom start/end. Honest limit: the cap was driven through the API, and the picker was not made to emit an over-cap span from the UI (Apply stays enabled and the readout did not exceed 216 days in this run).","evidence/pv/extra-checks.json; evidence/pv/ui/pv-ui-1.json, pv-ui-2.json, pv-ui-3.json, pv-ui-4.json","Re-drive the over-cap span from the calendar UI once the branch is final, to confirm the on-screen rejection wording.",v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
PV-FILT-05,C30332,https://shopview.testrail.io/index.php?/cases/view/30332,Parts Velocity,PV — Filters,Category and Vendor multi-select filters limit the table to matching parts,VIU-Observed-PASS,"OK — accurate, 74 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,OK,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,"Category applies &categories=<uuid> and Vendor applies &vendors=<uuid>, each re-querying the server; both narrow the result set.","evidence/pv/ui/pv-ui-1.json, pv-ui-2.json, pv-ui-3.json, pv-ui-4.json",Re-run this observation when the branch is declared final or the app-version marker changes.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
PV-FILT-06,C30333,https://shopview.testrail.io/index.php?/cases/view/30333,Parts Velocity,PV — Filters,"Toolbar search matches part number or description, case-insensitively",VIU-Observed-PASS,"OK — accurate, 69 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,OK,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,"The report has its OWN toolbar input, data-test-id input_report_search, placeholder ""Search parts"" (distinct from the global Ctrl+K bar). ""brakeclean"" matches part number BRAKECLEAN and ""stover locknut"" matches by description - case-insensitive, part number OR description, applied server-side via &search=.","evidence/pv/ui/pv-ui-1.json, pv-ui-2.json, pv-ui-3.json, pv-ui-4.json",Re-run this observation when the branch is declared final or the app-version marker changes.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
PV-FILT-07,C30334,https://shopview.testrail.io/index.php?/cases/view/30334,Parts Velocity,PV — Filters,All active filters combine with AND logic,VIU-Observed-PASS,"OK — accurate, 41 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,OK,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,Category and Vendor arrive in ONE query string together (&categories=...&vendors=...) and the result is the intersection - AND logic.,"evidence/pv/ui/pv-ui-1.json, pv-ui-2.json, pv-ui-3.json, pv-ui-4.json",Re-run this observation when the branch is declared final or the app-version marker changes.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
