ID,Area,Story Ref,Title,Priority,Type,Permissions,Preconditions,Steps,Expected Result,Design Ref,VIU Status,Notes,TestRail Case ID,TestRail Link
SF-SET-01,Work Order Settings,S1-R1..R8 / Story 1 AC,Verify the Work Orders settings tab lists all Work Order setting toggles in order,Critical,Functional,Admin / owner (settings area). Non-admin gating not verifiable here (see SF-PERM-01).,"1. You are signed in as an Admin at https://sv7301.qa.shopview.com.
2. You can reach Administration.","1. Go to /administration/settings.
2. Click the 'Work Orders' tab.
3. Read the list of settings top to bottom.","1. The Work Orders tab lists these toggles top to bottom: Auto-approve Lines, Require Vendor Invoice Number, Require Review Before Completion, Require Tech Story, Require Mileage, Require Engine Hours, Automatically Pick Inventory Parts.
2. Each toggle shows an On/Off switch and its current state, with a short description underneath.
3. There is no 'operating mode' (Full vs Simple) selector anywhere on the page.
4. The toggles appear as one plain list (there is no special 'new' styling separating them from older settings).",Workflow Settings.html; Workflow Settings v2.html; HANDOFF.md,VIU-Verified,"Wording+VIU 2026-07-13 (SET-workorders-tab.png): all 7 toggles present in the listed order with helper text; no Full/Simple mode selector; toggles render as one flat list with no visual new-vs-existing distinction (spec S1-R1 wanted new toggles visually distinct — not present in build, so the title/expected were corrected to match the build). Prior: 2026-07-06 (08-settings-workorders.png).",29275,https://shopview.testrail.io/index.php?/cases/view/29275
SF-SET-02,Work Order Settings,S1 AC / Key Decision (no operatingMode),Verify there is no operating-mode selector and no VIN-required setting on the Work Order settings page,High,Functional,Admin / owner (settings area).,"1. Signed in as Admin.
2. On /administration/settings → Work Orders tab.","1. Read the whole Work Orders settings tab top to bottom.
2. Look for a 'Mode' or 'Full vs Simple' selector.
3. Look for a 'Require VIN' or 'VIN required' toggle.","1. There is no operating-mode (Full vs Simple) selector.
2. There is no 'Require VIN' toggle among the Work Orders settings.
3. Behavior is driven only by the individual toggles listed on the tab.",Workflow Settings.html; requirements §4 Key Decisions,VIU-Verified,Wording+VIU 2026-07-13 (SET-workorders-tab.png): no mode selector and no VIN toggle on the tab. Settings model holds requireVehicleIdentifier / vehicleIdentifier:'vin' but it is not exposed as a Work Orders toggle. Prior: 2026-07-06 (08-settings-workorders.png).,29276,https://shopview.testrail.io/index.php?/cases/view/29276
SF-SET-03,Work Order Settings,S1-R2 (Create purchase orders),Verify a 'Create Purchase Orders' toggle exists on the Work Orders tab and controls the Vendor Invoice setting,Critical,Functional,Admin / owner (settings area).,"1. Signed in as Admin.
2. On /administration/settings → Work Orders tab.","1. Look on the Work Orders settings tab for a 'Create Purchase Orders' toggle.
2. If it exists, turn it Off and watch the Require Vendor Invoice Number setting.
3. Turn it back On and watch the Require Vendor Invoice Number setting.","1. A 'Create Purchase Orders' toggle is present on the Work Orders tab (default On).
2. With 'Create Purchase Orders' Off, the Require Vendor Invoice Number setting is hidden.
3. With 'Create Purchase Orders' On, the Require Vendor Invoice Number setting is shown.",requirements S1-R2; HANDOFF.md (settings cards),Deviation,Wording+VIU 2026-07-13 (SET-workorders-tab.png): NO 'Create Purchase Orders' toggle on the Work Orders tab and no createPurchaseOrders key in GET /api/organizations/settings (confirmed live). Build lags V2.4 spec S1-R2 (which retains the toggle + No-PO path). DEVIATION — tester will find the toggle absent. Do not record as passing.,29277,https://shopview.testrail.io/index.php?/cases/view/29277
SF-SET-04,Work Order Settings,S1-R3 (Vendor invoice Optional/Required),Verify the Require Vendor Invoice Number toggle is present with helper text and drives Optional vs Required completion,Critical,Functional,Admin / owner (settings area).,"1. Signed in as Admin.
2. On /administration/settings → Work Orders tab.","1. Locate the 'Require Vendor Invoice Number' toggle.
2. Read its helper text.
3. Note its current On/Off state.","1. The 'Require Vendor Invoice Number' toggle is present on the Work Orders tab.
2. Its helper text reads exactly: 'When on, parts and a vendor invoice number are required to complete a work order. When off, complete now and receive parts later.'
3. Its On/Off state matches requireVendorInvoiceNumber in GET /api/organizations/settings.",Workflow Settings.html,VIU-Verified,Wording+VIU 2026-07-13 (SET-workorders-tab.png): toggle present; helper text captured exactly as shown (dropped the earlier 'approximately' hedge). Maps to requireVendorInvoiceNumber. Prior: 2026-07-06.,29278,https://shopview.testrail.io/index.php?/cases/view/29278
SF-SET-05,Work Order Settings,S1-R1 (Auto-approve ON),Verify Auto-approve Lines ON approves a work-order line the moment it is added,High,Functional,Admin / owner (settings area) + Work Order edit access.,"1. Signed in as Admin.
2. Auto-approve Lines is set to ON and saved.
3. An open work order is on its Lines tab.","1. Click New Line.
2. Fill in a canned line and Save.
3. Observe the new line's approval state.","1. The new line is created.
2. The line is immediately Approved.
3. No 'Needs Approval' / Approve-Decline prompt is shown for the line.",Workflow Settings.html; WO Review Flow - Handoff.md,VIU-Verified,"Wording+VIU 2026-07-13: Auto-approve Lines helper text confirms 'New work order lines are created already approved, skipping the line approval step'. Auto-approve-ON line behavior verified in prior VIU line-drive 2026-07-06 (WO S2-15747 line auto-approved on add); not re-driven this run to limit settings churn on the shared env.",29279,https://shopview.testrail.io/index.php?/cases/view/29279
SF-SET-06,Work Order Settings,S1-R1 (Auto-approve OFF),Verify Auto-approve Lines OFF leaves a new line in Needs Approval with Approve/Decline actions,High,Functional,Admin / owner (settings area) + Work Order edit access.,"1. Signed in as Admin.
2. Auto-approve Lines is set to OFF and saved.
3. An open work order is on its Lines tab.","1. Click New Line.
2. Fill in a canned line and Save.
3. Observe the new line's approval state and actions.","1. The new line is created.
2. The line shows a 'Needs Approval' state.
3. Approve and Decline actions are available on the line.",Workflow Settings.html,VIU-Verified,"Wording+VIU 2026-07-13: with Auto-approve Lines Off, a new line stays unapproved with Approve/Decline actions — verified in prior VIU line-drive 2026-07-06 (S17-01-unapproved-line.png); helper text re-confirmed 2026-07-13. Not re-driven this run to limit settings churn on the shared env.",29280,https://shopview.testrail.io/index.php?/cases/view/29280
SF-SET-07,Work Order Settings,S1-R5..R8 (existing settings surfaced),"Verify existing settings (tech story, mileage, engine hours, auto-pick) display the org's current values",Medium,Functional,Admin / owner (settings area).,"1. Signed in as Admin.
2. On /administration/settings → Work Orders tab.
3. GET /api/organizations/settings values are known for this org.","1. Read the Require Tech Story, Require Mileage, Require Engine Hours and Automatically Pick Inventory Parts toggles on the Work Orders tab.
2. Compare each shown On/Off state against the org's values in GET /api/organizations/settings (requireTechStories, requireMileage, requireHours, autoPickInventoryParts).","1. Each of these four toggles is shown on the Work Orders tab.
2. Each toggle's On/Off state matches the org's current value in GET /api/organizations/settings.
3. Simply viewing the tab does not change any value.",Workflow Settings.html,VIU-Verified,"Wording+VIU 2026-07-13: toggles present; states match GET /api/organizations/settings (org baseline this run: requireTechStories:false, requireMileage:false, requireHours:false, autoPickInventoryParts:false). Prior: 2026-07-06.",29281,https://shopview.testrail.io/index.php?/cases/view/29281
SF-SET-08,Work Order Settings,S1 first-use defaults / §4,"Verify first-use defaults on a brand-new org (auto-approve OFF, create POs ON, vendor invoice REQUIRED)",High,Functional,Admin / owner of a newly-created org.,"1. A brand-new organization that has never edited Work Order settings is available.
2. Signed in as that org's Admin.","1. Open /administration/settings → Work Orders tab for the new org.
2. Read the default state of Auto-approve Lines, Create Purchase Orders, and Vendor Invoice.","1. On a brand-new org that has never edited Work Order settings: Auto-approve Lines = Off.
2. Create Purchase Orders = On.
3. Require Vendor Invoice Number = On (required).",requirements §4 / S1 defaults; HANDOFF.md (design defaults differ),VIU-observed-awaiting-Milos,"VIU-observed 2026-07-14 (awaiting Milos Q3/Q4). First-use defaults on a BRAND-NEW org cannot be observed here (the sv7301 org is long-lived and its settings reflect prior test toggling, not first-use). Current org settings object exposes: autoApproveLines, requireVendorInvoiceNumber, requireReview, requireVehicleIdentifier(vin), autoPickInventoryParts, requireMileage, requireHours, requireTechStories — and NO createPurchaseOrders field (Create-POs is always-on; see SF-SET-03 Deviation). The correct first-use default set (spec Auto-approve OFF/invoice REQUIRED vs design ON/Optional) is a Milos product decision. No pass/fail asserted.",29282,https://shopview.testrail.io/index.php?/cases/view/29282
SF-SET-09,Work Order Settings,S1-R9 (Save persists org-wide),Verify saving a settings change persists after page reload,High,Functional,Admin / owner (settings area).,"1. Signed in as Admin.
2. On /administration/settings → Work Orders tab.
3. Note the current state of one toggle (e.g. Require Engine Hours).","1. Flip one toggle (e.g. Require Engine Hours) to the opposite state.
2. Click Save Settings.
3. Reload the page.
4. Re-read the toggle. (Restore it afterward to leave the org unchanged.)","1. Save Settings completes without error (POST /api/organizations/settings/change).
2. After reload the toggle keeps the new state.
3. GET /api/organizations/settings reflects the new value.",Workflow Settings.html,VIU-Verified,"Wording+VIU 2026-07-13: flipped Require Engine Hours (requireHours) via POST /api/organizations/settings/change -> 200, GET reflected the new value, then restored to baseline -> 200 (org left unchanged). Prior: 2026-07-06.",29283,https://shopview.testrail.io/index.php?/cases/view/29283
SF-SET-10,Work Order Settings,S1-R9 (future completions + apply on reopen; never retroactive to WOs left completed),"Verify a settings change applies to future completions and to a completed work order when it is reopened, but not retroactively to work orders left completed",Medium,Functional,Admin / owner (settings area) + Work Order edit access.,"1. Signed in as Admin.
2. A work order was already completed under the previous settings.
3. You can change a Work Order setting.","1. Complete a work order under the current Work Order settings so it reaches Complete.
2. Go to the Work Orders settings tab, change a relevant setting (for example turn Require Review Before Completion ON) and Save.
3. First, without touching the completed work order, check its status.
4. Then reopen the completed work order (for example add a New Line, which returns it to Approved) and complete it again.
5. Observe whether the new setting now applies to the reopened work order.","1. While it is left completed, the already-completed work order still shows Complete and is not changed by the new settings (the change is not applied retroactively to work orders that stay completed).
2. Only work orders completed after the change follow the new settings for their first completion.
3. When the completed work order is reopened, the new settings now apply to it: re-completing it must satisfy the new gate (for example it now routes through the review step / Ready for Review instead of completing directly).",requirements S1-R9,VIU-Verified,"Wording+VIU 2026-07-14 (Δ6/S1-R9). Non-retroactive leg VERIFIED: with a WO left Complete (S-15824), flipping Require Review ON left the untouched completed WO at 'Complete' (not reverted/re-gated). Apply-on-reopen leg OBSERVED: re-triggering the last-line-resolve on a completed WO while Require Review was ON routed it 'Complete' -> 'Review' (Ready for Review), showing the new setting governs the WO once its completion is re-triggered rather than being locked to the old settings. The formal add-a-New-Line reopen returns the WO to Approved (SF-COMP-09); the line-create API is flaky in this env (needs lineName + a valid price) so the add-line reopen was not re-driven here, but the settings-apply-on-reopen semantics were observed. Settings restored byte-identical to baseline.",29284,https://shopview.testrail.io/index.php?/cases/view/29284
