internal_id,testrail_case_id,testrail_link,area,title,title_len,useful_verdict,sense_verdict,genuine_layman,refs,viu_status
SCH-API-01,C38872,https://shopview.testrail.io/index.php?/cases/view/38872,Schedule,API - Schedule reads need View; writes need Edit; deletes need Delete (403),75,KEEP,SENSIBLE,PASS,"SV-8685 [epic - cross-cutting, no single-story owner] (§14 + tech-plan §4 NFR-003 permissions)",VIU-Pending
SCH-API-02,C38873,https://shopview.testrail.io/index.php?/cases/view/38873,Schedule,API - Series past 8 weeks returns 409 until acknowledged; over 120 shifts 422,77,KEEP,SENSIBLE,PASS,SV-8691 (§4.5 + tech-plan D8 error cases),VIU-Pending
SCH-API-03,C38874,https://shopview.testrail.io/index.php?/cases/view/38874,Schedule,API - No pricing fields in Schedule responses; WO details need Work Orders View,79,KEEP,SENSIBLE,PASS,"SV-8685 [epic - cross-cutting, no single-story owner] (§14 + tech-plan D6/NFR-002 no pricing)",VIU-Pending
SCH-API-04,C38875,https://shopview.testrail.io/index.php?/cases/view/38875,Schedule,"API - A shift from another location returns 404, not another shop's data",72,KEEP,SENSIBLE,PASS,"SV-8685 [epic - cross-cutting, no single-story owner] (tech-plan NFR-001 location scoping)",VIU-Pending
SCH-BLOCK-01,C29991,https://shopview.testrail.io/index.php?/cases/view/29991,Shift Block Anatomy,"A single-line shift block shows customer, unit number and line name",67,KEEP,SENSIBLE,PASS,SV-8690 (§4.4),VIU-Pending
SCH-BLOCK-02,C29992,https://shopview.testrail.io/index.php?/cases/view/29992,Shift Block Anatomy,Whole-order and multi-line shifts both read 'N Lines' on the block,66,KEEP,SENSIBLE,PASS,"SV-8690 (§4.4, §12)",VIU-Pending
SCH-BLOCK-05,C29995,https://shopview.testrail.io/index.php?/cases/view/29995,Shift Block Anatomy,The conflict icon is the only icon on a shift block,51,WEAK-KEEP,SENSIBLE,PASS,SV-8690 (§4.4),VIU-Pending
SCH-CAP-01,C30030,https://shopview.testrail.io/index.php?/cases/view/30030,Capacity Bars,"Capacity bar fill = booked (shifts + events) vs available, clamped, equal tracks",80,KEEP,SENSIBLE,PASS,SV-8698 (§4.12 (Blue fill - aggregate booked = shifts plus events)),VIU-Pending
SCH-CAP-02,C30031,https://shopview.testrail.io/index.php?/cases/view/30031,Capacity Bars,"Over capacity, an amber spill extends past the track's right edge",65,KEEP,SENSIBLE,PASS,SV-8698 (§4.12 (Amber spill)),VIU-Pending
SCH-CAP-03,C30032,https://shopview.testrail.io/index.php?/cases/view/30032,Capacity Bars,'OT' text tag appears when one technician exceeds their own daily hours,71,KEEP,SENSIBLE,PASS,"SV-8698 (§4.12 (OT tag), §11 (not color-only))",VIU-Pending
SCH-CAP-04,C30033,https://shopview.testrail.io/index.php?/cases/view/30033,Capacity Bars,Hovering a capacity bar shows a per-technician breakdown,56,KEEP,SENSIBLE,PASS,SV-8698 (§4.12 (Hover tooltip)),VIU-Pending
SCH-COLOR-01,C30071,https://shopview.testrail.io/index.php?/cases/view/30071,Color System,"Blue is the default color for all shifts, including long and multi-week jobs",76,KEEP,SENSIBLE,PASS,SV-8700 (§10),VIU-Pending
SCH-COLOR-02,C30072,https://shopview.testrail.io/index.php?/cases/view/30072,Color System,"Shift modal color picker recolors that shift only, in matching tones",68,KEEP,SENSIBLE,PASS,"SV-8700 (§10, §4.9 (Color picker)); SV-8690 (§4.4, §10)",VIU-Pending
SCH-COLOR-03,C30073,https://shopview.testrail.io/index.php?/cases/view/30073,Color System,Color labels are editable per shop,34,KEEP,SENSIBLE,PASS,"SV-8700 (§10 (Color labels are editable per shop), §4.10 (shared picker))",VIU-Pending
SCH-CONF-01,C30023,https://shopview.testrail.io/index.php?/cases/view/30023,Conflict Detection,Double-booked: two overlapping work orders on one technician are flagged,72,KEEP,SENSIBLE,PASS,SV-8697 (§4.11 (Double-booked)),VIU-Pending
SCH-CONF-02,C30024,https://shopview.testrail.io/index.php?/cases/view/30024,Conflict Detection,Working-day conflict: a shift outside the tech's working days is flagged,72,KEEP,SENSIBLE (was CONTRADICTION X7 - RESOLVED this pass),PASS,SV-8697 (§4.11 (Weekend shift)),VIU-Pending
SCH-CONF-03,C30025,https://shopview.testrail.io/index.php?/cases/view/30025,Conflict Detection,Before-hours and after-hours shifts are flagged against the tech's hours,72,KEEP,SENSIBLE,PASS,"SV-8697 (§4.11 (Before hours, After hours), §4.2 (working-hours hierarchy; 7:00 AM to 7:00 PM default))",VIU-Pending
SCH-CONF-05,C30027,https://shopview.testrail.io/index.php?/cases/view/30027,Conflict Detection,The toolbar conflict pill shows the count and opens a list,58,KEEP,SENSIBLE,PASS,"SV-8697 (§4.11, §6 (Conflict pill))",VIU-Pending
SCH-CONF-06,C30028,https://shopview.testrail.io/index.php?/cases/view/30028,Conflict Detection,Clicking a conflict in the dropdown navigates to the relevant technician and day,80,KEEP,SENSIBLE,PASS,SV-8697 (§4.11 (Clicking a conflict navigates)),VIU-Pending
SCH-CONF-07,C30029,https://shopview.testrail.io/index.php?/cases/view/30029,Conflict Detection,"Red styling is only for conflicts and errors, never for overtime",64,WEAK-KEEP,SENSIBLE,PASS,"SV-8697 (§4.11 (styling rule), §4.12)",VIU-Pending
SCH-DAY-01,C30001,https://shopview.testrail.io/index.php?/cases/view/30001,Day View Timeline,Day view auto-scrolls to the working-day start; manual scrolling stands,71,KEEP,SENSIBLE,PASS,SV-8694 (§4.8 (Auto-scroll to business hours)),VIU-Pending
SCH-DAY-03,C30003,https://shopview.testrail.io/index.php?/cases/view/30003,Day View Timeline,Date and time headers stick to the top during vertical scroll,61,WEAK-KEEP,SENSIBLE,PASS,SV-8694 (§4.8 (Sticky header bar)),VIU-Pending
SCH-DAY-04,C30004,https://shopview.testrail.io/index.php?/cases/view/30004,Day View Timeline,Dragging a shift sideways moves its start time in 15-minute steps,65,KEEP,SENSIBLE,PASS,"SV-8694 (§4.8 (Horizontal drag), §7 (toast))",VIU-Pending
SCH-DAY-05,C30005,https://shopview.testrail.io/index.php?/cases/view/30005,Day View Timeline,Dragging a shift's left or right edge resizes its duration,58,KEEP,SENSIBLE,PASS,SV-8694 (§4.8 (Edge resize)),VIU-Pending
SCH-DAY-06,C30006,https://shopview.testrail.io/index.php?/cases/view/30006,Day View Timeline,"A now line marks the current time on today's day view, with a label on hover",76,WEAK-KEEP,SENSIBLE,PASS,SV-8694 (§4.8 (Now line)),VIU-Pending
SCH-DEL-01,C30057,https://shopview.testrail.io/index.php?/cases/view/30057,"Deletion, Series Scopes and Undo",Deleting a middle shift of a series offers all three scope options,66,KEEP,SENSIBLE,PASS,SV-8692 (§7 (Series-aware deletion)),VIU-Pending
SCH-DEL-02,C30058,https://shopview.testrail.io/index.php?/cases/view/30058,"Deletion, Series Scopes and Undo",'This shift only' removes that day and the series keeps the gap,63,KEEP,SENSIBLE,PASS,SV-8692 (§7 (This shift only)),VIU-Pending
SCH-DEL-03,C30059,https://shopview.testrail.io/index.php?/cases/view/30059,"Deletion, Series Scopes and Undo",'This and everything after' removes from the clicked shift onward,65,KEEP,SENSIBLE,PASS,SV-8692 (§7 (This and everything after)),VIU-Pending
SCH-DEL-04,C30060,https://shopview.testrail.io/index.php?/cases/view/30060,"Deletion, Series Scopes and Undo",'The whole series' removes all of the series' shifts for that technician,72,KEEP,SENSIBLE,PASS,SV-8692 (§7 (The whole series - 'for that technician')),VIU-Pending
SCH-DEL-05,C30061,https://shopview.testrail.io/index.php?/cases/view/30061,"Deletion, Series Scopes and Undo",Scope options adapt: the first and last shift each show only two,64,KEEP,SENSIBLE,PASS,SV-8692 (§7 (options adapt to position)),VIU-Pending
SCH-DEL-06,C30062,https://shopview.testrail.io/index.php?/cases/view/30062,"Deletion, Series Scopes and Undo",Deleting a standalone (non-series) shift does not ask for a series scope,72,WEAK-KEEP,SENSIBLE,PASS,SV-8692 (§7 (derived - scope prompt is for series shifts)),VIU-Pending
SCH-DEL-08,C30064,https://shopview.testrail.io/index.php?/cases/view/30064,"Deletion, Series Scopes and Undo","Toast lasts ~7s with Undo (about 4s without); stays on hover, goes on leave",75,WEAK-KEEP,SENSIBLE,PASS,"SV-8688 (§7 (Toast notifications), §11 (Undo))",VIU-Pending
SCH-DEL-09,C30065,https://shopview.testrail.io/index.php?/cases/view/30065,"Deletion, Series Scopes and Undo","Every create/delete/move/reassign toasts with Undo, and Undo restores",69,KEEP,SENSIBLE,PASS,"SV-8688 (§7 (Toast notifications), §11 (Undo))",VIU-Pending
SCH-DEL-10,C38864,https://shopview.testrail.io/index.php?/cases/view/38864,"Deletion, Series Scopes and Undo","Schedule actions save immediately - Undo reverses them, closing does not cancel",79,KEEP,SENSIBLE,PASS,SV-8688 (§7 toast/undo + tech-plan D10),VIU-Pending
SCH-DND-01,C29955,https://shopview.testrail.io/index.php?/cases/view/29955,Drag-and-Drop Scheduling,Dropping a single-line work order creates a shift with no scope picker,70,KEEP,SENSIBLE,PASS,"SV-8688 (§4.1 (Single-line work order), §1.2 (roster sync), §7 (toast))",VIU-Pending
SCH-DND-02,C29956,https://shopview.testrail.io/index.php?/cases/view/29956,Drag-and-Drop Scheduling,Dropping a multi-line work order on a technician cell opens the scope picker,76,KEEP,SENSIBLE,PASS,"SV-8688 (§4.1 (Multi-line work order), §4.3)",VIU-Pending
SCH-DND-03,C29957,https://shopview.testrail.io/index.php?/cases/view/29957,Drag-and-Drop Scheduling,Dragging a line from the drill-down creates a single-line shift,63,KEEP,SENSIBLE,PASS,SV-8688 (§4.1 (Specific line drag)),VIU-Pending
SCH-DND-04,C29958,https://shopview.testrail.io/index.php?/cases/view/29958,Drag-and-Drop Scheduling,A job over the technician's daily hours opens the spread step,61,KEEP,SENSIBLE,PASS,"SV-8688 (§4.1 (Large job), §4.5)",VIU-Pending
