internal_id,testrail_case_id,testrail_link,area,spec_anchors_after,anchors_valid_in_v1_6,ticket_ref,verdict_before,changed_this_pass,refs_before,refs_after,len_after
FLT-BAR-01,C29557,https://shopview.testrail.io/index.php?/cases/view/29557,Filter Bar Layout and Visibility,S1-R1,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 1 S1-R1,Filters (no Jira epic) (S1-R1) [spec v1.6 2026-07-28],53
FLT-BAR-02,C29558,https://shopview.testrail.io/index.php?/cases/view/29558,Filter Bar Layout and Visibility,S1-R2;S1-R3,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 1 S1-R2; S1-R3,Filters (no Jira epic) (S1-R2; S1-R3) [spec v1.6 2026-07-28],60
FLT-BAR-03,C29559,https://shopview.testrail.io/index.php?/cases/view/29559,Filter Bar Layout and Visibility,S1-N1;S9-R2,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",PRESENT + VALID in v1.6,YES,"Filters epic (key TBD) (S1-N1; S9-R2; §4 Key Decisions - PRD text says ""hidden""; behaviour per Branko Q4=B 2026-07-17 + QA-lead ruling 2026-07-30 = shown greyed-out/disabled) [spec v1.6 2026-07-28]","Filters (no Jira epic) (S1-N1; S9-R2; §4 Key Decisions - PRD text says ""hidden""; behaviour per Branko Q4=B 2026-07-17 + QA-lead ruling 2026-07-30 = shown greyed-out/disabled) [spec v1.6 2026-07-28]",197
FLT-STAT-01,C29560,https://shopview.testrail.io/index.php?/cases/view/29560,Status Filter,S2-R1;S2-R4,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 2 S2-R1; S2-R4,Filters (no Jira epic) (S2-R1; S2-R4) [spec v1.6 2026-07-28],60
FLT-STAT-02,C29561,https://shopview.testrail.io/index.php?/cases/view/29561,Status Filter,S2-R2;S2-R3;S2-R6,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 2 S2-R2; S2-R3; S2-R6,Filters (no Jira epic) (S2-R2; S2-R3; S2-R6) [spec v1.6 2026-07-28],67
FLT-STAT-03,C29562,https://shopview.testrail.io/index.php?/cases/view/29562,Status Filter,S2-R2,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 2 S2-R2; §4 Key Decisions (no selection limit),Filters (no Jira epic) (S2-R2; §4 Key Decisions (no selection limit)) [spec v1.6 2026-07-28],92
FLT-STAT-04,C29563,https://shopview.testrail.io/index.php?/cases/view/29563,Status Filter,S2-R4;S8-R2,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 2 S2-R4; Story 8 S8-R2,Filters (no Jira epic) (S2-R4; S8-R2) [spec v1.6 2026-07-28],60
FLT-STAT-05,C29564,https://shopview.testrail.io/index.php?/cases/view/29564,Status Filter,S2-R5,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 2 S2-R5,Filters (no Jira epic) (S2-R5) [spec v1.6 2026-07-28],53
FLT-STAT-06,C29565,https://shopview.testrail.io/index.php?/cases/view/29565,Status Filter,S2-N3;S8-R3,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 2 S2-N3; Story 8 S8-R3,Filters (no Jira epic) (S2-N3; S8-R3) [spec v1.6 2026-07-28],60
FLT-COLL-01,C29601,https://shopview.testrail.io/index.php?/cases/view/29601,Collapse and Expand,S1-R4;S1-R5,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 1 S1-R4; S1-R5,Filters (no Jira epic) (S1-R4; S1-R5) [spec v1.6 2026-07-28],60
