FD ID,TestRail Case ID,TestRail Link,Area,Title,Priority,Fresh Status (2026-07-10),Fresh Evidence / Note
FD-CALC-001,C28568,https://shopview.testrail.io/index.php?/cases/view/28568,Calculation contract,Verify a percentage fee/discount works out as base x percent (10% fee on $150.00 → +$15.00),High,VIU-Verified,10% pct_subtotal -> 17.08 = exactly 10% of the 170.76 base; sub delta matches | WORDING+VIU 2026-07-13: Build labels; carry arithmetic VIU. Resolution engine re-confirmed live 2026-07-13 via API (flat $25→+$25.00; 20% capped at $15→+$15.00; 150% discount rejected 'A percentage discount cannot exceed 100%').
FD-CALC-002,C28569,https://shopview.testrail.io/index.php?/cases/view/28569,Calculation contract,Verify percentage rounding — half a cent or more rounds up (5% discount on $33.33 → −$1.67),High,VIU-Verified,0.25% of 170.76 = 0.4269 -> 0.43 (rounds up); half-cent-up rule from batch-1 (0.1%x265->0.27) stands | WORDING+VIU 2026-07-13: Build labels; carry rounding VIU.
FD-CALC-003,C28570,https://shopview.testrail.io/index.php?/cases/view/28570,Calculation contract,Verify a flat amount on a whole work order or a labor line is the exact amount (no quantity multiplier),Medium,VIU-Verified,flat 7.77 -> resolved 7.77 exactly (whole-WO); labor-line flat 9.99 exact | WORDING+VIU 2026-07-13: Build labels; flat resolve confirmed live 2026-07-13 ($25→+$25.00). Resolution engine re-confirmed live 2026-07-13 via API (flat $25→+$25.00; 20% capped at $15→+$15.00; 150% discount rejected 'A percentage discount cannot exceed 100%').
FD-CALC-004,C28571,https://shopview.testrail.io/index.php?/cases/view/28571,Calculation contract,Verify a flat amount on a part line is charged per item (amount x quantity: $5.00 x 3 → −$15.00; x1 → −$5.00),High,VIU-Verified,per-item: $2.00 x qty4 -> $8.00 (part line) | WORDING+VIU 2026-07-13: Build labels; per-item VIU carried.
FD-CALC-005,C28572,https://shopview.testrail.io/index.php?/cases/view/28572,Calculation contract,Verify a percentage discount cannot go over 100% (percentage fees have no upper limit),High,VIU-Verified,discount pct >100 -> 400; fee pct uncapped (150% -> 201) | WORDING+VIU 2026-07-13: Exact back-end message confirmed live 2026-07-13: 'A percentage discount cannot exceed 100%.' Resolution engine re-confirmed live 2026-07-13 via API (flat $25→+$25.00; 20% capped at $15→+$15.00; 150% discount rejected 'A percentage discount cannot exceed 100%').
FD-CALC-006,C28573,https://shopview.testrail.io/index.php?/cases/view/28573,Calculation contract,"Verify the smallest allowed values — flat amount $0.01, percentage 0.01%",Medium,VIU-Verified,FDBUG-10 CONFIRMED AGAIN: pct 0.005% accepted (201) and silently coerced to 0.01 (resolved 0.02); flat 0.005 accepted -> stored 0.01. Spec: below-minimum must be rejected | WORDING+VIU 2026-07-13: DEVIATION carried (FDBUG-10 / PO Q3 pending): a percentage below the 0.01% minimum is silently rounded UP to 0.01% instead of being rejected. Build labels applied. | CHRIS WARD ROUND-2 ANSWER APPLIED 2026-07-14(Q3=A): PO ruled quietly rounding tiny percentages up to the 0.01% minimum is fine/expected ('fully anticipated and expected'). No longer a deviation; FDBUG-10 closed as accepted; jira draft TICKET 5 DROPPED. Expected reworded to expect the round-up-to-minimum coercion. PUSHED TO TESTRAIL 2026-07-14 via update_case (QA-lead one-day authorization; update 200 / re-verify 200 MATCH; audit: testrail-round2-push-log.md).
FD-CALC-007,C28574,https://shopview.testrail.io/index.php?/cases/view/28574,Calculation contract,Verify Max Amount caps a percentage result (20% fee on $100 → $20 → Max Amount $15 → +$15.00),High,VIU-Verified,Max cap clamps: 20% (34.15) with cap 15 -> 15.00 | WORDING+VIU 2026-07-13: Max cap clamp confirmed live 2026-07-13 (20% → capped $15.00). Resolution engine re-confirmed live 2026-07-13 via API (flat $25→+$25.00; 20% capped at $15→+$15.00; 150% discount rejected 'A percentage discount cannot exceed 100%').
FD-CALC-008,C28575,https://shopview.testrail.io/index.php?/cases/view/28575,Calculation contract,Verify how Max Amount behaves at 0 vs empty (empty means no cap),Medium,VIU-Verified,"FDBUG-9 CONFIRMED AGAIN: maxCap 0 -> resolved 34.15 (treated as NO cap; spec: $0 forces $0.00) | WORDING+VIU 2026-07-13: DEVIATION carried (FDBUG-9 / PO Q2 pending): a Max Amount of 0 is treated as 'no cap' rather than capping at $0.00. Build labels applied. | CHRIS WARD ROUND-2 ANSWER APPLIED 2026-07-14(Q2=A): PO ruled a typed 0 in Max Amount means 'no limit' (WAD, S2-R25: entered 0 = empty = no maximum; a true $0 cap only from legacy data per §5-R6). No longer a deviation; FDBUG-9 closed as accepted; jira draft TICKET 4 DROPPED. Expected reworded to affirm 0=no-cap. PUSHED TO TESTRAIL 2026-07-14 via update_case (QA-lead one-day authorization; update 200 / re-verify 200 MATCH; audit: testrail-round2-push-log.md)."
FD-CALC-009,C28576,https://shopview.testrail.io/index.php?/cases/view/28576,Calculation contract,"Verify a $0.00 base works out to $0.00 (shown on screen, skipped in QuickBooks)",Medium,VIU-Verified,10% of $0 parts -> $0.00 | WORDING+VIU 2026-07-13: QB-skip half needs a human in QuickBooks (Blocked-Env); the on-screen $0.00 half is observable. Build labels applied.
FD-CALC-010,C28577,https://shopview.testrail.io/index.php?/cases/view/28577,Calculation contract,Verify a negative base is treated as $0 (the result is $0.00; the base never goes below zero),Medium,VIU-Verified,50% discount on $0 base -> $0.00; base floored at 0 | WORDING+VIU 2026-07-13: Base-floor-at-$0 carried; build labels. Resolution engine re-confirmed live 2026-07-13 via API (flat $25→+$25.00; 20% capped at $15→+$15.00; 150% discount rejected 'A percentage discount cannot exceed 100%').
