Case ID,Section Path,Title,Spec Change #,Verdict,Current Wording (stale),Proposed Corrected Wording
27778,"Custom Roles - (Revised) > Regression Suite (By Dev) > Service Manager","Verify Service Manager cannot edit or delete another user's work order note",1,"NEEDS UPDATE","Title: ""Verify Service Manager cannot edit or delete another user's work order note""; EXP: ""Both editing and deleting another user's note are BLOCKED"". (Also spec change 2: SM has WO Delete.)","Verify Service Manager CAN edit AND delete another user's work order note. Editing any note is now granted by Work Orders: View (collaboration); deleting any note is granted by Work Orders: Delete. Service Manager has both, so both actions succeed with no permission error."
27803,"Custom Roles - (Revised) > Regression Suite (By Dev) > Service Advisor","Verify Service Advisor cannot edit or delete another user's work order note",1,"NEEDS UPDATE","Title: ""Verify Service Advisor cannot edit or delete another user's work order note""; EXP: ""Both actions are BLOCKED"".","Verify Service Advisor CAN edit another user's note (granted by Work Orders: View) but CANNOT delete another user's note (requires Work Orders: Delete, which this role lacks). Edit succeeds; delete is hidden/disabled or returns a permission error."
27828,"Custom Roles - (Revised) > Regression Suite (By Dev) > Technician","Verify Technician cannot edit or delete another user's work order note",1,"NEEDS UPDATE","Title: ""Verify Technician cannot edit or delete another user's work order note""; EXP: ""Both actions are BLOCKED"". CAVEAT: default Technician template has an own-data restriction (see case 27866).","Verify Technician can edit another user's note per the new WO-View collaboration rule (delete still blocked — no WO Delete). NOTE FOR PO: confirm whether the default Technician own-data restriction overrides WO-View note collaboration; if it does, keep ""cannot edit others'"" and re-gate wording accordingly."
27854,"Custom Roles - (Revised) > Regression Suite (By Dev) > Office","Verify Office cannot edit or delete another user's work order note",1,"NEEDS UPDATE","Title: ""Verify Office cannot edit or delete another user's work order note""; EXP: ""Both actions are BLOCKED"".","Verify Office CAN edit another user's note (granted by Work Orders: View) but CANNOT delete another user's note (no Work Orders: Delete). Edit succeeds; delete blocked."
27777,"Custom Roles - (Revised) > Regression Suite (By Dev) > Service Manager","Verify Service Manager can create and edit their own work order note",1,"NEEDS CLARIFY","Title: ""Verify Service Manager can create and edit their own work order note""; precond: ""own-note create/edit is gated by Work Orders: View"".","Broaden to: ""Verify Service Manager can create and edit ANY work order note."" Work Orders: View now grants create/edit of any note (collaboration), not just the user's own."
27802,"Custom Roles - (Revised) > Regression Suite (By Dev) > Service Advisor","Verify Service Advisor can create and edit their own work order note",1,"NEEDS CLARIFY","Title: ""Verify Service Advisor can create and edit their own work order note"".","Broaden to: ""Verify Service Advisor can create and edit ANY work order note"" (Work Orders: View grants edit of any note)."
27853,"Custom Roles - (Revised) > Regression Suite (By Dev) > Office","Verify Office can create and edit their own work order note",1,"NEEDS CLARIFY","Title: ""Verify Office can create and edit their own work order note"".","Broaden to: ""Verify Office can create and edit ANY work order note"" (Work Orders: View grants edit of any note)."
27827,"Custom Roles - (Revised) > Regression Suite (By Dev) > Technician","Verify Technician can create and edit their own work order note",1,"NEEDS CLARIFY","Title: ""Verify Technician can create and edit their own work order note"".","Clarify against Technician own-data restriction: if WO-View collaboration applies, retitle to ""…can create and edit any work order note""; if the Technician own-data restriction wins, keep ""own"" and cite that restriction explicitly. Needs PO confirmation."
27764,"Custom Roles - (Revised) > Regression Suite (By Dev) > Administrator","Verify Administrator can edit and delete another user's work order note",1,"NEEDS CLARIFY","Precond: ""(editing/deleting ALL notes, including other users' notes, is gated by Work Orders: Delete per spec v33)"". Outcome (Admin can edit+delete others) is CORRECT.","Fix attribution: editing any note is gated by Work Orders: View; deleting any note is gated by Work Orders: Delete. Admin has both, so both succeed."
27790,"Custom Roles - (Revised) > Regression Suite (By Dev) > Senior Service Advisor","Verify Senior Service Advisor can edit and delete another user's work order note",1,"NEEDS CLARIFY","Precond: ""(edit/delete ALL notes requires Work Orders: Delete per spec v33)"". Outcome (SSA can edit+delete others) is CORRECT.","Fix attribution: edit-any-note = Work Orders: View; delete-any-note = Work Orders: Delete. SSA has both."
