Ref,Project,Feature,What happens today,What we need you to decide,Why it matters,Options,Who we need it from,Open since
PO-GS-SUBSTR-1,Global Search V2,"Searching by plate, part number or VIN","If you type only PART of a number, we still find the record. Typing 4310 finds part AC-4310-XL; typing the last six characters of a vehicle's VIN finds that vehicle.","In the new search, must a partial number still find the record - or will people have to type the whole number exactly?","This is the single biggest risk to the new search being a step backwards. The new specification says identifiers need 'an exact match', which can be read either way. If it means the whole number, everyone who searches by a few digits today stops finding anything.","(a) a partial number still finds the record, as today; (b) the whole number must be typed exactly",Branko / Milos (PO),2026-09-09
PO-GS-PARTSALE-1,Global Search V2,Who can see Part Sale results,"A person whose role covers Part Sales but NOT Work Orders is sent Part Sale results by the system, but the screen then hides them - so they see nothing.","Should the new search keep this exactly as it is, or should such a person actually see their Part Sales?","Changing it changes what a Part-Sales-only person can see. If we 'tidy it up' without a decision, we would be quietly changing who can see what.",(a) keep today's behaviour unchanged; (b) let a Part-Sales-only person see Part Sale results,Branko / Milos (PO),2026-09-09
PO-REG-6,Global Search V2,Searching a work order by its status,You can find work orders by typing their status - for example 'qualitycheck' or 'qc' returns work orders in quality check.,Was removing status from what the new search looks at a deliberate decision?,"It was removed from the specification without a change-log entry, so we cannot tell if it was intended. If it was accidental, people lose a way of searching they use today.",(a) the removal was intended; (b) it was accidental and status should stay searchable,Branko / Milos (PO),2026-08-26
PO-REG-1,Global Search V2,How search decides what you are allowed to see,"Search reuses the SAME permission list the whole application uses to decide which pages you can open (around twenty other places rely on it, including where you land after logging in).",Please confirm the new search will NOT change that shared permission list just for search.,"If search changes the shared list, it can affect which pages people can open and where they land after logging in - far beyond search itself.",(a) leave the shared list alone and give search its own rules; (b) change the shared list (needs a full re-test of navigation and login),Branko / Milos (PO),2026-08-26
PO-REG-2,Global Search V2,Time Clock users and search,Someone whose role is Time Clock gets no search results at all - the search returns completely empty for them.,Should Time Clock users continue to get no results?,"This is an access boundary and the new specification does not mention it. If it changes by accident, Time Clock users could suddenly see customer and work order data.",(a) keep Time Clock users seeing nothing; (b) let them see some results (please say which),Branko / Milos (PO),2026-08-26
PO-REG-3,Global Search V2,How many characters before search starts,Search waits until you have typed at least two characters before it looks for anything.,Should the new search keep the two-character minimum?,"The new specification sets a new typing delay but never states a minimum, so we cannot tell whether two is still intended.",(a) keep two characters; (b) a different number (please say which),Branko / Milos (PO),2026-08-26
PO-GS-ASSET-SHOWALL,Global Search V2,'Show all' on asset results,Not yet built - this is about the new search only.,"Do asset results get a 'Show all' link inside the search panel, now that the separate full-page results view was dropped?","This reverses an earlier answer given over Slack, so we would like it confirmed in writing. Our test cases follow the newest specification in the meantime.","(a) yes, assets get 'Show all'; (b) no, they do not",Branko (designer + PO),2026-09-07
PO-GS-EMPTY-1,Global Search V2,Wording shown before you type anything,Not yet built - this is about the new search only.,"Which wording is correct - 'Search for something', or 'Type to start searching for work orders, parts, customers and more'?","The specification and the design say different things, so one of them needs to win. Our test cases follow the specification in the meantime.",(a) the specification wording; (b) the design wording,Branko (designer + PO),2026-09-02

--- THE 8 ROWS ABOVE NEED AN ANSWER. The rows below do NOT - kept visible so nothing looks dropped. ---
PO-REG-4,Global Search V2,Recording that someone used search,Selecting a search result records a usage event.,NO LONGER NEEDED - answered by the specification itself.,"Version 1.5 removed all of the new tracking from the project, so there is no longer any clash with the existing usage event. It simply stays as it is.",Closed by specification v1.5 (2026-09-08),-,closed 2026-09-09
PO-REG-5,Global Search V2,The order results appear in,Results other than work orders come back in no particular order.,NO INPUT NEEDED - recorded for completeness.,"The new search introduces proper ranking. We treat that as an intended improvement, not something broken.",No decision required,-,noted 2026-08-26
