internal_id,testrail_case_id,testrail_link,title,title_len,area,useful_verdict,sense_verdict,genuine_layman,refs,viu_status,reason
SCH-EVT-08,C30615,https://shopview.testrail.io/index.php?/cases/view/30615,An event's hours count toward the capacity bar but raise no conflict,68,Events,KEEP,SENSIBLE (was CONTRADICTION X4 - RESOLVED),PASS,"SV-8696 (§4.10 (Events), §4.11 (events not conflict-checked), §4.12 (event time included in the utilization total))",VIU-Pending,Load-bearing: the D1 behaviour contract. Title+E1+E3 flipped to the PO ruling; the not-conflict-checked half kept. Failure = a real bug either way.
SCH-CAP-01,C30030,https://shopview.testrail.io/index.php?/cases/view/30030,"Capacity bar fill = booked (shifts + events) vs available, clamped, equal tracks",80,Capacity Bars,KEEP,SENSIBLE,PASS,SV-8698 (§4.12 (Blue fill - aggregate booked = shifts plus events)),VIU-Pending,The capacity calculation contract - exactly the kind of load-bearing case Rule 28 credits. E1 now names shift+event hours. Title trimmed 125->80.
SCH-CAP-02,C30031,https://shopview.testrail.io/index.php?/cases/view/30031,"When aggregate hours exceed capacity, an amber spill extends past the track's right edge with a tick at the 100% line",117,Capacity Bars,KEEP,SENSIBLE,PASS,SV-8698 (§4.12 (Amber spill)),VIU-Pending,"Amber-spill overflow behaviour, distinct from CAP-01. Notes-only edit; tester-facing text untouched and still correct."
SCH-CAP-03,C30032,https://shopview.testrail.io/index.php?/cases/view/30032,The 'OT' text tag appears whenever any single technician exceeds their own daily hours - even when the day's aggregate is under capacity,136,Capacity Bars,KEEP,SENSIBLE,PASS,"SV-8698 (§4.12 (OT tag), §11 (not color-only))",VIU-Pending,"OT-tag-independent-of-aggregate is a distinct, easily-broken rule. Stale events claim withdrawn without asserting the opposite (spec silent -> question A1)."
SCH-CAP-04,C30033,https://shopview.testrail.io/index.php?/cases/view/30033,"Hovering a capacity bar shows a per-technician breakdown, with overtime technicians highlighted in amber",104,Capacity Bars,KEEP,SENSIBLE,PASS,SV-8698 (§4.12 (Hover tooltip)),VIU-Pending,Per-technician hover breakdown. Same spec-silence handling as CAP-03.
SCH-CONF-01,C30023,https://shopview.testrail.io/index.php?/cases/view/30023,Double-booked: two work orders overlapping on the same technician at the same time are flagged,94,Conflict Detection,KEEP,SENSIBLE,PASS,SV-8697 (§4.11 (Double-booked)),VIU-Pending,Double-booked detection. Notes-only: events-not-conflicted upgraded from provisional to confirmed; NQ-2 caveat retained (still open).
SCH-MODAL-08,C30015,https://shopview.testrail.io/index.php?/cases/view/30015,Shift modal offers Delete only - there is no Reassign action,60,Shift Detail Modal,KEEP,SENSIBLE (was HELD),PASS,"SV-8695 (§4.9 (Actions - Delete only; Reassign removed in Confluence v23), §7)",VIU-Pending,A negative that guards against the Reassign action coming back. Hold lifted; body unchanged; refs + title updated. Title trimmed 82->60.
SCH-REAS-01,C30052,https://shopview.testrail.io/index.php?/cases/view/30052,"Dragging a shift to another technician row reassigns it - target tech added to the line's roster, source removed, with a confirmation modal",139,Reassignment and Context Menu,KEEP,SENSIBLE,PASS,"SV-8695 (§7 (Shift reassignment), §12)",VIU-Pending,"Drag-reassign is now the ONLY reassignment path, so this case carries the whole behaviour. Notes-only."
SCH-EVT-01,C30016,https://shopview.testrail.io/index.php?/cases/view/30016,Create an event via left-click 'Create Event' on empty grid space,65,Events,KEEP,SENSIBLE (was CONTRADICTION X3 - RESOLVED),PASS,"SV-8696 (§4.10 (left-click menu on empty grid space), §7)",VIU-Pending,Event-creation happy path. Was unrunnable as written (right-click). Now matches the PO ruling + v23.
SCH-EVT-02,C30017,https://shopview.testrail.io/index.php?/cases/view/30017,Day view event creation shows a live preview block you can drag to resize,73,Events,KEEP,SENSIBLE (was CONTRADICTION X6 - RESOLVED),PASS,"SV-8696 (§4.10 (left-click menu entry; day-view live preview, drag-to-resize))",VIU-Pending,Day-view live preview + drag-to-resize is a distinct behaviour from EVT-01. Re-routed through the menu; found ONLY by the Stage-2b sweep.
