case_id,url,section_id,section,title,title_len,verdict,reasons
C30096,https://shopview.testrail.io/index.php?/cases/view/30096,4288,SBC — Access & Navigation,"Sales By Customer listed under Performance, below existing links; titles correct",80,PASS,
C30098,https://shopview.testrail.io/index.php?/cases/view/30098,4289,SBC — Permissions,Ordinary reports access opens Sales By Customer — no separate permission,72,PASS,
C30099,https://shopview.testrail.io/index.php?/cases/view/30099,4289,SBC — Permissions,"Without reports access, Sales By Customer is not listed and cannot open",71,PASS,
C30100,https://shopview.testrail.io/index.php?/cases/view/30100,4289,SBC — Permissions,Opening an invoice you lack permission for shows access-denied; back works,74,PASS,
C30101,https://shopview.testrail.io/index.php?/cases/view/30101,4289,SBC — Permissions,Location access enforced: no data from a location the user cannot access,72,PASS,
C30102,https://shopview.testrail.io/index.php?/cases/view/30102,4290,SBC — Date Range Filter,"Date range picker offers nine periods in the specified order, no All Time",73,PASS,
C30104,https://shopview.testrail.io/index.php?/cases/view/30104,4290,SBC — Date Range Filter,Building a custom range on the calendar cannot exceed a 366-day span,68,PASS,
C30105,https://shopview.testrail.io/index.php?/cases/view/30105,4290,SBC — Date Range Filter,Changing the date range writes it into the page link for sharing,64,PASS,
C30107,https://shopview.testrail.io/index.php?/cases/view/30107,4291,SBC — Product Type Filter,Product Type multi-select: both toggles on by default; S/P prefix filtering,75,PASS,
C30109,https://shopview.testrail.io/index.php?/cases/view/30109,4292,SBC — Location Filter,"Location filter: rightmost, lists accessible locations, All locations on top",76,PASS,
C30111,https://shopview.testrail.io/index.php?/cases/view/30111,4292,SBC — Location Filter,Selecting locations scopes the data; All locations covers every accessible one,78,PASS,
C30112,https://shopview.testrail.io/index.php?/cases/view/30112,4293,SBC — Customer Filter,"Customer filter sits between Product Type and Location, carries a search icon",77,PASS,
C30113,https://shopview.testrail.io/index.php?/cases/view/30113,4293,SBC — Customer Filter,Typing in the Customer filter lists matching customers by contains match,72,PASS,
C30114,https://shopview.testrail.io/index.php?/cases/view/30114,4293,SBC — Customer Filter,Pinned control toggles All customers and Clear all; clearing shows empty state,78,PASS,
C30115,https://shopview.testrail.io/index.php?/cases/view/30115,4293,SBC — Customer Filter,First load starts in the all-customers state and the report shows every customer,80,PASS,
C30116,https://shopview.testrail.io/index.php?/cases/view/30116,4293,SBC — Customer Filter,"Collapsed label reads None, the customer's name, or N selected",62,PASS,
C30117,https://shopview.testrail.io/index.php?/cases/view/30117,4293,SBC — Customer Filter,Changing the customer selection narrows the table and refreshes the totals,74,PASS,
C30120,https://shopview.testrail.io/index.php?/cases/view/30120,4293,SBC — Customer Filter,A subset customer selection reconciles on a filter change; kept if present,74,PASS,
C30121,https://shopview.testrail.io/index.php?/cases/view/30121,4294,SBC — Tree & Rows,Each customer gets one summary row with its invoice count in parentheses,72,PASS,
C30122,https://shopview.testrail.io/index.php?/cases/view/30122,4294,SBC — Tree & Rows,A customer with no matching invoices in the current view is not shown,69,PASS,
C30123,https://shopview.testrail.io/index.php?/cases/view/30123,4294,SBC — Tree & Rows,Expanding a customer reveals asset rows; chevrons toggle and are independent,76,PASS,
C30124,https://shopview.testrail.io/index.php?/cases/view/30124,4294,SBC — Tree & Rows,Expanding an asset reveals its invoice rows with number link and date,69,FAIL,2 raw-list-markup (preconditions); 2 raw-list-markup (steps); 2 raw-list-markup (expected); 3 no-blank-line-before-marker
C30125,https://shopview.testrail.io/index.php?/cases/view/30125,4294,SBC — Tree & Rows,Invoices group into one asset row per vehicle record,52,PASS,
C30126,https://shopview.testrail.io/index.php?/cases/view/30126,4294,SBC — Tree & Rows,Asset rows order A to Z with the Parts Sales bucket always last,63,PASS,
C30128,https://shopview.testrail.io/index.php?/cases/view/30128,4294,SBC — Tree & Rows,Header-row chevron expands or collapses every customer on the current page,74,PASS,
C30129,https://shopview.testrail.io/index.php?/cases/view/30129,4294,SBC — Tree & Rows,Reload-causing changes collapse expansion; Customer filter typing does not,74,PASS,
C30130,https://shopview.testrail.io/index.php?/cases/view/30130,4294,SBC — Tree & Rows,Edge: a single-invoice asset can still be expanded,50,PASS,
C30131,https://shopview.testrail.io/index.php?/cases/view/30131,4294,SBC — Tree & Rows,A service (S) invoice with no vehicle also lands in the Parts Sales bucket,74,PASS,
C30132,https://shopview.testrail.io/index.php?/cases/view/30132,4294,SBC — Tree & Rows,Reversed and voided invoices are excluded from every row; count and total,73,PASS,
C30133,https://shopview.testrail.io/index.php?/cases/view/30133,4294,SBC — Tree & Rows,Every row type renders the same columns in the same order,57,PASS,
C30134,https://shopview.testrail.io/index.php?/cases/view/30134,4295,SBC — Asset Labels,"Asset identified by VIN, falling back to Unit #, then plate",59,PASS,
C30137,https://shopview.testrail.io/index.php?/cases/view/30137,4295,SBC — Asset Labels,Duplicate asset labels get stable (#1)/(#2) suffixes that survive reloads,73,PASS,
C30138,https://shopview.testrail.io/index.php?/cases/view/30138,4296,SBC — Invoice Links & Navigation,The invoice number opens the invoice in the same browser tab,60,PASS,
C30139,https://shopview.testrail.io/index.php?/cases/view/30139,4296,SBC — Invoice Links & Navigation,Browser back from an invoice restores filters; sort and columns; rows shut,74,PASS,
C30140,https://shopview.testrail.io/index.php?/cases/view/30140,4296,SBC — Invoice Links & Navigation,Customer name is plain text; the invoice link never turns visited-purple,72,PASS,
C30141,https://shopview.testrail.io/index.php?/cases/view/30141,4296,SBC — Invoice Links & Navigation,An invoice deleted after load shows the not-found state and back returns,72,PASS,
C30142,https://shopview.testrail.io/index.php?/cases/view/30142,4297,SBC — Sorting,"All columns sortable except chevron; text alphabetical, numbers by value",72,PASS,
C30143,https://shopview.testrail.io/index.php?/cases/view/30143,4297,SBC — Sorting,Default sort is Customer name ascending case-insensitive,56,FAIL,2 raw-list-markup (preconditions); 2 raw-list-markup (steps); 2 raw-list-markup (expected); 3 no-blank-line-before-marker
C30144,https://shopview.testrail.io/index.php?/cases/view/30144,4297,SBC — Sorting,Missing values sort to the bottom ascending and to the top descending,69,PASS,
C30145,https://shopview.testrail.io/index.php?/cases/view/30145,4297,SBC — Sorting,Sorting by Date orders customers by their most recent invoice date,66,PASS,
C30149,https://shopview.testrail.io/index.php?/cases/view/30149,4298,SBC — Totals & Calculations,Financial columns run in the specified order with Subtotal and Margin rules,75,PASS,
