C-id,TestRail link,Title,Source cited BEFORE,Source cited NOW,Requirements now cited,Anchor quote-verified live,Changed this pass,What changed,Raw markup in tester text,Automation marker
C29557,https://shopview.testrail.io/index.php?/cases/view/29557,Filter bar is shown below the tab row on the Work Orders page,spec v18 | refs spec v18,spec v19 | refs spec v19,S1-R1,yes,yes,spec version re-stamp only,no,"AUTOMATION: READY - EXPECT FAIL (SV-8883 - reported, still open)"
C29558,https://shopview.testrail.io/index.php?/cases/view/29558,"Five filter chips appear in a fixed order with an icon, name and arrow",spec v19 | refs spec v19,spec v19 | refs spec v19,S1-R2; S1-R3,yes,no,no-op,no,AUTOMATION: READY - EXPECT FAIL (SV-8986)
C29559,https://shopview.testrail.io/index.php?/cases/view/29559,The filter bar still shows the other four chips on the Estimates tab,spec v19 | refs spec v19,spec v19 | refs spec v19,S1-N1; S9-R2; S9-R3,yes,no,no-op,no,"AUTOMATION: HOLD - waiting on Branko to confirm whether the Status chip is hidden or shown greyed out on the Estimates and Completed tabs, and to correct the specification"
C29560,https://shopview.testrail.io/index.php?/cases/view/29560,Status chip opens a checkbox list of all nine statuses plus Clear Selection,spec v18 | refs spec v18,spec v19 | refs spec v19,S2-R1; S2-R4,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",(none)
C29561,https://shopview.testrail.io/index.php?/cases/view/29561,"Ticking one status filters the table immediately, with no apply button",spec v18 | refs spec v18,spec v19 | refs spec v19,S2-R2; S2-R3; S2-R6,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29562,https://shopview.testrail.io/index.php?/cases/view/29562,Ticking several statuses shows work orders matching any of them,spec v18 | refs spec v18,spec v19 | refs spec v19,S2-R2,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29563,https://shopview.testrail.io/index.php?/cases/view/29563,Clear Selection in the Status dropdown unticks every status,spec v18 | refs spec v18,spec v19 | refs spec v19,S2-R4; S8-R2,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29564,https://shopview.testrail.io/index.php?/cases/view/29564,Clicking outside the Status dropdown closes it and keeps the selections applied,spec v18 | refs spec v18,spec v19 | refs spec v19,S2-R5,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29565,https://shopview.testrail.io/index.php?/cases/view/29565,Selecting statuses that no work order has shows the empty state,spec v18 | refs spec v18,spec v19 | refs spec v19,S2-N3; S8-R3,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C38877,https://shopview.testrail.io/index.php?/cases/view/38877,Imported works alone: picking it greys out the other filters,spec v18 | refs spec v18,spec v19 | refs spec v19,S2-N4; S2-R7,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29566,https://shopview.testrail.io/index.php?/cases/view/29566,Customer chip opens a dropdown with a search field and a customer list,spec v18 | refs spec v18,spec v19 | refs spec v19,S3-R1,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29567,https://shopview.testrail.io/index.php?/cases/view/29567,Typing in the customer search narrows the list to matching names,spec v18 | refs spec v18,spec v19 | refs spec v19,S3-R2,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29568,https://shopview.testrail.io/index.php?/cases/view/29568,Selected customers show as removable tags and as ticks in the list,spec v18 | refs spec v18,spec v19 | refs spec v19,S3-R3; S3-R4,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29569,https://shopview.testrail.io/index.php?/cases/view/29569,Clicking the x on a customer tag removes just that customer from the selection,spec v18 | refs spec v18,spec v19 | refs spec v19,S3-R5,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29570,https://shopview.testrail.io/index.php?/cases/view/29570,The table shows only work orders belonging to any of the selected customers,spec v18 | refs spec v18,spec v19 | refs spec v19,S2-R6; S3-R6,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
