internal_id,proposed_testrail_case_id,title
PFWO-MENU-01,45084,Print Work Order appears in the More menu
PFWO-MENU-02,45085,Print menu item is labelled Print Work Order with no icon
PFWO-MENU-03,45086,Print item sits below Timesheets and above Delete Work Order
PFWO-MENU-04,45087,Selecting Print Work Order opens the browser print dialog
PFWO-MENU-05,45088,Print option is available on every work order status
PFWO-MENU-06,45089,Print option is available on desktop and mobile
PFWO-MENU-07,45090,Users without view permission cannot reach the print option
PFWO-MENU-08,45091,Print is disabled until line item data has loaded
PFWO-HDR-01,45092,Work order number is shown prominently at the top
PFWO-HDR-02,45093,Work order status is shown next to the work order number
PFWO-HDR-03,45094,"Header shows customer, vehicle, advisor, lead tech and start date"
PFWO-HDR-04,45095,Header omits fields that have no value rather than showing blanks
PFWO-HDR-05,45096,Header shows the shop or organization name
PFWO-HDR-06,45097,No customer assigned prints an explicit placeholder
PFWO-HDR-07,45098,No vehicle assigned prints an explicit placeholder
PFWO-LINE-01,45099,"Each line shows number, description, status, time, story and techs"
PFWO-LINE-02,45100,"Parts under a line show description, part number and quantity"
PFWO-LINE-03,45101,Pricing is never shown on line items
PFWO-LINE-04,45102,Action and Progress columns are removed from the printout
PFWO-LINE-05,45103,Lines print in the same order as on screen
PFWO-LINE-06,45104,Cancelled lines still print if visible on screen
PFWO-LINE-07,45105,Line groups are separated by a thick border and note space
PFWO-LINE-08,45106,Empty tech story row is omitted with no placeholder
PFWO-LINE-09,45107,No line items prints an explicit placeholder
PFWO-LINE-10,45108,A line with no parts shows no parts section
PFWO-LINE-11,45109,A line with no assigned technicians omits the technician area
PFWO-LINE-12,45110,Many lines flow across pages without splitting a line if avoidable
PFWO-LINE-13,45111,A very long tech story wraps and prints in full
PFWO-SUM-01,45112,Summary shows total actual and estimated time
PFWO-SUM-02,45113,Summary never shows pricing
PFWO-SUM-03,45114,Print timestamp appears at the bottom of the printout
PFWO-SUM-04,45115,Work order number repeats in the footer of each page
PFWO-SUM-05,45116,With no line items the summary shows zero totals
PFWO-FMT-01,45117,All interactive and navigation elements are hidden on the printout
PFWO-FMT-02,45118,Printout uses black text on white regardless of theme
PFWO-FMT-03,45119,Text is sized for comfortable reading on paper
PFWO-FMT-04,45120,Layout is optimized for portrait US Letter or A4
PFWO-FMT-05,45121,Status badges print as plain text labels not colored chips
PFWO-FMT-06,45122,Landscape orientation remains readable without clipping
PFWO-AUDIT-01,45123,Printing logs a Work Order Printed event in audit history
PFWO-AUDIT-02,45124,Audit entry records the user and the date and time
PFWO-AUDIT-03,45125,Print event is visible in the History tab like estimate and invoice prints
PFWO-AUDIT-04,45126,Cancelling the browser print dialog still logs the event
PFWO-AUDIT-05,45127,Printing multiple times creates a separate entry each time
