"Date Range: Jan 1, 2026 - Aug 4, 2026"
"As of: 2026-08-04"
"Locations: All locations"
"Part #",Description,Category,Vendor,Location,Qty,"Unit Cost","Unit Sell","Total Cost","Total Sell",Margin,"Margin %"
AB8724,"AIR SPRING ROLLING LOBE","HD-Air Brakes & Air Suspension",—,"Staging Lethbridge - 4310",31.00,$702.02,$988.80,"$21,762.62","$30,652.80","$8,890.18",29.0%
R134A,Refrigerant,HD-Fluids,—,"Staging Heavy Duty - 9919",786.55,$14.21,$21.86,"$11,176.88","$17,193.98","$6,017.10",35.0%
W4707QP,"Brake Shoe Kit w/ Hardware, 16.5x7, Coreless","HD-Heavy Duty Shoes","Qucastle Excavating","Staging Heavy Duty - 9919",245.00,$41.46,$94.33,"$10,157.70","$23,110.85","$12,953.15",56.1%
W3600AX,"Brake Drum, 16.5x7","HD-Heavy Duty Drums","Qucastle Excavating","Staging Heavy Duty - 9919",122.00,$63.48,$140.89,"$7,744.56","$17,188.58","$9,444.02",54.9%
KL-HD2590,"0W40 SYNTHETIC",HD-Fluids,—,"Staging Heavy Duty - 9919",624.00,$9.77,$16.02,"$6,096.48","$9,996.48","$3,900.00",39.0%
14-145,"LEAF SPRING, BLUEBIRD- REAR W/ STRADDLE MOUNT BUSHING","HD-Steering & Suspension","Wuboro Farms","Staging Heavy Duty - 9919",10.00,$564.48,$818.10,"$5,644.80","$8,181.00","$2,536.20",31.0%
3592774RSKI,"OUTRIGGER CYLINDER W/SKI","HD-Equipment & Hydraulics",—,"Staging Lethbridge - 4310",2.00,"$2,606.00","$3,298.67","$5,212.00","$6,597.34","$1,385.34",21.0%
R134A-CORE,"R134A Bottle Core","HD-CORE / FEE",—,"Staging Heavy Duty - 9919",24.00,$213.33,$387.88,"$5,119.92","$9,309.12","$4,189.20",45.0%
LC3Z7000HB,Transmission,"HD-Transmission & Clutch",—,"Staging Lethbridge - 4310",1.00,"$5,000.00","$6,097.50","$5,000.00","$6,097.50","$1,097.50",18.0%
125152,"HDEO 15W40 OIL",HD-Fluids,"Hibridge Supply","Staging Lethbridge - 4310","1,085.00",$3.91,$7.11,"$4,242.35","$7,714.35","$3,472.00",45.0%
5317106RX,"ECM ISX15","HD-Engine Comp","Nodale Technology","Staging Lethbridge - 4310",1.00,"$4,168.43","$5,146.34","$4,168.43","$5,146.34",$977.91,19.0%
SH550045136,"10W30 SHELL ROTELLA T4, 18.9L [PAIL]",HD-Fluids,"Xistone Consulting","Staging Heavy Duty - 9919",48.70,$84.67,$120.96,"$4,123.43","$5,890.75","$1,767.32",30.0%
W4515Q,"Brake Shoe Kit w/ Hardware, 16.5x7, Coreless","HD-Heavy Duty Shoes","Qucastle Excavating","Staging Heavy Duty - 9919",100.00,$39.85,$92.58,"$3,985.00","$9,258.00","$5,273.00",57.0%
RLHD2436FOOTHILLS,"MUD FLAP, FOOTHILLS GROUP LOGO","HD-Truck Accessories",—,"Staging Heavy Duty - 9919",180.00,$22.00,$40.00,"$3,960.00","$7,200.00","$3,240.00",45.0%
KL-TF4090,"SAE 50 SYNTHETIC TRANSMISSION FLUID BULK (122205) (PER LITER)",HD-Fluids,"Zocrest Maintenance","Staging Lethbridge - 4310",361.79,$10.92,$16.80,"$3,950.75","$6,078.07","$2,127.32",35.0%
HDEO14,"15W40 Bulk- Mobil 1 Delvac HDEO",HD-Fluids,"Hibridge Supply","Staging Heavy Duty - 9919","1,027.00",$3.84,$6.98,"$3,943.68","$7,168.46","$3,224.78",45.0%
