Open Questions for Milos - Simple Mode / Streamlined Work Order Completion & Receiving (Epic SV-7301),,,,,,
,,,,,,
#,Area / Story,Question,Context / why it matters,Options (if any),Affected cases,Answer (for Milos)
1,"Story 1 & 16 - Settings / Review (SV-7696, SV-7870)","Which roles or org types have 'Require Review Before Completion' turned ON by default? Should brand-new orgs default it ON or OFF, and do existing orgs keep today's behaviour via a backfill?","Determines the default review behaviour for new and existing shops, and sets the expected default state for the settings and review test cases. The spec flags the require-review default as unresolved.","(a) OFF for all by default; (b) ON for bigger/existing shops, OFF for new orgs; (c) some other cohort rule.","SF-REV-15, SF-SET-14",They should all have ON the review option
2,Story 2 - No-PO completion (SV-7697) / Data integrity,"When a work order is completed via the simple / skip path, should in-stock inventory parts auto-receive and decrement inventory (writing Part History), or not? What is the intended behaviour?",The skip path's bare status setter can emit no events and bypass inventory movement / Part History / catalog creation. Whether inventory should still decrement is a data-integrity invariant.,(a) Auto-decrement inventory + write Part History on completion; (b) no inventory movement on the skip path; (c) route the completion through the real receive lifecycle.,"SF-COMP-07, SF-QB-01","We will not have No PO Bilal Muzamil, for some reason i cant remove this from COnfluence , but on the JIra is removed"
3,Story 1 - Work Order Settings (SV-7696),"The spec says the first-use defaults are Auto-approve OFF and Vendor Invoice REQUIRED, but the design mockups show Auto-approve ON and Vendor Invoice Optional (and omit the Require-Review toggle). Which is authoritative for first-use defaults?",The correct defaults must be confirmed before we can pass/fail the settings-default case and frame the completion-flow matrix. The live org baseline currently shows Auto-approve ON and Vendor Invoice Optional.,(a) Spec defaults (Auto-approve OFF / invoice REQUIRED); (b) Design defaults (Auto-approve ON / invoice Optional); (c) other.,SF-SET-08,"(a) Spec defaults: Auto-approve OFF, Vendor Invoice REQUIRED (Story 1 + §4, ""preserve today's behavior""). The mockup is showing the case which we think most users need and will use , IN case i need to create additional mock up for this Bilal Muzamil let me know"
4,Global - spec vs design versioning,The product spec is labelled V2.3 but both design handoffs cite 'Simple Mode V1.4'. Which version governs where the two differ?,"Design-vs-spec differences (defaults, tech-story placement, review states) cannot be adjudicated until the authoritative version is confirmed.",(a) Spec V2.3 governs; (b) Design V1.4 governs; (c) case-by-case.,"Global - especially SF-SET-08, SF-TECH-08, SF-REV-08",Spec V2.3 governs behavior; design is a visual reference only.
5,"Story 1 & 2 - Settings / Completion (SV-7696, SV-7697)","Spec S1-R2 requires a 'Create purchase orders' toggle (default ON) so POs can be switched OFF, but it does not exist in the current build and POs appear always-on (no createPurchaseOrders field in the settings API). Is this intended (descoped) or a bug?",Without the toggle the 'No-PO / skip' configuration and its QuickBooks-integrity cases cannot be set up as specified.,(a) Intended descope - POs are always on; (b) Bug - the toggle should be added.,"SF-SET-03, SF-COMP-06, SF-QB-02","Due the chagnes where we removed the PO OFF , we changed the spec to address those , So we will Always have a PO"
6,Story 1 - Work Order Settings (SV-7696),The Save Settings button is clickable even when there are no unsaved changes (no dirty-state gating). Is this intended or a bug?,Minor UX deviation from the expected 'disabled until a change is made' behaviour.,(a) Intended; (b) Bug - Save should be disabled until something changes.,SF-SET-13,Not spec'd. Low-priority polish — call it (a) intended for v1 or a nice-to-have (b); not a blocker either way.
7,Story 16 - Review ON (SV-7870),"Story 16 (R7/R10) specifies an optional review-note field (input_review_note) in the Mark Reviewed dialog, but the live dialog shows only the VIN field. Is the note field intended or a bug?",The optional-note case cannot pass as specified until this is confirmed.,(a) Descoped - no note field; (b) Bug - the note field should be added.,SF-REV-10,This is bug - (b) Bug — Story 16 R7 + R10 (input_review_note) specify the optional note will not be in the build. Review should step should show the same things as now ( with a little better design) 
8,Story 16 - Review ON (SV-7870),"Story 16 (R5/R8) describes Review -> Reviewed (green, 'sign-off complete') -> a separate final Complete Work Order -> Complete. Live, Confirm Review went straight to Complete with no distinct 'Reviewed' holding state. Is this intended or a bug?",Determines whether a distinct Reviewed state plus a separate final Complete step are expected (this may be admin auto-progression). Affects the review state-machine cases and the invoicing-blocked-until-reviewed check.,"(a) Intended (single-step, e.g. for admins); (b) Bug - a distinct Reviewed state is expected before final Complete.","SF-REV-08, SF-REV-11",Bilal Muzamil not sire what this means? 
9,"Story 15 vs Story 17 - Tech story (SV-7710, SV-7876)","S15-R2 (older wording) says the tech story stays on the line, not in a modal; Story 17 supersedes it with an inline entry PLUS a gate-modal at completion. Which is authoritative?","Determines whether the tech-story gate-modal cases are authoritative. The live build showed the gate-modal working, so Story 17 appears current - please confirm.",(a) Story 17 (inline + gate-modal) governs; (b) S15-R2 (line-only) governs.,SF-TECH-08 (and all SF-TECH-*),"We will not have No PO Bilal Muzamil, for some reason i cant remove this from COnfluence , but on the JIra is removed"
10,Story 15 - UX Refinements (SV-7710),"The S15-R4 close-vs-cancel confirmation modal is marked 'Figma still to be added'. What is the intended behaviour, and when will the design ship?",The close-confirm case's expected behaviour cannot be finalised until the design exists.,(none yet - needs the design),SF-UX-04,"Behavior is defined (S15-R4) — QA can test the functional cases now:
▎ - Close (prominent/red button) → closes the confirmation modal only, no discard, stays on the work order.
▎ - Cancel (text link, far left) → closes the modal and returns to the previous screen.
▎ - Other consumers of the shared confirmation keep their existing action labels."
