Title,Section,Type,Priority,Preconditions,Steps,Expected Result,References,,
Parts Velocity appears under a new Parts section in the Reports navigation,PV — Access & Defaults,Functional,Critical,"1. You are signed in to the ShopView App as a user with the Manager or Office User role.
2. Your role has the ordinary reports access.","1. Open the Reports section from the main navigation.
2. Look through the report groupings for a section heading named Parts.
3. Click the entry labeled Parts Velocity.","1. A Parts section heading exists in the Reports navigation (this feature creates it - the application had no Parts reports before).
2. Under Parts there is an entry labeled Parts Velocity; Inventory Value also lives under Parts. The order of the two inside the Parts section is not fixed — do not fail the test on which of them comes first.
3. Clicking it opens the Parts Velocity report.

---
This is the expected behaviour as per the build tested on 8/4/2026 (build v3.4.1-3d03023), and as per the Parts Velocity report specification version 5 (S1-R1); where the wording of that specification differs, the behaviour above follows a later product decision, which is the authority.

AUTOMATION: READY
","SV-8641 (PV spec S1-R1 — the ""only report"" sentence is superseded: Parts Velocity and Inventory Value BOTH live under Parts per the PRD video 2026-07-30; access = the one ordinary reports permission per QA lead 2026-08-03)",,
First visit: date range defaults to This Year and data is fetched automatically,PV — Access & Defaults,Functional,High,"1. You are signed in as a user allowed to open the report.
2. You are using a browser with NO saved view for this report (e.g. a fresh browser profile or after clearing the site's browser storage), so first-visit defaults apply.","1. Open Reports → Parts → Parts Velocity.
2. Look at the date range selector and the table without touching anything.","1. The date range selector shows This Year.
2. Report data loads automatically - you do not have to press anything to fetch it.
3. Rows appear ranked by Demand, highest first (the default order).

---
This is the expected behaviour as per the build tested on 8/4/2026 (build v3.4.1-3d03023), and as per the Parts Velocity report specification version 5 (S1-R2, S4-R6).

AUTOMATION: READY
",SV-8641 (PV spec v4 2026-07-29 S1-R2; S4-R6),,
A loading indicator shows and old rows are replaced only when data returns,PV — Access & Defaults,Functional,Medium,"1. You are signed in as a user allowed to open the report.
2. Enough parts data exists that the report visibly takes a moment to load.","1. Open the Parts Velocity report and watch the table area during the initial load.
2. After it loads, change any filter that reloads the data from the server (for example the Type filter).
3. Watch the table while the new data is being fetched.","1. During the initial load, the table shows a loading indicator.
2. During a filter change, the loading indicator shows again.
3. The rows already on screen are replaced only when the new data comes back - the table does not blank out and rebuild mid-request.

---
This is the expected behaviour as per the build tested on 8/4/2026 (build v3.4.1-3d03023), and as per the Parts Velocity report specification version 5 (S1-R3).

AUTOMATION: READY
",SV-8641 (PV spec v4 2026-07-29 S1-R3),,
A user with ordinary reports access can load the report and export it,PV — Permissions,Functional,Critical,"1. You are signed in as a user with the Manager or Office User role.
2. That user's role has the ordinary reports access (the standard ""can this person see reports"" setting).
3. Some parts have sales activity in the selected date range.","1. Open Reports → Parts → Parts Velocity.
2. Wait for the data to load.
3. Open the export menu and download the CSV.","1. The report data loads and rows are shown.
2. The export downloads successfully — both opening the report and exporting it are allowed by the same ordinary reports access.
3. Note for the tester: the specification allows ONE ordinary reports access for all six of these new reports and no per-report permission. If the build demands a separate report permission before this works, mark this Failed and report it — do not change the test.

---
This is the expected behaviour as per the build tested on 8/4/2026 (build v3.4.1-3d03023), and as per the Parts Velocity report specification version 5 (S1-R4); where the wording of that specification differs, the behaviour above follows a later product decision, which is the authority.

AUTOMATION: READY
","SV-8641 (PV spec S1-R4 — one reports permission for all six ruled by Chris Ward Q2=A + QA lead 2026-08-03 ""ONE permission FOR NOW""; PV S1-R4 still names Inventory Reports > View — his spec edit owed)",,
Without the Manager or Office User role the report entry is not shown,PV — Permissions,Negative,High,1. You are signed in as a user whose role is neither Manager nor Office User (a role without access to the Reports section).,"1. Look at the application's main navigation.
2. Try to find the Reports section and the Parts Velocity entry.","1. The user cannot reach the Reports section.
2. The Parts Velocity navigation entry is not shown (this is the Reports section's own access control, not a report-specific rule).

---
This is the expected behaviour as per the build tested on 8/4/2026 (build v3.4.1-3d03023), and as per the Parts Velocity report specification version 5 (S1-N1).

AUTOMATION: READY
",SV-8641 (PV spec v4 2026-07-29 S1-N1),,
Ordinary reports access alone opens Parts Velocity and its export,PV — Permissions,Negative,High,"1. You are signed in as a user with the Manager or Office User role.
2. That user's role has the ordinary reports access turned on (the standard ""can this person see reports"" setting) and no other reports-related permission turned on.","1. Open the Reports section and look for the Parts Velocity entry under Parts.
2. Click the Parts Velocity entry.
3. Use the export control on the report and download a file.","1. The Parts Velocity entry is visible in the Reports navigation under Parts.
2. Opening it shows the report data - not an access-denied screen.
3. The export downloads.
4. Note for the tester: the specification allows ONE ordinary reports access for all six of these new reports and no per-report permission. If an extra Parts or Inventory reports permission does exist and switching it OFF blocks this report or its export, that is wrong - mark this Failed and report it. If a separate per-report permission is ever added on purpose in a later release, this test will be updated first, so treat that as a planned change and not as a bug.

---
This is the expected behaviour as per the build tested on 8/4/2026 (build v3.4.1-3d03023), and as per the Parts Velocity report specification version 5 (S1-N2, S1-R4); where the wording of that specification differs, the behaviour above follows a later product decision, which is the authority.

AUTOMATION: READY
","SV-8641 (PV spec S1-N2; S1-R4 - RESCOPED 2026-08-03: the old ""Reports access without Inventory Reports View"" state cannot exist under one permission; Chris Ward Q2=A + ""they can exist and not do anything""; QA lead ""ONE permission FOR NOW"")",,
"Type filter: single-select, first in row, three options, default Both; reloads",PV — Filters,Functional,High,"1. You are on the Parts Velocity report with data loaded.
2. This is a first visit (no saved view), so the first-visit defaults apply.
3. Both inventory parts and special-order parts (the ""Special Order"" type) have sales activity in the selected date range.","1. Look at the first control in the filter row of the toolbar.
2. Open the Type filter and read its options.
3. Note which option is selected by default.
4. Select each Type option in turn and watch the table.","1. The Type filter is the first control in the filter row.
2. It is single-select and offers exactly three choices: Both, Inventory, and Special Order (special-order catalog parts that were never put into stock).
3. On a first visit the default is Both.
4. Both is an explicit selection returning inventory and Special Order rows together - a deliberate filter value, not the absence of a filter.
5. Each selection immediately reloads the report limited to that type (no separate Apply step) - under Inventory every row's Type column reads Inventory; under Special Order every row's Type column reads Special Order; under Both, rows of both kinds appear.

---
This is the expected behaviour as per the build tested on 8/4/2026 (build v3.4.1-3d03023), and as per the Parts Velocity report specification version 5 (S2-R1, S3-R5); where the wording of that specification differs, the behaviour above follows a later product decision, which is the authority.

AUTOMATION: READY
",SV-8642 (PV spec v4 2026-07-29 S2-R1; S3-R5 — S2-R1 CLOSES the three Type options and the Both default; 'Catalogue'→'Special Order' per Chris Ward 2026-07-29 [newest-wins]),,
Date range selector offers exactly the eleven bounded options and no All Time,PV — Filters,Functional,High,1. You are on the Parts Velocity report with data loaded.,"1. Open the date range selector and read every option.
2. Select a non-custom option (for example Last Month).","1. The chooser offers nine ready-made periods, in this order: Last 12 Months, This Year, Last Year, This Quarter, Last Quarter, This Month, Last Month, This Week, Last Week. Beside them it shows a month calendar you click dates on to build your own range, a live readout of how many days the range covers, and an Apply button. There is no ""Today"", no ""Yesterday"" and no item called ""Custom"" - you build your own range on the calendar instead. There is no ""All Time"" option.
2. The report always operates over a bounded date window, which is why no All-Time period is offered.
3. Selecting a non-custom option immediately reloads the report data.
4. The named ranges use the application's standard shared calendar boundaries (the same boundaries every report's date picker uses).

---
This is the expected behaviour as per the build tested on 8/4/2026 (build v3.4.1-3d03023). Where the Parts Velocity report specification version 5 (S2-R2) says something different, the behaviour above follows Chris Ward's decision of 8/5/2026 instead, which is the authority - that decision is recorded in his answers, in this file: https://docs.google.com/spreadsheets/d/1x8cuYJlFsDHalVZZTh156_ZCq2gcOaGY/edit?usp=sharing&ouid=106388879401921597782&rtpof=true&sd=true

AUTOMATION: READY
","SV-8642 (PV spec v4 2026-07-29 S2-R2; §2 Out of Scope — S2-R2 CLOSES it in the spec's own words (""offering exactly these options"") and rules out ""All Time""; so the closed list IS the requirement)",,
A Custom date range needs valid dates and rejects a span over 366 days,PV — Filters,Functional,High,1. You are on the Parts Velocity report with data loaded.,"1. Open the date range selector and choose Custom.
2. Pick only a start date and observe - then pick an end date earlier than the start and observe.
3. Pick a valid start and end date (start on or before end, within 366 days).
4. Now try a custom span wider than 366 days (for example 400 days).","1. A date picker opens requiring both a start and an end date.
2. The report does not reload until both dates are valid; a start after the end is not accepted.
3. With both valid dates selected, the data reloads for that range.
4. A span wider than 366 days (counting both the start and end dates) is rejected - the selection is not applied.

---
This is the expected behaviour as per the build tested on 8/4/2026 (build v3.4.1-3d03023), and as per the Parts Velocity report specification version 5 (S2-R3).

AUTOMATION: READY
",SV-8642 (PV spec v4 2026-07-29 S2-R3),,
Category and Vendor multi-select filters limit the table to matching parts,PV — Filters,Functional,Medium,"1. You are on the Parts Velocity report with data loaded.
2. Parts with different categories and different vendors have activity in the range.","1. Open the Category filter and select one category; then add a second category.
2. Clear the Category filter.
3. Open the Vendor filter and select one vendor; then add a second vendor.","1. Both filters allow selecting more than one value (multi-select).
2. With categories selected, only parts in any of the selected categories are shown.
3. With vendors selected, only parts supplied by any of the selected vendors are shown.
4. Each change reloads the data from the server.

---
This is the expected behaviour as per the build tested on 8/4/2026 (build v3.4.1-3d03023), and as per the Parts Velocity report specification version 5 (S2-R4, S2-R5, S2-R10).

AUTOMATION: READY
",SV-8642 (PV spec v4 2026-07-29 S2-R4; S2-R5; S2-R10),,
