InvoiceNo,Customer,InvoiceDate,DueDate,Terms,Location,Memo,Item(Product/Service),ItemDescription,ItemQuantity,ItemRate,ItemAmount,ItemTaxCode,ItemTaxAmount,"ShopView Products and Services"
S8815-15941,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919","WO S8815-15941; Unit: ;Unit Type: ; VIN: 86J8FAC1VALJ43SJY Year/Make/Model: 2020 Ford Transit; 123456 miles; 0 Hours;",Labour,"What are you doing?: ZZ8815 INV 2;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15941,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 INV 1;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15941,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 INV 3;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15942,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919","WO S8815-15942; Unit: ;Unit Type: ; VIN: 86J8FAC1VALJ43SJY Year/Make/Model: 2020 Ford Transit; 123456 miles; 0 Hours;",Labour,"What are you doing?: ZZ8815 D1_billed_line_by_line 3;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15942,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 D1_billed_line_by_line 2;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15942,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 D1_billed_line_by_line 1;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15943,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919","WO S8815-15943; Unit: ;Unit Type: ; VIN: 86J8FAC1VALJ43SJY Year/Make/Model: 2020 Ford Transit; 123456 miles; 0 Hours;",Labour,"What are you doing?: ZZ8815 D2_billed_total_rounded 1;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.91,Labor
S8815-15943,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 D2_billed_total_rounded 3;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15943,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 D2_billed_total_rounded 2;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15944,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919","WO S8815-15944; Unit: ;Unit Type: ; VIN: 86J8FAC1VALJ43SJY Year/Make/Model: 2020 Ford Transit; 123456 miles; 0 Hours;",Labour,"What are you doing?: ZZ8815 PAY 3;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15944,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 PAY 1;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.91,Labor
S8815-15944,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 PAY 2;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15945,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919","WO S8815-15945; Unit: ;Unit Type: ; VIN: 86J8FAC1VALJ43SJY Year/Make/Model: 2020 Ford Transit; 123456 miles; 0 Hours;",Labour,"What are you doing?: ZZ8815 PAY 1;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.91,Labor
S8815-15945,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 PAY 2;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15945,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 PAY 3;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15946,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919","WO S8815-15946; Unit: ;Unit Type: ; VIN: 86J8FAC1VALJ43SJY Year/Make/Model: 2020 Ford Transit; 123456 miles; 0 Hours;",Labour,"What are you doing?: ZZ8815 PAY2 3;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15946,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 PAY2 2;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15946,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 PAY2 1;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.91,Labor
S8815-15947,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919","WO S8815-15947; Unit: ;Unit Type: ; VIN: 86J8FAC1VALJ43SJY Year/Make/Model: 2020 Ford Transit; 123456 miles; 0 Hours;",Labour,"What are you doing?: ZZ8815 PAY2 2;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15947,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 PAY2 1;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.91,Labor
S8815-15947,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 PAY2 3;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15948,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919","WO S8815-15948; Unit: ;Unit Type: ; VIN: 86J8FAC1VALJ43SJY Year/Make/Model: 2020 Ford Transit; 123456 miles; 0 Hours;",Labour,"What are you doing?: ZZ8815 PAY3 3;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15948,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 PAY3 1;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.91,Labor
S8815-15948,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 PAY3 2;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15949,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919","WO S8815-15949; Unit: ;Unit Type: ; VIN: 86J8FAC1VALJ43SJY Year/Make/Model: 2020 Ford Transit; 123456 miles; 0 Hours;",Labour,"What are you doing?: ZZ8815 PAY4 2;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
