"Section","Title","Priority","Type","Preconditions","Steps","Expected Result","References"
"Administrator","Verify Administrator can see all pricing and financial data on a work order","Critical","Regression","Log in to ShopView as a user assigned the Administrator role. (this role has the See Financial Data permission ON).
At least one work order exists that contains labor and part lines with prices entered.","1. Click Work Orders in the main navigation.
2. Open any work order from the list.
3. Look at the price field on each work order line.
4. Look at the Total, Labor, and Parts columns for the work order.
5. Open the Finance card on the work order.
6. Open the Stats tab of the work order.","1. The Work Orders list opens and shows work orders.
2. The work order opens.
3. Every line price shows an actual dollar amount (not blank or masked).
4. The Total, Labor, and Parts columns show dollar amounts.
5. The Finance card shows invoice/payment totals.
6. The Stats tab shows financial figures. No money value is hidden anywhere on the work order.","SV-5319"
"Administrator","Verify Administrator can edit work order header fields (customer, asset, service advisor, lead technician, status)","High","Regression","Log in to ShopView as a user assigned the Administrator role. (this role has Work Orders: Create and Edit, which gates header field edits per spec v33).
At least one work order exists.","1. Click Work Orders in the main navigation and open a work order.
2. In the work order header, change the Customer to a different customer and save.
3. Change the Asset to a different asset and save.
4. Change the Service Advisor to a different user and save.
5. Change the Lead Technician to a different user and save.
6. Change the work order Status and save.
7. Refresh the page.","Every edit in steps 2-6 is allowed and saves without a permission error. After refreshing (step 7), all updated values persist.","SV-5319"
"Administrator","Verify Administrator can edit mileage, engine hours, license plate, and VIN on a work order line","High","Regression","Log in to ShopView as a user assigned the Administrator role. (this role has Work Order Lines: Create and Edit, which gates mileage/engine hours/license plate/VIN edits per spec v33).
At least one work order exists that contains labor and part lines with prices entered.","1. Open a work order and open one of its lines.
2. Change the Mileage value and save.
3. Change the Engine Hours value and save.
4. Change the License Plate value and save.
5. Change the VIN value and save.","All four fields (Mileage, Engine Hours, License Plate, VIN) are editable and each change saves successfully with no permission error.","SV-5319"
"Administrator","Verify Administrator can delete a work order line","High","Regression","Log in to ShopView as a user assigned the Administrator role. (this role has Work Order Lines: Delete).
The work order contains at least one line that is NOT in Complete status (a line can be deleted in any status except Complete).","1. Open the work order and locate a line that is not in Complete status.
2. Open the line's action menu and click Delete.
3. Confirm the deletion in the confirmation dialog.","The line is deleted and disappears from the work order. Work order totals recalculate without the deleted line.","SV-5319"
"Administrator","Verify Administrator can change a work order line status (approve, decline, complete)","High","Regression","Log in to ShopView as a user assigned the Administrator role. (this role has Work Order Lines: Create and Edit plus Full View).
At least one work order exists that contains labor and part lines with prices entered.","1. Open a work order and locate a line.
2. Change the line status to Approved.
3. Change the line status to Declined.
4. Change the line status to Complete.","Each status change (Approve, Decline, Complete) is available and saves successfully. The line shows its new status after each change.","SV-5319"
"Administrator","Verify Administrator can delete a parts return","High","Regression","Log in to ShopView as a user assigned the Administrator role. (this role has Invoicing & Payments: Delete, which gates deleting a return per spec v33 / SV-7911).
At least one parts return record exists under Parts > Returns.","1. Click Parts in the main navigation, then open the Returns section.
2. Open an existing return record.
3. Click Delete (or Delete Return) and confirm.","The return is deleted and no longer appears in the Returns list.","SV-5319, SV-7911"
"Administrator","Verify Administrator can delete a customer payment","High","Regression","Log in to ShopView as a user assigned the Administrator role. (this role has Invoicing & Payments: Delete).
At least one customer payment has been recorded.","1. Click Customers in the main navigation and open a customer that has a recorded payment.
2. Open the Payments tab on the customer.
3. Click Delete on a payment and confirm.","The payment is deleted and removed from the Payments tab without a permission error.","SV-5319"
"Administrator","Verify Administrator can open all AP/AR reports","High","Regression","Log in to ShopView as a user assigned the Administrator role. (this role has Manage Accounts Payable and Receivable ON).
Invoice/payment data exists so reports have content.","1. Click Reports in the main navigation.
2. Open the AR Aging report.
3. Open the AP Aging report.
4. Open the Unpaid Invoices report.
5. Open the Collections report.","Each of the four reports opens and displays data. No report is hidden and none returns a permission (403) error.","SV-5319"
"Administrator","Verify Administrator can access all Settings sub-sections","Medium","Smoke","Log in to ShopView as a user assigned the Administrator role. (this role has all Settings sub-toggles ON).","1. Click the Settings (cog) icon.
2. Open App Settings.
3. Open the Service sub-section.
4. Open the Parts sub-section.
5. Open the Finance sub-section.
6. Open the Data Import sub-section.
7. Open the Wages sub-section.","All six sub-sections (App Settings, Service, Parts, Finance, Data Import, Wages) are visible and open successfully.","SV-5319"
"Administrator","Verify the roles list loads correctly for Administrator on the Roles & Permissions page","High","Regression","Log in to ShopView as a user assigned the Administrator role.
Note: the roles API response shape changed in this build - watch for a blank or broken list.","1. Click the Settings (cog) icon.
2. Open Roles & Permissions.","The page loads and every role (Administrator, Service Manager, Senior Service Advisor, Service Advisor, Foreman, Technician, Parts Manager, Parts Technician, Office, Sales Representative, Time Clock) is listed with its correct name. The list is not blank or broken.","SV-5319"
"Administrator","Verify Administrator can reverse a work order invoice","High","Regression","Log in to ShopView as a user assigned the Administrator role. (this role has Work Orders: Delete, which gates reversing a work order invoice per spec v33).
The work order already has an invoice created on its Finance tab.
Note: an OVER LIMIT badge on the customer does not block reversing an invoice.","1. Open the work order and go to its Finance tab.
2. Locate the invoice and click Reverse (or Reverse Invoice).
3. Confirm the action.","The invoice is reversed successfully. The Finance tab shows the invoice as reversed and the work order returns to its pre-invoice financial state.","SV-5319"
"Administrator","Verify Administrator can reverse a Part Sales invoice","High","Regression","Log in to ShopView as a user assigned the Administrator role. (this role has Part Sales: Delete, which gates reversing a Part Sales invoice per spec v33).
At least one Part Sales invoice exists under Part Sales.","1. Click Part Sales in the main navigation.
2. Open an existing Part Sales invoice.
3. Click Reverse and confirm.","The Part Sales invoice is reversed successfully with no permission error.","SV-5319"
"Administrator","Verify Administrator can return a part from a work order line","Medium","Smoke","Log in to ShopView as a user assigned the Administrator role.
A work order line has a part that has been picked/received onto the line.
Note: per spec v33, returning a part from a work order requires NO permission - only Work Orders: View to reach the work order.","1. Open the work order and open the line that has the part.
2. Open the part's action menu and click Return (return part).
3. Confirm the return.","The part return completes successfully; the part is returned off the line and inventory/return records update.","SV-5319"
"Administrator","Verify Administrator can create a work order note and edit or delete their own note","High","Regression","Log in to ShopView as a user assigned the Administrator role. (viewing, creating, and editing/deleting your OWN note is gated by Work Orders: View per spec v33).
At least one work order exists.","1. Open a work order and go to the Notes tab.
2. Click to add a new note, type ""Admin test note"", and save.
3. Edit the note you just created, change the text to ""Admin test note - edited"", and save.
4. Delete the note you just created and confirm.","1. The Notes tab opens and existing notes are visible.
2. The new note is created and appears in the list.
3. The edit saves and the updated text is shown.
4. The note is deleted and removed from the list.","SV-5319"
"Administrator","Verify Administrator can edit and delete another user's work order note","High","Regression","Log in to ShopView as a user assigned the Administrator role. (editing/deleting ALL notes, including other users' notes, is gated by Work Orders: Delete per spec v33).
A work order exists with a note created by a DIFFERENT user.","1. Open the work order and go to the Notes tab.
2. Locate a note created by another user and edit its text, then save.
3. Delete that same note and confirm.","Both the edit and the delete of another user's note succeed with no permission error.","SV-5319"
"Administrator","Verify Administrator can set the On Site status of an asset on a work order","Medium","Smoke","Log in to ShopView as a user assigned the Administrator role. (setting On Site status is gated by Work Orders: Create and Edit per spec v33 / SV-8021).
At least one work order exists.","1. Open a work order.
2. Locate the asset's On Site status control.
3. Change the On Site status and save.","The On Site status control is available, and the change saves successfully.","SV-5319, SV-8021"
"Service Manager","Verify Service Manager can see all pricing and financial data on a work order","Critical","Regression","Log in to ShopView as a user assigned the Service Manager role. (this role has See Financial Data ON).
At least one work order exists that contains labor and part lines with prices entered.","1. Click Work Orders and open a work order.
2. Check the price on each line and the work order totals.
3. Open the Finance card.
4. Open the Stats tab.","All money values are visible: line prices, totals, Finance card amounts, and Stats tab figures show dollar amounts (nothing blank or masked).","SV-5319"
"Service Manager","Verify Service Manager can create an invoice on a work order","High","Regression","Log in to ShopView as a user assigned the Service Manager role. (this role has Invoicing and Payments: Create and Edit).
At least one work order exists.
The work order has at least one part line where the part has been RECEIVED and has a part number (parts must be received with a part number before an invoice can be created), and the Review button on the work order has been clicked (an unclicked Review button blocks the Create Invoice button).","1. Open the work order and go to the Finance tab.
2. Click Create Invoice.
3. Complete the invoice dialog and save.","The invoice is created successfully and appears on the Finance tab. The Create Invoice button is enabled (not blocked).","SV-5319"
