internal_id,cid,link,report,area,title,verdict,field_title,field_preconditions,field_steps,field_expected,field_references,field_section,field_notes,evidence,finding,recheck,build_marker
WIP-TAB-01,C30451,https://shopview.testrail.io/index.php?/cases/view/30451,WIP,WIP — Tabs,Work In Progress appears in the reports navigation under the Performance group,VIU-Observed-PASS,OK,OK,OK,OK,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/ui/obs-wip.json (nav-map + docTitle) · ../evidence/nav-map.json,"Nav entry ""Work In Progress"" is live under the PERFORMANCE group, below Sales, Technician Efficiency, Advisor Analysis and Shop Efficiency; route /reports/work-in-progress; browser title is exactly ""Work In Progress - Report | ShopView"".",Re-confirm on the final build: the observation is provisional (branch declared not final).,v3.4.1-0ed4433
WIP-TAB-02,C30452,https://shopview.testrail.io/index.php?/cases/view/30452,WIP,WIP — Tabs,Four tabs in a fixed order with the partially-completed tab selected,DEVIATION,OK,OK,OK,"EDIT NEEDED - adopt the build casing ""Approved - Partially Completed"" / ""Approved - Not Started"" in expected item 1",OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/ui/obs-wip2.json · evidence/ui/wip-default-view.png,"Four tabs, correct order, first tab selected on load, and no on-screen status filter - all confirmed. BUT the build TITLE-CASES the labels and appends a live count: ""Approved - Partially Completed (114)"" / ""Approved - Not Started (33)"". Our case (and WIP spec v6 S1-R2 verbatim: '""Approved - partially completed"", ""Approved - not started""') use lower case. Read: a shipped-string difference, not a defect - Rule 9 says the tester reads the build's word, so our case should adopt the build casing and Chris should confirm the spec text.",Re-confirm the on-screen label text on the final build before adopting it permanently.,v3.4.1-0ed4433
WIP-TAB-03,C30453,https://shopview.testrail.io/index.php?/cases/view/30453,WIP,WIP — Tabs,Each tab label shows its work-order count in parentheses,VIU-Observed-PASS,OK,OK,OK,OK,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/ui/obs-wip2.json · evidence/ui/wip-default-view.png,"Each tab label carries its count in parentheses - observed ""Completed (30)"", ""Estimates (146)"" with data and ""Approved - Partially Completed (0)"" / ""Completed (0)"" when the range is narrow.",Re-confirm on the final build: the observation is provisional (branch declared not final).,v3.4.1-0ed4433
WIP-TAB-05,C30455,https://shopview.testrail.io/index.php?/cases/view/30455,WIP,WIP — Tabs,There is no Trend / over-time tab or chart,VIU-Observed-PASS,OK,OK,OK,OK,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/ui/obs-wip2.json · evidence/ui/wip-default-view.png,"Only the four progress tabs exist; no Trend tab, no chart, and nothing on the page reads the nightly snapshot. Confirmed across the toolbar, both menus and all four tabs.",Re-confirm on the final build: the observation is provisional (branch declared not final).,v3.4.1-0ed4433
WIP-SCOPE-01,C30456,https://shopview.testrail.io/index.php?/cases/view/30456,WIP,WIP — Scope & Loading,Every open service WO at a selected location appears in the report,VIU-Observed-PASS,OK,OK,OK,OK,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/api/api-wip-iv.json · evidence/api/api-probe2.json,"488 rows observed across two locations; every row is a service work order in an open status (estimate 229 / approved 218 / ready_for_review 12 / complete 29) and each sits in the tab its status dictates. HONEST LIMIT: no work order in In progress status existed in the data during the run, so that one branch of the five is not among the observations - the status DOES exist in the build (GET /api/work-orders/statuses lists in_progress).",Re-run once an In progress work order exists (or seed one through the UI) to observe the fifth status branch. Also re-confirm on the final build.,v3.4.1-0ed4433
WIP-SCOPE-02,C30457,https://shopview.testrail.io/index.php?/cases/view/30457,WIP,WIP — Scope & Loading,Invoiced; Paid; Declined and part-sale work orders never appear,DEVIATION,OK,EDIT NEEDED - drop the Declined work order from the seed list (no such status),"EDIT NEEDED - drop ""Declined"" from step 2","EDIT NEEDED - drop Declined from expected item 1, or replace with the statuses the build actually excludes (Invoiced, Paid)",OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/api/api-wip-iv.json · evidence/api/api-probe2.json,"Invoiced and Paid confirmed absent - 0 of 488 rows carry either status - and no part-sale work order appears (every WO number is an S2-/S3- service prefix). BUT the build has NO ""Declined"" work-order status at all: GET /api/work-orders/statuses returns exactly estimate, approved, in_progress, ready_for_review, complete, invoiced, paid. Our case and WIP spec v6 S2-R2 (""Invoiced, Paid, or Declined"") both name a status the build does not have, so that third of the expectation can never be produced. Read: spec/case names a non-existent status - a question for Chris, not a build defect.",Re-confirm on the final build: the observation is provisional (branch declared not final).,v3.4.1-0ed4433
WIP-SCOPE-03,C30458,https://shopview.testrail.io/index.php?/cases/view/30458,WIP,WIP — Scope & Loading,Each qualifying work order appears exactly once in exactly one tab,VIU-Observed-PASS,OK,OK,OK,OK,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/api/api-wip-iv.json · evidence/api/api-probe2.json,"Every qualifying work order appears exactly once: 488 rows / 488 distinct work_order_id, and each row carries exactly one tab value. Estimates with nothing approved are present with earned and remaining both 0 (rendered ""$0.00"").",Re-confirm on the final build: the observation is provisional (branch declared not final).,v3.4.1-0ed4433
WIP-SCOPE-04,C30459,https://shopview.testrail.io/index.php?/cases/view/30459,WIP,WIP — Scope & Loading,While loading the standard indicator shows and old rows stay until data,VIU-Observed-PASS,OK,OK,OK,OK,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/ui/obs-wip2.json · evidence/ui/wip-default-view.png,"Both a date-range change and a location change re-fetch the rows - the network log shows a fresh GET /api/reporting/reports/work-in-progress on each, and the previous rows stay on screen until the new payload returns.",Re-confirm on the final build: the observation is provisional (branch declared not final).,v3.4.1-0ed4433
WIP-SCOPE-05,C30460,https://shopview.testrail.io/index.php?/cases/view/30460,WIP,WIP — Scope & Loading,No qualifying work orders: every tab shows the no-data message and no Totals,VIU-Observed-PASS,OK,OK,OK,OK,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/ui/obs-wip2.json · evidence/ui/wip-default-view.png,"With the default This Week range three of the four tabs held no work orders: each showed the standard no-data label ""Empty bays, endless possibilities. Get Going!"", no Totals row, and a ""(0)"" count, while the populated Estimates tab showed its rows normally.",Re-confirm on the final build: the observation is provisional (branch declared not final).,v3.4.1-0ed4433
WIP-PLACE-01,C30462,https://shopview.testrail.io/index.php?/cases/view/30462,WIP,WIP — Tab Placement,"Status-to-tab mapping: Estimate, Complete, In Progress and Review work orders",VIU-Observed-PASS,OK,OK,OK,OK,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/api/api-wip-iv.json · evidence/api/api-probe2.json,"Status-to-tab mapping confirmed on live data: estimate -> Estimates (229), complete -> Completed (29), ready_for_review -> ApprovedPartiallyCompleted (12). HONEST LIMIT: the in_progress branch had no work order in the data during the run (the status exists in the build's enum).",Re-run when an In progress work order exists to observe that branch. Also re-confirm on the final build.,v3.4.1-0ed4433
