case_id,link,section_id,area,title,verdict,fields,current,proposed,reason,citation,confidence,note
26307,https://shopview.testrail.io/index.php?/cases/view/26307,3528,Roles List Page,The Roles & Permissions list page loads with its columns and a create button,OK,,,,,,,
26308,https://shopview.testrail.io/index.php?/cases/view/26308,3528,Roles List Page,All 11 system roles appear in the list with a system badge,OK,,,,,,,
26309,https://shopview.testrail.io/index.php?/cases/view/26309,3528,Roles List Page,Creating a custom role opens the template picker,OK,,,,,,,
26310,https://shopview.testrail.io/index.php?/cases/view/26310,3528,Roles List Page,A custom role row has a pencil (edit) icon and a three-dot menu; View Permissions is in the menu,OK,,,,,,,
26311,https://shopview.testrail.io/index.php?/cases/view/26311,3528,Roles List Page,The eye (View Permissions) icon shows in the Actions column only for Office User and Time Clock User,OK,,,,,,,
26313,https://shopview.testrail.io/index.php?/cases/view/26313,3528,Roles List Page,"The Office User system role is non-editable (lock icon, eye only)",OK,,,,,,,
26314,https://shopview.testrail.io/index.php?/cases/view/26314,3528,Roles List Page,"The Time Clock User system role is non-editable (lock icon, eye only)",OK,,,,,,,
26315,https://shopview.testrail.io/index.php?/cases/view/26315,3528,Roles List Page,The Users column shows a clickable count that links to the filtered Staff page,OK,,,,,,,
26316,https://shopview.testrail.io/index.php?/cases/view/26316,3528,Roles List Page,The search field filters the roles list as you type,OK,,,,,,,
26317,https://shopview.testrail.io/index.php?/cases/view/26317,3528,Roles List Page,Roles & Permissions is hidden for users without the App Settings sub-toggle,OK,,,,,,,
26318,https://shopview.testrail.io/index.php?/cases/view/26318,3528,Roles List Page,Locations appears under the Settings area,OK,,,,,,,
26319,https://shopview.testrail.io/index.php?/cases/view/26319,3528,Roles List Page,The roles list has a Template column,OK,,,,,,,
26320,https://shopview.testrail.io/index.php?/cases/view/26320,3528,Roles List Page,Each of the 11 system roles shows its description,OK,,,,,,,
26321,https://shopview.testrail.io/index.php?/cases/view/26321,3528,Roles List Page,A custom role with no description shows a dash,OK,,,,,,,
26322,https://shopview.testrail.io/index.php?/cases/view/26322,3528,Roles List Page,An editable system role's three-dot menu shows View Permissions and no Delete,OK,,,,,,,
26323,https://shopview.testrail.io/index.php?/cases/view/26323,3528,Roles List Page,"The three-dot menu is hidden on the non-editable system roles (Office User, Time Clock User)",OK,,,,,,,
26324,https://shopview.testrail.io/index.php?/cases/view/26324,3528,Roles List Page,A custom role's three-dot menu shows View Permissions and Delete,OK,,,,,,,
26325,https://shopview.testrail.io/index.php?/cases/view/26325,3528,Roles List Page,Deletion and duplication behavior on the roles list,OK,,,,,,,
26326,https://shopview.testrail.io/index.php?/cases/view/26326,3529,Create Custom Role,The template picker lists all 11 system role templates with descriptions,OK,,,,,,,
26327,https://shopview.testrail.io/index.php?/cases/view/26327,3529,Create Custom Role,Selecting a template highlights that row with a checkmark,OK,,,,,,,
26328,https://shopview.testrail.io/index.php?/cases/view/26328,3529,Create Custom Role,Applying a template opens the Create Role page pre-filled with that template's settings,OK,,,,,,,
26329,https://shopview.testrail.io/index.php?/cases/view/26329,3529,Create Custom Role,Skipping the template starts a blank role with all permissions off,OK,,,,,,,
26330,https://shopview.testrail.io/index.php?/cases/view/26330,3529,Create Custom Role,The Create Role page shows Basic Details with a required Role name and optional Description,OK,,,,,,,
26331,https://shopview.testrail.io/index.php?/cases/view/26331,3529,Create Custom Role,The permissions section shows the resource cards with their columns,OK,,,,,,,
26332,https://shopview.testrail.io/index.php?/cases/view/26332,3529,Create Custom Role,The permission search box filters the cards,OK,,,,,,,
26333,https://shopview.testrail.io/index.php?/cases/view/26333,3529,Create Custom Role,A blank Role name blocks Create with an inline message,OK,,,,,,,
26334,https://shopview.testrail.io/index.php?/cases/view/26334,3529,Create Custom Role,You can change any setting from the template defaults before saving,OK,,,,,,,
26335,https://shopview.testrail.io/index.php?/cases/view/26335,3529,Create Custom Role,"Create is blocked with zero permissions (button disabled, no message)",OK,,,,,,,
26336,https://shopview.testrail.io/index.php?/cases/view/26336,3529,Create Custom Role,A successful Create shows a success message and returns to the list,OK,,,,,,,
26337,https://shopview.testrail.io/index.php?/cases/view/26337,3529,Create Custom Role,Same name and permissions as an existing role shows a 'Similar role already exists' confirmation,OK,,,,,,,
26338,https://shopview.testrail.io/index.php?/cases/view/26338,3529,Create Custom Role,Turning on every permission shows the 'Full administrative access' warning banner,OK,,,,,,,
26339,https://shopview.testrail.io/index.php?/cases/view/26339,3529,Create Custom Role,A role name must be unique,OPEN-QUESTION,expected,Saving is blocked because the name is already used.,"OPEN QUESTION for Bilal/Vlad + PO: does the build enforce UNIQUE role names? The spec (Create/Edit Custom Role) says 'Name (required, unique)', but the build shipped a soft 'Similar role already exists' confirmation that only triggers when BOTH the name AND the permission set are identical (C26337, verified) — it does NOT hard-block a duplicate name with a different permission set (C26339 marked Deviation). Decide the intended rule: (a) hard-block any duplicate name (update the build; keep this case asserting the block), or (b) the soft same-name+same-perms confirm is the intended behaviour (retire/rewrite this case, since C26337 already covers it). Do not push until resolved.","Spec says role names are unique; build does not hard-enforce it (only a soft confirm on identical name+permissions). No ticket resolves the conflict — genuine product question, and a likely nightly false-fail.","Spec 'Create / Edit Custom Role' ('Name (required, unique)') vs build soft-confirm (C26337 verified); no PO ruling on record.",medium,
26340,https://shopview.testrail.io/index.php?/cases/view/26340,3529,Create Custom Role,The template picker may use shorter role names than the Roles list,OK,,,,,,,
26341,https://shopview.testrail.io/index.php?/cases/view/26341,3529,Create Custom Role,The template picker descriptions differ from the Roles list descriptions,OK,,,,,,,
26342,https://shopview.testrail.io/index.php?/cases/view/26342,3530,Edit Role,Edit opens the role editor pre-filled with the role's current settings,OK,,,,,,,
26343,https://shopview.testrail.io/index.php?/cases/view/26343,3530,Edit Role,Saving an edited role shows 'Role updated successfully.' after a confirmation dialog,OK,,,,,,,
26344,https://shopview.testrail.io/index.php?/cases/view/26344,3530,Edit Role,Reset to template restores template defaults; Save is only enabled if something changed,OK,,,,,,,
26345,https://shopview.testrail.io/index.php?/cases/view/26345,3530,Edit Role,Changing a role logs an active user out; new permissions apply at next login,OK,,,,,,,
26346,https://shopview.testrail.io/index.php?/cases/view/26346,3530,Edit Role,"The Office User system role cannot be edited (lock icon, eye only)",OK,,,,,,,
26347,https://shopview.testrail.io/index.php?/cases/view/26347,3530,Edit Role,"The Time Clock User system role cannot be edited (lock icon, eye only)",OK,,,,,,,
26348,https://shopview.testrail.io/index.php?/cases/view/26348,3530,Edit Role,The role name cannot be left empty when editing,OK,,,,,,,
26349,https://shopview.testrail.io/index.php?/cases/view/26349,3530,Edit Role,Editing: at least one permission must be turned on to save,OK,,,,,,,
