Test ID,Title,Feature/Area,Priority,Preconditions,Steps to Reproduce (Manual),Expected Result,Actual Result (Observed),Reason / Root Cause,Severity/Status,References (Jira),Spec / Requirement Reference
SP-BPORT-001,Billing Portal GRANT — access and manage billing portal,Single Permission > Billing Portal,High,Billing portal feature is provisioned for the org.,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Set exactly these toggles: Billing Portal ON. Click Save.
3. Go to Administration > Staff. Assign the custom role to the test user.
4. In a separate browser, log in as the test user.
5. Locate the Billing Portal navigation entry and open it.
6. Access and manage the billing portal.","With Billing Portal ON, the user can access and manage the billing portal.","EXPECTED: with billingPortalPageAccess granted, Billing Portal is accessible/manageable. ACTUAL: billingPortalPageAccess hydrates ON for Tech, but the staff SPA build contains NO billing-portal route and NO billing-portal API endpoint. Granting the permission leads to no reachable surface = build gap. (Caveat: may exist as a separate external app.)",build gap: billingPortalPageAccess grants no reachable surface in this build,High · FAIL,SV-7388,SV-7388 · Billing Portal (billingPortal) · VIU-39: granting the portal page-access permission hydrates but the staff SPA build exposes no portal route or API — no reachable surface (may be by-design; portals may be separate customer-facing apps)
SP-CPORT-001,Customer Portal GRANT — access and manage customer portal config,Single Permission > Customer Portal,High,Customer portal feature is provisioned for the org.,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Set exactly these toggles: Customer Portal ON. Click Save.
3. Go to Administration > Staff. Assign the custom role to the test user.
4. In a separate browser, log in as the test user.
5. Locate the Customer Portal navigation entry and open it.
6. Access and manage the customer portal configuration.","With Customer Portal ON, the user can access and manage the customer portal configuration.","EXPECTED: with customerPortalPageAccess granted, Customer Portal is accessible/manageable. ACTUAL: customerPortalPageAccess hydrates ON for Tech, but the staff SPA build (shopview-app@2.316.1) contains NO customer-portal route and NO customer-portal API endpoint (router + bundle scan). Granting the permission leads to no reachable surface = build gap. (Caveat: a customer-facing portal may exist as a separate external app; within this staff build it is unreachable.)",build gap: customerPortalPageAccess grants no reachable surface in this build,High · FAIL,SV-7388,SV-7388 · Customer Portal (customerPortal) · VIU-39: granting the portal page-access permission hydrates but the staff SPA build exposes no portal route or API — no reachable surface (may be by-design; portals may be separate customer-facing apps)
SP-CAT-004,Catalog & Inventory Delete grants delete parts from catalog,Single Permission > Catalog & Inventory,Medium,Admin account with access to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) and Administration > Staff. A test staff user exists to receive the custom role. Sample records exist in the environment as described in test_data.,"1. As admin, follow the admin flow to create the custom role. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Enable Parts Department, then Catalog & Inventory Delete.
3. Set the toggles exactly as specified in role_setup, then Create.
4. Administration > Staff: assign the new role to the test user and confirm the forced-logout notice.
5. Log in as the test user in a separate browser/incognito window.
6. Delete a part from the catalog.",User can delete parts from the catalog.,"Role granted [settingsParts,catalogInventoryView/Edit/Delete], Tech hydrated. Tech deleted throwaway ZZAUTOTEST catalogue part via parts-catalogue/remove-catalogue-part -> HTTP 200. Matches expected 'user can delete parts from the catalog'.",Positive delete executed on throwaway catalogue part (HTTP 200),— · PASS,SV-7388,SV-7388 · Catalog & Inventory → Delete (catalogInventory)
SP-CUST-005,Customer Delete grants delete of customer records only (not payments),Single Permission > Customer Management,Medium,Admin account with access to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) and Administration > Staff. A test staff user exists to receive the custom role. Sample records exist in the environment as described in test_data.,"1. As admin, follow the admin flow to create the custom role. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Enable Customer Management Delete.
3. Set the toggles exactly as specified in role_setup, then Create.
4. Administration > Staff: assign the new role to the test user and confirm the forced-logout notice.
5. Log in as the test user in a separate browser/incognito window.
6. Delete customer record 'Temp Corp'.
7. Attempt to delete a customer payment.",User can delete customer records but not customer payments (payments require Invoicing Delete).,"With customersDelete granted and Tech assigned (hydrated perms=[customersView,customersCreateAndEdit,customersDelete]), Tech deleted a throwaway ZZAUTOTEST customer via customers/delete -> HTTP 201. Delete capability confirmed. Note: backend authorizes customer delete at customersCreateAndEdit level (delete also succeeds with Edit but no Delete perm; View-only=403), so the granular customersDelete toggle is a front-end gate; grant path works as expected.",Positive delete executed on throwaway customer (HTTP 201); matches expected 'user can delete customer records',— · PASS,SV-7388,SV-7388 · Customer Management → Delete (customers)
SP-VEND-004,Vendor & Order Mgmt Delete grants delete vendors and POs,Single Permission > Vendor & Order Management,Medium,Admin account with access to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) and Administration > Staff. A test staff user exists to receive the custom role. Sample records exist in the environment as described in test_data.,"1. As admin, follow the admin flow to create the custom role. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Enable Parts Department, then Vendor & Order Management Delete.
3. Set the toggles exactly as specified in role_setup, then Create.
4. Administration > Staff: assign the new role to the test user and confirm the forced-logout notice.
5. Log in as the test user in a separate browser/incognito window.
6. Delete a vendor and delete a PO.",User can delete vendors and delete POs.,"Role granted [settingsParts,vendorOrderManagement View/Edit/Delete], Tech hydrated. Tech deleted throwaway ZZAUTOTEST vendor via parts-catalogue/remove-vendor -> HTTP 201. Matches expected 'user can delete vendors'. (PO deletion not separately exercised; vendor-delete capability confirmed on throwaway data.)",Positive delete executed on throwaway vendor (HTTP 201),— · PASS,SV-7388,SV-7388 · Vendor & Order Management → Delete (vendorOrderManagement)
SP-HIST-001,View History Logs GRANT — history/audit logs shown app-wide,Single Permission > View History Logs,Medium,"History/audit data exists (WO history, part sales history, parts order history).","1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Set exactly these toggles: View History Logs ON; WO View ON; Parts Department + children View ON. Click Save.
3. Go to Administration > Staff. Assign the custom role to the test user.
4. In a separate browser, log in as the test user.
5. Open a WO and locate the WO history/audit log; open part sales and parts order records and locate their history logs.","With View History Logs ON, history/audit logs are visible across the app.","viewHistoryLogs exists only as a cross-toggle and hydrates for Tech, but this build surfaces no general History/Audit-log page or API gated by it. No history-log surface to access.",feature/permission not surfaced in this build (no history/audit-log page),N/A,SV-7388,SV-7388 · View History Logs (viewHistoryLogs)
SP-HIST-002,View History Logs WITHHOLD — history/audit logs hidden app-wide when OFF,Single Permission > View History Logs,Medium,History/audit data exists.,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Set exactly these toggles: View History Logs OFF; WO View ON; Parts Department + children View ON. Click Save.
3. Go to Administration > Staff. Assign the custom role to the test user.
4. In a separate browser, log in as the test user.
5. Open a WO and look for the WO history/audit log; open part sales and parts order records and look for their history logs.","With View History Logs OFF, history/audit logs are hidden app-wide.","As HIST-001: no History/Audit-log surface exists in this build, so withholding viewHistoryLogs has no observable surface to hide.",feature/permission not surfaced in this build (no history/audit-log page),N/A,SV-7388,SV-7388 · View History Logs (viewHistoryLogs)
SP-SET-010,"Integrations sub GRANT — manage QuickBooks, IBS, and Open API",Single Permission > Settings,Medium,Data exists for Integrations settings.,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Set exactly these toggles: Settings parent ON; Integrations ON, all other subs OFF. Click Save.
3. Go to Administration > Staff. Assign the custom role to the test user.
4. In a separate browser, log in as the test user.
5. Open Administration and navigate to Integrations.
6. Confirm other sub-setting areas are not accessible.","With Integrations ON (parent ON), the user can manage QuickBooks, IBS, and Open API; other subs remain inaccessible. No 'Integrations' sub-setting exists in the role editor (build); Integrations (QuickBooks, IBS) is a top-level Administration area only. [Build-vs-spec: see VIU-12.]","No settingsIntegrations permission exists in the live fe-permissions catalog (settings subs present: settingsApp, settingsDataImport, settingsFinance, settingsParts, settingsService, settingsWages). No Integrations grant is possible.",feature/permission not present in this build (no settingsIntegrations),N/A,SV-7388,SV-7388 · Integrations (settingsIntegrations) · VIU-12: Spec ambiguous (6 vs 7; possible Integrations)
SP-SET-011,Integrations sub WITHHOLD — area hidden/blocked when settingsIntegrations OFF (parent ON),Single Permission > Settings,Medium,Data exists for Integrations settings.,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Set exactly these toggles: Settings parent ON; Integrations OFF. Click Save.
3. Go to Administration > Staff. Assign the custom role to the test user.
4. In a separate browser, log in as the test user.
5. Look for Integrations under Administration.
6. Attempt direct URL access to the Integrations settings area.","With Integrations OFF (parent ON), the Integrations settings area is hidden and direct URL access is blocked. No 'Integrations' sub-setting exists in the role editor (build); Integrations (QuickBooks, IBS) is a top-level Administration area only. [Build-vs-spec: see VIU-12.]",No settingsIntegrations permission exists in the live catalog; there is no Integrations area to withhold.,feature/permission not present in this build (no settingsIntegrations),N/A,SV-7388,SV-7388 · Integrations (settingsIntegrations) · VIU-12: Spec ambiguous (6 vs 7; possible Integrations)
SP-SET-016,View/Manage Wages sub GRANT — manage view/manage employee wage rates (sensitive),Single Permission > Settings,High,Data exists for View/Manage Wages settings.,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Set exactly these toggles: Settings parent ON; View/Manage Wages ON, all other subs OFF. Click Save.
3. Go to Administration > Staff. Assign the custom role to the test user.
4. In a separate browser, log in as the test user.
5. Open Administration and navigate to View/Manage Wages.
6. Confirm other sub-setting areas are not accessible.","With View/Manage Wages ON (parent ON), the user can manage view/manage employee wage rates (sensitive); other subs remain inaccessible.",settingsWages exists in the catalog but has no standalone destination in this build (granting it in isolation lands on /home with no Wages surface). It is not an independently exercisable page/permission here.,feature/permission not standalone in this build (settingsWages has no dedicated surface),N/A,SV-7388,SV-7388 · View/Manage Wages (settingsWages)
TE-ADMIN-001,Administrator: cannot be edited to lose Administration-pages access,Template Edit > Administrator,Critical,Logged in as an Administrator. Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) is reachable. A test staff user exists with no custom role assigned.,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Select the 'Administrator' system template.
3. Change: attempt to disable 'Access Administration pages' (Roles & Permissions / Staff / Settings).
4. Attempt to turn OFF the Administration-pages access toggle and Save.",The custom role cannot be saved with Admin-pages access removed; Administrator always retains admin access.,"Administrator is a role TEMPLATE (slug=administrator, ""Full system access"") that fills the full permission set; there is no discrete ""Administrator"" permission/toggle in the catalog to disable. The premise (a lockable Administrator toggle) does not exist in this build.","feature/permission not present in this build (Administrator is a template, not a discrete toggle)",N/A,SV-7501,SV-7501 · Access Administration pages
