"Locations: Staging Heavy Duty - 9919"
Type,"Part #",Description,Category,Vendor,"Units Sold","Units Returned","Sold (WO)","Sold (Parts Sale)","Unit Cost","Sell Price",Revenue,Margin,"Margin %",Demand,"Last Sale","On Hand",Turns/Yr,Min,Max
Inventory,GREASETUBE,"EP2 Grease Tube, 390G",HD-Fluids,"Xawick Consulting",182.00,0.00,196.00,0.00,$4.37,$10.86,"$2,128.78","$1,272.36",59.8%,183,"52 days",23.00,13.43,10,40
Inventory,20005-30,"WHEEL BEARING GREASE, RED - HIGH TEMP (PRIMGHT64, WOIPR127651)",HD-Fluids,"Baplains Solutions",29.00,0.00,32.00,0.00,$7.21,$11.83,$378.49,$147.62,39.0%,24,"68 days",5.00,9.85,1,5
Inventory,GREASEBULK,"RED TACKY MP EP2 GREASE","HD-Shop Supply",—,17.00,0.00,18.00,0.00,$4.38,$9.99,$179.82,$100.98,56.2%,16,"55 days",38.00,0.76,0,0
Inventory,SK000283,"Steering Shaft U-Joint, 400 Series, Greaseable","HD-Steering & Suspension","Enson Forestry",2.00,0.00,5.00,0.00,$42.96,$45.89,$229.47,$14.65,6.4%,4,"68 days",2.00,1.70,1,3
Inventory,F191357,"GREASE (LOW TEMP)",HD-Fluids,"Zoburg Maintenance",2.00,0.00,2.00,0.00,$9.33,$15.29,$30.58,$11.92,39.0%,1,"75 days",36.50,0.09,0,0
Inventory,31-05-0153-1US,"U-JOINT, GREASEABLE (1310 WITH ZERK [1.063 X 3.219])","HD-Drive Train",—,0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,1
Inventory,ARW-9863931,"GREASE HOSE 425K","HD-Equipment & Hydraulics","Iuboro Transport",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,ARW-9888942,"GREASE HOSE 425K","HD-Equipment & Hydraulics","Iuboro Transport",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,ARW-9895841,"GREASE HOSE","HD-Equipment & Hydraulics","Iuboro Transport",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,ESO105810,"MOBILITH SHC007 GREASE, 18.9L [PAIL]",HD-Fluids,—,0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,F000584,"AUTO GREASER FITTING, NUT 3/16","HD-Hose & Fittings",—,0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"523 days",12.00,0.00,0,0
Inventory,F000585,"AUTO GREASER FITTING, SLEEVE 3/16","HD-Hose & Fittings",—,0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"523 days",11.00,0.00,0,0
Inventory,F118246,"3/16"" GREASE LINE","HD-Truck Accessories","Zoburg Maintenance",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,2.00,0.00,0,0
