C-id,TestRail link,Title,Source cited BEFORE,Source cited NOW,Requirements now cited,Anchor quote-verified live,Changed this pass,What changed,Raw markup in tester text,Automation marker
C29925,https://shopview.testrail.io/index.php?/cases/view/29925,Schedule opens from the top-level navigation into a sidebar + grid layout,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§3; §3.1; §3.2,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29927,https://shopview.testrail.io/index.php?/cases/view/29927,Day / Week / Month segmented control switches the grid between the three views,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§3.2; §6,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY - EXPECT FAIL (SV-8826)
C29928,https://shopview.testrail.io/index.php?/cases/view/29928,Grid rows are grouped by department under group headers,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§14.4; §3.2,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29929,https://shopview.testrail.io/index.php?/cases/view/29929,Collapsing a department header hides its technician rows,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§3.2,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29930,https://shopview.testrail.io/index.php?/cases/view/29930,No Tech/Dept toggle - department grouping is the only grid grouping,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§3.2,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29931,https://shopview.testrail.io/index.php?/cases/view/29931,"An Unassigned row sits inside the grid, not in a separate tray",spec v23 | refs names no spec version,spec v27 | refs names no spec version,§3.2; §4.2,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C43554,https://shopview.testrail.io/index.php?/cases/view/43554,Schedule opens on Day view the first time you open it from the navigation,spec v23 | refs names no spec version,spec v27 | refs names no spec version,(none - non-spec source named),n/a - no spec anchor cited,yes,spec version re-stamp only,no,AUTOMATION: READY - EXPECT FAIL (SV-8863)
C29932,https://shopview.testrail.io/index.php?/cases/view/29932,Clicking a date in the mini calendar navigates the main grid to that date,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§3.1; §5.2,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29933,https://shopview.testrail.io/index.php?/cases/view/29933,Mini calendar month/year picker has month buttons and year arrows,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§5.2,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29934,https://shopview.testrail.io/index.php?/cases/view/29934,A chevron toggle collapses and expands the mini calendar grid,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§3.1; §5.2,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29935,https://shopview.testrail.io/index.php?/cases/view/29935,"Mini calendar highlights the selected date, today, and the hovered week",spec v23 | refs names no spec version,spec v27 | refs names no spec version,§5.2,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29936,https://shopview.testrail.io/index.php?/cases/view/29936,The sidebar is a flat list of work order cards with no tabs,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§3.1; §5.1,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29937,https://shopview.testrail.io/index.php?/cases/view/29937,"Work order card anatomy, incl. the status-colored left border",spec v23 | refs names no spec version,spec v27 | refs names no spec version,§3.1,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29939,https://shopview.testrail.io/index.php?/cases/view/29939,"'Search work orders' matches work order number, customer, unit, and technician",spec v23 | refs names no spec version,spec v27 | refs names no spec version,§3.1,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY - EXPECT FAIL (SV-8873)
C29940,https://shopview.testrail.io/index.php?/cases/view/29940,Sidebar search filters the card list in real time as you type,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§3.1,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29941,https://shopview.testrail.io/index.php?/cases/view/29941,Sidebar search with no matching work orders shows an empty list,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§3.1,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29942,https://shopview.testrail.io/index.php?/cases/view/29942,The 'Filters' button opens Assignment / Status / Priority filter groups,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§5.1,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29943,https://shopview.testrail.io/index.php?/cases/view/29943,Assignment filter narrows the list to Assigned or Unassigned work orders,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§3.1; §5.1,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29944,https://shopview.testrail.io/index.php?/cases/view/29944,Status filter narrows the list to work orders in the chosen status(es),spec v23 | refs names no spec version,spec v27 | refs names no spec version,§5.1,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29945,https://shopview.testrail.io/index.php?/cases/view/29945,"Priority filter offers High, Medium, Low and narrows the list accordingly",spec v23 | refs names no spec version,spec v27 | refs names no spec version,§5.1,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29946,https://shopview.testrail.io/index.php?/cases/view/29946,'Clear all' resets every applied sidebar filter in one click,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§5.1,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29947,https://shopview.testrail.io/index.php?/cases/view/29947,Search and filter work together - both can be active at the same time,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§5.1,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29948,https://shopview.testrail.io/index.php?/cases/view/29948,"Work order card opens the line drill-down in place, with header and back control",spec v23 | refs names no spec version,spec v27 | refs names no spec version,§3.1,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29950,https://shopview.testrail.io/index.php?/cases/view/29950,Only approved work order lines appear in the drill-down,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§3.1,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29951,https://shopview.testrail.io/index.php?/cases/view/29951,"Line row shows title, hours, the technician roster and a drag handle",spec v23 | refs names no spec version,spec v27 | refs names no spec version,§3.1; §8.1,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29952,https://shopview.testrail.io/index.php?/cases/view/29952,Lines with no technician assigned show a 'Needs techs' badge,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§3.1,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29953,https://shopview.testrail.io/index.php?/cases/view/29953,'Search lines' matches the line title/name only,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§3.1,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29954,https://shopview.testrail.io/index.php?/cases/view/29954,'All / Unscheduled' filter chips show counts and filter the line list,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§3.1; §5.1,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29955,https://shopview.testrail.io/index.php?/cases/view/29955,Dropping a single-line work order creates a shift with no scope picker,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§1.2; §4.1; §7,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29956,https://shopview.testrail.io/index.php?/cases/view/29956,Dropping a multi-line work order on a technician cell opens the scope picker,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.1; §4.3,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29957,https://shopview.testrail.io/index.php?/cases/view/29957,Dragging a line from the drill-down creates a single-line shift,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.1,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29958,https://shopview.testrail.io/index.php?/cases/view/29958,A job over the technician's daily hours opens the spread step,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.1; §4.5,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29959,https://shopview.testrail.io/index.php?/cases/view/29959,A scope that fits one working day skips the spread step,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.1,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29960,https://shopview.testrail.io/index.php?/cases/view/29960,"While dragging, target cells highlight and a ghost block follows",spec v23 | refs names no spec version,spec v27 | refs names no spec version,§7,yes,yes,spec version re-stamp only,no,AUTOMATION: READY - EXPECT FAIL (SV-8840)
C29961,https://shopview.testrail.io/index.php?/cases/view/29961,Scheduling a technician onto a line adds them to its labor roster,spec v23 | refs spec v23,spec v27 | refs spec v27,§1.2; §4.3; §7,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29962,https://shopview.testrail.io/index.php?/cases/view/29962,A click-to-arm alternative exists for scheduling without dragging,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§11; §7,yes,yes,spec version re-stamp only,no,AUTOMATION: READY - EXPECT FAIL (SV-8957)
C43555,https://shopview.testrail.io/index.php?/cases/view/43555,Month view: dragging a work order onto a day creates a shift for that day,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.1; §4.2,yes,yes,spec version re-stamp only,no,"AUTOMATION: HOLD - waiting on the product owner's answer, and the question has not been sent yet"
C29963,https://shopview.testrail.io/index.php?/cases/view/29963,Scope picker contents: the pinned whole-order row and the line rows,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.3,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29964,https://shopview.testrail.io/index.php?/cases/view/29964,'Schedule whole work order' assigns all lines and creates one shift,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.3; §4.4,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29965,https://shopview.testrail.io/index.php?/cases/view/29965,Tapping a line row creates a single-line shift with no confirm step,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.3,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29967,https://shopview.testrail.io/index.php?/cases/view/29967,"'Select multiple' checkbox mode: running tally, Select all, and Cancel",spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.3,yes,yes,spec version re-stamp only,no,AUTOMATION: HOLD - not re-checked against the current build - it needs a drag that could not be completed
C29969,https://shopview.testrail.io/index.php?/cases/view/29969,A shift's start time uses the technician's own working hours when set,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.2,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29970,https://shopview.testrail.io/index.php?/cases/view/29970,"With no technician hours set, start time falls back to business hours",spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.2,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29971,https://shopview.testrail.io/index.php?/cases/view/29971,"With neither technician hours nor business hours set, a 7:00 AM default applies",spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.2,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29972,https://shopview.testrail.io/index.php?/cases/view/29972,In day view the start time comes from the drop position,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.2,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29973,https://shopview.testrail.io/index.php?/cases/view/29973,Dropping onto the Unassigned row creates a shift with no technician,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§3.2; §4.2,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29974,https://shopview.testrail.io/index.php?/cases/view/29974,Unassigned shift start time uses business hours or the default,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.2,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29975,https://shopview.testrail.io/index.php?/cases/view/29975,Dragging an unassigned shift onto a technician row assigns it,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§3.2; §4.2,yes,yes,spec version re-stamp only,no,AUTOMATION: READY - EXPECT FAIL (SV-8924)
C29978,https://shopview.testrail.io/index.php?/cases/view/29978,Spread step header shows the scope; 'Change scope' returns to the picker,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.5,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29979,https://shopview.testrail.io/index.php?/cases/view/29979,How-much selector defaults to Full estimate; preset amounts apply at once,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.5,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29980,https://shopview.testrail.io/index.php?/cases/view/29980,'Until a date…' reveals a single finish-by date field,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.5,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29981,https://shopview.testrail.io/index.php?/cases/view/29981,'Specific hours…' reveals an hours stepper,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.5,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29982,https://shopview.testrail.io/index.php?/cases/view/29982,Start date defaults to the earliest working day and can be changed,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.5,yes,yes,spec version re-stamp only,no,AUTOMATION: HOLD - not re-checked against the current build - it needs a drag that could not be completed
C29983,https://shopview.testrail.io/index.php?/cases/view/29983,Spread uses the tech's working hours; skips weekends only when hours not set,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§12; §4.5,yes,yes,spec version re-stamp only,no,"AUTOMATION: HOLD - waiting on the product owner's answer, and the question has not been sent yet"
C29984,https://shopview.testrail.io/index.php?/cases/view/29984,"Spread preview: one-line summary, expandable to a week-by-week breakdown",spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.5,yes,yes,spec version re-stamp only,no,AUTOMATION: HOLD - not re-checked against the current build - it needs a drag that could not be completed
C29985,https://shopview.testrail.io/index.php?/cases/view/29985,Confirming the spread creates a linked series of daily shifts,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.5; §4.6; §8.2,yes,yes,spec version re-stamp only,no,AUTOMATION: HOLD - not re-checked against the current build - it needs a drag that could not be completed
