canned_line_id,canned_line_name,pricing_shape,fixed_price,fixed_line_total,labour_rate,labour_type_name,total_parts,time_estimate,tech_time,workplace_id
53b26ca7-92ca-4def-bfd0-7f5649a775ca,Champ X Service air filter,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,0,60,60,b3c8c820-f815-4cf1-8938-10956c5ee71a
6e154b0d-db1c-481c-9338-508a61a1135a,Champ X Service manual regen,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,0,60,60,b3c8c820-f815-4cf1-8938-10956c5ee71a
2623d064-20b9-460c-9c59-ec00552e30ce,Champ X Service oil and fuel,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,5,168,168,b3c8c820-f815-4cf1-8938-10956c5ee71a
206c85b7-dfa8-4ca8-9c4c-8d4f9f945287,Champ X Service oil sample,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,1,24,24,b3c8c820-f815-4cf1-8938-10956c5ee71a
a42262dc-7b09-4e5e-be60-227d478567cc,Champ X Service PTO bolt torque,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,0,45,45,b3c8c820-f815-4cf1-8938-10956c5ee71a
e55c893f-8253-4aa9-8901-7282c804d056,CVIP Driving Force,FIXED LINE TOTAL,,300,,Fixed line total,0,0,120,b3c8c820-f815-4cf1-8938-10956c5ee71a
dbb147d6-86f1-46c2-8692-364d5728dae5,Diagnose - Air leak,HOURLY LABOUR RATE,,,16495,HD Door Rate,0,120,120,b3c8c820-f815-4cf1-8938-10956c5ee71a
ee1d7466-8798-40ec-b785-3c5c7f33159e,HD - Quality Control Check Over,FIXED LINE TOTAL,,0,,Fixed line total,0,0,0,b3c8c820-f815-4cf1-8938-10956c5ee71a
ce1f2549-24a9-485c-a849-267f8918d66e,HD CVIP air brake trailer single/tandem,FIXED LABOUR,35000,,,Fixed labour,0,210,210,b3c8c820-f815-4cf1-8938-10956c5ee71a
564bf54d-9a1d-44a2-99c6-852486669162,HD CVIP air brake trailer tri-axle,FIXED LABOUR,40000,,,Fixed labour,0,240,240,b3c8c820-f815-4cf1-8938-10956c5ee71a
350abe94-ae17-4531-bbd3-7c31d2a9dfd2,HD CVIP electric brake trailer,FIXED LABOUR,35000,,,Fixed labour,0,210,210,b3c8c820-f815-4cf1-8938-10956c5ee71a
c8f8ecbb-a197-4358-9a44-8ddfddd9f135,HD CVIP single/tandem,FIXED LABOUR,40000,,,Fixed labour,0,240,240,b3c8c820-f815-4cf1-8938-10956c5ee71a
d3f13cfa-9834-4e29-b861-e95d65bffa5c,HD CVIP tri-axle,FIXED LABOUR,47500,,,Fixed labour,0,285,285,b3c8c820-f815-4cf1-8938-10956c5ee71a
92bf2994-095e-4948-86d1-6316e124fab6,"HD Electric brake trailer, brake inspection and bearing service",HOURLY LABOUR RATE,,,16495,HD Door Rate,0,0,0,b3c8c820-f815-4cf1-8938-10956c5ee71a
68d59b05-ac52-4081-a193-1c0ab1fbda1d,HD Misc Buffer,HOURLY LABOUR RATE,,,14500,CP RAIL FLEET RATE,0,0,0,b3c8c820-f815-4cf1-8938-10956c5ee71a
c26656b5-a2e2-4d18-9b61-b15e4882f881,HD Wheels off air brake trailer single/tandem,FIXED LABOUR,12500,,,Fixed labour,0,75,75,b3c8c820-f815-4cf1-8938-10956c5ee71a
3a212080-8c00-4981-a46d-de91db43f3e7,HD Wheels off air brake trailer tri-axle,FIXED LABOUR,15000,,,Fixed labour,0,90,90,b3c8c820-f815-4cf1-8938-10956c5ee71a
a1019540-c4f6-4ce2-9b71-d0ee8840fde3,HD Wheels off single/tandem,FIXED LABOUR,15000,,,Fixed labour,0,90,90,b3c8c820-f815-4cf1-8938-10956c5ee71a
db469b36-c4e5-42cd-b9bc-20950e3d6940,HD Wheels off tri-axle,FIXED LABOUR,17500,,,Fixed labour,0,105,105,b3c8c820-f815-4cf1-8938-10956c5ee71a
fe02b4d1-9e71-4eea-b6f5-efbca8ff961a,Mobile service,HOURLY LABOUR RATE,,,16495,HD Door Rate,0,0,0,b3c8c820-f815-4cf1-8938-10956c5ee71a
