internal_id,proposed_testrail_case_id,title
INV-MAST-01,44901,Masthead shows the shop location's full identity details
INV-MAST-02,44902,Shop logo shows when set; nothing (no placeholder) shows when unset
INV-MAST-03,44903,Document label names the type before the number on each document
INV-MAST-04,44904,No status pill appears in the masthead on any document
INV-MAST-05,44905,No money figure in the masthead; headline figure is the boxed total
INV-MAST-06,44906,Masthead date labels read correctly for each document type
INV-MAST-07,44907,Masthead identity fields each hide when empty
INV-ADDR-01,44908,Bill To block shows the customer name and address
INV-ADDR-02,44909,Remit Payment To shows when a payee is configured (both mechanisms)
INV-ADDR-03,44910,Bill To spans full width when Remit Payment To is absent
INV-ADDR-04,44911,Remit Payment To is hidden when no payee is configured
INV-ADDR-05,44912,Bill To address fields hide when empty; the name line always shows
INV-OREF-01,44913,Order reference fields show in the fixed order with no label punctuation
INV-OREF-02,44914,"Terms field always shows, even when no terms are set"
INV-OREF-03,44915,Authorizer field shows the selected authorizer's full name
INV-OREF-04,44916,Approval Code field shows the integrated-billing approval code
INV-OREF-05,44917,Work Order field hides when it equals the document number's trailing digits
INV-OREF-06,44918,"Customer PO, Authorizer and Approval Code each hide when empty"
INV-AUTH-01,44919,Authorizer is selected in the work order customer contact card
INV-AUTH-02,44920,Authorizer is optional and can be cleared with 'No authorizer'
INV-AUTH-03,44921,Authorizer's phone shows below the name when the contact has one
INV-AUTH-04,44922,Authorizer is locked once the work order is invoiced
INV-AUTH-05,44923,A new 'Approves Work' contact becomes selectable immediately
INV-ASST-01,44924,Asset section shows Asset name and VIN / Serial when present
INV-ASST-02,44925,"Asset section can show Unit, Plate, Mileage and Eng Hrs"
INV-ASST-03,44926,"Unit, Plate, Mileage and Eng Hrs each hide when empty"
INV-ASST-04,44927,VIN / Serial hides when the asset has neither; Asset name still shows
INV-ASST-05,44928,Asset section shows whenever the work order has an asset (parts sales too)
INV-WORK-01,44929,Work heading is 'Work Summary' on Estimate and 'Work Performed' on Invoice
INV-WORK-02,44930,Work line numbers are sequential and zero-padded to two digits
INV-WORK-03,44931,"Each work line shows name, and description and scope-of-work note when present"
INV-WORK-04,44932,Labor and Part entries are labeled exactly 'Labor' and 'Part'
INV-WORK-05,44933,Invoice Details settings show or hide the per-entry figures
INV-WORK-06,44934,Line-level fee shows as a plain amount; discount shows in parentheses
INV-WORK-07,44935,"Line footer shows Labor, Parts and Line total with the divider rule"
INV-WORK-08,44936,Empty work section shows heading; Summary divider still precedes summary
INV-DECL-01,44937,Declined Work shows in its own section with names and descriptions only
INV-DECL-02,44938,"Declined lines show no prices, no line numbers, and no status pill"
INV-DECL-03,44939,Declined Work section hidden when nothing declined or option off
INV-FSUM-01,44940,'Summary' divider precedes the financial summary
INV-FSUM-02,44941,"Summary shows gross Labor and Parts rows, and Shop supplies when charged"
INV-FSUM-03,44942,Shop supplies shows its percentage when the location setting is enabled
INV-FSUM-04,44943,Adjustments group shows rollup Labor/Parts then each work-order-wide row
INV-FSUM-05,44944,"Summary shows Subtotal, one row per tax, and the grand Total"
INV-FSUM-06,44945,Adjustments heading and tax rows hide when nothing applies
INV-PAID-01,44946,Payments heading and each applied payment row show correctly
INV-PAID-02,44947,Payment method name resolves per rule (SHOPPAY shows 'Online')
INV-PAID-03,44948,Deposit and applied customer-account credit show as labeled payment rows
INV-PAID-04,44949,Excess payment sub-line reads exactly per the credited/ to-be-credited rule
INV-PAID-05,44950,"Balance equals Total minus all applied amounts, floored at $0.00"
INV-PAID-06,44951,"Paid banner appears only on portal-generated Invoice PDFs, before all content"
INV-PAID-07,44952,Each banner payment shows its labeled fields and conditional fees/marker
