Test ID,TestRail ID,TestRail Link,Area,Story Ref,Title,Priority,Type,Permissions Required,Preconditions,Steps To Reproduce,Expected Result,Design Ref,VIU Status,What needs to be done (plain),Notes
FD-WO-001,C28424,https://shopview.testrail.io/index.php?/cases/view/28424,Work Order — Whole-WO Fee/Discount,S1-R1 / S2-R9 / S2-R12 | SV-8479 (SV-8288 Story 12 — items 10 & 11),Verify the whole-work-order fee/discount dialog opens from the toolbar menu with title 'New Work Order Fee / Discount',Critical,Functional,Work Orders: Create & Edit + See Financial Data,"1. You are logged in as a role that has Work Orders: Create & Edit and See Financial Data.
2. An open (not Invoiced, not Paid) work order exists; you are viewing it and are not in history view.
3. You are on the work order's Lines tab.","1. At the top right of the Lines area, click the ⋯ (more) button next to 'New Line'.
2. In the menu that opens, click 'Add Work Order Fee / Discount'.
3. Read the dialog title and the subline directly under it.","1. A dialog titled 'New Work Order Fee / Discount' opens.
2. A subline reads 'Applying To: Entire Work Order'.
3. There is no scope dropdown to change — the dialog always applies to the whole work order.",Add new fee/discount modal (design-notes §6); WO toolbar ⋯ menu (§1),VIU-Verified,No action needed — passed.,"Design↔spec: spec title = 'New Fee / Discount'; design mockup title = 'Add new fee/discount'. Authored to spec; flag the label difference at execution. Toolbar label 'Add Work Order Fee / Discount' is per S1-R1/S11-R4a comparison. | VIU qb batch-1 (2026-07-08): Dialog opens from WO toolbar 3-dot menu at whole-WO scope, no 'Applying to' subtitle (S2-R12 ok). DEVIATIONS: menu item reads 'Add Fee/Discount' (spec 'Add Work Order Fee / Discount'); add-dialog title reads 'Add new fee/discount' (spec 'New Fee / Discount'; the EDIT dialog title 'Edit Fee / Discount' DOES match). Shots s8-01/02. | [pass A same-day parallel verdict] VIU-Verified qb env 2026-07-08 — UI: whole-WO ""Add new fee/discount"" dialog opens from WO toolbar ⋯ menu (cap-add-dialog.png) | FRESH VIU 2026-07-10: dialog title still 'Add new fee/discount' (spec 'New Fee / Discount'), menu item 'Add Fee/Discount' — label drift persists (UI re-driven, shot 10-wo-add-dialog) | WORDING+VIU 2026-07-13: rewritten to exact build labels (⋮ menu item 'Add Fee/Discount'; dialog 'Add new fee/discount'; fields 'Apply From Template'/'Name'/'Type'/'Calculation Type'/'$ Amount' or 'Percent %'/'$ Max Amount (Optional)'/'Taxable' toggle; whole-WO Calculation Type options = Flat Amount, % of Labor Total, % of Parts Total, % of Subtotal; buttons 'Add Fee'/'Add Discount'; sidebar card 'WO Fees & Discounts'; preview empty prompt 'Enter an amount to see the impact.'). Captured live on WO S3-15960 (shots wo-01..wo-05). Now build-accurate (was VIU-Deviation only because the case used the older spec wording). Dialog shows no work-order-number subtitle in this build (old expected claim dropped). | SV-8479/8480 deconfliction 2026-07-22: menu item 'Add Fee/Discount' -> 'Add Work Order Fee / Discount' (item 10); title 'Add new fee/discount' -> 'New Work Order Fee / Discount' + new subline 'Applying To: Entire Work Order' (item 11, reverses the old 'no Applying-to line' claim). Absorbs dropped new case FD-WO-026. | VIU 2026-07-22 LIVE: whole-WO dialog opens from toolbar menu; title 'New Work Order Fee / Discount', subline 'Applying To: Entire Work Order', no scope dropdown. Ev: wo/FD-WO-001-wo-dialog.png, wo/wo-dialog-text.txt."
FD-WO-002,C28425,https://shopview.testrail.io/index.php?/cases/view/28425,Work Order — Whole-WO Fee/Discount,S2-R19..R27 / S2-R29 / §7 toast | SV-8479 (SV-8288 Story 12 — items 10/11 label sweep),Verify adding a whole-work-order flat-amount fee saves and shows a success message,Critical,Functional,Work Orders: Create & Edit + See Financial Data,"1. You are logged in with Work Orders: Create & Edit and See Financial Data.
2. An open work order is open on its Lines tab.","1. Open the ⋯ (more) menu at the top right of the Lines tab and click 'Add Work Order Fee / Discount'.
2. In the 'Name' field, type 'ZZAUTOTEST Handling Fee'.
3. Leave 'Type' set to 'Fee'.
4. Leave 'Calculation Type' set to 'Flat Amount'.
5. In the '$ Amount' field, enter 100.
6. Click the 'Add Fee' button.","1. While 'Flat Amount' is selected, the amount field is labelled '$ Amount' (a dollar amount).
2. The 'Add Fee' button can be used once Name, Type, Calculation Type and an amount above 0 are all filled in.
3. The dialog closes and a success message confirms the fee was added.
4. 'ZZAUTOTEST Handling Fee' now appears in the 'Work Order Fees & Discounts' card on the left, showing +$100.00.
5. The work order Subtotal and Total go up by $100.00 (tax is recalculated when you save).",Add new fee/discount modal footer Add button (§6); WO Fee/Discount sidebar card (§1a),VIU-Verified,No action needed — passed.,"Whole-WO Flat Amount base = the set amount, no quantity (open question #2 in requirements §14: no explicit Whole-WO Flat base row). Confirm button label per spec is 'Add Fee'; design mockup uses fixed 'Add' — flag. | VIU qb batch-1 (2026-07-08): Flat $12 fee added via dialog; confirm button 'Add Fee'; success toast 'Fee added' (exact, auto-fades); entry appears on the WO F&D card; API POST work-orders/adjustments/add 201. Shots s9-01/02. | [pass A same-day parallel verdict] VIU-Verified qb env 2026-07-08 — UI+API: whole-WO flat $11 fee saved (POST 201), card shows entry; toast ""Fee added"" (§7, recon) | FRESH VIU 2026-07-10: whole-WO flat fee add 201 + visible in WO view (flat 7.77 resolved exactly) | WORDING+VIU 2026-07-13: rewritten to exact build labels (⋮ menu item 'Add Fee/Discount'; dialog 'Add new fee/discount'; fields 'Apply From Template'/'Name'/'Type'/'Calculation Type'/'$ Amount' or 'Percent %'/'$ Max Amount (Optional)'/'Taxable' toggle; whole-WO Calculation Type options = Flat Amount, % of Labor Total, % of Parts Total, % of Subtotal; buttons 'Add Fee'/'Add Discount'; sidebar card 'WO Fees & Discounts'; preview empty prompt 'Enter an amount to see the impact.'). Captured live on WO S3-15960 (shots wo-01..wo-05). Sidebar card is 'WO Fees & Discounts' (was 'Work Order Fee / Discount'). Exact success-toast text not re-captured this pass (worded as 'a success message'). | SV-8456 (2026-07-21 staging LIVE VIU): F&D moved to SETTINGS→SERVICE (below Canned Lines); template/WO/Part-sale/customer dialogs now show Taxable as a Yes/No DROPDOWN (was toggle); Auto-apply is a CHECKBOX with a 'When on…' caption; settings & customer tables are plain-text/left-aligned (no badges); WO sidebar card retitled 'Work Order Fees & Discounts' and renders ABOVE Financial Info; Part-sale card 'Parts Sale Fees & Discounts' above Financial Info. Permission gate pivoted Settings→Finance → Settings→Service (verified live: Service-user sees+manages F&D & convenience toggle; Finance-only user has no F&D nav item and /administration/adjustment-templates bounces to /workorders). Frontend-only; functionality + calc INTACT. | SV-8479/8480 deconfliction 2026-07-22: label sweep: navigation labels -> 'Add Work Order Fee / Discount' / 'New Work Order Fee / Discount' (behavior/expected unchanged). | VIU 2026-07-22 LIVE: SV-8479 nav label 'Add Work Order Fee / Discount' confirmed present in the WO toolbar ⋯ menu; case behavior unchanged. Ev: wo/FD-WO-025-toolbar-menu.png. | RE-VIU 2026-07-22 LIVE (Batch 4, SV-8456 re-verify): access-check quick-login {admin} HTTP 200. Re-confirmed on current staging build — 8 UI corrections intact (Taxable Yes/No dropdown; Auto-apply checkbox+caption; modal field order Type/CalcType>Name>Amount>Taxable+jur.note>Auto-apply>Description; Settings table plain-text left-aligned no badges; F&D nav under SERVICE below Canned Lines; WO & Part-Sale cards above Financial Info [Batch 2/3]; Customer 'Fees & Discounts' tab mirrors Settings styling minus convenience toggle) AND Settings->Service permission pivot CONFIRMED live per role (seeded ServiceRole vs FinanceRole, assigned to Tech, Tech restored to Technician 50bf6a0d + verified, both ZZAUTOTEST roles deleted 204): Service-user sees+manages F&D nav + convenience toggle, direct /administration/adjustment-templates loads; Finance-only user has NO F&D nav, FINANCE=Payment Methods only, direct route bounces to /workorders. viu_status VIU-Verified re-confirmed. Ev build/fees-discounts/viu-sv8456-2026-07-22/ (01-settings-landing, 02-new-dialog, 03-customer-fd-tab, SVC-*, FIN-*)."
FD-WO-003,C28426,https://shopview.testrail.io/index.php?/cases/view/28426,Work Order — Whole-WO Fee/Discount,S2-R31..R35 / §5-R3 | SV-8479 (SV-8288 Story 12 — items 10/11 label sweep),Verify the live preview shows a whole-work-order percentage discount before you save,High,Functional,Work Orders: Create & Edit + See Financial Data,"1. You are logged in with Work Orders: Create & Edit and See Financial Data.
2. An open work order with a Subtotal of $10,715.39 is open.","1. Open 'Add Work Order Fee / Discount' from the ⋯ menu on the Lines tab.
2. Set 'Type' to 'Discount'.
3. Set 'Calculation Type' to '% of Subtotal'.
4. In the 'Percent %' field, enter 8.
5. Read the preview box near the bottom of the dialog.","1. The preview works the discount out from the current Subtotal: 8% of $10,715.39 = −$857.23.
2. The preview shows the new work-order total after the discount ($9,858.16).
3. The preview reminds you that tax is recalculated when you save.
4. The discount is shown as a negative amount.","Live preview block .fd-summary, updateSummary() (§6)",VIU-Verified,No action needed — passed.,"Design↔spec: the design preview always computes a percentage against the single flat WO Total and has NO base selector, whereas spec §5-R4 says whole-WO % must resolve against Net Labor / Net Parts / Subtotal depending on method. This is requirements open question #1. On staging, confirm which base is actually used; the −$857.23 number here matches the design's single-total math. | VIU qb batch-1 (2026-07-08): Live preview verified numerically on subtotal $292.83: 25% fee -> 'Fee · 25% +$73.21' (rounding ok), 150% discount -> '-$439.25 / New work-order subtotal $0.00' (preview floors at $0). Preview updates as you type; 'Tax is recalculated on save.' present. Shots s8-07/08. | [pass A same-day parallel verdict] VIU-Verified qb env 2026-07-08 — UI: live preview ""Work-order subtotal $1,214.81 → Fee · 10% +$121.48 → New subtotal $1,336.29 / Tax is recalculated on save"" (cap-add-filled.png) | FRESH VIU 2026-07-10: dialog live preview re-driven ($5 flat -> '+$5.00 / New work-order subtotal $187.76'); pct preview math not re-driven, API pct resolution re-proven (10%->17.08) | WORDING+VIU 2026-07-13: rewritten to exact build labels (⋮ menu item 'Add Fee/Discount'; dialog 'Add new fee/discount'; fields 'Apply From Template'/'Name'/'Type'/'Calculation Type'/'$ Amount' or 'Percent %'/'$ Max Amount (Optional)'/'Taxable' toggle; whole-WO Calculation Type options = Flat Amount, % of Labor Total, % of Parts Total, % of Subtotal; buttons 'Add Fee'/'Add Discount'; sidebar card 'WO Fees & Discounts'; preview empty prompt 'Enter an amount to see the impact.'). Captured live on WO S3-15960 (shots wo-01..wo-05). Calc type corrected from generic 'Percentage' to the real whole-WO option '% of Subtotal'. Exact preview row labels not re-captured this pass (behavior verified 2026-07-10). | SV-8479/8480 deconfliction 2026-07-22: label sweep: navigation labels -> 'Add Work Order Fee / Discount' / 'New Work Order Fee / Discount' (behavior/expected unchanged). | VIU 2026-07-22 LIVE: SV-8479 nav label 'Add Work Order Fee / Discount' confirmed present in the WO toolbar ⋯ menu; case behavior unchanged. Ev: wo/FD-WO-025-toolbar-menu.png."
FD-WO-004,C28427,https://shopview.testrail.io/index.php?/cases/view/28427,Work Order — Whole-WO Fee/Discount,S2-R13 / S2-R14 | SV-8479 (SV-8288 Story 12 — items 10/11 label sweep),Verify 'Apply From Template' fills the dialog with a template's values,High,Functional,Work Orders: Create & Edit + See Financial Data,"1. You are logged in with Work Orders: Create & Edit and See Financial Data.
2. An open work order is open; the location has at least one fee/discount template (for example a 'Fleet Standard Discount').","1. Open 'Add Work Order Fee / Discount' from the ⋯ menu.
2. Open the 'Apply From Template' dropdown at the top of the dialog.
3. Choose a template.
4. Look at the Name, Type, Calculation Type and amount fields.","1. Name is filled with the template's name.
2. Type is set to match the template (Fee or Discount).
3. Calculation Type is set to match the template.
4. The amount (and Max Amount, if the template has one) are filled from the template.
5. The fee/discount still applies to the whole work order (a template does not carry a scope).
6. The confirm button ('Add Fee' or 'Add Discount') can now be used.","'Apply from template' <select id=fd-template>, applyTemplate() / FD_TEMPLATES (§6)",VIU-Verified,No action needed — passed.,"Design mockup uses a 6-entry dropdown (Fleet Standard Discount, Loyalty Discount, Parts Handling Fee, Environmental Fee, Early Payment Discount, Labor Surcharge). Spec says the real product shares one location template library; substitute an actual staging template name if different. Taxable is not collected by the design's Add modal (design↔spec discrepancy #2). | VIU qb batch-1 (2026-07-08): 'Apply From Template' filled Name/Type/Calc/Amount from template 'Flat fee' ($12 flat) and preview updated; saved copy is independent (appliedBy=manual, templateId recorded). Shot s9-01. | FRESH VIU 2026-07-10: not re-driven today (Apply-From-Template combobox present in dialog); templateId add path re-proven via API (FD-STACK-003) | WORDING+VIU 2026-07-13: rewritten to exact build labels (⋮ menu item 'Add Fee/Discount'; dialog 'Add new fee/discount'; fields 'Apply From Template'/'Name'/'Type'/'Calculation Type'/'$ Amount' or 'Percent %'/'$ Max Amount (Optional)'/'Taxable' toggle; whole-WO Calculation Type options = Flat Amount, % of Labor Total, % of Parts Total, % of Subtotal; buttons 'Add Fee'/'Add Discount'; sidebar card 'WO Fees & Discounts'; preview empty prompt 'Enter an amount to see the impact.'). Captured live on WO S3-15960 (shots wo-01..wo-05). Dropdown label is exactly 'Apply From Template' (was 'Apply from template (optional)'). | SV-8479/8480 deconfliction 2026-07-22: label sweep: navigation labels -> 'Add Work Order Fee / Discount' / 'New Work Order Fee / Discount' (behavior/expected unchanged). | VIU 2026-07-22 LIVE: SV-8479 nav label 'Add Work Order Fee / Discount' confirmed present in the WO toolbar ⋯ menu; case behavior unchanged. Ev: wo/FD-WO-025-toolbar-menu.png."
FD-WO-005,C28428,https://shopview.testrail.io/index.php?/cases/view/28428,Work Order — Whole-WO Fee/Discount,Design §6 validateForm() / S2-N1 / S2-N2 | SV-8479 (SV-8288 Story 12 — items 10/11 label sweep),"Verify the Add button stays disabled until Name, Type, Calculation Type and an Amount above 0 are all filled in",Critical,Functional,Work Orders: Create & Edit + See Financial Data,"1. You are logged in with Work Orders: Create & Edit and See Financial Data.
2. The 'New Work Order Fee / Discount' dialog is freshly open with all fields blank.","1. With every field blank, look at the 'Add Fee' button.
2. Type a Name only, then look at the button.
3. Set Type to 'Fee', then look at the button.
4. Set Calculation Type to 'Flat Amount' (no amount yet), then look at the button.
5. Enter 0 in the '$ Amount' field, then look at the button.
6. Change the amount to 25, then look at the button.","1. With every field blank, the 'Add Fee' button is greyed out and cannot be used.
2. With only a Name, the button is still greyed out.
3. With Name and Type, the button is still greyed out.
4. With Name, Type and Calculation Type but no amount, the button is still greyed out.
5. With the amount set to 0, the button is still greyed out (the amount must be more than 0).
6. With the amount at 25 and everything else filled in, the button becomes usable. Max Amount is not required.","footer Add button #fd-add-btn, validateForm() (§6)",VIU-Verified,No action needed — passed.,"The disabled-Add rule is the design's only validation gate; spec S2-N1/S2-N2 also expect inline error text on empty Name/Amount, which the design mockup does NOT render (design open item §10). Verify whether staging shows inline errors in addition to the disabled button. | VIU qb batch-1 (2026-07-08): Add button is NEVER disabled. Build validates on save: inline errors ('Name is a required field', 'Percent must be greater than 0') and error toast for >100% discount; dialog stays open. Design's disabled-until-valid rule not implemented. Shot s8-10. | RECON 2026-07-09 (spec-v1-reconciliation.md + PO answer sheet): PO Q4=B confirms disabled-until-valid is correct; build wrong -> confirmed defect (BUG-FD-4), not a PO question. | FRESH VIU 2026-07-10: CONFIRMED AGAIN: 'Add Fee' button ENABLED on an empty form (disabled-on-empty=false) — PO Q4=B defect persists | WORDING+VIU 2026-07-13: rewritten to exact build labels (⋮ menu item 'Add Fee/Discount'; dialog 'Add new fee/discount'; fields 'Apply From Template'/'Name'/'Type'/'Calculation Type'/'$ Amount' or 'Percent %'/'$ Max Amount (Optional)'/'Taxable' toggle; whole-WO Calculation Type options = Flat Amount, % of Labor Total, % of Parts Total, % of Subtotal; buttons 'Add Fee'/'Add Discount'; sidebar card 'WO Fees & Discounts'; preview empty prompt 'Enter an amount to see the impact.'). Captured live on WO S3-15960 (shots wo-01..wo-05). DEVIATION re-confirmed live 2026-07-13: the 'Add Fee' button is ENABLED on an empty form (validation happens on submit, not by disabling) — BUG-FD-4. Expected kept as the intended behavior; tester will see the button enabled. | STAGING VIU 2026-07-20 staging LIVE VIU: BUG-FD-4 FIXED on staging: Add Fee button is DISABLED on an empty form (was enabled on qb). Live-observed (dev-wo-emptyform, disabled=true). | SV-8479/8480 deconfliction 2026-07-22: label sweep: navigation labels -> 'Add Work Order Fee / Discount' / 'New Work Order Fee / Discount' (behavior/expected unchanged). | VIU 2026-07-22 LIVE: SV-8479 nav label 'Add Work Order Fee / Discount' confirmed present in the WO toolbar ⋯ menu; case behavior unchanged. Ev: wo/FD-WO-025-toolbar-menu.png."
FD-WO-006,C28429,https://shopview.testrail.io/index.php?/cases/view/28429,Work Order — Whole-WO Fee/Discount,S2-R24 / §5-R6 | SV-8479 (SV-8288 Story 12 — items 10/11 label sweep),Verify Max Amount caps a percentage fee (20% on a $100 base with Max Amount $15 → +$15.00),Medium,Functional,Work Orders: Create & Edit + See Financial Data,"1. You are logged in with Work Orders: Create & Edit and See Financial Data.
2. An open work order whose base for the fee is $100.00 is open.","1. Open 'Add Work Order Fee / Discount'.
2. Set 'Type' to 'Fee' and 'Calculation Type' to a percentage method (for example '% of Subtotal').
3. In the 'Percent %' field, enter 20.
4. In the '$ Max Amount (Optional)' field, enter 15.
5. Read the preview, then click 'Add Fee'.","1. Without a cap the fee would be $20.00 (20% of $100).
2. Because Max Amount is $15.00, the fee is limited to +$15.00.
3. The saved fee shows +$15.00.",Max cap input #fd-maxcap (§6),VIU-Verified,No action needed — passed.,"Design↔spec discrepancy #4: the design shows 'Max cap' unconditionally and even caps Flat Amount, while spec (S2-R24, §5-R6) shows Max Amount ONLY for a percentage method and never for Flat/Processing Fee. Field label is 'Max Amount (Optional)' per spec vs 'Max cap' in design. Also verify an entered Max Amount of 0 is treated as empty / no maximum (§5-R6, S2-R25). | VIU qb batch-1 (2026-07-08): Max cap verified: API 10% of $324.60 -> capped to $5 (maxCap 5); customer-default 10%/max-15 discount resolved -$15.00 (raw $29.28). 'Max Amount (Optional)' field shows for % methods only. Flat+maxCap rejected: 'A flat adjustment cannot have a maximum cap.' | [pass A same-day parallel verdict] VIU-Verified qb env 2026-07-08 — API: percentage capped by maxCap ($121.48→$50 at cap $50) | FRESH VIU 2026-07-10: 20% of 170.76 (=34.15) capped at Max 15 -> resolved exactly 15 | WORDING+VIU 2026-07-13: rewritten to exact build labels (⋮ menu item 'Add Fee/Discount'; dialog 'Add new fee/discount'; fields 'Apply From Template'/'Name'/'Type'/'Calculation Type'/'$ Amount' or 'Percent %'/'$ Max Amount (Optional)'/'Taxable' toggle; whole-WO Calculation Type options = Flat Amount, % of Labor Total, % of Parts Total, % of Subtotal; buttons 'Add Fee'/'Add Discount'; sidebar card 'WO Fees & Discounts'; preview empty prompt 'Enter an amount to see the impact.'). Captured live on WO S3-15960 (shots wo-01..wo-05). The '$ Max Amount (Optional)' field appears only after a percentage method is chosen (confirmed live). | SV-8479/8480 deconfliction 2026-07-22: label sweep: navigation labels -> 'Add Work Order Fee / Discount' / 'New Work Order Fee / Discount' (behavior/expected unchanged). | VIU 2026-07-22 LIVE: SV-8479 nav label 'Add Work Order Fee / Discount' confirmed present in the WO toolbar ⋯ menu; case behavior unchanged. Ev: wo/FD-WO-025-toolbar-menu.png."
FD-WO-007,C28430,https://shopview.testrail.io/index.php?/cases/view/28430,Work Order — Whole-WO Fee/Discount,S2-R27 | SV-8479 (SV-8288 Story 12 — items 10/11 label sweep),Verify the confirm button label follows the Type (Add Fee vs Add Discount),Medium,Functional,Work Orders: Create & Edit + See Financial Data,"1. You are logged in with Work Orders: Create & Edit and See Financial Data.
2. The 'New Work Order Fee / Discount' dialog is open.","1. Set 'Type' to 'Fee' and read the confirm button.
2. Change 'Type' to 'Discount' and read the confirm button again.","1. With Type set to 'Fee', the confirm button reads 'Add Fee'.
2. With Type set to 'Discount', the confirm button reads 'Add Discount' — the label changes as you change Type.",footer Add button #fd-add-btn (§6),VIU-Verified,No action needed — passed.,"Design↔spec: the design mockup uses a fixed 'Add' button label that does NOT change with Type. Authored to spec S2-R27; flag the fixed label if staging matches the mockup. | VIU qb batch-1 (2026-07-08): Confirm button flips live with Type: 'Add Fee' <-> 'Add Discount'. Shot s8-04. | [pass A same-day parallel verdict] VIU-Verified qb env 2026-07-08 — Recon: confirm button label follows Type (Add Fee / Add Discount) | FRESH VIU 2026-07-10: confirm label 'Add Fee' observed; Type-flip re-observed in batch-1 (not re-driven) | WORDING+VIU 2026-07-13: rewritten to exact build labels (⋮ menu item 'Add Fee/Discount'; dialog 'Add new fee/discount'; fields 'Apply From Template'/'Name'/'Type'/'Calculation Type'/'$ Amount' or 'Percent %'/'$ Max Amount (Optional)'/'Taxable' toggle; whole-WO Calculation Type options = Flat Amount, % of Labor Total, % of Parts Total, % of Subtotal; buttons 'Add Fee'/'Add Discount'; sidebar card 'WO Fees & Discounts'; preview empty prompt 'Enter an amount to see the impact.'). Captured live on WO S3-15960 (shots wo-01..wo-05). | SV-8479/8480 deconfliction 2026-07-22: label sweep: navigation labels -> 'Add Work Order Fee / Discount' / 'New Work Order Fee / Discount' (behavior/expected unchanged). | VIU 2026-07-22 LIVE: SV-8479 nav label 'Add Work Order Fee / Discount' confirmed present in the WO toolbar ⋯ menu; case behavior unchanged. Ev: wo/FD-WO-025-toolbar-menu.png."
FD-WO-008,C28431,https://shopview.testrail.io/index.php?/cases/view/28431,Work Order — Whole-WO Fee/Discount,S2-N1 | SV-8479 (SV-8288 Story 12 — items 10/11 label sweep),Verify an empty Name blocks saving a whole-work-order fee/discount,Medium,Functional,Work Orders: Create & Edit + See Financial Data,"1. You are logged in with Work Orders: Create & Edit and See Financial Data.
2. The 'New Work Order Fee / Discount' dialog is open.","1. Leave the 'Name' field blank.
2. Set 'Type' to 'Fee', 'Calculation Type' to 'Flat Amount', and '$ Amount' to 10.
3. Try to save with 'Add Fee'.","1. The fee cannot be saved while the Name is blank.
2. A message tells you a Name is required.",validateForm() (§6),VIU-Verified,No action needed — passed.,"Verify whether staging surfaces an inline 'Name required' error (spec) or only keeps the button disabled (design). | VIU qb batch-1 (2026-07-08): Empty Name blocks save; inline 'Name is a required field'; nothing persisted. Shot s8-10. | [pass A same-day parallel verdict] VIU-Verified qb env 2026-07-08 — API: empty name → 400 ""name is required"" | FRESH VIU 2026-07-10: UI BLOCKS empty name (inline 'Name' required, dialog stays open, nothing saved). NOTE NEW FDBUG-16: the RAW API now ACCEPTS an empty-name adjustment (201; was 400 in batch-3) — BE validation regression, FE still guards | WORDING+VIU 2026-07-13: rewritten to exact build labels (⋮ menu item 'Add Fee/Discount'; dialog 'Add new fee/discount'; fields 'Apply From Template'/'Name'/'Type'/'Calculation Type'/'$ Amount' or 'Percent %'/'$ Max Amount (Optional)'/'Taxable' toggle; whole-WO Calculation Type options = Flat Amount, % of Labor Total, % of Parts Total, % of Subtotal; buttons 'Add Fee'/'Add Discount'; sidebar card 'WO Fees & Discounts'; preview empty prompt 'Enter an amount to see the impact.'). Captured live on WO S3-15960 (shots wo-01..wo-05). (Note: the raw back-end will accept an empty name — FDBUG-16 — but the on-screen dialog blocks it, which is what a manual tester sees.) | SV-8479/8480 deconfliction 2026-07-22: label sweep: navigation labels -> 'Add Work Order Fee / Discount' / 'New Work Order Fee / Discount' (behavior/expected unchanged). | VIU 2026-07-22 LIVE: SV-8479 nav label 'Add Work Order Fee / Discount' confirmed present in the WO toolbar ⋯ menu; case behavior unchanged. Ev: wo/FD-WO-025-toolbar-menu.png."
FD-WO-009,C28432,https://shopview.testrail.io/index.php?/cases/view/28432,Work Order — Whole-WO Fee/Discount,S2-N2 / §5-R1 | SV-8479 (SV-8288 Story 12 — items 10/11 label sweep),Verify an empty or zero amount blocks saving a whole-work-order fee/discount,Medium,Functional,Work Orders: Create & Edit + See Financial Data,"1. You are logged in with Work Orders: Create & Edit and See Financial Data.
2. The 'New Work Order Fee / Discount' dialog is open with a Name, Type 'Fee' and Calculation Type 'Flat Amount' set.","1. Leave '$ Amount' empty and try to save with 'Add Fee'.
2. Enter 0 in '$ Amount' and try to save again.","1. With the amount empty, the fee cannot be saved.
2. With the amount at 0, the fee cannot be saved — the amount must be more than 0 (the smallest flat amount is $0.01 and the smallest percentage is 0.01%).",validateForm() requires Amount>0 (§6),VIU-Verified,No action needed — passed.,"Confirm minimum enforcement: Flat < $0.01 and Percentage < 0.01% are invalid (§5-R1). | VIU qb batch-1 (2026-07-08): 0/empty amount blocks: inline 'Percent must be greater than 0' / 'Amount must be greater than 0'; API rejects 0 and negative with 'The adjustment amount must be greater than zero.' | [pass A same-day parallel verdict] VIU-Verified qb env 2026-07-08 — API: amount 0 → 400 ""must be greater than zero"" | FRESH VIU 2026-07-10: amount 0 -> 400 at API; UI validates on submit | WORDING+VIU 2026-07-13: rewritten to exact build labels (⋮ menu item 'Add Fee/Discount'; dialog 'Add new fee/discount'; fields 'Apply From Template'/'Name'/'Type'/'Calculation Type'/'$ Amount' or 'Percent %'/'$ Max Amount (Optional)'/'Taxable' toggle; whole-WO Calculation Type options = Flat Amount, % of Labor Total, % of Parts Total, % of Subtotal; buttons 'Add Fee'/'Add Discount'; sidebar card 'WO Fees & Discounts'; preview empty prompt 'Enter an amount to see the impact.'). Captured live on WO S3-15960 (shots wo-01..wo-05). | SV-8479/8480 deconfliction 2026-07-22: label sweep: navigation labels -> 'Add Work Order Fee / Discount' / 'New Work Order Fee / Discount' (behavior/expected unchanged). | VIU 2026-07-22 LIVE: SV-8479 nav label 'Add Work Order Fee / Discount' confirmed present in the WO toolbar ⋯ menu; case behavior unchanged. Ev: wo/FD-WO-025-toolbar-menu.png."
FD-WO-010,C28433,https://shopview.testrail.io/index.php?/cases/view/28433,Work Order — Whole-WO Fee/Discount,§5-R2 / S3 §3 discounts | SV-8479 (SV-8288 Story 12 — items 10/11 label sweep),Verify a percentage discount over 100% is rejected while a percentage fee has no upper limit,Medium,Functional,Work Orders: Create & Edit + See Financial Data,"1. You are logged in with Work Orders: Create & Edit and See Financial Data.
2. The 'New Work Order Fee / Discount' dialog is open.","1. Set 'Type' to 'Discount', 'Calculation Type' to '% of Subtotal', 'Percent %' to 150, and try to save with 'Add Discount'.
2. Change 'Type' to 'Fee', keep the percentage method, set 'Percent %' to 150, and try to save with 'Add Fee'.","1. A 150% discount is rejected — a percentage discount cannot be more than 100%.
2. A 150% fee is accepted — percentage fees have no upper limit.",Add modal Type/Calc/Amount fields (§6),VIU-Verified,No action needed — passed.,"The design mockup does not model the >100% discount validation (no inline error states). Verify the guard exists on staging. | VIU qb batch-1 (2026-07-08): Discount 150% save blocked with toast 'A percentage discount cannot exceed 100%. Please try to resolve this.' (API: 100%=201, 100.01%=400). Fee 150% accepted (resolved $486.90). Note: block is a save-time toast, not inline. Shots s8-08/09. | [pass A same-day parallel verdict] VIU-Verified qb env 2026-07-08 — API: 150% discount rejected; 150% fee accepted (no cap) | FRESH VIU 2026-07-10: discount 150% -> 400 'A percentage discount cannot exceed 100%.'; fee 150% -> 201 | WORDING+VIU 2026-07-13: rewritten to exact build labels (⋮ menu item 'Add Fee/Discount'; dialog 'Add new fee/discount'; fields 'Apply From Template'/'Name'/'Type'/'Calculation Type'/'$ Amount' or 'Percent %'/'$ Max Amount (Optional)'/'Taxable' toggle; whole-WO Calculation Type options = Flat Amount, % of Labor Total, % of Parts Total, % of Subtotal; buttons 'Add Fee'/'Add Discount'; sidebar card 'WO Fees & Discounts'; preview empty prompt 'Enter an amount to see the impact.'). Captured live on WO S3-15960 (shots wo-01..wo-05). | SV-8479/8480 deconfliction 2026-07-22: label sweep: navigation labels -> 'Add Work Order Fee / Discount' / 'New Work Order Fee / Discount' (behavior/expected unchanged). | VIU 2026-07-22 LIVE: SV-8479 nav label 'Add Work Order Fee / Discount' confirmed present in the WO toolbar ⋯ menu; case behavior unchanged. Ev: wo/FD-WO-025-toolbar-menu.png."
